construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9962.080946951915,0.03219811726856747,7.141030838353064,32.1309636561233,15.537661955253483,9907.11339198436,9969.625934629352,9966.557754038837,9968.099918997475,9964.689149560118,9974.432149176535,139.53613680719513,11.959249282288269,152.2001778128385,6.8787664151333985,19.995762487419878,0.0,9975.993388649777,7.1171600367435275,9960.844536023873,0.0,1.0099648479453904,9960.195230780484,0.0,25.37521387864716,9970.033997266968,36.466079860857135,0.0,0.0,17.259646768334655
autocracy_support|WVS_E,9962.080946951915,0.0,0.0,6.433565040497978,0.0,47.87084085247207,9907.795176618863,9966.974237391283,9964.109241663136,9963.438930465518,9966.92200442455,9971.389911484759,15.152309835222802,0.0,31.823456278491506,4.4488394825979185,26.004774661722486,0.0,9974.530684172294,0.0,9956.183547491917,0.0,186.09318996415772,9955.534242248528,0.0,0.0,9966.808131332564,5.551865653541423,0.0,0.0,12.323211700508558
child_qualities_autonomy_self_expression|WVS_A,0.03219811726856747,0.0,0.0,9982.956911095418,9975.1169022926,0.0,124.92420887692884,0.0,0.0,13.085208738274346,0.0,0.0,0.0,0.0,9965.630773717388,0.0,0.0,0.0,0.0,0.0,4.164170388770799,0.0,0.0,0.0,0.0,9983.181840703579,0.0,9980.512523885405,0.0,0.0,0.0
child_qualities_conformity_tradition|WVS_A,7.141030838353064,6.433565040497978,9982.956911095418,0.0,9971.628741197183,0.0,914.53256364112,0.0,5.793148400998497,11.75006793413614,1.6825159001956926,0.0,1.4200573266219259,0.0,9958.508266594881,5.53760207806112,0.0,0.0,0.0,16.982395713739,16.207971673822037,0.0,0.0,12.52678839855443,0.0,9978.763170811519,0.0,9977.024362789987,0.0,0.0,0.0
child_qualities_prosocial_diligence|WVS_A,32.1309636561233,0.0,9975.1169022926,9971.628741197183,0.0,32.12893233882009,176.96282510857338,18.067718632713188,54.06645669772547,79.18568002739046,42.19415544902714,7.689894600549216,1.9779146397919405,2.860645350912609,9947.204835281716,34.43534847072351,11.294084610183177,0.0,0.0,11.22204269672907,12.054429949006881,0.0,63.50183985018224,17.998746072657227,0.0,9970.923162008701,160.20930488168702,9969.184353987172,0.0,0.0,10.063687869315949
civic_dishonesty_tolerance|WVS_F,15.537661955253483,47.87084085247207,0.0,0.0,32.12893233882009,0.0,185.67159709239206,0.0,0.0,21.72877530198697,0.0,0.0,0.0,0.0,18.274577522660906,1.4942195601069095,0.0,9982.27335500442,0.0,681.5836665369711,9.410229370486363,9982.589771136394,9978.670847389774,173.96995080119626,9983.799501206571,0.0,0.0,0.0,0.0,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,9907.11339198436,9907.795176618863,124.92420887692884,914.53256364112,176.96282510857338,185.67159709239206,0.0,9909.997391129842,9906.929210539325,9908.471375497964,9909.294954091167,9914.803605677023,0.0,34.80315633353892,211.16632728332405,187.005187005187,913.3572696039209,919.8832469427809,9916.364845150265,902.8491536892909,9901.215992524363,0.0,44.044562704770385,9900.566687280972,246.87883380241033,12.418752547362374,9911.772764698477,107.49644958409414,0.0,0.0,97.42645988270854
confidence_in_domestic_institutions|WVS_E,9969.625934629352,9966.974237391283,0.0,0.0,18.067718632713188,0.0,9909.997391129842,0.0,9969.441753184317,9970.983918142956,9967.573148705598,9977.316148322016,9.452705073943129,0.0,208.79601588263006,15.218212741967424,0.9676548878899922,0.0,9978.877387795257,43.86529947652077,9963.728535169355,0.0,0.0,9963.079229925967,0.0,2.5994085210210187,9972.917996412449,5.721404741646907,0.0,0.0,0.0
confidence_in_international_organizations|WVS_E,9966.557754038837,9964.109241663136,0.0,5.793148400998497,54.06645669772547,0.0,9906.929210539325,9969.441753184317,0.0,9967.91573755244,9964.504968115083,9974.2479677315,15.927480608668198,0.0,28.40987918581375,6.985947527096201,12.353175993618397,0.0,9975.80920720474,32.69263049826867,9960.660354578838,0.0,0.7398422619394438,9960.01104933545,0.0,3.234834480376758,9969.849815821932,2.2108907062836742,0.0,0.0,0.0
democratic_system_evaluation|WVS_E,9968.099918997475,9963.438930465518,13.085208738274346,11.75006793413614,79.18568002739046,21.72877530198697,9908.471375497964,9970.983918142956,9967.91573755244,0.0,9966.047133073722,9975.790132690137,49.834485700698416,94.77086688110496,366.1431953400476,10.213936240524127,22.04387712593728,0.0,9977.351372163379,35.4522315030449,9962.202519537477,0.0,0.0,9961.553214294088,0.0,969.915015574069,9971.39198078057,90.27878020095041,0.0,0.0,40.70338766181334
