construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,90.83095675274447,91.4622101062779,146.07614607614607,94.33962264150944,121.35614702154626,72.13975615462604,213.53646353646354,9999.0,76.28734901462175,112.4844148099962,86.5114267176123,34.96503496503497,91.4622101062779,51.02040816326531,45.45454545454546,71.46138532999848,50.02527592889039,60.975609756097555,96.31472821656871,9999.0,9999.0,92.96786863326787,140.69264069264068,90.52059052059053,103.45818564996648,41.49377593360996,89.86591337908959,38.02281368821293,108.16481081261131
autocracy_support|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,90.83095675274447,9999.0,0.0,95.52983889267075,166.9770328988206,95.52983889267075,144.76325152814525,93.04064297730056,234.43735035913807,9999.0,97.18823583729628,133.38530163267075,107.41231354028682,55.865921787709496,112.36309692895243,67.28926226499735,71.2748146376465,72.25899209241219,44.24778761061947,78.03157139440324,117.21561503924325,9999.0,9999.0,116.37497313986685,166.51290987574174,111.42147734326505,120.76519809387435,63.36824650163285,84.08842506081868,61.429918194811904,102.3873224943404
child_qualities_conformity_tradition|WVS_A,91.4622101062779,9999.0,95.52983889267075,0.0,167.60828625235405,102.56410256410257,151.79751519957705,93.67189633083402,235.06860371267152,9999.0,97.81948919082971,134.01655498620417,108.04356689382026,56.497175141242934,112.99435028248587,74.32352593642916,78.30907830907832,72.46376811594203,51.282051282051285,85.06583506583507,117.84686839277668,9999.0,9999.0,119.39025690224922,173.54717354717354,112.05273069679849,124.99032582617444,70.40251017306467,88.49557522123894,68.46418186624372,109.42158616577221
child_qualities_prosocial_diligence|WVS_A,146.07614607614607,9999.0,166.9770328988206,167.60828625235405,0.0,175.6272401433692,226.6868159924923,148.2858323007022,289.6825396825397,9999.0,152.43342516069788,188.63049095607235,162.65750286368842,111.11111111111111,167.60828625235405,149.2128267293444,153.19837910199357,147.6074614760746,126.17135207496653,159.9551358587503,172.46080436264486,9999.0,9999.0,174.00419287211741,248.4364743400888,166.66666666666669,133.33333333333334,142.07086343309254,166.01198952516575,143.35348265915897,184.31088695868746
civic_dishonesty_tolerance|WVS_F,94.33962264150944,9999.0,95.52983889267075,102.56410256410257,175.6272401433692,0.0,151.79751519957705,101.69085022184913,243.08755760368666,9999.0,105.83844308184484,142.03550887721929,116.06252078483539,64.51612903225806,121.013304173501,74.32352593642916,78.30907830907832,79.293255763844,51.282051282051285,85.06583506583507,125.86582228379181,9999.0,9999.0,123.40923681129865,173.54717354717354,120.07168458781362,127.79946176530616,70.40251017306467,91.12268873225048,68.46418186624372,109.42158616577221
confidence_in_civil_society_organizations|WVS_E,121.35614702154626,9999.0,144.76325152814525,151.79751519957705,226.6868159924923,151.79751519957705,0.0,144.40606409518324,294.1471334528098,9999.0,147.43589743589743,193.0950847263424,167.1220966339585,115.57570488138118,172.07288002262413,123.55693857190364,127.5424909445528,105.26315789473685,100.51546391752576,134.29924770130955,176.92539813291495,9999.0,9999.0,138.27838827838826,222.78058618264805,171.13126043693674,150.4474272930649,92.59259259259258,116.27906976744185,83.33333333333333,158.65499880124668
confidence_in_domestic_institutions|WVS_E,72.13975615462604,9999.0,93.04064297730056,93.67189633083402,148.2858323007022,101.69085022184913,144.40606409518324,0.0,215.74614976101967,9999.0,78.49703523917785,114.69410103455232,84.03361344537815,37.174721189591075,93.67189633083402,75.27643680782438,79.26198918047352,73.52941176470588,52.234962153446496,79.36507936507937,98.52441444112483,9999.0,9999.0,100.06780295059735,174.50008441856875,92.73027674514663,105.66787187452258,51.81347150259067,92.0755996036457,68.4931506849315,110.37449703716743
confidence_in_international_organizations|WVS_E,213.53646353646354,9999.0,234.43735035913807,235.06860371267152,289.6825396825397,243.08755760368666,294.1471334528098,215.74614976101967,0.0,9999.0,219.89374262101535,256.0908084163898,230.1178203240059,178.57142857142858,235.06860371267152,192.30769230769232,200.0,215.06777893639207,193.631669535284,227.41545331906778,239.92112182296233,9999.0,9999.0,241.46451033243488,295.23809523809524,234.12698412698415,245.78362813656932,209.53118089341,233.47230698548321,210.81380011947644,251.77120441900493
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
