construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,118.17085280426234,98.32248146138542,93.92109500805152,133.25201873689235,95.74521530138979,100.59709241952233,104.40947940947942,81.14035087719299,88.56490333545783,126.91079716934767,105.67632850241546,96.88838237325598,91.57510812341127,95.13192121887774,105.91593166776755,105.15873015873015,105.21594076764924,79.10628019323671,90.95462142546421,122.72775609848915,113.4705413616216,121.47916154916892,87.59326477112322,109.78112681900359,87.71929824561403,99.83958122255994,69.44444444444444,9999.0,9999.0,107.18029350104823
autocracy_support|WVS_E,118.17085280426234,0.0,60.25101328899173,53.879387425840434,102.17506731899724,54.60694916264377,75.58348348894916,79.7872340425532,54.6856323213005,57.84574468085106,61.93143372678746,84.95829241778891,65.81143095536086,26.595744680851062,45.643363728470106,40.983606557377044,84.44069407410362,54.37352245862884,39.064572611025625,50.912913843253115,57.748392655928946,73.4288337794105,81.43745396695783,66.87522868649665,69.7394192367925,53.37072425623306,61.317966903073284,48.726408359817896,9999.0,9999.0,86.46225741642166
child_qualities_autonomy_self_expression|WVS_A,98.32248146138542,60.25101328899173,0.0,36.00125549278091,55.09022812393599,37.82537578611918,32.31354828203875,57.4712643678161,17.18213058419244,28.011204481792713,68.99095765407706,45.662100456621005,18.726591760299623,33.655268608140666,32.402830736399444,47.996092152496935,38.46153846153846,47.296101252378634,21.186440677966104,33.034781910193594,64.80791658321854,44.83625233471216,47.298020331728196,25.25252525252525,51.86128730373298,32.26508684361929,57.80346820809249,28.878037016940976,9999.0,9999.0,47.39336492890995
child_qualities_conformity_tradition|WVS_A,93.92109500805152,53.879387425840434,36.00125549278091,0.0,71.32867132867133,31.45374992296789,41.32231404958678,59.441685528642054,21.27659574468085,39.8406374501992,62.61933179092577,60.708534621578096,34.96503496503497,27.28364274498938,30.84045584045584,41.62446628934565,56.11980131959375,40.92447538922735,14.814814814814813,26.6631560470423,58.43629072006726,49.179075983199695,57.18769617074702,30.8641975308642,45.489661440581685,29.120966460022252,54.6448087431694,24.476650563607084,9999.0,9999.0,59.15538362346874
child_qualities_prosocial_diligence|WVS_A,133.25201873689235,102.17506731899724,55.09022812393599,71.32867132867133,0.0,80.68309643112792,49.9505928853755,98.77260925748286,52.11166785969936,78.57550345705401,110.91501168408257,85.38324420677361,36.36363636363637,75.57932263814618,67.33236801190637,78.03030303030303,79.46708463949844,92.59749781921353,68.4317773516502,79.65987722609054,90.12707722385142,62.473296938048904,64.93506493506493,56.73023514164044,99.10662397741707,54.12562570644276,94.2027110705634,63.807574292447896,9999.0,9999.0,89.99045573848724
civic_dishonesty_tolerance|WVS_F,95.74521530138979,54.60694916264377,37.82537578611918,31.45374992296789,80.68309643112792,0.0,56.325797413259,61.265805821980315,28.57142857142857,42.73504273504273,63.34689352772911,62.532654914916364,44.31946006749156,28.011204481792713,32.6645761337941,43.44858658268391,62.015056571231064,42.74859568256561,16.638935108153078,28.487276340380568,59.1638524568706,51.003196276537956,59.011816464085285,43.10344827586207,47.31378173391995,30.945086753360513,56.69590763506085,26.30077085694535,9999.0,9999.0,64.03661991354912
confidence_in_civil_society_organizations|WVS_E,100.59709241952233,75.58348348894916,32.31354828203875,41.32231404958678,49.9505928853755,56.325797413259,0.0,66.11768294011284,29.334988017802125,49.830588410509726,84.32342785403449,62.606564364876384,13.58695652173913,48.98773880809809,29.940119760479043,55.2536231884058,56.690404797601204,65.79652287951845,39.68686230510592,51.5352035373334,67.35039738195418,39.69661709615166,42.1583850931677,33.95355529974321,70.3617089308728,25.38071065989848,61.54778475319338,31.152647975077883,9999.0,9999.0,67.21377589659001
confidence_in_domestic_institutions|WVS_E,104.40947940947942,79.7872340425532,57.4712643678161,59.441685528642054,98.77260925748286,61.265805821980315,66.11768294011284,0.0,46.6609413977835,54.08549385604835,88.52717840763853,71.19691902300599,62.408972893846496,53.191489361702125,50.5050505050505,71.43652218835807,70.67932067932068,70.73653128823977,44.62687071382724,56.47521194605473,84.34413733678001,78.99113188221212,86.99975206975944,53.11385529171373,75.30171733959412,50.76142131979696,65.36017174315047,34.96503496503497,9999.0,9999.0,72.70088402163874
confidence_in_international_organizations|WVS_E,81.14035087719299,54.6856323213005,17.18213058419244,21.27659574468085,52.11166785969936,28.57142857142857,29.334988017802125,46.6609413977835,0.0,30.81636532376192,63.42557668638584,47.92779049071955,15.748031496062993,28.08988764044944,15.220700152207003,47.93115748171928,34.84320557491289,40.48582995951417,21.357742181540807,27.548209366391184,59.24253561552732,41.85769207047552,44.31946006749156,29.844726759427303,52.03258880730768,15.082956259426847,42.09104321086404,11.695906432748536,9999.0,9999.0,37.87878787878788
democratic_system_evaluation|WVS_E,88.56490333545783,57.84574468085106,28.011204481792713,39.8406374501992,78.57550345705401,42.73504273504273,49.830588410509726,54.08549385604835,30.81636532376192,0.0,66.58568904593639,55.3523429489844,42.21186709341764,31.25,24.813895781637715,51.09126984126984,54.8347446052991,53.475935828877,28.782294639805656,40.630635872033146,62.40264797507788,63.146555808190534,70.78329566484621,37.26927921769215,59.45714126557253,24.449877750611247,49.515595669128885,19.120458891013385,9999.0,9999.0,54.6448087431694
democratic_values_importance|WVS_E,126.91079716934767,61.93143372678746,68.99095765407706,62.61933179092577,110.91501168408257,63.34689352772911,84.32342785403449,88.52717840763853,63.42557668638584,66.58568904593639,0.0,93.69823678287425,74.5513753204462,35.3356890459364,54.38330809355544,43.47826086956522,93.18063843918895,63.11346682371418,47.80451697611096,55.55555555555556,66.48833702101427,82.16877814449583,90.17739833204317,75.61517305158199,78.47936360187784,62.110668621318396,70.05791126815862,57.46635272490323,9999.0,9999.0,95.202201781507
economic_ideology|WVS_E,105.67632850241546,84.95829241778891,45.662100456621005,60.708534621578096,85.38324420677361,62.532654914916364,62.606564364876384,71.19691902300599,47.92779049071955,55.3523429489844,93.69823678287425,0.0,49.01960784313725,58.36254773693785,61.91936083240431,72.70337128129412,71.94616977225672,72.00338038117582,45.893719806763286,57.74206103899078,89.51519571201572,75.12926841754978,77.59103641456582,54.38070438464978,76.56856643253016,43.10344827586207,66.62702083608652,36.231884057971016,9999.0,9999.0,73.9677331145748
gender_role_traditionalism|WVS_D,96.88838237325598,65.81143095536086,18.726591760299623,34.96503496503497,36.36363636363637,44.31946006749156,13.58695652173913,62.408972893846496,15.748031496062993,42.21186709341764,74.5513753204462,49.01960784313725,0.0,39.21568627450981,30.968731648269994,41.666666666666664,43.10344827586207,56.23386145557716,32.06814098801383,43.29624086245418,53.763440860215056,26.109660574412533,28.57142857142857,20.366598778004075,62.742987613780706,17.761989342806395,57.839074706927036,27.44393792881153,9999.0,9999.0,53.626819374850875
immigrant_origin_status|WVS_G,91.57510812341127,26.595744680851062,33.655268608140666,27.28364274498938,75.57932263814618,28.011204481792713,48.98773880809809,53.191489361702125,28.08988764044944,31.25,35.3356890459364,58.36254773693785,39.21568627450981,0.0,19.047619047619047,19.841269841269842,57.84494939325255,27.77777777777778,12.468827930174564,24.317169162402053,31.152647975077883,46.83308909855944,54.84170928610677,40.2794840056456,43.14367455594144,26.774979575382,34.72222222222222,22.130663678966833,9999.0,9999.0,59.86651273557061
importance_of_life_domains|WVS_A,95.13192121887774,45.643363728470106,32.402830736399444,30.84045584045584,67.33236801190637,32.6645761337941,29.940119760479043,50.5050505050505,15.220700152207003,24.813895781637715,54.38330809355544,61.91936083240431,30.968731648269994,19.047619047619047,0.0,38.888888888888886,50.063905727119895,39.52569169960474,16.025641025641026,27.873982257868512,50.200267022696934,50.38990219402591,58.39852238157323,26.7379679144385,46.7004876514079,30.303656411633852,40.16064257028113,25.687476774433296,9999.0,9999.0,53.099488030994884
job_scarcity_gender_discrimination|WVS_C,105.91593166776755,40.983606557377044,47.996092152496935,41.62446628934565,78.03030303030303,43.44858658268391,55.2536231884058,71.43652218835807,47.93115748171928,51.09126984126984,43.47826086956522,72.70337128129412,41.666666666666664,19.841269841269842,38.888888888888886,0.0,72.18577293760882,47.61904761904762,26.80965147453083,36.101083032490976,50.993917816347725,61.17391264291571,69.18253283046303,54.62030755000187,57.48449810029771,41.11580311973827,54.56349206349206,36.4714872233231,9999.0,9999.0,74.20733627992688
job_scarcity_nativist_preference|WVS_C,105.15873015873015,84.44069407410362,38.46153846153846,56.11980131959375,79.46708463949844,62.015056571231064,56.690404797601204,70.67932067932068,34.84320557491289,54.8347446052991,93.18063843918895,71.94616977225672,43.10344827586207,57.84494939325255,50.063905727119895,72.18577293760882,0.0,71.48578203749051,45.376121463077986,57.224462695305476,88.99759736833043,69.21310885027461,71.67487684729065,48.543689320388346,76.05096808884485,42.016806722689076,66.10942249240122,35.714285714285715,9999.0,9999.0,72.72199345370078
life_autonomy_morality_permissiveness|WVS_F,105.21594076764924,54.37352245862884,47.296101252378634,40.92447538922735,92.59749781921353,42.74859568256561,65.79652287951845,70.73653128823977,40.48582995951417,53.475935828877,63.11346682371418,72.00338038117582,56.23386145557716,27.77777777777778,39.52569169960474,47.61904761904762,71.48578203749051,0.0,26.109660574412533,37.95800180664002,58.93042575285566,60.473921742797415,68.48254193034474,53.92031664988357,56.784507200179405,40.41581221961997,62.5,35.7714963232048,9999.0,9999.0,73.50734537980858
offline_political_participation|WVS_E,79.10628019323671,39.064572611025625,21.186440677966104,14.814814814814813,68.4317773516502,16.638935108153078,39.68686230510592,44.62687071382724,21.357742181540807,28.782294639805656,47.80451697611096,45.893719806763286,32.06814098801383,12.468827930174564,16.025641025641026,26.80965147453083,45.376121463077986,26.109660574412533,0.0,11.848341232227488,43.621475905252446,34.36426116838488,42.37288135593221,27.810656075471037,30.674846625766875,14.306151645207438,40.05697252690777,9.66183574879227,9999.0,9999.0,47.39768480539605
outgroup_trust|WVS_G,90.95462142546421,50.912913843253115,33.034781910193594,26.6631560470423,79.65987722609054,28.487276340380568,51.5352035373334,56.47521194605473,27.548209366391184,40.630635872033146,55.55555555555556,57.74206103899078,43.29624086245418,24.317169162402053,27.873982257868512,36.101083032490976,57.224462695305476,37.95800180664002,11.848341232227488,0.0,43.66812227074236,46.21260240061237,54.2212225881597,38.91050583657587,42.523187857994365,26.154492877434926,51.02040816326531,21.51017698101976,9999.0,9999.0,59.24602603762354
postmaterialist_values|WVS_E,122.72775609848915,57.748392655928946,64.80791658321854,58.43629072006726,90.12707722385142,59.1638524568706,67.35039738195418,84.34413733678001,59.24253561552732,62.40264797507788,66.48833702101427,89.51519571201572,53.763440860215056,31.152647975077883,50.200267022696934,50.993917816347725,88.99759736833043,58.93042575285566,43.621475905252446,43.66812227074236,0.0,77.98573707363732,82.33486943164363,71.43213198072348,74.29632253101931,57.92762755045988,65.87487019730011,53.28331165404472,9999.0,9999.0,91.01916071064849
religious_belief|WVS_F,113.4705413616216,73.4288337794105,44.83625233471216,49.179075983199695,62.473296938048904,51.003196276537956,39.69661709615166,78.99113188221212,41.85769207047552,63.146555808190534,82.16877814449583,75.12926841754978,26.109660574412533,46.83308909855944,50.38990219402591,61.17391264291571,69.21310885027461,60.473921742797415,34.36426116838488,46.21260240061237,77.98573707363732,0.0,54.6810891458411,46.476259352416605,65.03910779415176,43.87164991721893,74.42123369529266,44.02609691717715,9999.0,9999.0,79.73647994926341
religious_practice_and_self_identification|WVS_F,121.47916154916892,81.43745396695783,47.298020331728196,57.18769617074702,64.93506493506493,59.011816464085285,42.1583850931677,86.99975206975944,44.31946006749156,70.78329566484621,90.17739833204317,77.59103641456582,28.57142857142857,54.84170928610677,58.39852238157323,69.18253283046303,71.67487684729065,68.48254193034474,42.37288135593221,54.2212225881597,82.33486943164363,54.6810891458411,0.0,48.938027349432645,73.04772798169908,46.333417914234964,82.42985388283998,52.03471710472448,9999.0,9999.0,82.19824794627945
science_technology_optimism|WVS_E,87.59326477112322,66.87522868649665,25.25252525252525,30.8641975308642,56.73023514164044,43.10344827586207,33.95355529974321,53.11385529171373,29.844726759427303,37.26927921769215,75.61517305158199,54.38070438464978,20.366598778004075,40.2794840056456,26.7379679144385,54.62030755000187,48.543689320388346,53.92031664988357,27.810656075471037,38.91050583657587,71.43213198072348,46.476259352416605,48.938027349432645,0.0,58.48550270123791,21.231422505307854,48.54395710479427,18.148820326678766,9999.0,9999.0,55.88466938328254
sexual_and_reproductive_morality_permissiveness|WVS_F,109.78112681900359,69.7394192367925,51.86128730373298,45.489661440581685,99.10662397741707,47.31378173391995,70.3617089308728,75.30171733959412,52.03258880730768,59.45714126557253,78.47936360187784,76.56856643253016,62.742987613780706,43.14367455594144,46.7004876514079,57.48449810029771,76.05096808884485,56.784507200179405,30.674846625766875,42.523187857994365,74.29632253101931,65.03910779415176,73.04772798169908,58.48550270123791,0.0,44.98099827097431,70.73181915267465,40.336682374559146,9999.0,9999.0,78.07253143116293
social_intolerance_outgroups|WVS_A,87.71929824561403,53.37072425623306,32.26508684361929,29.120966460022252,54.12562570644276,30.945086753360513,25.38071065989848,50.76142131979696,15.082956259426847,24.449877750611247,62.110668621318396,43.10344827586207,17.761989342806395,26.774979575382,30.303656411633852,41.11580311973827,42.016806722689076,40.41581221961997,14.306151645207438,26.154492877434926,57.92762755045988,43.87164991721893,46.333417914234964,21.231422505307854,44.98099827097431,0.0,45.87155963302752,23.967987393999707,9999.0,9999.0,52.083333333333336
societal_change_attitudes|WVS_E,99.83958122255994,61.317966903073284,57.80346820809249,54.6448087431694,94.2027110705634,56.69590763506085,61.54778475319338,65.36017174315047,42.09104321086404,49.515595669128885,70.05791126815862,66.62702083608652,57.839074706927036,34.72222222222222,40.16064257028113,54.56349206349206,66.10942249240122,62.5,40.05697252690777,51.02040816326531,65.87487019730011,74.42123369529266,82.42985388283998,48.54395710479427,70.73181915267465,45.87155963302752,0.0,30.395136778115504,9999.0,9999.0,68.13098583471928
subjective_wellbeing|WVS_A,69.44444444444444,48.726408359817896,28.878037016940976,24.476650563607084,63.807574292447896,26.30077085694535,31.152647975077883,34.96503496503497,11.695906432748536,19.120458891013385,57.46635272490323,36.231884057971016,27.44393792881153,22.130663678966833,25.687476774433296,36.4714872233231,35.714285714285715,35.7714963232048,9.66183574879227,21.51017698101976,53.28331165404472,44.02609691717715,52.03471710472448,18.148820326678766,40.336682374559146,23.967987393999707,30.395136778115504,0.0,9999.0,9999.0,37.735849056603776
violence_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0
voluntary_association_active_membership|WVS_A,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0
