construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,55.04308819174065,50.25125628140703,33.44481605351171,201.8336070060208,49.70497865513772,52.93799344142594,187.29096989966555,56.8640198005843,63.29556232216842,56.27586628182221,95.4405240429586,50.597474715604335,46.72502853691144,75.54477193679148,68.42278665856334,62.18044823741975,67.72625679076775,55.13679002314294,76.09020292954405,82.7518155516172,50.19523481398072,55.23130842823937,69.71793360661772,43.10344827586207,9999.0,43.336012888328725,79.46688341704248,9999.0,86.95652173913044,52.90006897179964
autocracy_support|WVS_E,55.04308819174065,0.0,38.91050583657587,21.598272138228943,183.605780620706,27.397260273972606,40.28394238361352,175.44442598438278,45.017475885301536,44.879777756490085,43.47443069197904,83.5690867303669,38.72603740301264,34.87848462162867,53.23705355562635,35.97122302158274,50.33390432213699,52.631578947368425,43.29024610786018,53.78248454837893,70.8803782390255,31.347962382445143,38.314176245210724,57.846496294026025,24.875621890547265,9999.0,31.489468973045955,57.159165035877365,9999.0,46.728971962616825,35.842293906810035
child_qualities_autonomy_self_expression|WVS_A,50.25125628140703,38.91050583657587,0.0,23.04909157165912,175.25908434999346,23.24871209304796,20.2020202020202,176.89524541781296,37.87878787878788,40.73122957556544,39.32588251105439,59.880643312316664,15.037593984962406,17.241379310344826,47.932330827067666,30.581039755351682,24.752475247524753,37.548138639281134,20.161290322580644,49.6339363674543,47.19193482097527,26.580713528788415,31.11121610129453,34.15805287597579,16.528925619834713,9999.0,13.157894736842106,53.01061685495273,9999.0,64.21415375870399,20.74688796680498
child_qualities_conformity_tradition|WVS_A,33.44481605351171,21.598272138228943,23.04909157165912,0.0,171.26148705096074,16.260162601626018,19.49317738791423,153.84615384615384,23.419203747072597,29.850746268656714,22.831050228310502,61.995707989446885,17.152658662092627,13.280212483399733,42.09995588327976,34.97797060505163,28.73563218390805,34.281440737256034,21.691973969631235,42.64538687603235,49.30699949810549,16.75041876046901,21.78649237472767,36.27311755310601,12.531328320802006,9999.0,9.891196834817013,46.02206736353078,9999.0,61.97453016815035,19.455252918287936
child_qualities_prosocial_diligence|WVS_A,201.8336070060208,183.605780620706,175.25908434999346,171.26148705096074,0.0,174.80732914816517,174.13847922322498,325.1076408971146,151.51515151515153,161.29032258064515,158.73015873015873,217.42362356997836,172.5805742426241,169.5643949165076,200.64712242981892,190.4058861855831,187.71566597653555,192.7081303411308,185.1851851851852,201.1925534225715,204.73491507863696,175.34145441122186,177.14636499166886,169.49152542372883,158.73015873015873,9999.0,168.3178864386918,204.56923391006993,9999.0,218.1818181818182,179.47704669696373
civic_dishonesty_tolerance|WVS_F,49.70497865513772,27.397260273972606,23.24871209304796,16.260162601626018,174.80732914816517,0.0,18.51851851851852,170.10631644777985,39.679366348698615,17.482517482517483,16.077170418006432,65.2325278576075,20.38947853025323,11.11111111111111,25.839793281653748,38.21479047321223,30.090817356205854,34.48106125864488,36.42756680731364,26.38522427440633,52.54381936626609,23.513636148152163,28.031584884376763,39.50993742126661,19.67854506473893,9999.0,10.090817356205854,29.761904761904763,9999.0,62.17415068953919,24.58357097939426
confidence_in_civil_society_organizations|WVS_E,52.93799344142594,40.28394238361352,20.2020202020202,19.49317738791423,174.13847922322498,18.51851851851852,0.0,173.33933123406808,41.517981067478786,36.001036001036,34.59568893652495,59.39909008426838,14.55604075691412,14.164305949008499,44.35831180017227,27.3224043715847,30.8641975308642,41.84100418410041,32.837576405908635,44.903742792924845,46.710381592926986,23.64066193853428,30.581039755351682,33.67649964792751,15.408320493066256,9999.0,23.58937663703866,48.28042328042328,9999.0,72.64694764694765,24.57002457002457
confidence_in_domestic_institutions|WVS_E,187.29096989966555,175.44442598438278,176.89524541781296,153.84615384615384,325.1076408971146,170.10631644777985,173.33933123406808,0.0,177.26535759322644,183.69690011481055,176.67720407446433,215.84186183560072,170.99881250824646,167.12636632955358,195.9461097294336,188.82412445120548,182.5817860300619,188.12759458340986,175.53812781578506,196.4915407221862,203.15315334425932,170.59657260662286,175.6326462208815,190.11927139925984,166.37748216695584,9999.0,163.73735068097085,199.8682212096846,9999.0,215.8206840143042,173.30140676444177
confidence_in_international_organizations|WVS_E,56.8640198005843,45.017475885301536,37.87878787878788,23.419203747072597,151.51515151515153,39.679366348698615,41.517981067478786,177.26535759322644,0.0,53.26995001572931,46.2502539753831,84.80312541423217,39.960076086877905,36.69941623047233,65.51915963035236,57.78538802983691,52.154835930980646,57.700644484328635,45.111177716703835,66.06459062310495,72.11441692289077,37.3134328358209,45.205696121800266,59.08053497789129,26.109660574412533,9999.0,33.31040058188961,69.44127111060338,9999.0,66.66666666666667,42.87445666536053
democratic_system_evaluation|WVS_E,63.29556232216842,44.879777756490085,40.73122957556544,29.850746268656714,161.29032258064515,17.482517482517483,36.001036001036,183.69690011481055,53.26995001572931,0.0,32.63693670670415,73.49793064078779,37.87199601277071,28.593628593628594,42.5531914893617,31.545741324921135,47.57333483872334,51.963578741162365,51.54272023828795,43.86774175692381,70.02633684878357,16.025641025641026,18.552875695732837,55.58420286338267,28.73563218390805,9999.0,27.573334838723337,47.244422244422246,9999.0,79.65666817205667,42.06608846191174
