construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,59.10059100591006,60.25824964131994,60.975609756097555,73.43729174996668,62.99445922959953,60.33544587414378,59.84426446951609,48.887638794015615,69.30370163300486,52.401287820163745,75.86167410969884,98.12167087188114,40.65040650406504,74.78009933682955,62.29542814908669,61.14220978275356,60.45238670208484,45.481324378461174,66.21680495181943,47.38441323807177,88.49729645621815,55.917582076584125,58.47571844702404,67.50775609652285,61.747452917567145,84.51005562687206,52.44285933425372,63.745094725774045,9999.0,54.255848680935785
autocracy_support|WVS_E,59.10059100591006,0.0,38.05802763909992,38.77538775387754,51.23706974774666,40.79423722737951,38.135223871923756,37.644042467296075,26.6874167917956,47.10347963078485,30.20106581794373,53.66145210747882,75.92144886966112,18.45018450184502,52.57987733460952,40.095206146866666,38.94198778053354,38.25216469986482,23.281102376241154,44.016582949599396,25.184191235851753,66.29707445399814,33.7173600743641,36.27549644480402,45.307534094302824,39.54723091534713,62.30983362465203,30.2426373320337,41.54487272355402,9999.0,32.05562667871577
child_qualities_autonomy_self_expression|WVS_A,60.25824964131994,38.05802763909992,0.0,39.933046389287426,52.39472838315654,34.12443053220147,39.292882507333644,38.80170110270596,23.419203747072597,48.261138266194735,29.850746268656714,54.819110742888704,77.079107505071,19.607843137254903,53.73753597001941,39.03282034474025,40.099646415943425,35.337887441362746,16.611295681063122,38.634371911767445,19.801980198019802,62.90759197735942,28.052943278317127,37.43315508021391,38.6377273991248,39.813151829555004,63.46749226006192,29.033655929510328,42.70253135896391,9999.0,33.213285314125656
child_qualities_conformity_tradition|WVS_A,60.975609756097555,38.77538775387754,39.933046389287426,0.0,53.11208849793415,40.877620832446766,40.010242622111264,39.519061217483575,28.5624355419831,48.97849838097235,32.07608456813123,55.536470857666316,77.79646761984861,20.32520325203252,54.45489608479703,41.970224897054166,40.817006530721045,40.12718345005232,23.364485981308412,40.95628551905738,22.123893805309734,68.17209320418563,34.80613357856242,38.15051519499153,45.390917699370085,41.42224966553463,64.18485237483954,32.1176560822212,43.41989147374153,9999.0,33.93064542890327
child_qualities_prosocial_diligence|WVS_A,73.43729174996668,51.23706974774666,52.39472838315654,53.11208849793415,0.0,55.130937971436126,52.47192461598038,51.98074321135269,41.02411753585221,61.44018037484146,44.53776656200034,67.99815285153544,90.25814961371773,32.78688524590164,66.91657807866613,54.43190689092329,53.27868852459016,52.588865443921435,37.61780312029777,58.35328369365602,39.52089197990837,80.63377519805475,48.05406081842072,50.61219718886064,59.644234838359445,53.88393165940374,76.64653436870864,44.579338076090316,55.88157346761064,9999.0,46.39232742277238
civic_dishonesty_tolerance|WVS_F,62.99445922959953,40.79423722737951,34.12443053220147,40.877620832446766,55.130937971436126,0.0,42.02909209561323,41.53791069098554,30.581285015485065,50.99734785447432,34.094934041633195,57.55532033116829,79.81531709335059,22.34405272553449,56.473745558298994,39.93465951481548,42.83585600422301,36.23972661143797,17.513134851138354,39.83456342256693,29.078059459541223,63.809431147434644,28.954782448392358,40.16936466849349,39.539566569200026,40.71499099963023,66.2037018483415,29.93549509958556,45.438740947243495,9999.0,34.9347376385948
confidence_in_civil_society_organizations|WVS_E,60.33544587414378,38.135223871923756,39.292882507333644,40.010242622111264,52.47192461598038,42.02909209561323,0.0,38.8788973355298,27.922271660029317,48.33833449901857,31.435920686177447,54.89630697571254,77.15630373789483,19.68503937007874,53.814732202843246,40.983606557377044,40.17684264876726,39.487019568098546,24.515957244474876,45.25143781783312,26.419046104085474,67.53192932223186,30.959752321981423,37.510351313037745,46.54238896253655,40.782085783580854,63.544688492885754,31.47749220026742,42.77972759178775,9999.0,33.29048154694949
confidence_in_domestic_institutions|WVS_E,59.84426446951609,37.644042467296075,38.80170110270596,39.519061217483575,51.98074321135269,41.53791069098554,38.8788973355298,0.0,27.431090255401635,47.84715309439088,30.944739281549765,54.40512557108485,76.66512233326715,19.193857965451055,53.323550798215564,40.8388796104727,39.68566124413958,38.99583816347086,24.02477583984719,44.76025641320544,25.92786469945779,67.04074791760416,34.46103353797014,37.01916990841006,46.05120755790887,40.290904378953165,63.05350708825807,30.986310795639735,42.288546187160065,9999.0,32.799300142321805
confidence_in_international_organizations|WVS_E,48.887638794015615,26.6874167917956,23.419203747072597,28.5624355419831,41.02411753585221,30.581285015485065,27.922271660029317,27.431090255401635,0.0,36.89052741889041,19.988113606049286,43.448499895584376,65.70849665776667,8.237232289950578,42.36692512271508,26.666666666666668,28.729035568639098,28.03921248797038,13.068150164346713,33.803630737704964,14.971239023957313,56.08412224210369,16.920473773265652,26.06254423290958,35.094581882408384,29.33427870345269,52.09688141275759,18.38235294117647,31.331920511659582,9999.0,21.84267446682133
democratic_system_evaluation|WVS_E,69.30370163300486,47.10347963078485,48.261138266194735,48.97849838097235,61.44018037484146,50.99734785447432,48.33833449901857,47.84715309439088,36.89052741889041,0.0,40.40417644503854,63.864562734573624,86.12455949675592,28.653295128939828,62.782987961704336,50.298316773961474,49.14509840762835,48.45527532695963,33.48421300333597,54.21969357669421,35.387301862946565,76.50018508109294,43.92047070145891,46.478607071898836,55.51064472139764,49.75034154244194,72.51294425174684,40.44574795912851,51.74798335064884,9999.0,42.25873730581058
