construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,227.52497225305214,218.71855082187187,276.01436174215826,227.18828977000533,210.50844580256344,285.5768074100806,227.97105758747153,292.94831554718564,214.77002015759572,244.1553544494721,233.1857929396524,226.75327799831587,196.078431372549,224.407043270566,181.81818181818184,226.19891330025985,181.81818181818184,192.58621364543785,200.0,195.80731489741305,9999.0,213.34958854007922,248.43445231495738,219.11990602692688,169.49152542372883,210.14193192779388,269.6078431372549,9999.0,231.64871364543785,208.55402542372883
autocracy_support|WVS_E,227.52497225305214,0.0,65.11657455053681,111.38247125011239,79.06558849955076,39.37007874015748,120.94491691803472,95.54910498306725,135.6507992709759,50.13812966554987,79.52346395742623,149.16435298600902,62.12138750627002,31.446540880503143,59.77515277852014,71.76912152566443,61.567022808213984,50.20826695930239,76.69540965878369,71.42857142857143,107.23011443346584,9999.0,48.71769804803337,83.80256182291151,54.48801553488102,85.47008547008546,126.1204919741505,104.97595264520902,9999.0,115.75790965878369,48.54055797452024
child_qualities_autonomy_self_expression|WVS_A,218.71855082187187,65.11657455053681,0.0,74.51360899636762,78.0803369941327,48.1000481000481,84.07605466428996,69.93006993006993,98.78193701723113,52.36162245508039,73.7962145729136,115.34261534261533,25.25252525252525,33.67003367003367,61.99864556805066,36.90036900369004,55.103271521181966,52.43175974883292,43.47826086956522,79.84189723320159,52.35602094240838,9999.0,50.941190837563894,86.02605461244204,52.35602094240838,65.44772427440633,93.71855082187184,96.17451106812808,9999.0,82.54076086956522,26.38522427440633
child_qualities_conformity_tradition|WVS_A,276.01436174215826,111.38247125011239,74.51360899636762,0.0,123.27090047621013,94.36594479962368,108.08461315560707,138.28811533226462,109.89010989010988,86.2981207808794,97.80477306423072,139.35117383393245,49.26108374384237,79.93593036960925,108.26454226762625,103.02452460405743,79.11183001249908,98.69765644840851,117.99186986593284,123.33515781791644,120.48192771084337,9999.0,80.64516129032258,132.29195131201763,94.3061287888874,108.85746464733313,133.33333333333334,120.18306955944522,9999.0,108.7848932676519,69.79496464733313
child_qualities_prosocial_diligence|WVS_A,227.18828977000533,79.06558849955076,78.0803369941327,123.27090047621013,0.0,62.049062049062044,132.83334614413246,81.30081300813008,133.33333333333334,66.31063640409434,95.69597069597069,90.09009009009009,74.00981673236777,47.61904761904761,75.94765951706461,45.87155963302752,77.73952954675846,66.38077369784686,34.602076124567475,70.96571248820385,40.0,9999.0,64.89020478657784,99.975068561456,70.6605222734255,57.69676434627648,57.80346820809249,121.1484593837535,9999.0,73.66457612456747,53.475935828877
civic_dishonesty_tolerance|WVS_F,210.50844580256344,39.37007874015748,48.1000481000481,94.36594479962368,62.049062049062044,0.0,103.92839046754601,78.53257853257853,118.63427282048718,27.17391304347826,62.50693750693751,131.19755911517925,45.104861055781306,14.43001443001443,42.758626328031426,54.75259507517572,43.47826086956522,33.19174050881368,59.67888320829497,59.1715976331361,82.64462809917356,9999.0,31.70117159754465,66.7860353724228,37.47148908439231,70.58653152403153,111.23693802809657,87.95942619472031,9999.0,98.74138320829496,31.52403152403152
confidence_in_civil_society_organizations|WVS_E,285.5768074100806,120.94491691803472,84.07605466428996,108.08461315560707,132.83334614413246,103.92839046754601,0.0,147.85056100018699,132.35294117647058,95.86056644880173,107.36721873215305,148.91361950185478,58.8235294117647,89.49837603753159,117.82698793554859,112.58697027197977,88.67427568042142,108.26010211633084,127.55431553385517,132.89760348583877,136.43207560669833,9999.0,106.7695332050618,141.85439697993996,103.86857445680974,118.41991031525546,159.0703168193205,129.74551522736755,9999.0,118.34733893557423,79.35741031525546
confidence_in_domestic_institutions|WVS_E,227.97105758747153,95.54910498306725,69.93006993006993,138.28811533226462,81.30081300813008,78.53257853257853,147.85056100018699,0.0,162.55644335312815,82.79415288761084,112.17948717948718,122.17379967966626,89.02703158842226,64.1025641025641,92.4311760005811,73.52941176470588,94.22304603027494,82.86429018136334,81.5742203854517,105.42788897125442,84.7953216374269,9999.0,81.37372127009432,116.45858504497248,87.14403875694198,58.47953216374269,99.12993866780772,137.63197586727,9999.0,120.6367203854517,68.4931506849315
confidence_in_international_organizations|WVS_E,292.94831554718564,135.6507992709759,98.78193701723113,109.89010989010988,133.33333333333334,118.63427282048718,132.35294117647058,162.55644335312815,0.0,110.56644880174292,122.07310108509424,163.61950185479597,73.52941176470588,104.20425839047276,114.9425287356322,127.29285262492094,103.38015803336259,122.965984469272,142.26019788679633,147.60348583877996,149.772579597141,9999.0,109.89010989010988,156.56027933288112,118.57445680975093,123.4567901234568,164.10719662752183,144.4513975803087,9999.0,112.35955056179776,94.06329266819665
democratic_system_evaluation|WVS_E,214.77002015759572,50.13812966554987,52.36162245508039,86.2981207808794,66.31063640409434,27.17391304347826,95.86056644880173,82.79415288761084,110.56644880174292,0.0,66.76851186196981,127.12712712712712,37.03703703703704,18.69158878504673,47.02020068306373,59.014169430208014,42.016806722689076,37.453314863845975,63.94045756332727,67.11409395973155,94.47516233800943,9999.0,35.96274595257695,71.04760972745511,41.73306343942461,71.21684083601286,111.86724734007791,92.22100054975262,9999.0,96.56084656084656,32.154340836012864
democratic_values_importance|WVS_E,244.1553544494721,79.52346395742623,73.7962145729136,97.80477306423072,95.69597069597069,62.50693750693751,107.36721873215305,112.17948717948718,122.07310108509424,66.76851186196981,0.0,138.63377941047844,48.543689320388346,48.07692307692308,76.40553497494008,88.39950372208438,70.4225352112676,66.83864915572232,93.32579185520362,121.6785351400736,123.8604966298858,9999.0,65.3480802444533,100.43294401933146,71.11839773130096,104.23344017094017,144.8838466750052,119.46567513599118,9999.0,108.06749884419787,65.17094017094017
economic_ideology|WVS_E,233.1857929396524,149.16435298600902,115.34261534261533,139.35117383393245,90.09009009009009,131.19755911517925,148.91361950185478,122.17379967966626,163.61950185479597,127.12712712712712,138.63377941047844,0.0,90.09009009009009,117.83978017332487,141.1367818245891,94.08940429403907,87.71929824561403,133.08525203392887,86.78895573763258,78.125,90.01005698960779,9999.0,135.1109373408551,170.19580111573325,135.13513513513513,63.69426751592357,104.34467401998862,161.01207590569294,9999.0,81.96721311475409,102.75676751592357
gender_role_traditionalism|WVS_D,226.75327799831587,62.12138750627002,25.25252525252525,49.26108374384237,74.00981673236777,45.104861055781306,58.8235294117647,89.02703158842226,73.52941176470588,37.03703703703704,48.543689320388346,90.09009009009009,0.0,30.674846625766875,59.00345852378388,53.763440860215056,29.850746268656714,49.436572704566125,68.73078612209046,74.07407407407408,77.60854619493362,9999.0,47.946003793297095,83.03086756817525,45.04504504504504,59.59638090349076,100.24678740755581,70.92198581560284,9999.0,59.523809523809526,20.53388090349076
immigrant_origin_status|WVS_G,196.078431372549,31.446540880503143,33.67003367003367,79.93593036960925,47.61904761904761,14.43001443001443,89.49837603753159,64.1025641025641,104.20425839047276,18.69158878504673,48.07692307692308,117.83978017332487,30.674846625766875,0.0,28.328611898016998,40.32258064516129,30.12048192771084,18.76172607879925,45.24886877828054,73.60161206315053,75.78357355296271,9999.0,17.271157167530223,52.35602094240838,23.04147465437788,56.15651709401709,96.80692359808214,73.52941176470588,9999.0,84.31136877828054,17.094017094017094
importance_of_life_domains|WVS_A,224.407043270566,59.77515277852014,61.99864556805066,108.26454226762625,75.94765951706461,42.758626328031426,117.82698793554859,92.4311760005811,114.9425287356322,47.02020068306373,76.40553497494008,141.1367818245891,59.00345852378388,28.328611898016998,0.0,68.65119254317828,58.44909382572784,47.090337976816244,54.34782608695652,90.71146245059289,72.99270072992701,9999.0,38.75968992248062,80.68463284042538,51.37008655239488,77.44251430866552,84.03361344537815,101.85802366272289,9999.0,93.41032608695653,45.42262899203409
job_scarcity_gender_discrimination|WVS_C,181.81818181818184,71.76912152566443,36.90036900369004,103.02452460405743,45.87155963302752,54.75259507517572,112.58697027197977,73.52941176470588,127.29285262492094,59.014169430208014,88.39950372208438,94.08940429403907,53.763440860215056,40.32258064516129,68.65119254317828,0.0,70.44306257287212,59.08430672396054,29.15451895043732,65.51815531407368,35.46099290780142,9999.0,57.593737812691515,92.67860158756966,61.34969325153375,30.395136778115504,56.81818181818181,113.85199240986717,9999.0,68.21701895043732,57.416597739178385
job_scarcity_nativist_preference|WVS_C,226.19891330025985,61.567022808213984,55.103271521181966,79.11183001249908,77.73952954675846,43.47826086956522,88.67427568042142,94.22304603027494,103.38015803336259,42.016806722689076,70.4225352112676,87.71929824561403,29.850746268656714,30.12048192771084,58.44909382572784,70.44306257287212,0.0,48.88220800651009,65.35947712418302,56.17977528089888,76.33587786259541,9999.0,47.39163909524106,82.47650287011922,53.16195658208872,86.27699902172793,105.26315789473685,100.77273208425956,9999.0,89.37455579246624,47.21449902172793
life_autonomy_morality_permissiveness|WVS_F,181.81818181818184,50.20826695930239,52.43175974883292,98.69765644840851,66.38077369784686,33.19174050881368,108.26010211633084,82.86429018136334,122.965984469272,37.453314863845975,66.83864915572232,133.08525203392887,49.436572704566125,18.76172607879925,47.090337976816244,59.08430672396054,48.88220800651009,0.0,46.29629629629629,82.65993265993265,94.54529963176196,9999.0,36.032883246329476,71.11774702120763,41.80320073317713,69.3909845180053,110.04139102207034,92.29113784350514,9999.0,85.35879629629629,34.96503496503497
offline_political_participation|WVS_E,192.58621364543785,76.69540965878369,43.47826086956522,117.99186986593284,34.602076124567475,59.67888320829497,127.55431553385517,81.5742203854517,142.26019788679633,63.94045756332727,93.32579185520362,86.78895573763258,68.73078612209046,45.24886877828054,54.34782608695652,29.15451895043732,65.35947712418302,46.29629629629629,0.0,36.36363636363637,49.41047769539322,9999.0,62.52002594581076,97.60488972068892,58.47953216374269,23.094688221709006,63.745094725774045,118.77828054298642,9999.0,39.0625,51.02040816326531
outgroup_trust|WVS_G,200.0,71.42857142857143,79.84189723320159,123.33515781791644,70.96571248820385,59.1715976331361,132.89760348583877,105.42788897125442,147.60348583877996,67.11409395973155,121.6785351400736,78.125,74.07407407407408,73.60161206315053,90.71146245059289,65.51815531407368,56.17977528089888,82.65993265993265,36.36363636363637,0.0,43.47826086956522,9999.0,90.87276923068075,125.9576330055589,94.84316852737905,46.948356807511736,59.880239520958085,144.99605988967693,9999.0,72.99270072992701,86.01085680751174
postmaterialist_values|WVS_E,195.80731489741305,107.23011443346584,52.35602094240838,120.48192771084337,40.0,82.64462809917356,136.43207560669833,84.7953216374269,149.772579597141,94.47516233800943,123.8604966298858,90.01005698960779,77.60854619493362,75.78357355296271,72.99270072992701,35.46099290780142,76.33587786259541,94.54529963176196,49.41047769539322,43.47826086956522,0.0,9999.0,93.05473072049293,128.13959449537109,96.81068615933518,26.315789473684212,66.96619597774925,148.02291757285778,9999.0,39.21568627450981,65.37828947368422
religious_belief|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
