construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9771.475027746948,84.31175220843119,723.9856382578417,10.906948325232776,789.4915541974366,9713.423192589918,9771.028942412528,9706.051684452814,9784.229979842405,9754.844645550527,9765.814207060348,682.3376310925931,0.0,145.96332709980433,0.0,17.703525724130373,0.0,9806.413786354562,0.0,9803.192685102587,0.0,171.26579607530542,9750.565547685042,30.880093973073116,0.0,9788.858068072206,730.3921568627451,0.0,0.9094258894458562,124.77930790960448
autocracy_support|WVS_E,9771.475027746948,0.0,934.8834254494632,158.88779902015787,133.70036894725774,0.0,9878.055083081965,9903.450895016933,9863.349200729024,9948.861870334451,9919.476536042574,9849.835647013992,17.24369185880935,0.0,184.1272862458701,206.00865625211333,11.9623889564919,19.23617748514205,9922.304590341217,0.0,9891.769885566535,0.0,13.78230195196663,9915.197438177089,27.479197579873066,0.0,9872.87950802585,228.3573806881243,0.0,7.69888046467311,36.205204737344175
child_qualities_autonomy_self_expression|WVS_A,84.31175220843119,934.8834254494632,0.0,9924.486391003633,9920.919663005867,76.8999518999519,13.011323976486736,0.0,377.40853917324506,17.08282198936405,32.58676415049065,117.21552419226838,0.0,0.0,9937.00135443195,0.0,23.021728478818034,7.0920497749766085,0.0,78.88826149695714,0.0,0.0,293.88639536933266,110.05237676010697,0.0,9933.552275725593,4.320664864402659,9902.825488931872,0.0,9916.459239130434,0.0
child_qualities_conformity_tradition|WVS_A,723.9856382578417,158.88779902015787,9924.486391003633,0.0,9875.729099523789,493.8693493180234,55.8498130739011,278.37855133440206,0.0,440.01766869280476,235.5285602691026,78.04013051389364,0.0,205.77835534467647,9890.735457732373,296.97547539594257,124.96980264056215,901.3023435515915,18.994431503930173,98.88706440430579,0.0,0.0,0.0,867.7080486879823,228.2745163724029,9890.142535352667,0.0,9878.816930440555,0.0,9890.215106732348,147.59633970049296
child_qualities_prosocial_diligence|WVS_A,10.906948325232776,133.70036894725774,9920.919663005867,9875.729099523789,0.0,155.34224229876406,867.1666538558675,0.0,0.0,118.87454878109082,904.3040293040293,0.0,283.1330404104894,0.0,9923.052340482935,0.0,376.805924998696,10.542303225230057,0.0,7.774444992111114,0.0,0.0,5.039865143492094,400.024931438544,34.60263562131135,9941.303235653724,0.0,9877.851540616246,0.0,9925.335423875433,0.0
civic_dishonesty_tolerance|WVS_F,789.4915541974366,0.0,76.8999518999519,493.8693493180234,155.34224229876406,0.0,266.4419799028243,113.7751137751138,881.3657271795128,0.0,15.618062493062489,68.80244088482075,5.915547107484002,0.0,12.186428617023516,158.01336237163278,0.0,9965.808259491187,495.8766723472606,0.0,0.0,0.0,9967.298828402456,17.959727339441613,9961.528510915608,85.66346847596847,101.52901941871193,75.97500003478787,0.0,171.5288870619753,2.7225438184342323
confidence_in_civil_society_organizations|WVS_E,9713.423192589918,9878.055083081965,13.011323976486736,55.8498130739011,867.1666538558675,266.4419799028243,0.0,9851.149438999813,9866.64705882353,9903.139433551198,9891.632781267846,9850.086380498145,0.0,624.7873382481828,159.9507898422292,36.666761071303824,268.46858146243574,276.3552824990538,9871.445684466145,455.3376906318083,9862.567924393301,0.0,36.087609652081056,9857.14560302006,123.40415281591751,37.830089684744536,9839.929683180679,286.92115143929914,0.0,381.6526610644258,20.642589684744536
confidence_in_domestic_institutions|WVS_E,9771.028942412528,9903.450895016933,0.0,278.37855133440206,0.0,113.7751137751138,9851.149438999813,0.0,9836.443556646871,9916.20584711239,9886.820512820514,9876.826200320334,11.983069421678735,0.0,26.616443047037947,0.0,127.99917619194729,42.135709818636656,9917.425779614548,132.66734912398368,9914.204678362574,0.0,43.62627872990568,9882.541414955027,44.43490861147906,0.0,9899.870061332193,125.52591886957208,0.0,24.290815846432366,0.0
confidence_in_international_organizations|WVS_E,9706.051684452814,9863.349200729024,377.40853917324506,0.0,0.0,881.3657271795128,9866.64705882353,9836.443556646871,0.0,9888.433551198257,9876.926898914906,9835.380498145205,0.0,229.12907494286054,0.0,289.37381404174573,313.2865086333041,502.03401553072797,9856.739802113203,130.1742919389978,9849.227420402858,0.0,0.0,9842.439720667118,193.92554319024907,0.0,9834.892803372479,855.5486024196913,0.0,0.0,250.76429353869992
democratic_system_evaluation|WVS_E,9784.229979842405,9948.861870334451,17.08282198936405,440.01766869280476,118.87454878109082,0.0,9903.139433551198,9916.20584711239,9888.433551198257,0.0,9932.23148813803,9871.872872872873,0.0,0.0,25.443567432878304,60.03344961741104,0.0,4.563491858843101,9935.059542436673,0.0,9904.524837661991,0.0,3.877891497622251,9927.952390272545,4.138496193602911,928.7831591639872,9887.132752659922,52.706535682131445,0.0,159.84940984940985,0.0
democratic_values_importance|WVS_E,9754.844645550527,9919.476536042574,32.58676415049065,235.5285602691026,904.3040293040293,15.618062493062489,9891.632781267846,9886.820512820514,9876.926898914906,9932.23148813803,0.0,9860.366220589522,0.0,0.0,256.92779835839326,205.71814333673916,0.0,84.67650235942921,9905.674208144796,8.191594730056252,9875.139503370114,0.0,95.94224233619185,9898.567055980668,55.46388074971169,895.7665598290598,9854.116153324994,118.62956295924693,0.0,124.49064069068584,2.3966273966273945
economic_ideology|WVS_E,9765.814207060348,9849.835647013992,117.21552419226838,78.04013051389364,0.0,68.80244088482075,9850.086380498145,9876.826200320334,9835.380498145205,9871.872872872873,9860.366220589522,0.0,0.0,882.1602198266751,17.59337690556964,2.06444185980709,0.0,42.35334445729919,9912.211044262367,0.0,9908.989943010392,0.0,77.65502010595341,9828.804198884267,209.69245107176144,0.0,9894.655325980011,838.9879240943071,0.0,0.0,897.2432324840764
gender_role_traditionalism|WVS_D,682.3376310925931,17.24369185880935,0.0,0.0,283.1330404104894,5.915547107484002,0.0,11.983069421678735,0.0,0.0,0.0,0.0,0.0,0.0,153.76249892302462,0.0,0.0,14.257694811357446,89.99937260806827,0.0,83.68177638571153,0.0,85.38732954003625,29.328682993622508,0.0,16.161194854085004,33.08654592577753,0.0,0.0,0.0,0.0
immigrant_origin_status|WVS_G,0.0,0.0,0.0,205.77835534467647,0.0,0.0,624.7873382481828,0.0,229.12907494286054,0.0,0.0,882.1602198266751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9925.39838793685,96.63021955048558,0.0,0.0,0.0,0.0,12.336633590914417,75.60686950536615,0.0,0.0,104.36787650473833,0.0
importance_of_life_domains|WVS_A,145.96332709980433,184.1272862458701,9937.00135443195,9890.735457732373,9923.052340482935,12.186428617023516,159.9507898422292,26.616443047037947,0.0,25.443567432878304,256.92779835839326,17.59337690556964,153.76249892302462,0.0,0.0,3.2912534999871923,358.21757284093883,13.515722629244358,0.0,231.86918271069743,0.0,0.0,0.0,127.64870049290796,30.597126562359207,9921.557485691334,0.0,9897.141976337278,0.0,9905.589673913044,22.604581892319658
job_scarcity_gender_discrimination|WVS_C,0.0,206.00865625211333,0.0,296.97547539594257,0.0,158.01336237163278,36.666761071303824,0.0,289.37381404174573,60.03344961741104,205.71814333673916,2.06444185980709,0.0,0.0,3.2912534999871923,0.0,9928.556937427127,0.08729090917556448,0.0,8.555918760000395,0.0,0.0,49.9331439077386,193.03568412671606,0.0,0.0,0.0,39.994161436286674,0.0,3.2115524781341094,9941.583402260821
job_scarcity_nativist_preference|WVS_C,17.703525724130373,11.9623889564919,23.021728478818034,124.96980264056215,376.805924998696,0.0,268.46858146243574,127.99917619194729,313.2865086333041,0.0,0.0,0.0,0.0,0.0,358.21757284093883,9928.556937427127,0.0,117.78445866015656,0.0,0.0,0.0,0.0,46.06630482999259,87.01502255360961,53.22102214131553,131.11430532609816,0.0,53.07342176189428,0.0,17.00842293093801,9951.785500978272
life_autonomy_morality_permissiveness|WVS_F,0.0,19.23617748514205,7.0920497749766085,901.3023435515915,10.542303225230057,9965.808259491187,276.3552824990538,42.135709818636656,502.03401553072797,4.563491858843101,84.67650235942921,42.35334445729919,14.257694811357446,0.0,13.515722629244358,0.08729090917556448,117.78445866015656,0.0,0.0,417.3400673400673,17.814250930035797,0.0,9962.96711675367,34.145410873529215,9957.196799266823,18.32831372760873,4.901137713561852,68.99918473714001,0.0,68.48735754985755,0.0
offline_political_participation|WVS_E,9806.413786354562,9922.304590341217,0.0,18.994431503930173,0.0,495.8766723472606,9871.445684466145,9917.425779614548,9856.739802113203,9935.059542436673,9905.674208144796,9912.211044262367,89.99937260806827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9949.589522304606,0.0,8.40195986979208,9901.39511027931,0.0,0.0,9935.254905274225,214.5550527903469,0.0,0.0,0.0
outgroup_trust|WVS_G,0.0,0.0,78.88826149695714,98.88706440430579,7.774444992111114,0.0,455.3376906318083,132.66734912398368,130.1742919389978,0.0,8.191594730056252,0.0,0.0,9925.39838793685,231.86918271069743,8.555918760000395,0.0,417.3400673400673,0.0,0.0,0.0,0.0,147.22246886455736,159.75665270872682,674.3876007033903,0.0,0.0,480.0039401103231,0.0,0.0,368.53459773794276
postmaterialist_values|WVS_E,9803.192685102587,9891.769885566535,0.0,0.0,0.0,0.0,9862.567924393301,9914.204678362574,9849.227420402858,9904.524837661991,9875.139503370114,9908.989943010392,83.68177638571153,96.63021955048558,0.0,0.0,0.0,17.814250930035797,9949.589522304606,0.0,0.0,0.0,95.62451456252595,9870.860405504629,69.85598050733148,0.0,9932.03380402225,440.2123765447893,0.0,0.0,17.26633862548934
religious_belief|WVS_F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
