construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,44.358556130770864,27.496491826904844,17.035775127768314,50.78283169118639,10.460251046025103,66.64002632692399,27.986198198964154,50.78283169118639,30.724356768966693,26.208282542088096,49.26034888487955,58.76172607879925,17.5143171388478,56.12435574888641,50.88761873817997,28.328611898016998,18.76172607879925,18.420086270647502,32.34208912042335,26.134232237247673,9.671179883945841,15.290519877675841,33.18752377329783,15.174506828528072,9999.0,37.76106752439528,45.52035727335753,9999.0,9999.0,27.721721400191328
autocracy_support|WVS_E,44.358556130770864,0.0,55.24861878453038,52.87363715305696,74.22088572990705,33.898305084745765,90.07808036564464,58.6375989601796,74.22088572990705,54.13268152713941,49.64633658080876,77.86927570608313,82.73504273504273,46.12324396005139,77.17669323003682,55.865921787709496,65.00927955038743,42.73504273504273,42.06823972526864,35.3356890459364,49.57228627596834,40.32258064516129,55.059794451561665,56.62557781201849,42.73504273504273,9999.0,68.41246828561073,68.0154276080279,9999.0,9999.0,58.373122161406776
child_qualities_autonomy_self_expression|WVS_A,27.496491826904844,55.24861878453038,0.0,31.949605728269738,63.60477540615351,26.931660719322124,79.36507936507937,36.14033025797732,66.36900126334734,38.87848882797985,42.67969221538512,57.41448094389271,57.14285714285714,25.668449197860966,64.27848780789958,42.19409282700422,55.825103724921846,23.809523809523807,18.76172607879925,33.047440364513534,37.62729214097881,17.825311942959004,27.47252747252747,48.68950947382321,24.875621890547265,9999.0,45.915199583408445,45.86199708150927,9999.0,9999.0,35.87585345920449
child_qualities_conformity_tradition|WVS_A,17.035775127768314,52.87363715305696,31.949605728269738,0.0,59.297912713472485,18.975332068311197,75.15510734921008,32.43931210032905,59.297912713472485,35.17747067033159,34.72336356437419,53.71346278624444,66.86867553261133,21.967431040212695,60.5774696502513,47.527773431387885,45.36438702578531,27.513541088388422,15.06024096385542,29.345955249569705,31.347962382445143,14.124293785310734,19.9203187250996,41.70260479558392,25.94163378213616,9999.0,42.214181425760174,42.16051196656545,9999.0,9999.0,32.17483530155622
child_qualities_prosocial_diligence|WVS_A,50.78283169118639,74.22088572990705,63.60477540615351,59.297912713472485,0.0,40.32258064516129,96.50235592606018,71.90697402907423,80.64516129032258,65.7575591505858,56.07061214122428,84.29355126649867,59.1715976331361,52.54751952046691,91.15755813050552,77.31058179488673,79.11144358920339,57.29634945188726,44.84304932735426,59.12876361306854,55.99656183638386,53.59195571405592,59.81310920759378,63.049853372434015,55.724442145634995,9999.0,81.68184335450536,71.94332033006428,9999.0,9999.0,66.17149772210179
civic_dishonesty_tolerance|WVS_F,10.460251046025103,33.898305084745765,26.931660719322124,18.975332068311197,40.32258064516129,0.0,56.17977528089888,32.06620871657547,40.32258064516129,25.434978505424514,15.748031496062993,43.97097062133737,60.62323476505588,12.224938875305623,50.83497748534423,40.63746710805534,38.7888629440421,20.623234765055876,8.169934640522877,21.88183807439825,15.673981191222571,16.918841027224538,21.1614893668159,22.72727272727273,19.05132745880362,9999.0,45.00872866767398,35.270205643232906,9999.0,9999.0,25.848917076940502
confidence_in_civil_society_organizations|WVS_E,66.64002632692399,90.07808036564464,79.36507936507937,75.15510734921008,96.50235592606018,56.17977528089888,0.0,82.72114625705785,96.50235592606018,81.61475378632339,71.92780677696187,100.15074590223625,50.25125628140703,68.4047141562045,107.0147527662431,90.09189373160623,74.07407407407408,55.55555555555556,64.34970992142176,78.06161335529713,71.85375647212145,73.09861630812343,77.34126464771478,78.90704800817161,55.24861878453038,9999.0,101.18850394857287,91.4499809241318,9999.0,9999.0,65.35947712418302
confidence_in_domestic_institutions|WVS_E,27.986198198964154,58.6375989601796,36.14033025797732,32.43931210032905,71.90697402907423,32.06620871657547,82.72114625705785,0.0,66.85870763540666,33.051309471388734,43.19064020556558,51.58730158730159,71.64556962025316,19.841269841269842,58.45130845130845,59.53145716925244,37.45318352059925,31.645569620253163,27.063924701719976,41.34963898743426,38.11699851303811,18.315018315018314,27.932960893854748,49.17921584588251,27.47252747252747,9999.0,46.404905955467754,54.16419570443001,9999.0,9999.0,30.581039755351682
confidence_in_international_organizations|WVS_E,50.78283169118639,74.22088572990705,66.36900126334734,59.297912713472485,80.64516129032258,40.32258064516129,96.50235592606018,66.85870763540666,0.0,65.7575591505858,56.07061214122428,84.29355126649867,62.5,52.54751952046691,91.15755813050552,80.96004775321663,79.11144358920339,60.945815410217165,48.49251528568416,62.20441871955954,55.99656183638386,48.543689320388346,52.083333333333336,63.049853372434015,59.37390810396491,9999.0,76.63357696083779,75.5927862883942,9999.0,9999.0,66.17149772210179
democratic_system_evaluation|WVS_E,30.724356768966693,54.13268152713941,38.87848882797985,35.17747067033159,65.7575591505858,25.434978505424514,81.61475378632339,33.051309471388734,65.7575591505858,0.0,41.18301000148751,44.95607137615064,69.0949469291409,13.21003963011889,45.662100456621005,36.36363636363637,40.32258064516129,39.04983291177264,29.802083271722513,18.79699248120301,40.85515708304065,21.05317688502085,22.146590121629167,48.162251232697244,35.783403061270135,9999.0,49.143064525470294,46.948356807511736,9999.0,9999.0,26.83401783175377
democratic_values_importance|WVS_E,26.208282542088096,49.64633658080876,42.67969221538512,34.72336356437419,56.07061214122428,15.748031496062993,71.92780677696187,43.19064020556558,56.07061214122428,41.18301000148751,0.0,59.719002117400365,74.24657534246575,27.972970371368618,66.58300898140723,56.38549860411833,54.536894440105094,34.24657534246575,23.917966136585868,37.62986957046124,31.422012687285566,24.875621890547265,36.90952086287889,38.475304223335726,30.030030030030026,9999.0,52.965509530996705,51.01823713929589,9999.0,9999.0,41.596948573003495
economic_ideology|WVS_E,49.26034888487955,77.86927570608313,57.41448094389271,53.71346278624444,84.29355126649867,43.97097062133737,100.15074590223625,51.58730158730159,84.29355126649867,44.95607137615064,59.719002117400365,0.0,87.63093904505376,31.746031746031747,70.35607035607035,77.40813220265275,72.7770387803131,57.585825027685495,48.33807538763537,43.10344827586207,59.391149198953514,39.58916900093371,40.68258223754202,66.6982433486101,54.31939517718299,9999.0,67.67905664138314,75.4383463903454,9999.0,9999.0,45.370009947666624
