construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9931.36607142857,0.0,20.19349937361747,50.793650793650784,0.0,9937.613339359017,9935.807427373466,0.0,9933.25385023898,9921.2571628232,9923.48021462106,484.4264749925127,0.0,0.0,0.0,0.0,0.0,9939.84753167322,189.51517306780465,9941.526837324525,835.8766233766232,126.6630006580786,9923.305671508877,0.0,0.0,9928.58756724447,5.4874702762026715,0.0,0.0,924.2587601078167
autocracy_support|WVS_E,9931.36607142857,0.0,412.1146390855678,0.0,1.4136904761904816,119.92608164097967,9915.884636563876,9900.934003496504,0.0,9922.76277881041,9865.849773044101,9912.989143192488,0.0,0.0,93.14903846153845,0.0,0.0,76.32823690911982,9929.356460244648,846.8089483714484,9931.035765895953,94.86607142857144,0.0,9881.551212374581,130.53737368822442,819.777152809502,9918.0964958159,32.10074535679374,0.0,0.0,131.15899302707138
child_qualities_autonomy_self_expression|WVS_A,0.0,412.1146390855678,0.0,9908.89419834903,9898.918133442488,0.0,0.0,0.0,0.0,65.63913162426175,0.0,90.060024881721,0.0,0.0,9946.59373574992,29.830044973319602,32.22525136242949,0.0,70.97035912654339,0.0,11.515856322286908,0.0,12.695228381281908,0.0,0.0,9876.68040275965,48.84656104903311,9928.329898148371,0.0,0.0,32.251317499810725
child_qualities_conformity_tradition|WVS_A,20.19349937361747,0.0,9908.89419834903,0.0,9894.475137819987,0.0,12.11319272993282,243.1943056943057,0.0,66.61038259551272,870.1672213320186,86.7858335304522,0.0,0.0,9920.016483516483,0.0,0.0,610.796970020271,7.931849224827033,43.69235087320192,916.1532109508988,178.18986568986568,0.0,0.0,814.7635606652,9893.803688773538,0.0,9907.691308691308,0.0,0.0,231.21846706752365
child_qualities_prosocial_diligence|WVS_A,50.793650793650784,1.4136904761904816,9898.918133442488,9894.475137819987,0.0,194.57346776934406,0.0,60.759823054905,0.0,42.190358175488285,48.941798941798936,419.8436231423629,191.91919191919195,0.0,9915.43772893773,53.9674658343973,221.23015873015873,0.0,34.895150720838785,735.4385479385478,189.352234149922,0.0,0.0,206.9042861220994,0.0,9889.224934194783,9.746297403201169,9903.112554112555,0.0,0.0,238.13396536233233
civic_dishonesty_tolerance|WVS_F,0.0,119.92608164097967,0.0,0.0,194.57346776934406,0.0,0.0,0.0,0.0,904.4225561035626,0.0,83.32816576866071,0.0,65.05406741661038,0.0,32.930652327097505,68.75605912933001,9931.632438501581,10.064993787185855,18.402791598667903,90.05392715957787,9895.954420150296,9907.152461239642,0.0,9940.882769710475,0.0,0.0,0.0,0.0,0.0,37.284608829541725
confidence_in_civil_society_organizations|WVS_E,9937.613339359017,9915.884636563876,0.0,12.11319272993282,0.0,0.0,0.0,9937.31384849349,0.0,9917.772415374286,9922.763583943224,9907.998779756364,11.022501847303843,0.0,0.0,65.94435182424978,120.27953619039391,0.0,9924.366096808524,131.71809019559885,9926.045402459831,0.0,0.0,9924.812092628901,0.0,360.2413348279241,9913.106132379777,0.0,0.0,0.0,55.836148772533704
confidence_in_domestic_institutions|WVS_E,9935.807427373466,9900.934003496504,0.0,243.1943056943057,60.759823054905,0.0,9937.31384849349,0.0,0.0,9902.821782306912,9920.957671957673,9893.048146688992,0.0,5.931568431568422,0.0,883.5414149550276,363.7959262959263,0.0,9920.744921744921,71.02330631742396,9913.0145568717,85.03289163666523,99.8593797506841,9923.00618064335,0.0,8.392306038625875,9898.155499312403,0.0,0.0,0.0,71.70224411603724
confidence_in_international_organizations|WVS_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
democratic_system_evaluation|WVS_E,9933.25385023898,9922.76277881041,65.63913162426175,66.61038259551272,42.190358175488285,904.4225561035626,9917.772415374286,9902.821782306912,0.0,0.0,9867.73755185451,9914.876922002897,326.02121830983015,0.0,20.087630280077462,601.9230231713112,109.65067563580575,78.21601571952876,9931.244239055057,92.5991662062475,9932.923544706362,16.22163735382628,1.3229088000626916,9883.43899118499,540.0338481508072,225.0740225290019,9919.98427462631,30.62830911343923,0.0,0.0,62.71429101906597
democratic_values_importance|WVS_E,9921.2571628232,9865.849773044101,0.0,870.1672213320186,48.941798941798936,0.0,9922.763583943224,9920.957671957673,0.0,9867.73755185451,0.0,9857.963916236591,0.0,64.64243177426076,25.188829820658796,872.4560091327796,303.58814044393085,0.0,9885.66069129252,839.8606444924735,9877.930326419299,861.2694159012449,258.8740180635598,9908.455916093084,0.0,384.05682326462664,9863.071268860002,30.734516028633678,0.0,0.0,0.0
