construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,165.9451659451659,193.8936655553606,174.5395127748069,178.43879976232915,146.05514605514605,140.9079632845448,191.10019110019107,135.49285963079063,175.6369666817428,207.0775811783006,183.05355715427658,101.010101010101,133.33333333333334,160.43283516646596,114.13653887016969,171.93208682570383,153.84615384615384,129.41919191919192,310.2149702427187,213.36965157189877,9999.0,71.94244604316548,130.76597545493019,159.6306722817297,248.46681096681095,177.93317793317792,141.66050751416603,128.78787878787878,140.8450704225352,163.08922558922558
autocracy_support|WVS_E,165.9451659451659,0.0,200.07020007020006,138.4644766997708,142.3637636872931,109.98010998010997,148.96867838044307,155.02515502515502,99.41782355575458,139.5619306067067,215.72645885017798,148.26839826839824,64.93506493506493,101.010101010101,125.03645377661125,78.74015748031496,135.85705075066778,137.92776566499194,93.34415584415584,274.81858885286397,177.2946154968627,9999.0,102.52904989747094,141.63323924132123,123.5556362066936,212.3917748917749,141.85814185814183,105.58547143912998,92.7128427128427,117.09712496529598,127.0141895141895
child_qualities_autonomy_self_expression|WVS_A,193.8936655553606,200.07020007020006,0.0,208.664546899841,210.30993042378242,180.18018018018017,190.9167367535744,225.22522522522522,159.04981094854512,209.76200080677694,257.08635464733027,205.94735784609202,135.13513513513513,167.90459253059942,172.87857477730893,126.58227848101265,206.05712095073795,208.12783586506214,161.29032258064515,322.6607098535617,247.4946856969329,9999.0,121.95121951219511,180.7747489239598,191.50180294318292,280.3379416282642,212.05821205821206,170.635141917136,153.0373049360391,185.0432917017853,194.9603562506788
child_qualities_conformity_tradition|WVS_A,174.5395127748069,138.4644766997708,208.664546899841,0.0,150.95811051693403,118.57445680975093,157.56302521008405,163.61950185479597,108.01217038539554,148.1562774363477,222.4563868399485,156.86274509803923,73.52941176470588,117.0076726342711,131.76638176638176,85.47008547008546,144.4513975803087,146.5221124946329,101.93850267379679,281.54851684263446,185.88896232650364,9999.0,111.1233967271119,148.36316723109175,132.14998303633456,220.98612172141583,150.45248868778282,114.17981826877093,101.30718954248366,125.69147179493693,135.60853634383045
child_qualities_prosocial_diligence|WVS_A,178.43879976232915,142.3637636872931,210.30993042378242,150.95811051693403,0.0,89.01960784313725,161.4623121976063,167.51878884231826,105.98622613051026,152.05556442386995,199.71301591651837,124.74755221514941,77.42869875222816,68.25037707390648,130.75037707390646,92.95664906278716,123.09368191721133,103.66441658630666,49.01960784313725,289.03508043533617,189.7882493140259,9999.0,115.02268371463417,114.54667337020277,79.23108820567502,168.0672268907563,153.30516227974908,75.5448067821293,105.20647653000594,72.77257696427739,82.68964151317093
civic_dishonesty_tolerance|WVS_F,146.05514605514605,109.98010998010997,180.18018018018017,118.57445680975093,89.01960784313725,0.0,129.0786584904232,135.13513513513513,79.5278036657347,119.67191071668684,129.87012987012986,115.72794437201216,45.04504504504504,59.230769230769226,106.86929165190034,60.57299535560405,114.07407407407408,94.64480874316939,40.0,256.65142672815307,157.4045956068428,9999.0,82.63903000745105,105.52706552706552,70.21148036253777,159.04761904761904,105.26315789473685,66.52519893899205,72.82282282282281,63.75296912114014,73.67003367003366
confidence_in_civil_society_organizations|WVS_E,140.9079632845448,148.96867838044307,190.9167367535744,157.56302521008405,161.4623121976063,129.0786584904232,0.0,174.12370353546822,105.99694423223835,158.66047911701995,204.10065237651443,152.89449112978525,84.03361344537815,114.85172581429266,119.82570806100217,73.52941176470588,154.955599260981,157.02631417530517,112.44270435446906,269.6078431372549,196.39316400717593,9999.0,68.9655172413793,127.789046653144,142.6541847170068,231.4903234020881,160.95669036845507,117.58227520082923,99.98443821973234,136.1956734756092,146.11273802450273
confidence_in_domestic_institutions|WVS_E,191.10019110019107,155.02515502515502,225.22522522522522,163.61950185479597,167.51878884231826,135.13513513513513,174.12370353546822,0.0,124.57284871077974,164.71695576173187,242.60434177051212,173.4234234234234,90.09009009009009,123.4567901234568,151.91433669694538,105.6180404006491,161.01207590569294,163.0827908200171,118.499180999181,301.6964717731981,202.44964065188785,9999.0,127.6840750524961,168.51112216165538,148.71066136171876,237.54680004680006,167.013167013167,130.74049659415513,117.86786786786786,142.25215012032115,152.16921466921465
confidence_in_international_organizations|WVS_E,135.49285963079063,99.41782355575458,159.04981094854512,108.01217038539554,105.98622613051026,79.5278036657347,105.99694423223835,124.57284871077974,0.0,109.10962429233145,169.45383383739548,94.2330241978467,34.48275862068965,37.735849056603776,58.8235294117647,32.467532467532465,105.40474443629249,107.47545935061666,56.96661828737301,228.54596384008147,146.8423091824874,9999.0,72.07674358309566,84.03214535290007,87.17809864991078,176.01423733499206,111.40583554376657,45.24886877828054,58.92255892255892,47.84688995215311,90.63665195740668
democratic_system_evaluation|WVS_E,175.6369666817428,139.5619306067067,209.76200080677694,148.1562774363477,152.05556442386995,119.67191071668684,158.66047911701995,164.71695576173187,109.10962429233145,0.0,227.14111735206382,157.96019900497512,74.6268656716418,118.10512654120701,136.45111227849708,90.1548159822008,145.54885148724463,147.61956640156882,103.0359565807327,286.2332473547498,186.98641623343957,9999.0,112.22085063404782,153.0478977432071,133.24743694327046,222.08357562835175,151.54994259471871,115.27727217570683,102.40464344941958,126.78892570187284,136.70599025076638
