,AND,ARG,AUS,BFA,BGR,BRA,CAN,CHL,CHN,CYP,DEU,EGY,ETH,FRA,GBR,GEO,GHA,GTM,HUN,IDN,IND,IRN,IRQ,ITA,MAR,MDA,MEX,MLI,MYS,NOR,POL,ROU,RWA,SRB,SVN,SWE,THA,TTO,TWN,URY,USA,VNM,ZMB
AND,0.0,0.03554728254675865,0.01798287406563759,0.01798287406563759,0.02091050148010254,0.01798287406563759,0.04277545213699341,0.026590675115585327,0.02247384935617447,0.03472644090652466,0.01798287406563759,0.01798287406563759,0.01798287406563759,0.01798287406563759,0.03032252937555313,0.01798287406563759,0.01075185090303421,0.02840432897210121,0.015698768198490143,0.017984837293624878,0.019799184054136276,0.02505049854516983,0.017002232372760773,0.01798287406563759,0.02678963541984558,0.01798287406563759,0.01798287406563759,0.06182391941547394,0.01798287406563759,0.01798287406563759,0.015613079071044922,0.01798287406563759,0.01798287406563759,0.018188707530498505,0.01798287406563759,0.01798287406563759,0.01798287406563759,0.015818476676940918,0.015607155859470367,0.02156384289264679,0.052491724491119385,0.038821741938591,0.01798287406563759
ARG,0.03554728254675865,0.0,0.03554728254675865,0.03554728254675865,0.02881733328104019,0.03554728254675865,0.04277545213699341,0.03554728254675865,0.023565620183944702,0.03472644090652466,0.03554728254675865,0.03554728254675865,0.03554728254675865,0.03554728254675865,0.02439361810684204,0.03554728254675865,0.03554728254675865,0.015452239662408829,0.03554728254675865,0.03078385442495346,0.03375375270843506,0.03554728254675865,0.03554728254675865,0.03490997105836868,0.03554728254675865,0.03554728254675865,0.03554728254675865,0.06182391941547394,0.03554728254675865,0.03554728254675865,0.03554728254675865,0.03554728254675865,0.03554728254675865,0.029661744832992554,0.03554728254675865,0.03554728254675865,0.03554728254675865,0.03485064208507538,0.03554728254675865,0.03554728254675865,0.052491724491119385,0.038821741938591,0.03394423425197601
AUS,0.01798287406563759,0.03554728254675865,0.0,0.0038462579250335693,0.02091050148010254,0.005005683749914169,0.04277545213699341,0.026590675115585327,0.02247384935617447,0.03472644090652466,0.0051332637667655945,0.0038462579250335693,0.01733921840786934,0.007222063839435577,0.03032252937555313,0.0038462579250335693,0.019163496792316437,0.02840432897210121,0.012281075119972229,0.017984837293624878,0.022847425192594528,0.02505049854516983,0.0159749798476696,0.015384763479232788,0.02730492129921913,0.009581692516803741,0.007983516901731491,0.06182391941547394,0.0038462579250335693,0.004299789667129517,0.011296704411506653,0.0038462579250335693,0.0038462579250335693,0.021404366940259933,0.0038462579250335693,0.01261185109615326,0.0038462579250335693,0.018554173409938812,0.013188716024160385,0.0274328775703907,0.052491724491119385,0.038821741938591,0.0072694383561611176
BFA,0.01798287406563759,0.03554728254675865,0.0038462579250335693,0.0,0.02091050148010254,0.005005683749914169,0.04277545213699341,0.026590675115585327,0.02247384935617447,0.03472644090652466,0.0051332637667655945,0.0030450858175754547,0.01733921840786934,0.007222063839435577,0.03032252937555313,0.0030450858175754547,0.019163496792316437,0.02840432897210121,0.012281075119972229,0.017984837293624878,0.022847425192594528,0.02505049854516983,0.0159749798476696,0.015384763479232788,0.02730492129921913,0.009581692516803741,0.007983516901731491,0.06182391941547394,0.0030450858175754547,0.004299789667129517,0.010149382054805756,0.0030450858175754547,0.0030450858175754547,0.021404366940259933,0.0030450858175754547,0.01261185109615326,0.0030450858175754547,0.018554173409938812,0.013188716024160385,0.0274328775703907,0.052491724491119385,0.038821741938591,0.0072694383561611176
BGR,0.02091050148010254,0.02881733328104019,0.02091050148010254,0.02091050148010254,0.0,0.02091050148010254,0.04277545213699341,0.025320187211036682,0.02247384935617447,0.02953331172466278,0.02091050148010254,0.02091050148010254,0.02091050148010254,0.02091050148010254,0.02439361810684204,0.02091050148010254,0.02091050148010254,0.026025645434856415,0.02091050148010254,0.02091050148010254,0.022847425192594528,0.02505049854516983,0.02091050148010254,0.02091050148010254,0.02690640091896057,0.02091050148010254,0.02091050148010254,0.06182391941547394,0.02091050148010254,0.02091050148010254,0.02091050148010254,0.02091050148010254,0.02091050148010254,0.021404366940259933,0.02091050148010254,0.02091050148010254,0.02091050148010254,0.018554173409938812,0.02091050148010254,0.02168060839176178,0.052491724491119385,0.038821741938591,0.02091050148010254
BRA,0.01798287406563759,0.03554728254675865,0.005005683749914169,0.005005683749914169,0.02091050148010254,0.0,0.04277545213699341,0.026590675115585327,0.02247384935617447,0.03472644090652466,0.0051332637667655945,0.005005683749914169,0.01733921840786934,0.007162176072597504,0.03032252937555313,0.005005683749914169,0.019163496792316437,0.02840432897210121,0.012281075119972229,0.017984837293624878,0.022847425192594528,0.02505049854516983,0.014082401990890503,0.015384763479232788,0.02730492129921913,0.009581692516803741,0.007593221962451935,0.06182391941547394,0.005005683749914169,0.005005683749914169,0.011296704411506653,0.005005683749914169,0.005005683749914169,0.021404366940259933,0.005005683749914169,0.01261185109615326,0.005005683749914169,0.018554173409938812,0.01126590371131897,0.0274328775703907,0.052491724491119385,0.038821741938591,0.0072694383561611176
CAN,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.0,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.041354790329933167,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.03738218545913696,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04787978529930115,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.04277545213699341,0.03475414961576462,0.041354790329933167,0.04277545213699341
CHL,0.026590675115585327,0.03554728254675865,0.026590675115585327,0.026590675115585327,0.025320187211036682,0.026590675115585327,0.04277545213699341,0.0,0.02247384935617447,0.024040475487709045,0.026590675115585327,0.026590675115585327,0.026590675115585327,0.026590675115585327,0.03032252937555313,0.026590675115585327,0.026590675115585327,0.02840432897210121,0.026590675115585327,0.013515301048755646,0.026590675115585327,0.02568642795085907,0.026590675115585327,0.026590675115585327,0.02730492129921913,0.026590675115585327,0.026590675115585327,0.06182391941547394,0.026590675115585327,0.026590675115585327,0.026590675115585327,0.026590675115585327,0.026590675115585327,0.026590675115585327,0.026590675115585327,0.026590675115585327,0.026590675115585327,0.026590675115585327,0.026590675115585327,0.0274328775703907,0.05116961896419525,0.038220956921577454,0.026590675115585327
CHN,0.02247384935617447,0.023565620183944702,0.02247384935617447,0.02247384935617447,0.02247384935617447,0.02247384935617447,0.04277545213699341,0.02247384935617447,0.0,0.03472644090652466,0.02247384935617447,0.02247384935617447,0.02247384935617447,0.02247384935617447,0.02439361810684204,0.02247384935617447,0.02247384935617447,0.016789503395557404,0.018929287791252136,0.01501348614692688,0.020256996154785156,0.022931110113859177,0.02247384935617447,0.02247384935617447,0.02730492129921913,0.02247384935617447,0.02247384935617447,0.06182391941547394,0.02247384935617447,0.02247384935617447,0.02247384935617447,0.02247384935617447,0.02247384935617447,0.021404366940259933,0.02247384935617447,0.02247384935617447,0.02247384935617447,0.015818476676940918,0.02247384935617447,0.0274328775703907,0.050510406494140625,0.03756174445152283,0.02247384935617447
CYP,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.02953331172466278,0.03472644090652466,0.04277545213699341,0.024040475487709045,0.03472644090652466,0.0,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.031251102685928345,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.028600305318832397,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.06182391941547394,0.03472644090652466,0.03293977677822113,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.03472644090652466,0.04941433668136597,0.03646567463874817,0.03472644090652466
