construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,NaN,1.0,0.9999999999999994,1.0,0.9999999999999994,NaN,NaN,NaN,NaN,NaN,NaN,0.9999999999988529,0.999999999999914,1.0,0.9999999999999999,0.9999999999999257,0.9999999999966005,NaN,0.9999999999999997,NaN,0.9999999999968664,0.9999999999977548,NaN,0.9999999999961773,NaN,NaN,0.9999999999999999,NaN,0.9999999999999993,0.9999999999991698
autocracy_support|WVS_E,NaN,0.0,1.0,0.9999999999999991,1.0,0.9999999999999997,NaN,NaN,NaN,NaN,NaN,NaN,0.9999999999999909,0.9999999999995878,1.0,0.999999999999913,1.0,0.9999999999972425,NaN,1.0,NaN,0.999999999996906,0.9999999999979344,NaN,0.9999999999968842,NaN,NaN,1.0,NaN,0.9999999999999999,0.9999999999993976
child_qualities_autonomy_self_expression|WVS_A,1.0,1.0,0.0,NaN,NaN,1.0,0.9999999999981192,0.9999999999997422,1.0,1.0,1.0,1.0,0.9999999999981533,1.0,NaN,1.0,0.9999999999999837,0.9999999999948702,0.9999999999981299,1.0,1.0,0.9999999999959475,0.9999999999974318,1.0,0.9999999999922717,NaN,1.0,NaN,NaN,NaN,1.0
child_qualities_conformity_tradition|WVS_A,0.9999999999999994,0.9999999999999991,NaN,0.0,NaN,0.9999999988861137,1.0,1.0,1.0,0.9999999999999996,0.9999999999865433,1.0,1.0,1.0,NaN,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,NaN,1.0,NaN,NaN,NaN,1.0
child_qualities_prosocial_diligence|WVS_A,1.0,1.0,NaN,NaN,0.0,1.0,0.9999999999991814,0.9999999999998496,1.0,1.0,1.0,1.0,0.9999999999999976,1.0,NaN,1.0,1.0,0.9999999999978608,0.9999999999992062,1.0,1.0,0.9999999999980052,0.9999999999986711,1.0,0.9999999999975838,NaN,1.0,NaN,NaN,NaN,1.0
civic_dishonesty_tolerance|WVS_F,0.9999999999999994,0.9999999999999997,1.0,0.9999999988861137,1.0,0.0,1.0,1.0,1.0,0.9999999999999994,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,NaN,1.0,1.0,1.0,NaN,NaN,1.0,NaN,NaN,0.9999999999999903,1.0,NaN,1.0,1.0
confidence_in_civil_society_organizations|WVS_E,NaN,NaN,0.9999999999981192,1.0,0.9999999999991814,1.0,0.0,NaN,NaN,NaN,NaN,NaN,0.9999999999999903,1.0,0.9999999999987709,1.0,0.9999999999993715,0.9999999999996698,NaN,0.9999999999999994,NaN,0.999999999999683,0.9999999999998501,NaN,0.9999999999996112,NaN,NaN,0.9999999999987932,NaN,0.9999999999999034,0.9999999999999873
confidence_in_domestic_institutions|WVS_E,NaN,NaN,0.9999999999997422,1.0,0.9999999999998496,1.0,NaN,0.0,NaN,NaN,NaN,NaN,0.999999999999981,1.0,0.9999999999998483,1.0,0.9999999999998954,0.9999999999998755,NaN,0.9999999999998923,NaN,0.9999999999998131,0.9999999999999474,NaN,0.9999999999998663,NaN,NaN,0.999999999999697,NaN,1.0,1.0
confidence_in_international_organizations|WVS_E,NaN,NaN,1.0,1.0,1.0,1.0,NaN,NaN,0.0,NaN,NaN,NaN,0.9999999999999979,1.0,1.0,1.0,1.0,1.0,NaN,1.0,NaN,0.9999999999994382,1.0,NaN,0.9999999999999999,NaN,NaN,1.0,NaN,1.0,1.0
democratic_system_evaluation|WVS_E,NaN,NaN,1.0,0.9999999999999996,1.0,0.9999999999999994,NaN,NaN,NaN,0.0,NaN,NaN,1.0,0.9999999999997318,1.0,0.9999999999999999,1.0,0.9999999999967528,NaN,1.0,NaN,0.99999999999611,0.9999999999975128,NaN,0.9999999999959701,NaN,NaN,1.0,NaN,0.9999999999999999,0.9999999999995011
