construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,NaN,0.9999998592032959,0.9999999093180858,0.9999999308491114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9999999999988518,0.9999999999862795,0.9999993783561721,0.9999998850093662,0.9999999992268382,0.9999999999754442,NaN,0.9999997879018778,NaN,NaN,0.9999949957573507,NaN,0.9999999928942233,0.9999999999988786,NaN,0.9999998895213447,NaN,0.9999995113257013,0.9999998929979514
autocracy_support|WVS_E,NaN,0.0,0.9999999999999989,0.9999999865442124,0.9999999999924059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9999999322558968,0.9999999181905262,1.0,0.9999999999999993,0.9999999995330027,0.9999999999764438,NaN,0.9999998561168297,NaN,NaN,0.9999999999999998,NaN,0.9999999999996168,0.9999999999997922,NaN,0.9999999999999893,NaN,0.99999979593225,1.0
child_qualities_autonomy_self_expression|WVS_A,0.9999998592032959,0.9999999999999989,0.0,NaN,NaN,NaN,1.0,0.9999999999995168,0.999999999999013,0.99999987454581,0.9999999892588853,0.9999999587630606,0.9999999988482319,0.9999987433509723,NaN,1.0,0.9999999999117876,0.9999999999975737,0.9999999284389702,0.9999999870745613,0.999999977533426,NaN,0.9999999999999826,0.9999999999997363,0.9999999872247266,NaN,0.9999998868603007,NaN,NaN,NaN,0.9999999999999993
child_qualities_conformity_tradition|WVS_A,0.9999999093180858,0.9999999865442124,NaN,0.0,NaN,NaN,0.9999999999999835,0.9999999657759665,1.0,0.9999999147308261,0.9999999970460247,0.99999994158644,0.9999999997476784,0.9999994867670129,NaN,0.9999999867864422,0.999999958312659,0.9999999213218463,0.9999999408546844,0.9999999944062397,0.9999999971360868,NaN,0.9999999999999842,0.9999999719907657,0.9999999953681856,NaN,0.9999999215926519,NaN,NaN,NaN,0.9999999923760864
child_qualities_prosocial_diligence|WVS_A,0.9999999308491114,0.9999999999924059,NaN,NaN,0.0,NaN,0.9999999999452011,0.9999999999999692,0.9999999781246706,0.9999999412196788,0.9999999865990332,0.9999999999997925,0.9999999986376976,0.9999994930925947,NaN,0.999999999999351,0.9999999999999997,0.9999999999999991,0.9999999998308378,0.9999999471970343,0.999999935554608,NaN,0.9999999927645339,0.9999999999999977,0.9999999858933744,NaN,0.999999988248145,NaN,NaN,NaN,0.9999999999854402
civic_dishonesty_tolerance|WVS_F,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
confidence_in_civil_society_organizations|WVS_E,NaN,NaN,1.0,0.9999999999999835,0.9999999999452011,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.9999999999996876,0.9999982538996556,1.0,1.0,0.9999999562844785,0.9999999978740939,NaN,0.9999999999999057,NaN,NaN,0.9999999999999908,NaN,0.9999999999997062,0.9999999999674902,NaN,0.9999999999989615,NaN,0.9999999999997944,1.0
confidence_in_domestic_institutions|WVS_E,NaN,NaN,0.9999999999995168,0.9999999657759665,0.9999999999999692,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0.9999999999990599,0.9999980287119739,0.9999998760035019,0.9999999999995236,1.0,0.9999999999997997,NaN,0.9999999950807115,NaN,NaN,0.9999965729123207,NaN,0.9999999999994413,0.9999999999997854,NaN,0.9999999999994116,NaN,0.9999998031975829,0.9999999999992217
confidence_in_international_organizations|WVS_E,NaN,NaN,0.999999999999013,1.0,0.9999999781246706,NaN,NaN,NaN,0.0,NaN,NaN,NaN,0.999999999999824,0.9999992086041228,0.9999999999999348,0.999999999999387,0.9999999505593788,0.9999999049163172,NaN,0.999999999999933,NaN,NaN,1.0,NaN,0.9999999999998165,0.9999999566198197,NaN,0.9999999858966712,NaN,0.9999999999998678,0.9999999999999201
democratic_system_evaluation|WVS_E,NaN,NaN,0.99999987454581,0.9999999147308261,0.9999999412196788,NaN,NaN,NaN,NaN,0.0,NaN,NaN,0.9999999999987059,0.9999999999999998,0.9999994883431803,0.9999998971825623,0.9999999998565854,0.9999999999854858,NaN,0.9999998037956751,NaN,NaN,0.9999957173258393,NaN,0.9999999999994049,0.9999999999990562,NaN,0.9999999037767788,NaN,0.9999995428887388,0.9999999172136101
