construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,NaN,0.9904238692096974,0.9962444357365986,0.9929483139461825,0.9981378945132952,NaN,NaN,NaN,NaN,NaN,NaN,0.9955128110501638,0.989308725501524,0.9988140234337717,0.9914052863626102,0.9913281189257644,0.989602796447961,NaN,0.9994135924684964,NaN,NaN,0.9999999997681283,NaN,0.9883322525854011,0.9930219104880569,NaN,0.9991221968985255,NaN,NaN,0.9942755698959324
autocracy_support|WVS_E,NaN,0.0,0.9916997064892337,0.9950986328003208,0.9911432170833234,0.9983417366454943,NaN,NaN,NaN,NaN,NaN,NaN,0.9959354400202605,0.9936689129562835,0.9977667930850586,0.9917016952324813,0.9922832347111702,0.9909499055012414,NaN,0.9994387799558283,NaN,NaN,0.9999837016676603,NaN,0.9866564767673102,0.9938343055616565,NaN,0.992603214742176,NaN,NaN,0.9950166903179158
child_qualities_autonomy_self_expression|WVS_A,0.9904238692096974,0.9916997064892337,0.0,NaN,NaN,0.9999565028482853,0.9944779754068896,0.9999715555643246,0.9921838904179288,0.9919747346726022,0.9915452682534047,0.9898090745002377,0.9999959624024952,0.9954932021849137,NaN,0.9999999999526276,0.9999999999999949,0.9999999950449011,0.9999999509903225,0.9999978987771947,0.9916126227988921,NaN,0.9899447316089629,0.9915065059011693,0.9999999999999716,NaN,0.9999999998452623,NaN,NaN,NaN,0.9999999999999556
child_qualities_conformity_tradition|WVS_A,0.9962444357365986,0.9950986328003208,NaN,0.0,NaN,0.9999999997625998,0.9972795103006867,0.9984037744275346,0.994272895122632,0.9973635499852693,0.9952634495835407,0.9947305196064415,0.9997187823002884,0.9980115389449303,NaN,0.9999999999999242,0.9999999998511073,0.9999995861473453,0.9999999973975047,0.9999968735773052,0.9942015207654361,NaN,0.9966550422658095,0.993672190635159,0.9999999991776685,NaN,0.9991085521891651,NaN,NaN,NaN,0.999999999024905
child_qualities_prosocial_diligence|WVS_A,0.9929483139461825,0.9911432170833234,NaN,NaN,0.0,0.999999999996379,0.9959930962936075,0.9966244648224786,0.990983555298751,0.9955820984654148,0.9913563357449883,0.9894863986569669,0.9989329708524626,0.9999879580625851,NaN,0.9999999999995893,0.9999999688354217,0.9999971853016271,0.999999994619649,0.9999873263977477,0.9895402703941253,NaN,0.9939027357933979,0.9890694689240317,0.999999789691539,NaN,0.9984338915841364,NaN,NaN,NaN,0.9999998034608005
civic_dishonesty_tolerance|WVS_F,0.9981378945132952,0.9983417366454943,0.9999565028482853,0.9999999997625998,0.999999999996379,0.0,0.9987959797309646,0.99695587763842,0.9985683884744163,0.9980799598136201,0.9983184910441579,0.9980699341644789,0.9943309702501729,0.9999999898427415,0.9999999999398449,0.9999999923723044,0.9995278723829095,NaN,0.9999999969442976,0.9962568287664987,0.9983295053333827,NaN,NaN,0.9983142136986902,NaN,0.9994698061361528,0.9974652575680477,0.999999999999563,NaN,NaN,0.9987027746032423
confidence_in_civil_society_organizations|WVS_E,NaN,NaN,0.9944779754068896,0.9972795103006867,0.9959930962936075,0.9987959797309646,0.0,NaN,NaN,NaN,NaN,NaN,0.9969305818972634,0.9951304078887716,0.9996012186005673,0.9950056049939457,0.994662544273473,0.993860332359644,NaN,0.9995108870994963,NaN,NaN,0.9999999999569374,NaN,0.9940944978048976,0.9956390935121348,NaN,0.9998578665533792,NaN,NaN,0.9965615900266863
confidence_in_domestic_institutions|WVS_E,NaN,NaN,0.9999715555643246,0.9984037744275346,0.9966244648224786,0.99695587763842,NaN,0.0,NaN,NaN,NaN,NaN,0.9964283389587583,0.993028052776636,0.999994578158477,0.9976622832989304,0.9999982843017885,0.9999999975731644,NaN,0.9993836182059167,NaN,NaN,0.9913114645618917,NaN,0.9999999992310338,0.9999999994425416,NaN,0.9960038961180947,NaN,NaN,0.9999996117965418
confidence_in_international_organizations|WVS_E,NaN,NaN,0.9921838904179288,0.994272895122632,0.990983555298751,0.9985683884744163,NaN,NaN,0.0,NaN,NaN,NaN,0.9943778708683118,0.9999592401362762,0.9958309351245503,0.9929699368405469,0.9932494081579548,0.9924046868786972,NaN,0.9986929064674009,NaN,NaN,0.9943149559779467,NaN,0.9747257817489039,0.9925025189393274,NaN,0.9916131892793365,NaN,NaN,0.995801208409922
democratic_system_evaluation|WVS_E,NaN,NaN,0.9919747346726022,0.9973635499852693,0.9955820984654148,0.9980799598136201,NaN,NaN,NaN,0.0,NaN,NaN,0.9956991921850079,0.9917187386325601,0.9999992781983108,0.9937151189812375,0.9926398772453436,0.9907425561610216,NaN,0.9994242699705006,NaN,NaN,0.999999980074597,NaN,0.9919784509392761,0.9935379628776929,NaN,0.9999997991986891,NaN,NaN,0.9946216728372794
