construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,NaN,0.999999999999974,0.9999999999999901,0.9999999999999838,0.9999999999997637,NaN,NaN,NaN,NaN,NaN,NaN,0.9999999999999999,0.99999999999999,0.999999999999963,0.9999999999999719,0.999999999999976,0.9999999999999101,NaN,0.999999999999998,NaN,0.999999999999986,0.9999999999996871,NaN,0.999999999999879,NaN,NaN,0.9999999999999678,NaN,NaN,0.9999999999999488
autocracy_support|WVS_E,NaN,0.0,0.9999999999999989,0.9999999999999997,1.0,0.9999999999999859,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.9999999999999999,0.9999999999999949,0.9999999999999988,1.0,0.9999999999999973,NaN,0.9999999999999992,NaN,0.9999999999999974,0.9999999999999666,NaN,0.9999999999999972,NaN,NaN,0.9999999999999994,NaN,NaN,0.9999999999999996
child_qualities_autonomy_self_expression|WVS_A,0.999999999999974,0.9999999999999989,0.0,NaN,NaN,0.9999999999999828,0.9999999999999992,0.9999999999999994,0.9999999999999986,0.9999999999999467,0.9999999999999972,0.999999999999973,0.9999999999999998,0.9999999999999989,NaN,1.0,0.9999999999999996,0.9999999999999998,0.9999999999999946,1.0,0.9999999999999901,1.0,0.9999999999999315,0.9999999999999979,0.9999999999999997,NaN,1.0,NaN,NaN,NaN,1.0
child_qualities_conformity_tradition|WVS_A,0.9999999999999901,0.9999999999999997,NaN,0.0,NaN,0.9999999999999231,0.9999999999999926,1.0,0.9999999999999991,0.9999999999999144,0.9999999999999977,0.9999999999999566,1.0,1.0,NaN,0.9999999999999861,0.999999999999995,0.9999999999999704,1.0,1.0,0.9999999999999979,1.0,0.9999999999998491,0.9999999999999986,0.9999999999999644,NaN,1.0,NaN,NaN,NaN,1.0
child_qualities_prosocial_diligence|WVS_A,0.9999999999999838,1.0,NaN,NaN,0.0,0.9999999999999887,1.0,1.0,0.9999999999999958,0.9999999999999786,0.999999999999999,0.9999999999999895,1.0,1.0,NaN,1.0,1.0,0.9999999999999994,0.9999999999999942,1.0,0.9999999999999882,1.0,0.9999999999999749,0.9999999999999994,0.9999999999999993,NaN,NaN,NaN,NaN,NaN,1.0
civic_dishonesty_tolerance|WVS_F,0.9999999999997637,0.9999999999999859,0.9999999999999828,0.9999999999999231,0.9999999999999887,0.0,0.9999999999999986,1.0,0.9999999999999617,1.0,1.0,1.0,0.9999999999999875,1.0,1.0,0.9999999999999979,0.9999999999999867,NaN,0.9999999999992315,0.9999999999999913,0.9999999999998567,NaN,NaN,0.9999999999999645,NaN,NaN,1.0,1.0,NaN,NaN,1.0
confidence_in_civil_society_organizations|WVS_E,NaN,NaN,0.9999999999999992,0.9999999999999926,1.0,0.9999999999999986,0.0,NaN,NaN,NaN,NaN,NaN,0.9999999999999937,0.9999999999999999,0.9999999999999996,0.9999999999999992,1.0,0.999999999999998,NaN,0.9999999999999997,NaN,0.9999999999999987,0.999999999999996,NaN,0.9999999999999976,NaN,NaN,0.9999999999999996,NaN,NaN,0.9999999999999996
confidence_in_domestic_institutions|WVS_E,NaN,NaN,0.9999999999999994,1.0,1.0,1.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,1.0,0.9999999999999997,0.9999999999999996,1.0,0.9999999999999984,NaN,1.0,NaN,0.9999999999999976,0.9999999999999593,NaN,0.9999999999999981,NaN,NaN,1.0,NaN,NaN,0.9999999999999996
confidence_in_international_organizations|WVS_E,NaN,NaN,0.9999999999999986,0.9999999999999991,0.9999999999999958,0.9999999999999617,NaN,NaN,0.0,NaN,NaN,NaN,0.9999999999999999,0.9999999999999997,0.9999999999999867,0.9999999999999906,0.999999999999997,0.9999999999999841,NaN,0.999999999999999,NaN,0.9999999999999972,0.9999999999999352,NaN,0.9999999999999817,NaN,NaN,0.9999999999999895,NaN,NaN,0.999999999999995
democratic_system_evaluation|WVS_E,NaN,NaN,0.9999999999999467,0.9999999999999144,0.9999999999999786,1.0,NaN,NaN,NaN,0.0,NaN,NaN,0.9999999999999877,1.0,0.99999999999999,0.9999999999999984,0.9999999999999735,0.9999999999999974,NaN,1.0,NaN,0.999999999999415,0.9999999999999967,NaN,0.9999999999999971,NaN,NaN,0.9999999999999885,NaN,NaN,0.9999999999999593
