construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,86.05331806324364,72.96466973886328,51.24716553287982,40.983606557377044,109.10928127135561,49.9905853247852,38.42906454096203,38.82915173237754,48.38709677419355,28.57142857142857,49.66076371028976,86.37684208063044,46.683700628127326,9999.0,49.01960784313725,45.64344650890678,37.968194931216175,58.221828735895556,56.7427635051214,41.896735445122545,43.74512683820196,65.94422043010752,42.918454935622314,60.975609756097555,9999.0,58.13172043010753,44.21274296043681,91.22396741302629,32.25806451612903,82.71254987531282,38.314176245210724,48.57142857142857,26.881720430107528,45.92933947772657,46.48956356736243,44.49499545040946,70.36967761119584,48.52674207512918,46.21619951034932,50.411132194813405,48.531508411747936,9999.0,37.47494076909058
autocracy_support|WVS_E,86.05331806324364,0.0,105.25454694189186,74.30628120283293,74.39173814108175,133.5049505966279,80.29618727402618,70.7189417439906,71.1190289354061,80.67697397722212,68.02721088435375,81.95064091331834,110.77251140590275,75.36035202434562,9999.0,102.11412151067324,77.93332371193534,70.25807213424474,83.04967978089525,81.2807881773399,74.18661264815111,76.03500404123054,98.2340976331361,84.74576271186442,88.7212643678161,9999.0,90.4215976331361,73.394831246797,104.20023633043292,67.11409395973155,107.10821920058513,81.77685055797201,85.57413702438139,59.1715976331361,74.05501229484761,78.6577050457822,57.4712643678161,88.43101668979752,80.81661927815775,70.61186883562162,79.35310244221435,87.48069273773562,9999.0,67.78054271833156
basic_needs_deprivation|WVS_H,72.96466973886328,105.25454694189186,0.0,74.1586871302563,66.00326803385536,128.31051015000384,69.19181420343342,57.63029341961026,58.03038061102577,67.58832565284177,56.30789818401138,68.861992588938,105.57807095927868,65.88492950677556,9999.0,94.62663862914411,64.84467538755501,57.169423809864405,77.4230576145438,75.94399238376964,61.09796432377077,62.94635571685019,85.14544930875576,74.34401417070701,98.23544799825427,9999.0,77.33294930875576,63.41397183908505,113.7144199608711,55.87726860356477,101.91377875396105,70.54002520180524,74.46976395378863,46.08294930875576,65.13056835637481,65.69079244601066,66.98544799825427,89.57090648984408,67.7279709537774,65.41742838899755,69.61236107346164,74.6268656716418,9999.0,56.67616964773881
child_qualities_autonomy_self_expression|WVS_A,51.24716553287982,74.30628120283293,74.1586871302563,0.0,32.749693055036566,89.11685798478251,29.9981620382121,39.623081932355035,23.58490566037736,49.581114165586555,22.675736961451246,50.85478110168276,66.38441879405735,23.52941176470588,9999.0,52.91005291005291,46.83746390029978,39.16221232260918,38.22940544932246,36.75034021854831,22.172949002217294,44.93914422959497,67.13823782150054,19.342359767891683,24.213075060532685,9999.0,46.344500569852684,21.551724137931036,62.893081761006286,30.3030303030303,62.72012658873973,33.50815850815851,33.898305084745765,28.075737821500535,25.25252525252525,31.25,16.835016835016834,47.79476915699826,45.45454545454546,26.223776223776227,32.657024311045554,42.63581680177061,9999.0,17.482517482517483
child_qualities_conformity_tradition|WVS_A,40.983606557377044,74.39173814108175,66.00326803385536,32.749693055036566,0.0,86.90151607478411,26.17801047120419,31.467662835954105,20.53388090349076,41.42569506918562,18.01801801801802,42.699362005281834,64.16907688405895,22.62443438914027,9999.0,41.84100418410041,38.68204480389885,31.00679322620825,36.01406353932406,34.53499830854991,22.026431718061673,36.78372513319404,58.982818725099605,19.801980198019802,33.557046979865774,9999.0,44.12915865985428,20.70393374741201,63.64944573588248,18.726591760299623,60.50478467874133,27.62430939226519,25.510204081632654,19.9203187250996,24.213075060532685,29.239766081871345,16.920473773265652,47.880226095247075,37.45318352059925,24.008434313777826,30.441682401047153,34.96503496503497,9999.0,15.267175572519083
child_qualities_prosocial_diligence|WVS_A,109.10928127135561,133.5049505966279,128.31051015000384,89.11685798478251,86.90151607478411,0.0,74.99961929127262,93.77490495210259,86.14889571449466,103.70940829161853,85.09329070414928,105.00660412143031,103.05372433128741,91.38311025103478,9999.0,112.505613895871,100.98928692004733,92.3916068347526,75.33089270627991,80.4369414101291,85.94049214747247,99.09096724934253,121.29006084124808,89.30218502523323,107.2836862288118,9999.0,83.01380610708274,84.07952243897239,122.76265819142863,85.20286153347263,99.38943212596979,87.65998152790606,89.42793480831486,82.22756084124808,78.39695772999853,78.79133295337513,76.0336862288118,104.5290773443703,103.87258248626974,62.893081761006286,77.03735333102043,97.54107625356036,9999.0,71.63434050226503
civic_dishonesty_tolerance|WVS_F,49.9905853247852,80.29618727402618,69.19181420343342,29.9981620382121,26.17801047120419,74.99961929127262,0.0,34.656209005532176,24.096385542168672,44.6142412387637,24.875621890547265,45.8879081748599,52.26718010054747,28.49002849002849,9999.0,60.32286933773922,41.87059097347692,34.19533939578632,23.148148148148145,28.901734104046245,24.875621890547265,39.97227130277211,62.17136489467767,30.183489078662816,54.074922906210084,9999.0,32.2272618763428,23.64066193853428,69.5538948688269,23.86634844868735,48.60288789522985,28.541285581335643,30.30923886174444,23.108864894677673,21.551724137931036,22.779043280182233,22.824922906210084,45.41038139779988,44.75388653969932,12.106537530266342,22.42152466367713,38.42238030698996,9999.0,12.51564455569462
confidence_in_civil_society_organizations|WVS_E,38.42906454096203,70.7189417439906,57.63029341961026,39.623081932355035,31.467662835954105,93.77490495210259,34.656209005532176,0.0,23.494775413124515,33.05272045494053,21.772292986110127,34.32638739103673,71.04246576137743,31.349324308874305,9999.0,60.09103343124285,30.309070189653752,17.482517482517483,42.88745241664253,41.40838718586838,26.562359125869516,27.62430939226519,50.6098441108545,39.80840897280575,63.69984280035302,9999.0,42.7973441108545,28.878366641183792,79.17881476296984,21.341663405663514,67.3781735560598,16.556291390728475,39.93415875588738,11.547344110854503,30.59496315847355,31.155187248109407,32.44984280035302,55.035301291942815,33.19236575587615,30.881823191096295,35.07675587556038,24.096385542168672,9999.0,22.140564449837555
confidence_in_domestic_institutions|WVS_E,38.82915173237754,71.1190289354061,58.03038061102577,23.58490566037736,20.53388090349076,86.14889571449466,24.096385542168672,23.494775413124515,0.0,33.452807646356035,14.684287812041118,34.72647458245224,63.4164565237695,31.749411500289813,9999.0,49.01960784313725,30.70915738106926,23.03390580337866,35.69362489876201,37.45318352059925,18.65671641791045,28.810837710364446,51.00993130227001,22.123893805309734,43.10344827586207,9999.0,43.19743130227001,29.2784538325993,64.30366440549908,16.611295681063122,59.752164318451875,16.835016835016834,23.980815347721823,11.947431302270012,22.271714922048996,31.555274439524915,17.57469244288225,44.24778761061947,33.59245294729166,23.255813953488374,30.487804878048777,23.474178403755868,9999.0,22.540651641253064
confidence_in_international_organizations|WVS_E,48.38709677419355,80.67697397722212,67.58832565284177,49.581114165586555,41.42569506918562,103.70940829161853,44.6142412387637,33.05272045494053,33.452807646356035,0.0,31.730325219341644,44.28441962426825,80.97696910089337,41.30735654210582,9999.0,70.04906566447437,40.26710242288527,32.59185084519467,52.84548464987405,51.3664194190999,36.52039135910103,38.36878275218045,60.56787634408602,49.76644120603727,73.65787503358453,9999.0,52.75537634408602,38.83639887441531,89.13684699620137,31.29969563889503,77.31267689557575,31.545741324921135,49.8921909891189,21.50537634408602,40.55299539170507,41.11321948134092,42.40787503358454,64.99333352517434,43.15039798910767,40.816326530612244,45.0347881087919,43.10344827586207,9999.0,32.098596683069076
