construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9920.592919199617,0.0,40.427149442165174,110.4332655887484,558.648188834881,29.511423459583597,9902.606506458776,9888.467068792588,9926.672218312613,6.67070278704734,9880.708423476864,9920.525181184508,9902.839476359066,9903.069298017459,0.0,7.772816884058216,24.496286091505063,16.59323928155692,86.30001681422007,921.6718520277792,21.43104014200864,249.5619811621967,38.91821222057981,521.5425404907006,9948.324884323392,46.78549399365076,9951.098096046257,9913.516012434035,245.41871194751724,99.37082331898344,0.0,0.0,0.0,0.0,9889.269151138717,13.841713893449878,0.0,9929.337861372343,365.91634415490626,287.69387281850356,218.7647627129229,0.0,9913.443178092457
autocracy_support|WVS_E,9920.592919199617,0.0,0.0,23.630315612035886,63.29240486079189,116.43970633677505,44.40644351952557,9948.493262055908,9931.37384968418,9960.953345023647,6.969751678302885,9888.448699423774,9918.746452874546,9948.726231956198,9948.956053614591,936.7914805908622,12.936230231130452,13.77975755805462,0.0,707.4289916748065,14.728418945665922,5.955918590022904,276.35434539749735,8.881060361738513,149.1438778024144,9952.248350862932,847.2891315349463,9968.49482315336,9957.67718075677,18.976078664766,889.4948231533597,61.90754447211424,8.926703287963917,0.0,34.05058347055413,9930.383816455966,2.836038351867053,0.0,9972.0446502326,6.613806253127439,45.353312575678956,29.151619132344166,0.0,9949.182790418508
basic_needs_deprivation|WVS_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_qualities_autonomy_self_expression|WVS_A,40.427149442165174,23.630315612035886,0.0,0.0,9934.595699641697,9920.555150464692,945.4486881196979,66.51346808858746,149.56051350321087,2.7830748658493434,9.881518150873958,149.5872774924097,32.97781444833636,318.02848927092765,521.8782204315831,139.92424242424244,26.086338156934083,15.341993602037377,0.0,9925.747859763555,43.83807291684967,11.424632303287861,590.252325794409,18.46675512384298,136.84380311324887,0.0,120.74446267432322,0.0,114.77784655956414,101.66542642598844,316.3000678886626,41.97394932503272,6.81037939581579,15.251920163655484,21.946179200118294,915.0706891553115,10.406393270977603,0.0,3.0278192282407588,22.77160473755793,9929.61379337886,63.75169256920292,0.0,50.716723256517895
child_qualities_conformity_tradition|WVS_A,110.4332655887484,63.29240486079189,0.0,9934.595699641697,0.0,9905.551173004664,13.778043993003408,251.5094906285596,37.7579737335835,330.6362402629644,71.47037978000559,354.0522201463057,290.82931275627215,204.1234129098009,140.86117107613052,64.1467735532685,221.64911526613656,51.58605516877813,25.95214440239794,9915.128927393007,102.90816953089593,532.8853753427786,852.2955087064004,72.32054563591572,525.4067428641462,61.303256758888864,60.304754520195985,10.310124506658212,94.0267426627547,4.010853912028196,330.5077529651562,12.741111261336911,41.61266594926384,0.0,103.06822383722627,105.5022991193204,0.4500240110031086,0.0,36.998958215466004,0.0,9908.86954114833,27.922629566160396,0.0,11.712789632409674
child_qualities_prosocial_diligence|WVS_A,558.648188834881,116.43970633677505,0.0,9920.555150464692,9905.551173004664,0.0,38.53339711235475,919.8818650245067,61.492611382937866,176.24438701663502,39.335540958688455,103.73974141676223,890.1350558431441,55.24997005993073,36.62372635063055,61.02623740561458,119.22226909716484,219.88264624093884,0.0,9907.586825412636,110.36100369695798,76.43045392479436,191.57053457299244,99.91404626980189,219.89090371008098,923.6369538315299,26.233884236165167,103.8178523514664,110.8839655435503,34.35152059005269,859.8834261219582,85.5086030969997,242.79569841342516,63.528588263792685,925.6990289588376,114.5383768713726,30.7414415082755,0.0,84.27832362373228,1.2473011376276162,9910.57524887761,124.69666765788882,0.0,223.60169641740976
civic_dishonesty_tolerance|WVS_F,29.511423459583597,44.40644351952557,0.0,945.4486881196979,13.778043993003408,38.53339711235475,0.0,300.91825982236946,47.43849005729693,64.9311378211634,195.78721814857772,39.98084004737754,33.07621254576863,31.727670825415174,4.118433759152325,64.40695454779963,53.00591664228027,27.506342626103105,0.0,0.0,38.17662611111065,963.3376902099369,870.6364860211014,9958.8731576953,921.2037962037962,0.0,0.0,50.73348551609421,22.88939131044394,0.0,9882.776963776963,9938.910615328276,9953.18923606843,9959.839847437786,35.799463165567346,248.24660224085994,9963.544889073191,0.0,38.24877667180546,0.0,213.2465643103941,9951.511773940345,0.0,30.67182759383639
confidence_in_civil_society_organizations|WVS_E,9902.606506458776,9948.493262055908,0.0,66.51346808858746,251.5094906285596,919.8818650245067,300.91825982236946,0.0,9913.387436943342,9942.966932282807,40.246239534964516,9870.462286682934,9900.760040133706,9930.739819215358,9930.96964087375,585.4717345166891,3.3110215036686412,1.6592666049243832,0.0,19.221710693296544,53.738861550738136,9.89266625725783,228.73830302702797,36.89031861656977,266.0780999822096,9934.261938122092,25.47496759793438,9950.50841041252,9939.690768015931,426.92888583299543,871.50841041252,140.40801941064115,28.877204443117364,148.5712940733418,53.60308301684128,9912.397403715126,55.369119213901826,0.0,9954.05823749176,206.0541036100076,135.96619061498103,234.36086763472514,0.0,9931.196377677668
confidence_in_domestic_institutions|WVS_E,9888.467068792588,9931.37384968418,0.0,149.56051350321087,37.7579737335835,61.492611382937866,47.43849005729693,9913.387436943342,0.0,9925.84751991108,0.0,9860.245954692557,9886.620602467518,9915.492329149232,9924.438596491229,26.685655478294933,17.71791673163885,73.60146867737136,29.27917357612924,10.986614647762238,302.8231528827142,23.235438759479834,0.0,67.4714933289909,67.25442695885292,9928.052794088311,0.0,9936.368972746332,9922.571355644202,20.57551900992209,143.08325846061697,38.50262429764388,21.239188963031808,36.80935341994159,150.4573028559379,9895.277991343399,5.002348126530471,0.0,9936.93882512003,0.0,906.080820796445,98.56240469540205,0.0,9914.076965305941
confidence_in_international_organizations|WVS_E,9926.672218312613,9960.953345023647,0.0,2.7830748658493434,330.6362402629644,176.24438701663502,64.9311378211634,9942.966932282807,9925.84751991108,0.0,6.710651507031599,9904.358686257563,9924.825751987542,9943.199902183096,9943.42972384149,0.0,0.0,0.0,0.0,0.0,18.529452993052487,0.0,0.0,3.16813557445564,266.22291201398707,9952.625455126426,0.0,9962.968493380258,9952.150850983668,963.1984926102573,883.9684933802581,0.0,0.0,9.340555785041246,0.0,9924.857486682864,9.781463721530315,0.0,9966.518320459498,313.3417727846422,27.40343540196568,68.98237331108153,0.0,9943.656460645407
