construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9718.167321288296,0.0,46.55716623801729,111.47094807225525,799.3523720349563,2.5601638504864184,9720.362229102167,9742.464052287582,9800.052128168341,9.90486018277474,9844.77922077922,9707.578562511148,9864.25974025974,9827.069657615111,801.424668227947,282.84434166787105,0.0,80.57148657564841,825.1199158946054,35.5517781834489,475.4088504088504,234.08876659277945,711.8376291432875,419.8137039577574,9882.3918813427,102.95019463552495,9874.0,9804.352756059534,801.1844490868826,65.14742524916943,0.0,0.0,476.43570536828963,10.13258291153582,9853.217110573043,810.7388497034775,159.49579831932778,9866.979242979243,73.37010534684953,0.0,0.0,0.0,0.0
autocracy_support|WVS_E,9718.167321288296,0.0,13.347894672976565,41.41702112522171,756.810340507054,735.8796551487985,469.2317804349112,9702.687445127305,9698.741126066721,9707.258106797051,0.0,9726.153326764414,9644.105845624988,9727.439178958322,9704.818732424832,685.4457222086289,474.3839107521108,0.0,768.7790555419623,761.6471990084476,267.7671500488393,415.9636599610642,753.949383039955,276.6721945826423,320.2599284803197,9746.07339998291,324.0390340387313,9752.119782907219,9740.880039173377,737.7117322007248,191.3204556485863,209.6094671152906,125.55504482418817,73.67727419641761,163.24626865671644,9781.253117971784,172.18028848890557,731.5104320295754,9733.328358208955,20.03396523395969,1.4709063378758458,0.0,0.0,0.0
basic_needs_deprivation|WVS_H,0.0,13.347894672976565,0.0,0.0,4.125071715433165,877.3591753774681,0.0,777.4835920326146,170.37359408373152,15.955534248217162,9931.516953058133,0.0,695.6762749445675,0.0,0.0,9889.710382513662,140.53803339517623,0.0,56.43851098396556,672.3574884678865,9911.071535022355,564.6945646945647,895.4289032686245,308.6991010047594,9919.864124125825,0.0,0.0,0.0,139.76981581230206,9878.191252429395,0.0,0.0,0.0,517.6778028284484,0.0,0.0,488.2598581068389,26.64514998393551,0.0,9913.469893402478,0.0,0.0,0.0,0.0
child_qualities_autonomy_self_expression|WVS_A,46.55716623801729,41.41702112522171,0.0,0.0,9874.093594717855,9844.875850340137,147.2649511213341,368.6539258780339,776.6828384479895,383.3456516383345,0.0,858.1418581418582,664.1929499072355,69.93006993006995,143.46259800805257,124.88857884742083,864.4021366936036,0.0,650.682421340724,9874.460907517496,154.18623929262228,487.77148777148784,248.56096284667714,302.9783074395291,55.83597125323507,0.0,267.3971025034855,0.0,108.28649077497005,681.0412607253957,67.01691067322525,107.02341137123744,0.0,0.0,9.121571455845242,0.0,95.2988911819231,9839.627371616494,19.230769230769226,5.64022724789686,9886.411347517731,0.0,0.0,0.0
child_qualities_conformity_tradition|WVS_A,111.47094807225525,756.810340507054,4.125071715433165,9874.093594717855,0.0,9915.764018691589,874.3872549019608,812.5560313500398,48.98956251387966,0.0,0.0,13.312502628741925,148.57085432906956,54.25107873299666,48.51708091843426,853.2458482655236,0.0,815.1549809412465,441.806749034952,9941.531562551238,185.49361885478746,529.3057686220079,45.94485769385636,128.1739471452483,50.0957132239315,0.0,0.0,0.0,46.22119283962316,24.979074466919343,868.3310533515732,127.1720854270549,0.0,0.0,6.647868068016749,0.0,0.0,9904.954270263916,0.0,18.98677716434726,9930.394168504323,0.0,0.0,0.0
child_qualities_prosocial_diligence|WVS_A,799.3523720349563,735.8796551487985,877.3591753774681,9844.875850340137,9915.764018691589,0.0,112.23245752690059,624.9586793251177,352.95611091487103,182.24009900990097,111.06984002392167,866.6158536585366,471.7261904761904,245.5357142857143,799.3523720349563,601.5459321380374,65.87477120195243,473.3686806097292,531.9871747878076,9920.600877192983,157.81529516994632,496.24548328816627,157.80550024888,46.10195743916674,839.6336640782283,156.37928292372598,851.72376784022,77.00788732126195,187.54800307219662,141.56784940964985,153.7953035955606,178.82204523008974,68.06077694235589,0.0,209.3366694659798,30.17611683848797,9.802997830843594,9884.02358490566,485.7122393649729,22.951270003156793,9909.463483146068,0.0,0.0,0.0
civic_dishonesty_tolerance|WVS_F,2.5601638504864184,469.2317804349112,0.0,147.2649511213341,874.3872549019608,112.23245752690059,0.0,722.483395599834,178.60014619883043,214.86760191028486,264.8988812392427,0.0,569.0776956221387,0.0,0.0,635.1802227826819,866.3194444444445,0.7698940625770092,2.4681656995486776,0.0,0.0,551.5046296296297,0.0,9866.271505376344,896.1031951640759,0.0,40.50925925925927,0.0,217.1339404525771,140.8502488645412,9888.777131782947,9863.583333333334,9910.55303030303,9877.601505145949,15.610410830999058,874.0583804143126,9857.630952380952,419.7883244206774,0.0,153.5873440285205,34.455128205128204,0.0,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,9720.362229102167,9702.687445127305,777.4835920326146,368.6539258780339,812.5560313500398,624.9586793251177,722.483395599834,0.0,9754.486816909706,9763.003797640038,647.8874937080137,9761.407866316988,9699.851536467975,9783.184869801307,9710.920464306704,353.1071755657192,815.8438873093822,0.0,234.50516808528283,817.3928898514334,797.197051418141,418.15856777493605,809.6950738829407,32.58734204098971,449.71139102239374,9773.566728933167,0.0,9807.865473750206,9796.625730016362,793.4574230437106,716.4271940494464,195.13770826249575,810.9303652968036,47.79031197817892,513.1968488132873,9831.149501099273,40.69193677869987,787.2561228725613,9781.368537339815,0.0,439.9367755532139,0.0,0.0,0.0
confidence_in_domestic_institutions|WVS_E,9742.464052287582,9698.741126066721,170.37359408373152,776.6828384479895,48.98956251387966,352.95611091487103,178.60014619883043,9754.486816909706,0.0,9836.092731829574,284.35174451973506,9855.72514619883,9744.61403508772,9818.19984525071,9776.14556661925,0.0,0.0,143.1125044688282,0.0,90.5031033960741,546.4977411532577,486.3547758284601,82.80528742758142,26.127221460537555,0.0,9823.747474747475,94.02824739841046,9860.26029359112,9831.640705465765,283.01785303856764,184.0198321891686,0.0,0.0,105.99638204724745,0.0,9860.608920748706,143.09968469561,0.0,9843.253490870033,0.0,36.70388751033914,0.0,0.0,0.0
confidence_in_international_organizations|WVS_E,9800.052128168341,9707.258106797051,15.955534248217162,383.3456516383345,0.0,182.24009900990097,214.86760191028486,9763.003797640038,9836.092731829574,0.0,172.16642754662843,9868.256474519632,9757.145363408521,9851.474021428956,9818.68928600177,1.7109629063241982,0.0,357.5118381403358,0.0,874.6743095362168,442.7137652205713,498.8861041492621,581.2622078534384,26.16483531692853,86.93233553589931,9881.335550628233,17.09642781150879,9888.287422285988,9853.907149701145,100.73884272849395,379.7515713000682,79.58510268230401,0.0,0.0,0.0,9880.105202029465,54.58162499467426,0.0,9874.409143701827,0.0,0.0,0.0,0.0,0.0
