construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,77.35066125216045,104.65229215229215,50.955988455988454,70.92198581560284,80.59397235893167,52.91005291005291,65.22869674652236,74.80231430087046,78.58187134502924,51.96360153256705,60.90023269342641,66.94716109752784,47.20661672908864,76.2530146065686,88.63646449001848,72.458071278826,48.09120617944147,60.227373580927576,46.47310353832093,9999.0,126.46534148827726,55.17211997273347,51.282051282051285,71.80144765500165,87.02200240554103,87.10780366780898,44.23697008140395,102.43903226639799,46.94716109752785,61.31608707944585,53.07106858852572,52.631578947368425,50.63676686147227,38.167938931297705,52.08333333333333,34.72222222222222,49.94292237442922,54.330065359477125,44.468810916179336,46.163869819476226,64.61500562049605,9999.0,52.143825009678665
autocracy_support|WVS_E,77.35066125216045,0.0,91.93855860719347,46.02502177527912,32.46071098411632,37.48988644923695,46.959791545361085,45.69471624266144,58.25865335797523,51.966493246145774,54.25245438883118,64.18085297697337,30.110300658245862,34.21730476524997,33.1489286968739,45.53237858032378,62.994847304260404,29.43855860719347,17.123287671232877,48.73725702490284,9999.0,90.11598840115988,47.06340743171192,54.58390354325404,28.69736174530695,82.9127613554434,70.56414272491374,40.32514381972476,72.98920945894237,30.40350015463261,36.88613352103525,27.400779963113656,46.55858900762131,27.550816346936735,40.0196442771113,59.98955014104935,42.628439029938235,51.344451346466506,28.461156151958498,45.094675996059536,44.2174830136034,48.071344677600806,9999.0,43.93529988399662
basic_needs_deprivation|WVS_H,104.65229215229215,91.93855860719347,0.0,86.16383616383617,89.77480219111382,95.18186971396467,80.59219680525408,87.43765586034912,104.2800346937129,109.6584765108735,87.17144924041476,96.10808040127412,87.80228392297359,82.41446443693636,90.84091196160162,103.2243618450515,95.23809523809523,62.5,74.8152709359606,66.2251655629139,9999.0,147.8079716658876,90.37996768058119,86.84372226394483,86.38934501003467,62.893081761006286,116.58552406065142,78.39825119236883,116.84782608695653,76.4248814903703,91.92875745936254,84.68251980581208,87.87018720793554,80.01636943223916,80.67120849075737,87.29118104118105,69.93006993006993,85.15077008227694,86.15313941668622,77.7078965758211,81.37171752732394,94.09272601333849,9999.0,62.893081761006286
child_qualities_autonomy_self_expression|WVS_A,50.955988455988454,46.02502177527912,86.16383616383617,0.0,44.239157416929686,49.268332882050316,40.32258064516129,46.74024075806637,56.313858312414474,60.093415356573246,33.47514554411106,42.41177670497042,41.88874709105923,23.980815347721823,44.92737512968727,57.31082501313715,53.96961529037001,24.390243902439025,28.901734104046245,27.98464754986494,9999.0,101.89443483397325,36.68366398427748,26.595744680851062,40.47580817812032,66.13809714973905,68.61934767935298,19.880715705765407,78.73806998939554,28.458705109071857,38.167938931297705,28.73563218390805,27.397260273972606,26.666666666666668,24.213075060532685,33.59487734487735,16.233766233766232,31.454466385973234,35.841609371021136,23.58490566037736,27.675413831020236,46.12654963204005,9999.0,33.65536902122268
child_qualities_conformity_tradition|WVS_A,70.92198581560284,32.46071098411632,89.77480219111382,44.239157416929686,0.0,35.70402209088751,31.948881789137378,31.152647975077883,56.47278899962579,50.18062888779633,52.46659003048175,62.39498861862393,28.324436299896426,32.431440406900535,31.363064338524463,43.746514221974344,61.20898294591096,27.65269424884403,15.337423312883438,46.9513926665534,9999.0,88.33012404281044,45.27754307336248,52.7980391849046,26.91149738695751,81.12689699709395,68.7782783665643,38.539279461375315,71.20334510059294,28.61763579628317,35.100269162685805,25.61491560476422,44.772724649271865,25.764951988587296,38.02281368821293,58.20368578269991,40.84257467158879,47.88329519450801,25.0,41.696535244922345,42.43161865525396,46.28548031925137,9999.0,26.881720430107528
child_qualities_prosocial_diligence|WVS_A,80.59397235893167,37.48988644923695,95.18186971396467,49.268332882050316,35.70402209088751,0.0,50.20310265213229,48.938027349432645,61.50196446474643,55.20980435291697,57.495765495602384,67.42416408374456,33.353611765017064,37.460615872021165,36.3922398036451,48.77568968709498,66.2381584110316,32.681869713964666,20.366598778004075,51.98056813167403,9999.0,93.35929950793108,50.30671853848312,57.82721465002524,31.940672852078148,86.1560724622146,73.80745383168494,43.56845492649596,76.23252056571357,33.64681126140381,40.12944462780645,30.64409106988486,49.80190011439251,30.794127453707933,43.2629553838825,63.23286124782055,45.87175013670944,54.58776245323771,31.7044672587297,48.33798710283074,47.4607941203746,51.31465578437201,9999.0,47.17861099076782
civic_dishonesty_tolerance|WVS_F,52.91005291005291,46.959791545361085,80.59219680525408,40.32258064516129,31.948881789137378,50.20310265213229,0.0,32.362459546925564,44.41144459407109,64.6797094490411,43.10344827586207,45.662100456621005,36.556291390728475,27.932960893854748,45.862144899769234,46.948356807511736,52.37114437857932,34.69042017611599,29.83650387412821,22.026431718061673,9999.0,101.30205410259289,30.487804878048777,37.64719202898551,41.41057794820228,61.140552084157235,56.7169339610096,23.696682464454977,85.70242566183771,16.556291390728475,32.06016735972072,24.813929706170256,32.71138024371717,23.603507740270405,18.115942028985508,34.129692832764505,28.333949288752653,27.247956403269754,24.57002457002457,18.587360594795538,24.752475247524753,34.22413591369667,9999.0,17.699115044247787
confidence_in_civil_society_organizations|WVS_E,65.22869674652236,45.69471624266144,87.43765586034912,46.74024075806637,31.152647975077883,48.938027349432645,32.362459546925564,0.0,46.13668885233713,63.41463414634146,47.747853834644964,56.68448499550433,38.28153564899452,33.34177661284994,44.59706959706959,52.91005291005291,64.93506493506493,24.93765586034913,28.57142857142857,39.740763116805674,9999.0,101.56412930135558,50.956372274811386,42.55338030918869,40.145502645502646,82.80625470761896,58.44217821927565,35.949380171962716,79.28548194730566,18.281535648994517,33.78541161798677,26.5391739644363,34.43662450198321,23.752969121140143,30.61199187587491,47.867585635411245,30.50647452430014,45.72717467650714,39.909297052154194,40.25306321825725,36.63015950220553,34.129692832764505,9999.0,31.813335378358524
confidence_in_domestic_institutions|WVS_E,74.80231430087046,58.25865335797523,104.2800346937129,56.313858312414474,56.47278899962579,61.50196446474643,44.41144459407109,46.13668885233713,0.0,75.97857126165525,57.32147138899307,66.25810254985242,47.85515320334262,42.91539416719804,57.161006712383376,69.54445659583325,77.81594113525202,53.44907603586749,41.13536568674235,49.31438067115377,9999.0,112.60091591520703,60.52998982915949,52.126997863536786,52.70943976081642,92.37987226196705,68.01579577362375,45.52299772631082,97.00128747445186,27.855153203342617,43.359029172334864,36.1127915187844,44.01024205633131,33.222591362126245,40.18560943022301,57.44120318975935,40.08009207864824,55.300792230855244,52.47323416746797,49.82668077260536,46.203777056553626,45.52299772631082,9999.0,41.38695293270662
confidence_in_international_organizations|WVS_E,78.58187134502924,51.966493246145774,109.6584765108735,60.093415356573246,50.18062888779633,55.20980435291697,64.6797094490411,63.41463414634146,75.97857126165525,0.0,61.10102843315184,70.0376595940112,47.83021856192588,51.93722266892999,50.86884660055392,63.2522964840038,80.71476520794042,47.158476510873484,34.84320557491289,55.61053043890572,9999.0,107.83590630483991,64.30954687331825,69.93006993006993,42.73504273504273,96.15942930612583,88.28406062859375,53.374396981988745,90.70912736262238,48.12341805831262,54.60605142471526,45.12069786679368,64.27850691130132,45.270734250616755,54.600787683494445,61.22076023391813,43.859649122807014,54.054054054054056,46.18107405563852,53.60623781676413,55.30129672006102,65.79126258128082,9999.0,61.281251910263464
