construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9866.682274321563,156.49193394140684,422.10552021468106,816.9171807273112,38.0801969143635,930.2994380049174,9869.228646049894,9896.519717725198,9929.641217078924,37.84340918525227,9873.33789954338,9880.874131427438,9870.885067939193,9916.707862913343,0.0,84.81956740822443,240.4221943397058,0.0,77.29446565429683,0.0,215.1145293973156,93.7560610825555,66.70674609132514,47.74449294997241,9912.852069583865,898.0121272688291,9914.39884687266,9894.514370131614,35.05876354905992,740.2778679478024,0.0,47.4321182560694,163.68947986270123,53.150578995875506,9907.466339910352,200.51178427148056,54.33054714282022,9885.034236299243,0.0,897.9885325808626,283.04525423743985,95.7520409575204,9947.51717777388
autocracy_support|WVS_E,9866.682274321563,0.0,8.165372032862862,221.60914565977853,200.16608020454183,99.48075418113692,7.9832672243835106,9863.492524504269,9869.042194092826,9893.723294723295,418.99900722707605,9854.536975102192,9839.880606662244,9860.111111111111,9875.71433814815,0.0,0.0,0.0,7.683997419694691,139.94148709789644,0.0,0.0,864.0832910343429,13.77260161633798,796.7942582280687,9918.377838229164,118.51851851851852,9919.179935139658,9886.447777015652,7.064052016324268,265.1444700939794,0.0,115.25182265970088,4.2764283270612395,244.29991137353892,9897.394684514284,17.219543406705768,550.7455187738346,9887.490284005979,0.0,0.0,159.58600787906502,10.099556935815386,9906.523653008686
basic_needs_deprivation|WVS_H,156.49193394140684,8.165372032862862,0.0,579.563451077601,157.9932131627284,135.26679968728487,0.0,15.535119205678143,0.0,0.0,9952.750485814224,0.0,261.965398557218,0.0,96.92028509648195,0.0,114.34866813611427,0.0,79.00132503842194,4.317664020248095,0.0,383.8465017850508,109.68706090657312,121.08942778646757,9942.972782320994,0.0,47.17692613325633,0.0,162.72188172426053,9941.827130852342,157.61556167038748,0.0,930.3428343976602,5.67828402145733,0.5333274575503921,0.0,456.71849922382717,13.507160878256762,0.0,0.0,0.0,0.0,961.596548004315,0.0
child_qualities_autonomy_self_expression|WVS_A,422.10552021468106,221.60914565977853,579.563451077601,0.0,9872.588342440802,9866.36010320916,111.3532750034219,379.5832709167921,212.53674044042185,258.88575302166186,901.9037546271813,862.6455281295273,839.7482969998044,866.3851565039577,330.1274830311644,0.0,0.0,24.796606490400407,20.907717289659544,9913.241218932171,0.0,14.479895402774702,865.4012079378774,34.151961827950274,892.1260511339506,0.0,468.3119136469656,0.0,192.46653274817268,139.64779875580072,260.2174629709048,0.0,153.37985613329795,55.58124074298664,897.6661881072419,45.707263708432635,23.92896269388224,9891.976931151907,297.20099153067554,0.0,9905.142234367884,523.213816653533,9905.855791962174,0.0
child_qualities_conformity_tradition|WVS_A,816.9171807273112,200.16608020454183,157.9932131627284,9872.588342440802,0.0,9903.273504273504,48.49752960218076,869.3791185995381,166.9404605451117,93.72611585807645,177.52176139272916,541.8504840131043,881.0246039770813,648.1542149516373,239.43898062427692,0.0,37.65076783214495,95.56345029948832,0.0,9936.274019906561,0.0,222.66836329149766,380.41776453965707,46.464646464646464,314.2642044196449,395.2826779152191,905.0505050505051,831.5281337452445,311.33150934792525,121.17363491292996,531.0950071641133,0.0,303.74389752111074,60.56722513961823,649.4746710632658,120.38276990680423,50.51266370252833,9903.22728834918,136.97505310530937,0.0,9904.026910362538,919.7132616487455,9935.06237816764,0.0
child_qualities_prosocial_diligence|WVS_A,38.0801969143635,99.48075418113692,135.26679968728487,9866.36010320916,9903.273504273504,0.0,190.08648488417273,353.7460076552649,243.22190227312467,919.2005444839943,26.92853910139364,19.822799641705487,102.99159836739096,162.45131690502467,341.0497990140649,0.0,4.464683390295292,1.6935390693132177,21.637384428764264,9933.648370497427,0.0,14.246508942886067,96.08636977058029,25.07276430866486,40.45827179018279,0.0,198.48231660982282,0.0,144.17393760856314,0.0,895.5038620195394,0.0,38.809024658081256,195.24635026531453,30.392166266475257,97.18498990370527,62.53112223261476,9913.220150069206,28.692837357427933,0.0,9923.975035475903,579.5423214778053,9928.224771330035,0.0
civic_dishonesty_tolerance|WVS_F,930.2994380049174,7.9832672243835106,0.0,111.3532750034219,48.49752960218076,190.08648488417273,0.0,447.4078405236088,20.153457653457636,21.23037323846279,233.07815921452283,51.06970324361629,903.4977703455965,54.63176681792726,177.42673992673994,0.0,0.0,0.0,0.0,95.6738731041021,0.0,25.097956675263404,196.97072498796635,9943.360297981515,664.6062271062272,131.30854750662067,375.13866993635776,189.80295210942293,62.06554528165782,0.0,9927.568173532629,0.0,9889.972400605075,9957.040391508133,350.73166711794966,52.041198340706046,9950.86515291937,108.51863653587793,0.0,0.0,0.0,9934.255971989143,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,9869.228646049894,9863.492524504269,15.535119205678143,379.5832709167921,869.3791185995381,353.7460076552649,447.4078405236088,0.0,9866.298990602158,9900.612716092353,895.2295894817214,9856.756981203842,9842.426978390573,9860.496609578271,9878.260709876478,0.0,10.017464130183086,27.613752310108566,915.8907465065148,10.362773016586303,0.0,0.0,366.6296627626724,888.8053429180619,445.80527642104465,9923.725342785543,104.54437419248734,9923.189467258711,9897.275210877502,398.3551115273645,105.87169241015394,0.0,460.0505839931376,88.19004972851126,98.03675929234463,9887.472381424455,121.54307776239034,200.58838422621983,9880.760601972654,0.0,4.346470947351705,205.8252697278466,109.5784023668639,9909.070024737015
confidence_in_domestic_institutions|WVS_E,9896.519717725198,9869.042194092826,0.0,212.53674044042185,166.9404605451117,243.22190227312467,20.153457653457636,9866.298990602158,0.0,9918.485135717363,922.5206611570247,9863.734299516907,9869.718050065876,9869.308435525827,9905.551781551781,0.0,0.0,0.0,0.0,189.3498310335945,0.0,0.0,727.2540677713092,25.565657233512468,917.5407925407926,9915.002310803004,138.01056771275876,9915.804407713498,9883.358288770054,8.55865446029378,252.9313103957654,0.0,153.68814192343604,5.90583251873575,505.2297917519618,9896.31025854879,11.678025232242092,348.46618898343036,9885.191433431266,0.0,0.0,157.92905891576515,4.136189481017084,9936.361096412318
confidence_in_international_organizations|WVS_E,9929.641217078924,9893.723294723295,0.0,258.88575302166186,93.72611585807645,919.2005444839943,21.23037323846279,9900.612716092353,9918.485135717363,0.0,71.92123027819349,9906.907739534492,9902.839549419603,9910.647367908923,9938.673280905508,0.0,0.0,0.0,0.0,452.2010601170511,0.0,0.0,96.53375921543149,147.82626050466834,74.11908201797618,9943.68125414417,20.164973444619676,9943.145378617337,9917.231122236128,89.94094713908953,65.89625397649809,0.0,891.7712012341168,0.0,220.3862672583118,9929.431757902517,32.20693199337635,24.129612432479348,9924.796536268974,0.0,0.0,25.549392768326484,48.138170923796466,9969.482595766045
crime_victimization|WVS_H,37.84340918525227,418.99900722707605,9952.750485814224,901.9037546271813,177.52176139272916,26.92853910139364,233.07815921452283,895.2295894817214,922.5206611570247,71.92123027819349,0.0,0.0,47.72014528179977,23.51792767468976,44.7496226717006,0.0,955.9743569938983,128.02767779542827,0.0,147.4076139111228,0.0,276.98183227614777,56.23938879456706,179.3552220497192,9956.96423199064,30.05224201029634,933.365917236885,950.7526368407155,920.5153135634419,9904.58660807492,74.80262090343952,0.0,51.122854857992294,54.87563994703524,12.284856768809462,189.8775397524355,225.70690085830847,99.56928465509307,32.4991373784102,0.0,14.643135557048595,156.36200716845877,348.9931749694059,0.0
democratic_system_evaluation|WVS_E,9873.33789954338,9854.536975102192,0.0,862.6455281295273,541.8504840131043,19.822799641705487,51.06970324361629,9856.756981203842,9863.734299516907,9906.907739534492,0.0,0.0,9846.536231884058,9907.955778520996,9882.369963369963,0.0,139.2608105475177,28.796362766212027,0.0,74.98071869290467,0.0,916.9285788369771,305.52152495180985,15.973448740913327,0.0,9927.10372207357,717.899452623385,9932.56751394513,9873.375387347616,0.0,150.36184838652343,0.0,76.1700094888022,490.31414716424206,0.0,9884.64617961603,229.04788810371048,897.4664309126392,9916.386284171667,0.0,0.0,48.52024249009173,89.91672029433656,9918.628261790882
