construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,271.4330354101845,172.33468286099867,204.16521436040432,158.56773008367475,87.71929824561403,156.3236910596812,131.5961436750796,203.99836801305588,212.57500029312604,139.0013495276653,192.98245614035088,167.71929824561403,182.05892088712346,157.54898194391086,9999.0,128.07510348905973,124.37421188077272,121.05263157894737,228.57951329937748,201.06780421898674,120.83188102707098,161.29769485118598,243.96929824561403,192.98245614035088,146.08440627959624,222.85443338074916,143.45631541621125,153.50877192982455,136.02847698957538,167.13558088770313,156.21244893054552,198.00517341912968,186.191358151254,159.74238686364686,186.89863290082445,152.88316307835302,9999.0,118.3941448713809,9999.0,153.51161958916248,137.92589812108807,173.32397226734025,129.7331871345029
autocracy_support|WVS_E,271.4330354101845,0.0,206.59169989397128,229.02603664416586,188.33700343971728,183.71373716457046,190.58070809265382,158.157602663707,260.5728065066569,242.34427364916854,205.30964861192,288.9768950593073,228.7261543831135,261.71226549422465,191.58476094049055,9999.0,162.33212052203237,147.05882352941177,155.30964861192,262.8365303323501,235.32482125195938,150.6011543831135,187.7092300334768,281.89192709293263,288.9768950593073,174.60703289580294,318.8488722997056,173.2255887722538,206.78092966401238,164.97997048281678,201.39259792067577,227.52423130619042,232.2621904521023,215.9606315072965,186.12132352941177,221.15564993379706,182.27009113504556,9999.0,187.1567823698818,9999.0,178.6045648543329,165.7155399473222,207.58098930031292,163.99020416747555
basic_needs_deprivation|WVS_H,172.33468286099867,206.59169989397128,0.0,141.5000894793136,95.93831556356855,84.61538461538461,83.80414312617702,68.9667291549734,156.54520917678815,149.94558577301984,101.28205128205128,189.87854251012146,136.32746650696478,166.22458001768348,87.77840164701479,9999.0,55.55555555555556,59.532876364559534,51.282051282051285,158.8089330024814,128.54825628548258,58.20246650696478,88.7781469176818,177.86432976306395,189.87854251012146,83.45499175949003,219.75051975051974,80.82690089610506,114.38224178786366,76.38428468878297,97.36500059080704,135.12554343004172,125.48562548562549,123.5619436311478,97.11297234354066,114.37908496732027,90.25374855824683,9999.0,83.12918504001307,9999.0,90.88220506905628,75.29648360098187,100.8044243338361,59.880239520958085
child_qualities_autonomy_self_expression|WVS_A,204.16521436040432,229.02603664416586,141.5000894793136,0.0,121.06918238993711,116.44591611479028,125.48909767799616,93.06599224904932,195.48119609199918,175.07645259938838,140.21803819726233,221.70907400952711,161.45833333333331,194.44444444444446,124.31693989071037,9999.0,97.24051010737469,81.96721311475409,90.21803819726233,197.74491991769244,170.2332108373017,83.33333333333333,122.61761961881913,216.80031667827498,221.70907400952711,108.58585858585857,251.5810512499254,105.95776772247359,139.5131086142322,99.8883600681591,136.3009875060181,160.25641025641025,167.1705800374446,148.69281045751634,121.02971311475409,156.06403951913938,115.38461538461539,9999.0,122.06517195522412,9999.0,113.51295443967523,100.42735042735042,142.48937888565524,98.89859375281789
child_qualities_conformity_tradition|WVS_A,158.56773008367475,188.33700343971728,95.93831556356855,121.06918238993711,0.0,70.84843183806072,79.92732376225109,48.50011170461239,149.91942217625413,129.47896832265883,94.65626428151728,176.11158973279757,115.86084905660377,148.84696016771488,78.71945561398081,9999.0,51.67873619162963,41.27817991030551,44.656264281517274,152.1831460019474,124.67143692155665,37.735849056603776,81.92858641437056,171.2385427625299,176.11158973279757,62.98837430912903,205.98356697319585,60.360283445744045,93.91562433750266,55.917667238421956,90.73921359027304,114.6589259796807,121.60880612169956,103.0953261807868,76.64635489317965,110.50226560339433,69.78713110788583,9999.0,76.50339803947907,9999.0,70.41558761869528,54.82986615062087,96.92760496991016,53.336819837072824
child_qualities_prosocial_diligence|WVS_A,87.71929824561403,183.71373716457046,84.61538461538461,116.44591611479028,70.84843183806072,0.0,68.60439281406715,43.87684542946556,116.27906976744185,124.855702047512,51.282051282051285,105.26315789473685,80.0,94.33962264150944,69.82968369829683,9999.0,40.355805243445694,36.654913635158685,33.333333333333336,140.86021505376345,113.34850597337271,33.11258278145695,73.57839660557194,156.25,105.26315789473685,58.365108033982196,135.13513513513513,55.73701717059722,65.78947368421052,48.309178743961354,79.4162826420891,68.4931506849315,110.28587517351562,98.47205990563997,72.02308861803283,99.1793346552104,65.163864832739,9999.0,30.674846625766875,9999.0,65.79232134354845,50.20659987547404,85.60467402172623,42.01388888888889
civic_dishonesty_tolerance|WVS_F,156.3236910596812,190.58070809265382,83.80414312617702,125.48909767799616,79.92732376225109,68.60439281406715,0.0,52.955737353655934,140.5342173754707,133.93459397170238,79.53063885267275,173.867550708804,120.31647470564732,150.21358821636602,71.76740984569733,9999.0,28.248587570621467,43.521884563242075,35.271059480733825,142.79794120116395,101.24128830054848,42.19147470564732,61.47117893274771,159.8275349390425,173.867550708804,67.44399995817257,203.73952794920228,64.8159090947876,98.3712499865462,60.37329288746551,81.35400878948958,119.11455162872424,98.1786575006914,107.55095182983034,81.1019805422232,87.07211698238618,74.24275675692937,9999.0,61.5819209039548,9999.0,74.87121326773882,59.28549179966441,73.497456348902,32.78688524590164
confidence_in_civil_society_organizations|WVS_E,131.5961436750796,158.157602663707,68.9667291549734,93.06599224904932,48.50011170461239,43.87684542946556,52.955737353655934,0.0,122.94783576765896,102.50738191406366,67.68467787292211,149.1400033242024,88.88926264800861,121.87537375911973,51.747869205385655,9999.0,24.707149783034467,11.098779134295228,17.68467787292211,125.21155959335222,97.69985051296148,10.764262648008613,51.74918563836027,144.26695635393475,149.1400033242024,36.01678790053386,179.0119805646007,33.38869703714888,66.94403792890749,28.946080829826798,63.76762718167787,87.68733957108553,94.6372197131044,76.12373977219163,49.67476848458448,83.53067919479918,42.81554469929066,9999.0,49.531811630883894,9999.0,42.644520459216366,27.858279742025708,69.956018561315,26.365233428477666
confidence_in_domestic_institutions|WVS_E,203.99836801305588,260.5728065066569,156.54520917678815,195.48119609199918,149.91942217625413,116.27906976744185,140.5342173754707,122.94783576765896,0.0,203.9266923857054,155.26315789473685,221.5422276621787,190.30857311965036,210.6186924089513,141.75950825970034,9999.0,112.28562980484921,113.51398297724509,105.26315789473685,212.79003961516696,185.27833053477622,112.18357311965035,145.50822116697546,231.8454363757495,221.5422276621787,137.4360983721756,251.41420490257698,134.8080075087906,168.36334840054923,130.36539130146852,151.3461072034926,184.77222045237335,182.21569973491916,177.54305024383336,151.0940789562262,171.10915921661393,144.2348551709324,9999.0,137.11029165269863,9999.0,144.86331168174186,129.27759021366745,157.53449858312973,113.9437134502924
confidence_in_international_organizations|WVS_E,212.57500029312604,242.34427364916854,149.94558577301984,175.07645259938838,129.47896832265883,124.855702047512,133.93459397170238,102.50738191406366,203.9266923857054,0.0,148.66353449096854,230.11885994224883,169.86811926605503,202.85423037716618,132.7267258234321,9999.0,105.6860064010809,95.28545011975679,98.66353449096854,206.19041621139866,178.6787071310079,91.74311926605505,135.93585662382182,225.2458129719812,230.11885994224883,116.99564451858029,259.9908371826471,114.36755365519531,147.92289454695393,109.92493744787323,144.7464837997243,168.66619618913197,175.61607633115085,157.10259639023806,130.6536251026309,164.50953581284563,123.7944013173371,9999.0,130.51066824893033,9999.0,124.42285782814656,108.83713636007214,150.93487517936143,107.3440900465241
