construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9936.437769664786,0.0,132.6831245563468,37.37303956747258,0.0,0.0,9947.967148745214,9960.074760693082,9958.364306396421,191.46873861089787,9956.331124873974,9902.859434700142,9922.073954487567,9947.553570987426,0.0,18.96473826298387,0.0,0.0,183.64676661991857,0.0,17.712681523165394,0.0,5.359299516908209,7.1459665907259335,9954.790402393648,270.882016928909,9907.503585441753,9952.961852636778,0.0,0.0,104.47110123575413,3.6800801840617794,0.0,0.0,9946.358983554486,0.0,0.0,9915.821794758147,0.0,586.8838763575607,0.0,25.90949165630208,9943.277327454898
autocracy_support|WVS_E,9936.437769664786,0.0,0.0,774.5295921293539,0.0,149.546639000832,0.0,9923.572857341298,9935.680469289166,9933.970014992503,34.3245770964988,9931.936833470058,9881.228442684509,9874.983174806814,9923.15927958351,0.0,341.4693803988208,13.231695840391495,0.0,20.695404176367376,0.0,681.0934687503726,0.0,8.307198327359615,9.330283434232257,9930.396110989732,88.18659914296845,9880.418813494678,9928.567561232861,25.961160468590293,105.95593950097496,17.822513577493567,459.47964372398496,0.0,0.0,9921.964692150568,0.0,18.77728019953517,9886.583680687128,0.0,165.95717234262128,0.0,884.7201656843674,9918.457128361239
basic_needs_deprivation|WVS_H,0.0,0.0,0.0,320.25995746922683,0.0,72.26473918719631,0.0,0.0,0.0,0.0,9950.267056530214,0.0,21.25465849208196,367.7066749823565,0.0,9951.00302776599,131.0615735903092,0.0,0.0,0.0,9954.356253114101,101.17044063647491,0.0,0.0,9951.26201964012,0.0,12.42690058479532,0.0,0.0,9934.978882880754,162.60341105022826,0.0,144.99112030253318,0.0,0.0,0.0,0.0,15.10874168014854,0.0,9948.902815223524,0.0,0.0,238.08876195657098,49.98281533853783
child_qualities_autonomy_self_expression|WVS_A,132.6831245563468,774.5295921293539,320.25995746922683,0.0,9810.769762570679,9792.722770516582,82.39621077393039,791.8928612184346,133.10659018003614,185.93820481349775,456.26293995859214,794.0879205112117,760.2233708181006,375.0441501484711,172.21868167890858,790.6144080631125,798.575288626873,470.9777091149856,106.54017413993591,9800.501035196687,214.91919166116563,541.5804002760525,0.0,803.0143523879707,231.08872393071758,17.47266307753995,679.1940049949203,0.0,793.871710528076,775.3761264726497,17.03827573392789,806.4490441769544,417.65290134855354,823.9198157930381,797.2689955600234,287.687931735067,809.2365082405304,9780.455809685493,28.9908976000321,791.868533741756,9752.031647441585,640.4998877497568,9792.344068706387,0.0
child_qualities_conformity_tradition|WVS_A,37.37303956747258,0.0,0.0,9810.769762570679,0.0,9934.663773284732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.266969351424663,2.6990387715679915,0.0,66.32576557388586,0.0,0.0,9951.972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.21706864564007,0.0,0.0,0.0,938.3179128115362,521.5728266615288,0.0,0.0,9939.591490833622,0.0,71.48627558281194,9891.280701754386,0.0,9932.995194705109,165.0306321358953
child_qualities_prosocial_diligence|WVS_A,0.0,149.546639000832,72.26473918719631,9792.722770516582,9934.663773284732,0.0,199.90424952257013,228.28687193248825,65.69068631979232,295.587201282537,0.0,53.36224233283059,300.78404819882087,4.3987525426232,487.697743315807,46.32068844397611,9.42096782577056,126.97106814753872,154.9072627825084,9924.997947388321,632.973632973633,0.0,0.0,35.62730637829452,50.34435261707989,919.7671801138374,121.2698338907921,152.19486059966334,392.73738825308334,0.0,13.165813281242293,3.8724666557139074,0.0,0.0,0.0,26.046128884178557,31.169734640858564,9916.172207393027,396.3211579835392,0.0,9844.41122070897,89.79072386063581,9917.191855990899,0.0
civic_dishonesty_tolerance|WVS_F,0.0,0.0,0.0,82.39621077393039,0.0,199.90424952257013,0.0,0.0,0.0,0.0,0.0,0.0,13.033494255880115,165.07779071101857,0.0,0.0,902.2991986111952,0.0,0.0,0.0,0.0,43.91948308862254,0.0,9956.750877903836,0.0,0.0,14.123942259830756,922.133774975959,0.0,0.0,9935.668242923732,9955.168235178237,9943.639049649712,9955.346005964326,0.0,0.0,9963.9246200422,0.0,28.802863142419824,0.0,95.17829756634589,9963.853150631108,161.91001968381033,10.152029834097284
confidence_in_civil_society_organizations|WVS_E,9947.967148745214,9923.572857341298,0.0,791.8928612184346,0.0,228.28687193248825,0.0,0.0,9948.448843347307,9948.537114339251,0.0,9943.466212550486,9904.90041675806,9906.700698537896,9936.278883564128,6.578234743094242,109.99401472331486,162.8563130160574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9943.926027355921,108.08783415166396,9904.09078756823,9942.54729702868,37.49053954901814,142.81459922983242,0.0,240.0960622419816,102.96855274661779,71.82639106826109,9933.494071230996,0.0,31.240191766893545,9895.232439335887,4.690484957208469,277.7979431336963,0.0,29.06082208849797,9935.82039745032
confidence_in_domestic_institutions|WVS_E,9960.074760693082,9935.680469289166,0.0,133.10659018003614,0.0,65.69068631979232,0.0,9948.448843347307,0.0,9957.607006020799,7.7575095907443625,9955.573824498353,9912.488573282388,9908.32980281238,9946.796270611805,0.0,194.0750757518844,0.0,0.0,17.312378573960153,0.0,263.3463102769988,0.0,0.0,0.0,9954.033102018027,25.409114694828986,9911.678944092557,9952.204552261155,0.0,0.0,0.0,935.1842187663083,0.0,0.0,9945.601683178864,0.0,0.0,9912.458968190324,0.0,153.89767689571642,0.0,909.9638304017163,9943.700793078588
confidence_in_international_organizations|WVS_E,9958.364306396421,9933.970014992503,0.0,185.93820481349775,0.0,295.587201282537,0.0,9948.537114339251,9957.607006020799,0.0,0.0,9953.863370201692,9923.587259798735,9913.81126145499,9945.085816315144,0.0,902.0326693551672,0.0,0.0,0.0,0.0,23.286558999585907,0.0,0.0,0.0,9952.460191842665,0.25645856885650176,9922.777630608904,9951.081461515423,207.01970443349757,84.60804420952948,0.0,24.407905282655932,22.513580072009574,12.483982412395406,9943.891228882203,0.0,0.0,9908.63399879008,3.507285788670309,18.565925964138472,0.0,75.06340384769574,9945.250356429997
