construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,50.30663387603897,70.05494505494505,64.1721148050262,65.0716629246566,177.1976312849773,44.02168816443448,70.21727887604871,42.4698252567105,79.3876182759835,45.336597903681195,66.20135798076606,63.6491077468098,40.88161366044164,47.358732637920454,95.50743374272787,53.1185577260489,21.978021978021978,80.45755414176466,50.06790961847142,42.29878794907195,29.754071744740486,33.052219098730724,43.16446265598808,38.26839708691132,29.735973878720195,49.49881972852256,45.61868391655626,39.64586650099018,40.47711243940763,67.02306702306703,9999.0,9999.0,39.43002895882477,62.79434850863422,133.0891330891331,9999.0,33.39354709217723,57.99226296462335,41.02564102564102,79.08472361752357,64.70100884375516,9999.0,38.08108155934243
autocracy_support|WVS_E,50.30663387603897,0.0,76.40553497494008,70.52270472502121,71.42225284465161,183.54822120497232,50.3722780844295,76.56786879604373,48.820415176705524,83.35495028102031,46.728971962616825,72.55194790076109,69.99969766680482,47.23220358043666,53.70932255791548,101.85802366272289,58.82547888910983,28.328611898016998,86.80814406175969,56.418499538466435,48.649377869066974,35.46099290780142,36.231884057971016,49.515052575983105,44.618987006906345,36.08656379871522,51.54639175257732,51.96927383655128,45.9964564209852,44.44444444444444,73.37365694306204,9999.0,9999.0,45.780618878819794,69.14493842862925,139.4397230091281,9999.0,39.744137012172246,64.34285288461837,47.376230945636046,85.4353135375186,71.05159876375018,9999.0,44.43167147933745
basic_needs_deprivation|WVS_H,70.05494505494505,76.40553497494008,0.0,90.27101590392729,91.17056402355769,203.2965323838784,70.12058926333557,96.3161799749498,60.975609756097555,81.96721311475409,71.43549900258229,92.30025907966717,89.7480088457109,66.98051475934274,73.45763373682156,121.60633484162896,79.21745882495,48.07692307692308,106.55645524066577,76.16681071737253,68.39768904797306,55.85297284364159,59.151120197631826,69.26336375488918,64.36729818581242,55.8348749776213,75.59772082742367,71.71758501545736,65.74476759989128,66.57601353830873,93.12196812196812,9999.0,9999.0,65.52893005772587,88.89324960753532,159.18803418803418,9999.0,59.49244819107833,84.09116406352445,67.12454212454213,105.18362471642467,90.79990994265626,9999.0,64.17998265824353
child_qualities_autonomy_self_expression|WVS_A,64.1721148050262,70.52270472502121,90.27101590392729,0.0,77.35249576862547,194.1763700703856,56.30252100840336,82.49811172001759,62.68589610569274,91.66845111995238,57.617430747650076,78.48219082473494,75.92994059077867,61.09768450942388,67.5748034869027,115.72350459171011,73.07270734380708,42.19409282700422,100.6736249907469,70.28398046745366,54.57962079304083,49.97014259372273,53.268289947712965,63.38053350497032,50.5492299308802,42.016806722689076,61.77965257249144,62.59742270196454,59.86193734997242,52.75794528337651,86.65966386554622,9999.0,9999.0,59.64609980780701,83.01041935761646,153.30520393811534,9999.0,53.60961794115947,70.27309580859223,57.28398229520816,91.36555646149245,76.98184168772404,9999.0,58.29715240832467
child_qualities_conformity_tradition|WVS_A,65.0716629246566,71.42225284465161,91.17056402355769,77.35249576862547,0.0,182.8609986504723,49.62140333165068,75.81699404326491,63.58544422532314,84.9873334431997,50.9363130708974,71.80107314798227,69.248822914026,61.997232629054274,68.4743516065331,116.6230527113405,66.3915896670544,43.093640946634615,101.5731731103773,71.18352858708406,47.898503116288154,46.622370761512016,49.14784374206899,64.28008162460071,43.868112254127524,35.3356890459364,55.098534895738766,51.282051282051285,60.76148546960282,46.07682760662383,79.97854618879354,9999.0,9999.0,59.90571361596097,77.17669323003682,148.6313043217497,9999.0,53.550625293659536,63.591978131839554,50.602864618455484,84.68443878473977,70.30072401097136,9999.0,59.196700527955066
child_qualities_prosocial_diligence|WVS_A,177.1976312849773,183.54822120497232,203.2965323838784,194.1763700703856,182.8609986504723,0.0,153.4130085037922,175.57602192864275,175.71141258564384,183.69949283511582,148.19024304948417,171.56010103336013,169.00785079940385,165.80008914172268,180.60031996685382,228.74902107166122,183.2154639688145,155.2196093069553,206.32306141384512,183.30949694740477,149.6621300085657,162.99565907367383,163.63022941970308,176.40604998492142,143.62714013950537,152.15956334769652,159.5119082622758,131.57894736842104,172.88745382992352,144.78898699853994,186.73058841536744,9999.0,9999.0,172.67161628775813,194.00056753179692,235.02551705613752,9999.0,166.63513442111056,163.3510060172174,156.76786424499534,184.44346667011763,136.986301369863,9999.0,166.3544128667781
civic_dishonesty_tolerance|WVS_F,44.02168816443448,50.3722780844295,70.12058926333557,56.30252100840336,49.62140333165068,153.4130085037922,0.0,42.19409282700422,42.53546946510102,57.05932616325464,29.88633831067528,40.786431330872745,38.23418109691647,27.100271002710027,47.424376846310984,95.57307795111839,45.3416149068323,22.0436661864125,52.91005291005291,50.13355382686194,23.094688221709006,25.572396001289906,28.09786898184688,43.230106864378605,12.853470437017997,14.285714285714285,28.49002849002849,21.83406113537118,33.333333333333336,18.148820326678766,55.95691871288007,9999.0,9999.0,38.855738855738856,56.1267184698147,99.00990099009901,9999.0,32.50065053343742,25.77319587628866,29.552889858233367,53.66979696763024,49.25074925074925,9999.0,23.809523809523807
confidence_in_civil_society_organizations|WVS_E,70.21727887604871,76.56786879604373,96.3161799749498,82.49811172001759,75.81699404326491,175.57602192864275,42.19409282700422,0.0,68.73106017671525,74.49769444867552,50.5050505050505,59.88184268299213,57.32959244903586,54.12183079135467,73.61996755792521,121.76866866273261,71.53720561844652,48.239256898026724,95.10414573705714,76.32914453847616,50.25125628140703,51.76798671290413,54.2934596934611,68.71358767149032,31.948881789137378,40.48130499732851,59.1715976331361,43.99707456022171,65.90710142099492,35.587188612099645,75.05233006499945,9999.0,9999.0,65.05132956735308,82.32230918142892,141.20399381710322,9999.0,58.69624124505164,51.6727476668494,55.74848056984759,72.76520831974962,75.44633996236348,9999.0,54.67615451641011
confidence_in_domestic_institutions|WVS_E,42.4698252567105,48.820415176705524,60.975609756097555,62.68589610569274,63.58544422532314,175.71141258564384,42.53546946510102,68.73106017671525,0.0,77.90139957665005,43.29004329004329,64.71513928143261,62.16288904747634,39.39539496110818,45.872513938587005,94.0212150433944,42.19409282700422,20.491803278688522,78.97133544243121,48.58169091913796,40.812569249738495,28.26785304540703,31.566000399397268,41.678243956654626,36.782178387577865,28.24975517938674,48.01260102918911,44.1324652172228,38.15964780165672,38.99089374007417,65.53684832373357,9999.0,9999.0,37.943810259491315,61.308129809300766,131.60291438979965,9999.0,31.907328392843773,56.506044265289894,39.53942232630757,77.59850491819012,63.214790144421706,9999.0,36.59486286000897
confidence_in_international_organizations|WVS_E,79.3876182759835,83.35495028102031,81.96721311475409,91.66845111995238,84.9873334431997,183.69949283511582,57.05932616325464,74.49769444867552,77.90139957665005,0.0,43.66812227074236,75.55200851290236,72.99975827894609,64.68370171286453,82.79030695786,130.9390080626674,80.70754501838132,57.40959629796152,109.96937907330755,85.49948393841096,62.21445846761506,60.93832611283892,63.4637990933959,78.59603697592763,47.61904761904761,49.651644397263304,56.497175141242934,52.120545466694765,72.46755281644164,38.91050583657587,90.72249589490968,9999.0,9999.0,74.22166896728788,91.49264858136371,156.06922715335367,9999.0,67.86658064498644,61.03439964188561,64.91881996978239,88.43537414965985,84.61667936229827,9999.0,63.480530406600444
