construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,44.67347121319035,9999.0,41.973133670997576,32.494576166124276,71.7723182283408,20.920502092050206,55.3829185769386,43.39241220440976,45.07509146403088,28.39434364660925,52.36704297255335,80.44431161585973,36.47260162548722,9999.0,57.28413845568657,31.155916626338843,42.898524070072185,44.67347121319035,73.9544246911902,37.61499291008026,48.24290646363491,70.42545258709971,46.07215036153082,43.1922170140992,80.0920997251863,9999.0,66.37504754659567,54.25383542538354,61.42481668208263,37.386767884843565,38.47442699383323,51.42761963452587,39.90446071252301,37.394966671951366,45.25140233535921,33.51161138813889,9999.0,47.16722125215519,27.793354325727183,34.790127612161164,9999.0,47.94752911907723,25.45359366049989
autocracy_support|WVS_E,44.67347121319035,0.0,9999.0,44.80560070008751,35.327043195214216,52.431145868752125,23.752969121140143,38.93942096189287,46.22487923349969,47.90755849312082,31.226810675699188,55.19951000164329,78.26849795761713,39.305068654577155,9999.0,60.116605484776514,33.988383655428784,26.455026455026456,47.50593824228029,57.51092707614447,40.447459939170194,28.901734104046245,73.25791961618965,48.90461739062075,46.02468404318914,73.14952171466571,9999.0,69.20751457568561,57.08630245447348,56.94283133307523,40.2192349139335,41.30689402292316,54.260086663615795,42.736927741612945,40.2274337010413,48.08386936444914,33.11258278145695,9999.0,48.87655111870359,30.62582135481712,37.6225946412511,9999.0,50.77999614816717,28.286060689589824
basic_needs_deprivation|WVS_H,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,41.973133670997576,44.80560070008751,9999.0,0.0,32.626705653021446,44.06329266819664,21.05263157894737,31.67825247231747,43.52454169130692,45.20722095092805,28.526473133506414,52.49917245945051,71.00732946804173,36.604731112384385,9999.0,57.41626794258374,31.288046113236007,19.193857965451055,44.80560070008751,50.24975858656907,37.74712239697742,20.53388090349076,70.55758207399688,43.98304268233934,43.32434650099637,64.78166851411024,9999.0,66.50717703349284,54.090927883356535,49.681662843499836,35.297660205652086,36.38531931464175,49.33851195533438,37.81535303333153,37.52709615884852,45.38353182225637,24.390243902439025,9999.0,41.615382629128185,27.925483812624346,34.92225709905833,9999.0,48.0796586059744,23.364485981308412
child_qualities_conformity_tradition|WVS_A,32.494576166124276,35.327043195214216,9999.0,32.626705653021446,0.0,50.92667203867849,11.574074074074073,40.41809360730594,34.04598418643363,35.72866344605475,15.45595054095827,43.02061495457721,71.0978835978836,27.126173607511088,9999.0,47.937710437710436,21.53466057628774,31.152647975077883,29.41176470588235,60.400560604005605,28.169014084507044,27.397260273972606,61.079024569123575,32.397119716343056,33.84578899612307,70.74567170721018,9999.0,57.02861952861953,44.907407407407405,47.74978603689487,23.711737239655807,24.799396348645466,37.75258898933811,26.229430067335255,28.04853865397523,35.90497431738308,16.233766233766232,9999.0,37.82079323417906,15.360983102918585,25.27383966848352,9999.0,37.55175889160079,11.778563015312132
child_qualities_prosocial_diligence|WVS_A,71.7723182283408,52.431145868752125,9999.0,44.06329266819664,50.92667203867849,0.0,50.85181613629058,36.55024509803921,65.5996081062373,75.00640550827126,53.45878103334992,52.91005291005291,73.52941176470588,56.641994546162834,9999.0,73.78066804611291,55.99694423223835,29.498525073746315,53.924548542821384,56.53271209473888,49.91463603911221,23.52941176470588,90.09009009009009,52.01944025473437,57.31319554848966,66.66666666666667,9999.0,96.30636159083605,57.08645874457166,56.10270166698601,61.473925081140976,62.56158419013064,72.46376811594203,63.99161790882042,67.32628071619173,69.49852507374632,41.482733129158305,9999.0,47.5102271124277,53.20606255471516,63.03602750996869,9999.0,75.31394673308597,49.5407508567973
civic_dishonesty_tolerance|WVS_F,20.920502092050206,23.752969121140143,9999.0,21.05263157894737,11.574074074074073,50.85181613629058,0.0,34.462416484888394,22.471910112359552,24.154589371980677,7.473841554559043,31.446540880503143,59.523809523809526,15.552099533437016,9999.0,36.36363636363637,10.235414534288639,21.978021978021978,23.752969121140143,53.03392259913999,16.69449081803005,27.3224043715847,49.504950495049506,25.15164826948061,22.271714922048996,59.1715976331361,9999.0,45.45454545454546,33.333333333333336,40.50431459003242,16.466265792793358,17.553924901783017,30.507117542475655,18.983958620472805,16.474464579901156,24.330900243309003,12.591109296088684,9999.0,26.246719160104984,6.872852233676976,13.869625520110958,9999.0,27.027027027027028,4.533091568449683
confidence_in_civil_society_organizations|WVS_E,55.3829185769386,38.93942096189287,9999.0,31.67825247231747,40.41809360730594,36.55024509803921,34.462416484888394,0.0,48.58547753935739,58.61700585686907,41.67214636974994,65.90895736539153,64.2978660094571,39.658307550344674,9999.0,63.272089614740366,44.69783101917703,12.484394506866415,43.415970111448836,35.2112676056338,37.80085020306895,13.020833333333334,83.9673669799379,41.302838310900995,45.057684409146546,57.268620943952804,9999.0,79.91696193943386,46.57788031319911,34.48275862068965,37.3134328358209,29.41176470588235,63.7281421672233,30.769230769230766,50.93688106478955,52.484394506866415,29.696098465558325,9999.0,34.90591917054354,41.33526871856537,41.1522633744856,9999.0,61.48944351191542,37.754116193197326
confidence_in_domestic_institutions|WVS_E,43.39241220440976,46.22487923349969,9999.0,43.52454169130692,34.04598418643363,65.5996081062373,22.471910112359552,48.58547753935739,0.0,46.62649948434023,29.945751666918596,53.918450992862695,81.99571963616907,38.02400964579657,9999.0,58.83554647599592,32.70732464664819,36.101083032490976,46.22487923349969,59.523809523809526,39.1664009303896,42.37288135593221,71.97686060740907,47.62355838184016,44.74362503440855,81.64350774549565,9999.0,67.92645556690502,55.80524344569289,55.55555555555556,34.48275862068965,29.761904761904763,52.97902765483521,38.167938931297705,38.946374692260704,46.802810355668555,35.06301940844824,9999.0,48.71862927246454,28.08988764044944,35.714285714285715,9999.0,49.498937139386584,27.005001680809237
confidence_in_international_organizations|WVS_E,45.07509146403088,47.90755849312082,9999.0,45.20722095092805,35.72866344605475,75.00640550827126,24.154589371980677,58.61700585686907,46.62649948434023,0.0,31.62843092653972,55.60113025248382,83.6783988957902,39.70668890541769,9999.0,60.518225735617044,34.390003906269314,46.132611350002655,47.90755849312082,76.33587786259541,40.849080190010724,51.47699374356537,73.65953986703019,49.30623764146129,46.42630429402968,83.32618700511678,9999.0,69.60913482652614,57.48792270531401,64.6589039620131,40.620855164774035,36.36363636363637,52.35602094240838,42.73504273504273,40.62905395188183,48.48548961528968,36.745698668069366,9999.0,50.401308532085665,30.769230769230766,38.024214892091635,9999.0,51.18161639900771,28.68768094043036
