construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,32.53002822613651,22.573363431151243,24.552999623446016,17.36111111111111,37.05747587752303,27.737193351183894,46.68763066896815,39.53291488115884,42.8381866997637,25.139827241970092,26.51701181413877,36.7477323795553,22.725700681213198,36.213256558230405,40.66047471620227,25.346418828246026,24.225126419820363,22.87810685944434,46.4630125198217,9999.0,37.31279418057339,23.501225129621435,29.57112332112332,28.488710141457716,22.910451262649673,26.614046436091883,22.359451473532317,32.19103464159009,29.344505542463125,83.43855932408883,19.305019305019304,15.552099533437016,21.05263157894737,22.619237342624295,31.008050074395285,21.413276231263385,22.462949567991267,30.67233912756593,26.019797088787726,31.021429335014375,9999.0,9999.0,30.79576323315772
autocracy_support|WVS_E,32.53002822613651,0.0,23.148148148148145,25.97882878270849,24.224305504293692,38.48330503678551,29.163022510446368,48.11345982823062,40.95874404042131,44.26401585902617,26.565656401232566,27.942840973401243,38.17356153881777,24.151529840475675,37.639085717492875,50.34560268537348,26.7722479875085,25.650955579082837,24.303936018706814,47.88884167908417,9999.0,47.032403924343186,24.92705428888391,28.409090909090907,29.91453930072019,24.336280421912146,28.039875595354356,23.78528063279479,33.61686380085257,32.89500131080304,84.86438848335129,29.41176470588235,16.97792869269949,30.772241322717164,24.04506650188677,32.43387923365776,22.62443438914027,23.88877872725374,32.098168286828404,27.445626248050203,32.44725849427685,9999.0,9999.0,32.22159239242019
basic_needs_deprivation|WVS_H,22.573363431151243,23.148148148148145,0.0,13.020833333333334,11.507479861910241,28.852914918663537,15.542847175500235,34.49328449328449,31.175563962449203,30.643840524080048,16.935266283110593,14.367816091954024,24.55338620387164,10.683760683760683,28.008695599370906,36.72542735042735,13.422818791946309,13.717421124828531,10.683760683760683,34.26866634413804,9999.0,33.412228589397046,13.175230566534916,12.468827930174564,20.284149182598217,11.890606420927469,16.31321370309951,10.416666666666666,21.598272138228943,19.274825975856903,64.1025641025641,14.450867052023122,7.347538574577516,17.15206598777103,10.660980810234543,21.929824561403507,10.19367991845056,10.940919037199125,18.47799295188227,13.82545091310407,18.827083159330716,9999.0,9999.0,18.601417057474066
child_qualities_autonomy_self_expression|WVS_A,24.552999623446016,25.97882878270849,13.020833333333334,0.0,15.224795679242977,30.50627643409502,11.565994607098371,30.516431924882625,27.19871139404734,26.66698795567818,15.210309475903038,19.965812370710754,20.576533635469776,12.88659793814433,29.66205711480239,32.748574782025486,18.79521938481801,11.655011655011656,6.706908115358819,30.291813775736177,9999.0,29.435376020995186,12.547051442910917,12.422360248447205,16.4440064600521,13.123359580052492,20.062846992663868,10.2880658436214,25.63983519816208,15.29797340745504,73.38340671674005,13.74916163648558,9.000900090009,13.175213419369168,11.655011655011656,21.13692254537325,11.19820828667413,12.544619732404936,14.501140383480408,9.737098344693282,14.850230590928852,9999.0,9999.0,14.624564489072199
child_qualities_conformity_tradition|WVS_A,17.36111111111111,24.224305504293692,11.507479861910241,15.224795679242977,0.0,28.751753155680223,13.376974055623709,32.32741137340796,27.027027027027028,28.47796740420352,10.638297872340425,15.948963317384369,22.387513083995117,9.920634920634921,27.907533836387593,29.568002499804706,15.360983102918585,15.443095320116843,8.517887563884157,32.10279322426152,9999.0,26.220321964175817,10.952902519167578,12.21001221001221,13.58695652173913,10.504201680672269,18.30832371424907,9.578544061302681,23.88531191974728,17.108952855980377,73.06626354245402,9.852216748768472,7.246376811594202,9.9601593625498,11.337868480725623,22.702327352552473,9.149130832570906,14.157226846148452,16.31211983200575,11.659577793227545,16.66121003945419,9999.0,9999.0,16.435543937597537
child_qualities_prosocial_diligence|WVS_A,37.05747587752303,38.48330503678551,28.852914918663537,30.50627643409502,28.751753155680223,0.0,33.6904701618329,52.640907479617155,45.486191691807846,48.79146351041271,31.093104052619097,32.47028862478777,42.7010091902043,28.678977491862206,42.16653336887941,54.873050336760016,31.29969563889503,30.178403230469367,28.831383670093345,52.416289330470704,9999.0,51.55985157572971,29.45450194027044,36.05160027659154,34.44198695210672,28.863728073298677,32.567323246740884,28.312728284181322,38.144311452239094,37.42244896218956,89.39183613473783,35.873637191220105,21.50537634408602,35.299688974103695,28.5725141532733,36.961326885044286,36.231884057971016,28.41622637864027,36.625615938214935,31.973073899436734,36.974706145663376,9999.0,9999.0,25.706940874035993
civic_dishonesty_tolerance|WVS_F,27.737193351183894,29.163022510446368,15.542847175500235,11.565994607098371,13.376974055623709,33.6904701618329,0.0,28.66861030126336,25.350889770428076,24.819166332058916,13.36248785228377,23.15000609844863,18.72871201185051,14.008217324310458,32.84625084254027,30.90075315840622,17.663183802879118,11.78429424797224,4.859086491739553,28.443992152116913,9999.0,27.17391304347826,12.327346387183916,12.079303098237748,14.596184836432833,13.002408967309584,23.247040720401746,10.356612604988591,28.824028925899956,11.834319526627219,71.67240786488323,11.901340012866314,12.185093817746878,11.327391795749904,12.956252483642388,19.28910092175398,12.277484117852312,10.696798108785671,12.653318759861143,5.959475566150179,13.002408967309584,9999.0,9999.0,11.641443538998836
confidence_in_civil_society_organizations|WVS_E,46.68763066896815,48.11345982823062,34.49328449328449,30.516431924882625,32.32741137340796,52.640907479617155,28.66861030126336,0.0,44.30132708821233,43.76960364984317,32.31292517006803,42.100443416232885,37.67914932963477,32.958654642094714,51.79668816032452,49.851190476190474,36.61362112066337,30.734731565756494,23.809523809523807,47.39442946990117,9999.0,46.537991715160175,31.27778370496817,31.029740416022,33.54662215421709,31.95284628509384,42.197478038186,29.307049922772844,47.77446624368421,32.40058910162003,90.62284518266748,30.851777330650567,31.13553113553113,30.277829113534157,31.90668980142664,38.239538239538234,31.227921435636567,29.647235426569924,31.603756077645397,24.875621890547265,31.95284628509384,9999.0,9999.0,31.727180183237188
confidence_in_domestic_institutions|WVS_E,39.53291488115884,40.95874404042131,31.175563962449203,27.19871139404734,27.027027027027028,45.486191691807846,25.350889770428076,44.30132708821233,0.0,40.45188311900789,27.247956403269754,34.945727628423576,34.36142879879948,29.640934111259426,44.64197237251521,46.53346994535519,33.295900589828086,27.41701103492121,20.491803278688522,44.07670893906588,9999.0,43.220271184324886,27.960063174132884,27.712019885186717,30.2289016233818,28.635125754258553,35.04276225037669,25.98932939193756,40.6197504558749,29.08286857078474,87.30512465183219,27.534056799815282,23.980815347721823,26.960108582698872,28.588969270591356,34.92181770870295,27.910200904801282,26.32951489573464,28.286035546810112,23.633493508031908,28.635125754258553,9999.0,9999.0,28.409459652401903
confidence_in_international_organizations|WVS_E,42.8381866997637,44.26401585902617,30.643840524080048,26.66698795567818,28.47796740420352,48.79146351041271,24.819166332058916,43.76960364984317,40.45188311900789,0.0,28.463481200863583,38.25099944702844,33.829705360430324,29.10921067289027,47.94724419112008,46.00174650698603,32.764177151458924,26.88528759655205,19.960079840319363,43.544985500696725,9999.0,42.68854774595573,27.428339735763725,27.180296446817557,29.697178185012646,28.103402315889397,38.348034068981555,25.4576059535684,43.925022274479765,28.551145132415584,86.77340121346303,27.002333361446123,27.286087166326688,26.428385144329713,28.057245832222197,34.39009427033379,27.378477466432123,25.79779145736548,27.754312108440953,23.10177006966275,28.103402315889397,9999.0,9999.0,27.877736214032744
