construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9944.346041271776,4.676044050875532,7.567393633266462,232.425771846901,56.896200005828476,241.39260692251386,9957.134346131188,9961.254584377904,9958.287531806616,0.0,9951.46161705789,9945.603918729354,9940.65997053703,9956.056880401828,0.0,0.0,0.0,933.060931445525,68.87705170147917,0.0,21.163957990026105,107.82962421726684,795.9832788077063,57.59071816938,9933.498767496756,216.89201675555037,9971.405532984194,9963.202740505429,278.78119502216254,58.868432869330945,0.0,0.0,21.612080385874954,29.981290559952413,9873.554707379135,46.55568168189944,0.0,9934.992578849722,563.545926055511,0.0,908.329541816221,892.7204810495626,9890.674043703117
autocracy_support|WVS_E,9944.346041271776,0.0,576.2751235358228,921.5260356115768,22.765299244065687,890.906216237582,210.34072440213606,9928.315476190477,9934.03193960511,9927.330115830116,0.0,9933.913409721132,9928.055711392597,9913.373536299765,9938.50867306507,0.0,0.0,0.0,31.87917879527697,66.09115381045204,0.0,8.444102736701893,0.0,21.34165269758489,26.80945259459719,9915.950560159998,915.5698639649023,9953.857325647437,9932.15085798505,0.0,0.0,821.0297798027234,3.9149233700700563,0.0,355.2902260803371,9842.502824858757,815.5037991615217,0.0,9917.444371512964,18.208329249418853,68.73989642149157,69.58535160353549,0.0,9864.807836822329
basic_needs_deprivation|WVS_H,4.676044050875532,576.2751235358228,0.0,91.06384129267677,261.6403535272959,366.4254783799376,885.6148523613426,237.43723673130643,474.5323853722891,186.28004751571478,9930.276952817963,17.734133665371317,34.32312445019103,201.4125190061614,5.35290944458626,0.0,67.30816426093688,11.934705464561034,223.11651021768694,115.6555823185443,0.0,115.72954547980758,706.1172514402988,752.705524246535,9853.75113122172,667.9919523249047,736.6773252574422,0.0,72.44013745940912,9901.170107127658,884.3285960104519,100.51192156911603,96.31758792465259,691.7238359363597,503.9935554641437,831.2769528179635,803.2779271207282,0.0,132.81313398198537,9804.982457208625,25.973296783507664,453.2870813726968,201.87756800332863,8.658200728254144
child_qualities_autonomy_self_expression|WVS_A,7.567393633266462,921.5260356115768,91.06384129267677,0.0,9880.21136779585,9898.38278793525,64.25416353086098,78.5147079563323,25.024448583719987,129.2391956442953,37.512117204529844,0.0,22.78391306915489,24.503511242823464,0.0,0.0,35.343756995799254,0.0,32.20953884414567,9900.619531061155,0.0,111.63668243380633,194.43170385275494,761.8533099923245,452.1342110851561,910.6787618365561,108.57020904244742,0.0,147.46407603787324,0.0,250.6192388990986,49.18559023701491,57.81141472616062,55.0976425748368,115.41406848266051,840.4247385637532,247.20832156216994,0.0,224.67257318952232,815.1302429544149,9944.030992439208,86.73857868020303,9876.692020415785,0.0
child_qualities_conformity_tradition|WVS_A,232.425771846901,22.765299244065687,261.6403535272959,9880.21136779585,0.0,9876.327980372476,56.182364544733844,0.0,0.0,30.656999641962045,0.0,0.0,212.363206152026,6.163838516754652,0.0,0.0,590.4830244828288,230.28874741556606,47.73695915613209,9883.3537414966,0.0,317.0671791594335,49.92622048819527,503.70281892021023,187.6876876876877,150.01826817683596,319.89312606266697,416.5383451125939,60.479632492124864,0.0,92.84531808633471,133.01838641757314,870.4986897611977,0.0,269.0104344267885,582.2742474916388,248.1242968707664,0.0,378.75320712849316,705.374281504118,9876.955758962624,119.47278911564626,9830.860821783763,0.0
child_qualities_prosocial_diligence|WVS_A,56.896200005828476,890.906216237582,366.4254783799376,9898.38278793525,9876.327980372476,0.0,31.272038168630644,28.934830008883154,15.022281370354676,102.5018087877598,0.0,0.5254308532997243,143.89972534953745,46.32358702291421,0.0,0.0,66.38616175783076,0.0,117.63531874412493,9896.736143637783,0.0,816.8739490337202,700.563524590164,766.783762685402,369.28076763919466,100.97829156078197,155.51746845821395,0.0,1.669891049791275,0.0,266.7059537840637,155.7233107689617,54.64889397891879,30.131526033165372,59.72629521016617,614.5859604875999,21.437798212656418,0.0,884.74913065077,236.7273623141591,9915.61594643944,176.97283831565414,9854.638145018045,95.1136453631108
civic_dishonesty_tolerance|WVS_F,241.39260692251386,210.34072440213606,885.6148523613426,64.25416353086098,56.182364544733844,31.272038168630644,0.0,5.485105862999106,5.732044058072553,45.453702694264166,0.0,14.319853453967255,304.93967871658674,35.07952633763736,1.695127830275581,0.0,443.15426517151207,36.76465855518299,101.52336889278791,44.06782136285307,0.0,337.9454988103446,267.96370246807487,9774.76647097195,209.09054359491606,153.60529881077827,248.98558381081455,54.32051126307992,0.48310781091592503,0.0,9904.318291700241,9886.945266204,9910.13985526191,9937.104133309613,72.49744972987347,521.0045662100456,9825.338873846144,0.0,420.04762841100256,305.233880124517,752.5835135784668,9887.112733980464,864.6208533045937,93.83334940068767
confidence_in_civil_society_organizations|WVS_E,9957.134346131188,9928.315476190477,237.43723673130643,78.5147079563323,0.0,28.934830008883154,5.485105862999106,0.0,9970.279515750823,9967.312463179533,0.0,9933.4463688726,9948.566033309875,9949.684901909948,9935.059896689818,0.0,13.647782474069004,21.486404239491947,15.61527458314847,23.049023049023035,0.0,3.8332007519373548,0.0,805.008210180624,0.0,9925.436781609196,68.00622841999555,9959.105460348297,9972.227671878347,0.0,7.023799024857325,826.2779145035834,50.27170436069453,0.0,80.42631596326991,9882.579638752053,0.0,0.0,9921.973578145991,858.2851431427143,37.77763373952123,17.354473189138645,79.04777769845234,9901.966207314033
confidence_in_domestic_institutions|WVS_E,9961.254584377904,9934.03193960511,474.5323853722891,25.024448583719987,0.0,15.022281370354676,5.732044058072553,9970.279515750823,0.0,9971.43270142625,0.0,9941.209670753547,9952.686271556593,9953.805140156664,9942.823198570766,0.0,25.958028910794653,151.2625386474908,0.0,0.0,0.0,81.45240380196744,0.0,809.1284484273414,0.0,9929.557019855913,16.909773247772378,9963.225698595013,9976.347910125063,0.0,0.0,921.3072436593918,49.76499061203894,0.0,88.46812283743836,9886.69987699877,48.380096584553456,0.0,9926.09381639271,862.4053813894318,57.87531559526123,0.0,51.82898460613845,9909.729509194982
confidence_in_international_organizations|WVS_E,9958.287531806616,9927.330115830116,186.28004751571478,129.2391956442953,30.656999641962045,102.5018087877598,45.453702694264166,9967.312463179533,9971.43270142625,0.0,0.0,9931.700603968939,9949.719218985305,9950.838087585376,9933.31413178616,0.0,0.0,10.02052291174521,14.667619922442384,28.10597923379879,0.0,42.253467172707346,0.0,806.1613958560523,0.0,9926.589967284624,47.708954442717086,9960.258646023725,9973.380857553775,0.0,13.232596429304905,318.34019108810276,11.95731535728062,0.0,552.167736932816,9883.732824427481,356.7337987302455,0.0,9923.12676382142,859.4383288181427,25.40268088681107,27.203311038480066,53.745936918854284,9900.220442410373
