construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,306.12244897959187,102.04081632653062,277.36348933653017,161.84771781052848,211.8010324697255,142.85714285714286,258.2908163265306,274.4546094299789,483.7754348789106,241.14500168999638,157.59637188208617,186.78657903839502,192.1309064166207,216.9833450621628,174.27695728874653,201.20048019207684,148.3371126228269,156.38864241348713,146.88386565388487,160.84504401373704,191.25948251641083,158.8909795596726,173.9832623696961,207.4127171529769,178.37669418912603,242.88588674906583,124.76808905380335,173.46938775510205,162.55643503235697,183.3416293346607,156.24547691416993,208.1935288622219,144.0576230492197,193.78393559258566,240.92970521541952,164.15261756876663,239.2957182873149,281.73253650975664,158.2757463862999,152.80223764632757,157.9067381142401,180.74513184860749,132.43595310464613
autocracy_support|WVS_E,306.12244897959187,0.0,204.08163265306123,362.97760210803693,247.46183058203522,297.41514524123227,244.8979591836735,331.07191316146543,376.4954257565095,569.3895476504173,303.03030303030306,259.6371882086168,288.8273953649257,294.17172274315135,319.0241613886934,259.8910700602533,295.81147972004095,250.3779289493575,181.81818181818184,248.9246819804155,246.45915678524378,276.87359528791757,244.50509233117933,276.0240786962267,308.9591567852438,280.41751051565666,344.92670307559644,226.80890538033395,275.51020408163265,188.67924528301887,285.3824456611913,212.7659574468085,293.8076416337286,238.66862257718378,295.8247519191163,342.9705215419501,252.41432704453774,333.906717815279,329.52431570555405,243.88985915780663,250.0,251.4948819296646,266.3592446201142,218.05006587615287
basic_needs_deprivation|WVS_H,102.04081632653062,204.08163265306123,0.0,175.32267300999956,59.806901483997855,109.76021614319487,40.816326530612244,156.25,172.41379310344828,381.7346185523799,139.10418536346577,55.55555555555556,84.74576271186442,90.09009009009009,114.9425287356322,72.23614096221591,99.15966386554621,46.29629629629629,54.34782608695652,44.84304932735426,58.80422768720641,89.21866618988021,56.850163233141956,71.94244604316548,105.37190082644629,76.33587786259541,140.8450704225352,22.72727272727273,71.42857142857143,60.51561870582634,81.30081300813008,54.20466058763931,106.15271253569126,42.016806722689076,91.74311926605505,138.88888888888889,62.11180124223603,137.2549019607843,179.69172018322604,56.234930059769255,50.76142131979696,55.865921787709496,78.70431552207685,30.395136778115504
child_qualities_autonomy_self_expression|WVS_A,277.36348933653017,362.97760210803693,175.32267300999956,0.0,174.3393009377664,224.29261559696343,183.53757484192266,330.4131516331387,347.7364661134478,496.2670180061485,262.6334715736917,230.8782285655551,260.068435721864,265.41276310008965,289.0028830563718,186.7685404159845,222.68895007577214,180.8987592534668,181.15942028985506,220.16572233735383,173.33662714097497,203.75106564364876,171.38256268691052,206.65593129361247,235.836627140975,245.54609293291497,296.4426877470356,198.0499457372723,246.751244438571,175.0480181595949,256.62348601812965,168.73706004140786,220.6851119894598,165.54609293291497,256.0386473429952,314.2115618988885,179.29179740026893,260.7841881710102,294.2241196369946,170.76732951353782,226.08409432979653,178.37235228539578,193.23671497584542,144.92753623188406
child_qualities_conformity_tradition|WVS_A,161.84771781052848,247.46183058203522,59.806901483997855,174.3393009377664,0.0,108.77684407096172,68.02180331592096,214.89738010713697,232.22069458744613,370.3703703703703,147.11770004768997,115.3624570395534,144.55266419586226,149.89699157408793,173.48711153037007,71.25276888998276,107.17317854977041,65.38298772746509,65.64364876385336,104.64995081135211,57.820855614973254,88.23529411764706,55.866791160908804,91.14015976761075,120.32085561497327,130.0303214069133,180.92691622103388,82.53417421127058,131.2354729125693,59.53224663359319,141.10771449212794,53.22128851540616,105.16934046345811,50.030321406913274,140.52287581699346,198.69579037288673,63.77602587426723,145.2684166450085,178.7083481109929,55.2515579875361,110.56832280379481,62.85658075939406,77.7209434498437,29.41176470588235
child_qualities_prosocial_diligence|WVS_A,211.8010324697255,297.41514524123227,109.76021614319487,224.29261559696343,108.77684407096172,0.0,117.97511797511797,264.85069476633396,282.17400924664315,430.7045611393438,197.07101470688698,165.31577169875044,194.50597885505928,199.85030623328495,223.4404261895671,121.20608354917978,157.12649320896742,115.33630238666211,115.59696342305038,154.60326547054913,107.77417027417027,138.18860877684406,105.82010582010582,141.09347442680777,170.27417027417027,179.9836360661103,230.8802308802309,132.4874888704676,181.18878757176628,109.48556129279021,191.06102915132493,103.17460317460318,155.12265512265515,99.9836360661103,190.47619047619048,248.64910503208375,113.72934053346424,195.22173130420552,228.6616627701899,105.20487264673312,160.52163746299183,112.80989541859108,127.67425810904072,79.36507936507937
civic_dishonesty_tolerance|WVS_F,142.85714285714286,244.8979591836735,40.816326530612244,183.53757484192266,68.02180331592096,117.97511797511797,0.0,197.06632653061223,204.08163265306123,389.949520384303,156.31597395184622,96.3718820861678,125.56208924247666,130.90641662070232,155.75885526624444,80.45104279413903,116.37145245392668,74.58126163162135,74.84192266800963,85.6593758579665,67.0191295191295,97.43356802180331,65.06506506506506,100.338433671767,113.63636363636363,117.15220439320765,181.66139695314746,63.54359925788498,112.24489795918367,68.73052053774944,122.11713953874232,62.41956241956241,114.36761436761438,59.22859531106953,132.5594457966673,179.70521541950114,72.97429977842349,154.46669054916475,187.90662201514914,64.44983189169236,91.5777478504092,72.05485466355032,86.91921735399995,38.61003861003861
confidence_in_civil_society_organizations|WVS_E,258.2908163265306,331.07191316146543,156.25,330.4131516331387,214.89738010713697,264.85069476633396,197.06632653061223,0.0,328.66379310344826,536.825097175519,295.3541853634658,211.80555555555554,240.99576271186442,246.3400900900901,271.1925287356322,227.32661958535505,217.3913043478261,202.5462962962963,149.2537313432836,201.09304932735427,213.89470631034553,244.30914481301932,211.94064185628108,228.1924460431655,261.6219008264463,232.5858778625954,270.27027027027026,178.97727272727272,227.67857142857144,169.49152542372883,237.5508130081301,209.29513921077842,261.24319115883037,198.26680672268907,247.99311926605503,295.1388888888889,218.36180124223603,293.5049019607843,310.336595846264,211.32540868290837,207.01142131979697,212.1159217877095,233.79479414521597,185.48561540125462
confidence_in_domestic_institutions|WVS_E,274.4546094299789,376.4954257565095,172.41379310344828,347.7364661134478,232.22069458744613,282.17400924664315,204.08163265306123,328.66379310344826,0.0,554.1484116558282,311.51797846691403,227.96934865900386,257.15955581531273,262.5038831935384,287.35632183908046,244.64993406566418,271.5734569689945,218.71008939974456,226.76161919040482,217.25684243080255,231.2180207906547,261.6324592933285,229.26395633659024,244.35623914661375,277.7856939298946,248.7496709660437,313.2588635259835,195.141065830721,243.8423645320197,196.078431372549,192.30769230769232,226.61845369108758,278.56650563913956,214.43059982613735,264.15691236950335,311.30268199233717,234.5255943456843,309.66869506423257,336.92350179508423,228.64872316321754,223.17521442324525,228.27971489115777,251.11810862552514,202.80892988156378
confidence_in_international_organizations|WVS_E,483.7754348789106,569.3895476504173,381.7346185523799,496.2670180061485,370.3703703703703,430.7045611393438,389.949520384303,536.825097175519,554.1484116558282,0.0,469.04541711607203,437.29017410793546,466.48038126424433,471.82470864247,495.41482859875214,393.18048595836484,429.1008956181525,387.31070479584713,387.5713658322354,344.82758620689657,379.7485726833553,410.1630111860291,377.79450822929084,413.0678768359928,442.24857268335535,451.9580384752953,434.7826086956522,401.6457680250784,453.16318998095136,381.45996370197525,463.03543156051,375.1490055837882,427.09705753184016,371.9580384752953,462.4505928853755,520.6235074412688,385.7037429426493,467.19613371339057,480.599647266314,357.14285714285717,432.4960398721769,384.78429782777613,303.03030303030306,351.3394817742644
crime_victimization|WVS_H,241.14500168999638,303.03030303030306,139.10418536346577,262.6334715736917,147.11770004768997,197.07101470688698,156.31597395184622,295.3541853634658,311.51797846691403,469.04541711607203,0.0,194.65974091902132,223.8499480753302,228.66632600919775,220.5441687642335,159.54693952590804,154.23023578363382,135.84706856325732,153.93781939977862,161.60350767303476,146.11502625089852,153.5845537820196,144.16096179683407,179.43433040353602,208.61502625089855,177.0873786407767,269.2210868569591,161.8314580907385,206.97748853088657,147.82641726951846,220.40499837159587,141.5154591513314,193.46351109938337,97.08737864077669,228.81704645291873,277.99307425235463,152.0701965101925,192.32547387887192,222.22222222222223,143.54572862346137,189.86560668326274,151.15075139531933,166.01511408576897,117.70593534180762
democratic_system_evaluation|WVS_E,157.59637188208617,259.6371882086168,55.55555555555556,230.8782285655551,115.3624570395534,165.31577169875044,96.3718820861678,211.80555555555554,227.96934865900386,437.29017410793546,194.65974091902132,0.0,140.30131826741996,145.64564564564563,170.49808429118775,127.79169651777147,154.71521942110178,101.85185185185185,91.74311926605505,100.39860488290981,114.35978324276196,144.77422174543577,112.40571878869751,127.49800159872103,160.92745638200185,131.89143341815097,196.40062597809077,78.28282828282829,126.98412698412699,116.0711742613819,136.85636856368563,109.76021614319487,161.70826809124682,97.57236227824464,147.2986748216106,194.44444444444446,117.66735679779158,192.81045751633985,235.24727573878158,111.7904856153248,106.31697687535251,111.42147734326505,134.2598710776324,85.95069233367106
democratic_values_importance|WVS_E,186.78657903839502,288.8273953649257,84.74576271186442,260.068435721864,144.55266419586226,194.50597885505928,125.56208924247666,240.99576271186442,257.15955581531273,466.48038126424433,223.8499480753302,140.30131826741996,0.0,174.8358528019545,199.68829144749662,156.98190367408034,183.90542657741062,131.04205900816072,139.09358879882095,129.58881203921868,143.54999039907082,173.9644289017446,141.59592594500637,156.6882087550299,190.1176635383107,161.0816405744598,225.59083313439962,107.47303543913715,156.17433414043586,145.26138141769076,166.0465757199945,138.9504232995037,190.89847524755567,126.76256943455348,176.48888197791945,223.6346516007533,146.85756395410044,222.00066467264872,264.43748289509045,140.98069277163367,135.50718403166138,140.61168449957393,163.45007823394127,115.14089948997992
economic_ideology|WVS_E,192.1309064166207,294.17172274315135,90.09009009009009,265.41276310008965,149.89699157408793,199.85030623328495,130.90641662070232,246.3400900900901,262.5038831935384,471.82470864247,228.66632600919775,145.64564564564563,174.8358528019545,0.0,205.0326188257223,162.326231052306,188.72180451127818,136.3863863863864,144.43791617704662,134.93313941744435,136.986301369863,179.30875627997028,131.57894736842104,162.03253613325558,195.46199091653637,166.42596795268548,230.9351605126253,112.81736281736282,161.51866151866153,150.60570879591643,171.39090309822018,129.87012987012986,196.24280262578134,131.57894736842104,181.83320935614512,228.97897897897897,152.2018913323261,226.81704260651628,264.9122807017544,146.32502014985934,140.85151140988705,145.9560118777996,168.79440561216694,120.48522686820559
electoral_integrity|WVS_E,216.9833450621628,319.0241613886934,114.9425287356322,289.0028830563718,173.48711153037007,223.4404261895671,155.75885526624444,271.1925287356322,287.35632183908046,495.41482859875214,220.5441687642335,170.49808429118775,199.68829144749662,205.0326188257223,0.0,185.91635100858815,180.59964726631392,161.23882503192849,169.2903548225887,159.78557806298645,172.48443773357863,179.95396526469972,170.53037327951418,186.88497477879767,220.3144295620785,191.2784065982276,255.78759915816738,137.66980146290493,186.37110016420363,174.19582875219857,196.24334174376227,166.66666666666666,219.83292258206347,123.4567901234568,206.68564800168724,253.83141762452107,177.05432997786824,218.69488536155202,293.37193022959826,169.91514010614148,165.70395005542915,170.8084505233417,192.38452556844908,144.07534682448772
