construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9692.877551020409,0.0,631.7274197543788,65.42500946219877,242.744422075729,32.58145363408519,9740.709183673469,9724.545390570021,9515.224565121089,758.8549983100036,9841.403628117914,9812.213420961605,9806.86909358338,9782.016654937837,381.278598266809,798.7995198079232,208.80574452003026,100.02161399676928,762.2070434370241,20.973137804444804,808.7405174835892,26.294205625512575,138.5167376303039,105.08728284702309,9820.623305810874,757.1141132509342,9874.231910946197,9825.530612244898,313.6340411581192,149.99170399867262,32.433768368848945,561.0372403685474,112.35263336103671,282.4065405978905,9758.07029478458,35.84738243123337,760.7042817126851,9717.267463490243,144.75455664400317,169.77840751496274,69.36598915848714,235.9215348180592,9866.564046895353
autocracy_support|WVS_E,9692.877551020409,0.0,0.0,637.022397891963,752.5381694179648,702.5848547587677,421.76870748299314,9667.928086838534,9622.50457424349,9429.610452349583,0.0,9739.362811791383,9710.172604635074,9704.82827725685,9679.975838611306,174.8915386353989,418.4742345656734,582.9554043839759,0.0,751.0753180195845,170.2075098814229,723.1264047120824,5.494907668820673,723.9759213037732,691.0408432147563,9718.582489484343,655.0732969244036,9772.191094619666,9723.489795918367,0.0,714.6175543388088,0.0,39.52569169960469,11.331377422816217,704.1752480808836,9656.02947845805,747.5856729554623,166.09328218472098,9669.475684294446,172.77680750886006,0.0,748.5051180703354,733.6407553798858,9780.949934123848
basic_needs_deprivation|WVS_H,0.0,0.0,0.0,127.7076300203035,30.28318860609223,72.05796567498697,0.0,0.0,0.0,618.26538144762,9859.895814636535,0.0,0.0,0.0,0.0,9926.763859037785,52.35548764960532,0.0,0.0,0.0,9940.195772312794,437.09712328380397,3.7558973729186462,0.0,9893.628099173553,0.0,0.0,0.0,0.0,9938.484381294174,0.0,0.440148155530089,131.94252555954682,0.0,0.0,0.0,0.0,5.602240896358552,820.308279816774,9942.765069940231,0.0,0.0,199.07346225570092,0.0
child_qualities_autonomy_self_expression|WVS_A,631.7274197543788,637.022397891963,127.7076300203035,0.0,9824.660699062233,9774.707384403036,233.12909182474402,669.5868483668613,366.5492481722665,503.7329819938515,737.3665284263084,769.1217714344449,739.931564278136,503.81800613067963,620.0880260345373,813.2314595840155,777.3110499242279,533.3869550322476,818.840579710145,9778.834277662647,281.2088274044795,796.2489343563512,453.61743731308945,460.01073537305416,478.44908714473934,754.4539070670851,703.5573122529644,571.180823493497,753.248755561429,824.9519818404051,652.4674230727794,357.5787294322763,779.3148880105402,104.72417733735529,743.9613526570048,685.7884381011115,275.25365714518557,9738.21581182899,705.7758803630054,495.89933715312884,9772.915905670203,256.4102564102564,9805.763285024155,0.0
child_qualities_conformity_tradition|WVS_A,65.42500946219877,752.5381694179648,30.28318860609223,9824.660699062233,0.0,9890.223155929038,51.02581573169809,311.41840936654717,24.189561822810276,0.0,567.1680142380244,884.6375429604466,111.85759221439415,6.353008425912066,26.512888469629928,156.0199583827445,392.8268214502296,64.48714214266477,220.07063695043234,9894.350049188648,48.562123108430995,161.76470588235293,75.71215620751224,94.04502541757441,71.98683669271905,869.9696785930867,176.2159409218233,211.58347284755297,181.2645270874307,226.18203908069253,192.22561884120537,68.72993099678895,728.1639928698753,6.7878604112685395,244.09250879839118,570.5349788578826,58.175193637927876,9853.731583354991,71.29165188900711,63.79606106008295,9888.431677196206,40.23620274576058,9921.279056550156,0.0
child_qualities_prosocial_diligence|WVS_A,242.744422075729,702.5848547587677,72.05796567498697,9774.707384403036,9890.223155929038,0.0,145.1827767617241,644.240214324575,152.60859944900903,283.5811531463705,712.019894384022,668.017561634583,472.1606878116073,170.52006413708537,332.1151293659884,593.0796307365346,467.8735067910326,884.663697613338,598.6887508626639,9844.396734529451,195.25613275613279,576.0971055088703,150.59015059015059,385.22231504687636,264.5084384214819,164.84395014078626,357.3550632374162,237.88288149990274,727.9021215191427,890.5144387072098,179.3093412190454,209.3253968253968,844.8773448773449,900.0163639338897,642.8571428571429,751.3508949679162,164.04843724431353,9803.778268695794,104.67167056314341,294.7951273532669,9838.478362537007,199.69010458140892,9871.32574189096,0.0
civic_dishonesty_tolerance|WVS_F,32.58145363408519,421.76870748299314,0.0,233.12909182474402,51.02581573169809,145.1827767617241,0.0,802.9336734693877,0.0,519.141388706606,843.6840260481538,79.06671440506025,82.77124409085668,44.53217987052574,48.322777386816796,419.548957205861,383.6285475460733,27.459554694909272,56.73702470041141,83.83214956576234,27.32049312237993,902.5664319781966,41.317913658339194,9898.661566328234,0.0,82.84779560679235,818.3386030468525,0.9725297743730863,54.42176870748298,331.26947946225056,9876.882860461257,9936.580437580438,9884.632385632385,9939.77140468893,59.74824651102503,408.5300786981459,9926.025700221577,158.03330945083525,338.409167458535,173.64540620354575,64.6722521495908,9926.945145336449,246.41411597933336,0.0
confidence_in_civil_society_organizations|WVS_E,9740.709183673469,9667.928086838534,0.0,669.5868483668613,311.41840936654717,644.240214324575,802.9336734693877,0.0,9670.336206896553,9462.174902824481,329.6458146365342,9787.194444444445,9758.004237288136,9752.65990990991,9727.807471264368,772.673380414645,0.0,14.845008051529788,0.0,2.988583325706969,374.3405878073015,155.69085518698068,288.0593581437189,771.8075539568345,738.3780991735537,9766.414122137405,0.0,9820.022727272728,9771.32142857143,0.0,350.684481109517,84.82250784804512,155.42347550783632,570.9639625080802,752.006880733945,9703.861111111111,781.638198757764,706.4950980392157,9688.663404153736,788.6745913170917,25.54671821508674,787.8840782122904,69.23550888508709,9813.514384598746
confidence_in_domestic_institutions|WVS_E,9724.545390570021,9622.50457424349,0.0,366.5492481722665,24.189561822810276,152.60859944900903,0.0,9670.336206896553,0.0,9444.851588344172,688.482021533086,9771.030651340996,9741.840444184687,9736.496116806462,9711.643678160919,755.3500659343358,31.456846061308568,781.2899106002554,361.47367492724226,782.7431575691975,71.81228223964837,71.7008740400048,205.51865235906195,112.78661799624342,7.928591784391131,9750.250329033955,57.11150684438684,9803.858934169279,9755.15763546798,0.0,0.0,542.6123155396817,721.4334943608604,785.5694001738626,324.0783817481437,9687.697318007662,15.474405654315689,356.99797160243406,9662.076498204915,771.3512768367825,776.8247855767547,41.99055537911249,19.15216164474512,9796.191070118437
confidence_in_international_organizations|WVS_E,9515.224565121089,9429.610452349583,618.26538144762,503.7329819938515,0.0,283.5811531463705,519.141388706606,9462.174902824481,9444.851588344172,0.0,530.954582883928,9561.709825892065,9532.519618735756,9527.17529135753,9503.585171401248,231.81951404163516,195.8991043818475,612.6892952041528,445.76196750109796,0.0,334.53714160235904,589.836988813971,210.44078588835623,586.9321231640072,557.7514273166446,9547.041961524705,0.0,9597.354231974921,9545.83681001905,618.5400362980247,536.96456843949,458.18432774954516,572.9029424681598,628.0419615247047,537.5494071146245,9478.376492558731,114.29625705735072,532.8038662866095,9518.400352733686,0.0,93.81974960150728,384.44647140299315,0.0,9647.660518225735
