construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,NaN,0.9999999999942549,0.9999999330066208,0.9999999481146494,0.9999999711376417,NaN,NaN,NaN,NaN,0.9999998406987437,NaN,NaN,NaN,NaN,0.9999998946960671,0.9999999046531332,0.9999999162745388,0.9999999816992609,0.9999998664448201,NaN,0.9999996638127403,0.9999999999994595,0.999999732665199,0.9999996830359145,NaN,0.9999997382120556,NaN,NaN,0.9999998961741314,0.9999999999992024,NaN,0.999999999965254,0.9999999999899165,0.9999998168521932,NaN,0.9999997370001517,0.9999997692160852,NaN,0.9999998127035191,0.999999950877795,0.9999998990406744,0.999999999813449,NaN
autocracy_support|WVS_E,NaN,0.0,0.9999999999926372,0.9999999395528945,0.9999999423110091,0.9999999655846854,NaN,NaN,NaN,NaN,0.999999878763315,NaN,NaN,NaN,NaN,0.9999999181776819,0.9999999228990815,0.999999931726114,0.9999999844300024,0.999999893771776,NaN,0.9999997332353162,1.0,0.9999998514284975,0.9999997609597567,NaN,0.9999998776636803,NaN,NaN,0.9999999189243768,0.9999999999989748,NaN,0.9999999999401553,0.9999999999842752,0.9999998719344628,NaN,0.9999998445836435,0.9999998634666952,NaN,0.9999998499663414,0.9999999587001054,0.999999913708387,0.9999999997470713,NaN
basic_needs_deprivation|WVS_H,0.9999999999942549,0.9999999999926372,0.0,1.0,1.0,1.0,NaN,0.9999999999998944,0.9999999999826329,0.999999975730587,NaN,1.0,1.0,0.9999999999999968,1.0,NaN,1.0,1.0,1.0,1.0,NaN,1.0,0.9999999999999998,1.0,NaN,0.9999999999999999,1.0,0.9999999999993531,0.9999996701482433,NaN,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0
child_qualities_autonomy_self_expression|WVS_A,0.9999999330066208,0.9999999395528945,1.0,0.0,NaN,NaN,NaN,0.9999999619500048,0.9999999383256434,0.9999999534818882,1.0,0.9999999993855108,0.9999999999527559,0.9999999721067676,0.9999999999999503,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.9999999999999997,1.0,1.0,1.0,1.0,0.9999999166862439,0.9999999092857546,1.0,1.0,NaN,1.0,1.0,1.0,0.9999999676394759,1.0,NaN,1.0,1.0,NaN,1.0,NaN,0.9999999999999598
child_qualities_conformity_tradition|WVS_A,0.9999999481146494,0.9999999423110091,1.0,NaN,0.0,NaN,NaN,0.9999999962662189,0.9999999309716284,0.999999943613476,1.0,0.9999999999999493,0.9999999999999994,0.9999999998742471,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.9999999897333962,0.9999998465794776,1.0,1.0,NaN,1.0,1.0,1.0,0.9999999999999365,1.0,NaN,1.0,1.0,NaN,1.0,NaN,1.0
child_qualities_prosocial_diligence|WVS_A,0.9999999711376417,0.9999999655846854,1.0,NaN,NaN,0.0,NaN,0.9999999991423884,0.9999999381214623,0.9999999371634779,1.0,0.9999999999999455,0.9999999999999996,0.9999999999735594,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.9999999999999998,1.0,1.0,0.9999999999999999,1.0,0.9999999960947958,0.9999997581154103,1.0,1.0,NaN,1.0,1.0,1.0,0.9999999999999337,1.0,NaN,1.0,1.0,NaN,1.0,NaN,1.0
civic_dishonesty_tolerance|WVS_F,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
confidence_in_civil_society_organizations|WVS_E,NaN,NaN,0.9999999999998944,0.9999999619500048,0.9999999962662189,0.9999999991423884,NaN,0.0,NaN,NaN,0.999999944566479,NaN,NaN,NaN,NaN,0.9999999987087406,0.9999999503737612,0.9999999510045837,0.9999999877549306,0.9999999273616551,NaN,0.9999998265462364,1.0,0.999999916664277,0.9999999166488006,NaN,0.9999999971786854,NaN,NaN,0.9999999458086071,0.9999999999999993,NaN,0.9999999999999578,0.9999999999999898,0.9999999245379538,NaN,0.9999999095249203,0.9999999322730109,NaN,0.9999999193884646,0.9999999698936853,0.9999999523240166,0.9999999999998395,NaN
confidence_in_domestic_institutions|WVS_E,NaN,NaN,0.9999999999826329,0.9999999383256434,0.9999999309716284,0.9999999381214623,NaN,NaN,0.0,NaN,0.9999998122245355,NaN,NaN,NaN,NaN,0.9999999365802541,0.999999914424815,0.9999999237793196,0.9999999828969228,0.9999998782907765,NaN,0.9999996916231577,0.9999999999996314,0.9999998048660839,0.9999998062797211,NaN,0.9999998458332342,NaN,NaN,0.9999999079845125,0.9999999999998033,NaN,0.9999999999953395,0.9999999999984813,0.9999998596031584,NaN,0.9999997590356257,0.9999998484009666,NaN,0.999999832071199,0.9999999547854127,0.9999999096927061,0.9999999999751689,NaN
confidence_in_international_organizations|WVS_E,NaN,NaN,0.999999975730587,0.9999999534818882,0.999999943613476,0.9999999371634779,NaN,NaN,NaN,0.0,0.9999999274496669,NaN,NaN,NaN,NaN,0.9999999471464992,0.9999999538171378,0.9999999593624574,0.9999999901561989,0.9999999406478854,NaN,0.9999998538311475,0.9999999999999893,0.9999999126234339,0.9999999072047123,NaN,0.9999999319080446,NaN,NaN,0.9999999541611555,0.9999999997101527,NaN,0.9999999876031636,0.9999999961175734,0.9999999206045894,NaN,0.9999999104002771,0.9999999195757967,NaN,0.9999999119628077,0.9999999739622639,0.9999999403122445,0.9999999708432672,NaN
