construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,NaN,NaN,0.9999997419775163,0.9999998449126883,0.9999997874291267,0.9988749608175447,NaN,NaN,NaN,0.9999996752723019,NaN,NaN,NaN,NaN,0.9999999263832117,0.9997996927564952,0.9999999999999888,NaN,0.999999808667277,0.9999999984290168,0.9989732869052185,0.9999966466931363,0.9989441379239608,0.9999998688269425,NaN,0.9999997156770782,NaN,NaN,0.9999999857185244,0.9985935329554615,NaN,0.9997623091334223,0.9986876363558136,0.9999997617447516,NaN,NaN,0.9999997195202639,NaN,0.9999999297054206,0.9999997750927117,0.9987978714832001,NaN,NaN
autocracy_support|WVS_E,NaN,0.0,NaN,0.9990071354655278,0.9952174258805718,0.9999641955477028,0.9928511120304919,NaN,NaN,NaN,0.9997732206334575,NaN,NaN,NaN,NaN,0.99506728217816,0.9975016510511422,0.9950509200147907,NaN,0.9972324182948844,0.998543950087352,0.9935283625930347,0.9953894478859661,0.9945856314178004,0.9963698789761809,NaN,0.9997634720337859,NaN,NaN,0.9960029665078294,0.9945411835274794,NaN,0.9902943328935933,0.9999928789270921,0.9973164200010481,NaN,NaN,0.9998482411771248,NaN,0.9982099491790619,0.9974959383159437,0.9959083709307008,NaN,NaN
basic_needs_deprivation|WVS_H,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
child_qualities_autonomy_self_expression|WVS_A,0.9999997419775163,0.9990071354655278,NaN,0.0,NaN,NaN,0.9962459109634212,0.9995864462372563,0.9991896502086843,0.999818932940899,0.9999999871372638,0.9998141350425841,0.9999999489114503,0.9999999999985539,0.9989042450007711,0.9976977991418867,0.9986495253171219,0.9990894444040346,NaN,NaN,0.9994699188078615,0.9979680640720631,0.9999999999999858,0.9965174113913927,0.9999999996288477,NaN,0.9999999999999992,0.9999999999999971,NaN,0.9977540384955365,0.9948188553913347,NaN,0.9946502175075826,0.9940091802648017,0.9999999875545537,0.9999999998266696,NaN,NaN,0.9991058632297111,0.9987906489861216,NaN,0.9978757354522013,NaN,0.9980783682333049
child_qualities_conformity_tradition|WVS_A,0.9999998449126883,0.9952174258805718,NaN,NaN,0.0,NaN,0.9950533917053421,0.9983067904805922,0.9966252667679739,0.9989154841221911,0.9989378057528224,0.9999999998515352,0.9999999945701696,0.9999874309032617,0.9942943698207116,0.9999999880697564,0.9999999962345744,0.9999999999999927,NaN,NaN,0.9999971373492472,0.9961922495803291,0.9999999915189058,0.9956007148484541,0.9999999999999978,NaN,0.9981750190980875,0.9999999999999841,NaN,0.9999999910584733,0.9952292496989505,NaN,0.9942640168159911,0.9922757140165228,0.9999999967831734,0.9999559833733352,NaN,NaN,0.994787348233635,0.9999999949249829,NaN,0.9999999920115412,NaN,0.9927465442080667
child_qualities_prosocial_diligence|WVS_A,0.9999997874291267,0.9999641955477028,NaN,NaN,NaN,0.0,0.9977833407829086,0.9999998096376497,0.9999999999773791,0.999999999999804,0.9999999953975564,0.9999999869882775,0.9999999939500337,0.9999999997898911,0.9992374678125765,0.9999999856577,0.9999999944809584,0.9999973657974371,NaN,NaN,0.9999998840220161,0.999999982177552,0.999541365853912,0.9980978037458276,0.9999999958721809,NaN,0.999999999999352,0.9999999996564928,NaN,0.9999999871406187,0.9981785122145083,NaN,0.9976597312805243,0.9999032626608113,0.9999999999989132,0.999999993401419,NaN,NaN,0.9999999999924886,0.9999999954529589,NaN,0.9999999860346718,NaN,0.99999959529133
civic_dishonesty_tolerance|WVS_F,0.9988749608175447,0.9928511120304919,NaN,0.9962459109634212,0.9950533917053421,0.9977833407829086,0.0,0.9976205378847284,0.9934561895503746,0.9974329505396503,0.9959647963927033,0.9946345531979074,0.9981555343040972,0.9969168953207179,0.9920608739429859,0.9954183682167821,0.9990327426241848,0.994498369989489,NaN,0.9960453805510613,0.995887727749429,0.9884494461023202,0.9999999655100702,NaN,0.9966738749942666,NaN,0.9951113980334585,0.9963829717029679,NaN,0.9996515414446052,NaN,NaN,NaN,NaN,0.995732285732478,0.9973960144245894,NaN,0.996599042464705,0.9904995349320868,0.9966742591063089,0.99601904478807,NaN,NaN,0.9921027275317612
confidence_in_civil_society_organizations|WVS_E,NaN,NaN,NaN,0.9995864462372563,0.9983067904805922,0.9999998096376497,0.9976205378847284,0.0,NaN,NaN,0.9990869223802729,NaN,NaN,NaN,NaN,0.9979704222368795,0.9985694346980888,0.9985665785637078,NaN,0.9994103423098615,0.9992648261535573,0.9979073581264624,0.9999998964474247,0.9981172923880398,0.9987402625814801,NaN,0.999970602457314,NaN,NaN,0.9979710145018081,0.9982746285521917,NaN,0.9973488924341608,0.9999957277292367,0.9993208405206159,NaN,NaN,0.9999994009589538,NaN,0.9990602939051257,0.9992796588114116,0.9980057824990928,NaN,NaN
confidence_in_domestic_institutions|WVS_E,NaN,NaN,NaN,0.9991896502086843,0.9966252667679739,0.9999999999773791,0.9934561895503746,NaN,0.0,NaN,0.9999999893410235,NaN,NaN,NaN,NaN,0.9958765018203484,0.9977128533384655,0.997794680657463,NaN,0.9999999995205642,0.9982687363070387,0.9949136173477374,0.9975905405585719,0.9947313023641756,0.9985641665211566,NaN,0.9999999999987624,NaN,NaN,0.9963772304351388,0.9940429785796423,NaN,0.9904848871865867,0.9973324599462574,0.9999999976881271,NaN,NaN,0.999999999998793,NaN,0.9970757376744678,0.9999999994575676,0.9963381993293952,NaN,NaN
confidence_in_international_organizations|WVS_E,NaN,NaN,NaN,0.999818932940899,0.9989154841221911,0.999999999999804,0.9974329505396503,NaN,NaN,0.0,0.9999999975339884,NaN,NaN,NaN,NaN,0.998226283763343,0.9986454266388138,0.9999996168456383,NaN,0.9999999999988696,0.9992928908022412,0.9984658846655783,0.9999978812758298,0.9977539238251819,0.9999997079619722,NaN,0.9999999999999992,NaN,NaN,0.9980681839697542,0.9977921727849896,NaN,0.9972140278943913,0.9988726217157298,0.999999999990512,NaN,NaN,0.999999999999971,NaN,0.9988639541912098,0.9999999999949502,0.9981252534198858,NaN,NaN
