construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,71.80524267868114,63.3007497390149,9999.0,66.92171031836858,59.61443958398788,65.64847375101436,83.12104205394121,64.51612903225806,87.52776418326243,181.65371676160498,53.1352569034322,59.96313741552324,58.13953488372093,138.64064081103828,108.58294930875576,63.480530406600444,87.26078099097474,9999.0,77.37204429811433,46.08294930875576,64.20082415941712,61.182220758624865,64.83246516274376,57.29285877775234,9999.0,9999.0,43.859649122807014,82.57441768230589,56.073355204458416,54.584487027798446,49.241084348972564,73.87162622089375,9999.0,67.98027327843633,175.78343682715393,52.89651982258986,82.5313753994473,59.27556144595892,88.45677062348238,62.893081761006286,38.91050583657587,71.76360687149509,59.83100792862608,58.365758754863805,38.02281368821293,9999.0,90.04479221518969,64.13247426262546,73.51258196114335,9999.0,9999.0,60.792343910974125,56.73581777953488,86.30387076548583
authoritarian_governance_tolerance|WVS_E,71.80524267868114,0.0,57.284980744544285,9999.0,35.842293906810035,51.81347150259067,51.02040816326531,77.10527305947059,68.99581987459624,95.1867816091954,161.9734432234432,47.11948790896159,53.94736842105263,72.61947878767924,133.90483785220627,110.4056802748364,54.6448087431694,81.24501199650413,9999.0,71.35627530364371,52.38791423001949,67.79117569594742,55.16645176415426,60.9846244825547,51.27708978328173,9999.0,9999.0,55.865921787709496,76.55864868783529,50.88034835289663,48.56871803332783,43.22531535450196,43.47826086956522,9999.0,61.964504283965724,169.76766783268332,46.88075082811925,77.79557244061527,54.5397584871269,82.44100162901177,64.68454282231312,32.89473684210526,52.083333333333336,43.10344827586207,52.3499897603932,52.91005291005291,9999.0,85.30898925635768,70.32789192231917,67.49681296667274,9999.0,9999.0,52.91005291005291,50.720048785064265,80.28810177101522
autocracy_support|WVS_E,63.3007497390149,57.284980744544285,0.0,9999.0,44.642857142857146,45.094177649851034,48.309178743961354,68.60078011980436,60.49132693493,84.46998546008447,158.19928863407125,37.03703703703704,45.442875481386395,64.114985848013,125.40034491254004,96.05704697986577,48.960268472463596,72.74051905683788,9999.0,62.851782363977485,33.557046979865774,61.143045436239156,40.65040650406504,52.480131542888465,42.772596843615496,9999.0,9999.0,35.842293906810035,68.05415574816905,42.3758554132304,40.0642250936616,34.72082241483572,59.351364286756905,9999.0,52.35602094240838,161.2631748930171,38.37625788845301,69.29107950094905,46.03526554746067,73.93650868934553,55.865921787709496,24.390243902439025,48.309178743961354,39.21568627450981,43.845496820726964,34.96503496503497,9999.0,76.80449631669144,61.074695539447504,58.9923200270065,9999.0,9999.0,44.052863436123346,42.21555584539803,71.78360883134897
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,66.92171031836858,35.842293906810035,44.642857142857146,9999.0,0.0,37.45816206193719,42.01162042302572,46.226494115676175,38.04534584446642,63.51161154116819,130.298273155416,38.39544040549066,49.06383606074009,42.94749634048665,101.73644401832321,78.23728644095334,34.24657534246575,49.94058515592382,9999.0,54.11255411255411,35.563976790447015,31.948881789137378,39.72820428516631,37.735849056603776,32.25806451612903,9999.0,9999.0,36.49682607958915,50.51611646703672,45.99681599258408,34.48275862068965,21.645021645021647,38.314176245210724,9999.0,42.172068668390004,138.88888888888889,15.576323987538942,45.62717860673222,22.371364653243848,52.62815508717148,29.761904761904763,28.011204481792713,20.408163265306122,26.041666666666668,35.46099290780142,31.446540880503143,9999.0,53.14059542247462,39.449112978524745,52.509219175885846,9999.0,9999.0,39.8931968275034,19.841269841269842,62.52468079505068
child_qualities_conformity_tradition|WVS_A,59.61443958398788,51.81347150259067,45.094177649851034,9999.0,37.45816206193719,0.0,40.16857897602388,53.8577517469338,56.805016779902985,69.9130997503929,136.69976136464072,30.395136778115504,39.8406374501992,60.42867569298599,121.71403475751302,98.21487718014315,40.81038355936434,56.24609924278313,9999.0,52.26951266555227,37.78759170881117,44.634963417489836,37.88516283816446,48.79382138786145,33.003300330033,9999.0,9999.0,28.81844380403458,53.135313531353134,38.68954525820338,28.901734104046245,19.801980198019802,44.43252206994099,9999.0,44.25185794863105,146.5201465201465,21.88183807439825,65.60476934592202,42.34895539243365,59.01766647252961,31.446540880503143,20.70393374741201,26.80965147453083,33.11258278145695,36.76470588235294,26.17801047120419,9999.0,64.26283499513008,47.08037060978238,50.666177728884,9999.0,9999.0,38.05015538050155,27.47252747252747,67.87890327494289
child_qualities_prosocial_diligence|WVS_A,65.64847375101436,51.02040816326531,48.309178743961354,9999.0,42.01162042302572,40.16857897602388,0.0,45.662100456621005,43.84299527572961,81.55505950053677,152.7792311906365,37.117017538473085,47.16981132075472,48.74514577174985,107.53409344958641,84.03493587221654,41.37500213934861,61.10222908282338,9999.0,52.83413124553654,32.78688524590164,57.238781526367504,38.44978141814874,54.82785555488794,40.16064257028113,9999.0,9999.0,36.315562095388444,53.09637128944401,44.72357942522987,25.57544757033248,20.366598778004075,41.46914371129618,9999.0,44.816476528615325,141.46914371129617,26.7379679144385,51.42482803799542,28.169014084507044,55.20840990957876,41.825826245815236,26.7379679144385,42.8891213005266,39.02331519591452,45.87155963302752,37.08900680475993,9999.0,58.938244853737814,42.029367800932036,51.23079630886828,9999.0,9999.0,38.61477396048583,22.42152466367713,68.44352185492716
civic_dishonesty_tolerance|WVS_F,83.12104205394121,77.10527305947059,68.60078011980436,9999.0,46.226494115676175,53.8577517469338,45.662100456621005,0.0,67.75731452455591,70.87365408204988,166.65920775509815,50.996994102934764,65.2631677963127,72.65946502057614,131.4484126984127,107.94925512104282,54.24037747774895,67.7075383239931,9999.0,64.55316320570404,52.23218685325712,47.16981132075472,51.895428356038984,58.85275674193879,62.59288915854181,9999.0,9999.0,50.19553865985012,57.0600709001732,60.842320023316816,40.16064257028113,34.24657534246575,45.43284332202538,9999.0,58.696453093077,145.43284332202538,55.55555555555556,75.33914728682171,52.083333333333336,59.17210952030797,55.70580281027691,44.21053621736533,56.769097864988275,52.903291760376206,63.66578913565327,50.968983369221604,9999.0,78.74015748031496,31.347962382445143,65.11077287332995,9999.0,9999.0,52.3592502484323,26.38522427440633,82.32349841938884
confidence_in_civil_society_organizations|WVS_E,64.51612903225806,68.99581987459624,60.49132693493,9999.0,38.04534584446642,56.805016779902985,43.84299527572961,67.75731452455591,0.0,78.8577507522252,145.64441236647303,32.05128205128205,47.932045707351605,36.25011287846537,95.03906055630193,71.53990297893206,60.67110760251555,84.35287703741712,9999.0,73.71696122908752,28.866593328425736,44.74374863308304,38.984004501245884,27.027027027027028,54.48343597366745,9999.0,9999.0,45.88546155376034,74.58276209488838,27.62430939226519,51.77506422371355,41.24942876155505,65.4252249723171,9999.0,64.58087904271144,154.56287008011145,50.08709701850496,38.929795144710944,15.673981191222571,80.46511503606484,57.113938692886066,36.101083032490976,35.75430247636314,56.50119044316811,54.57353420246173,45.67485090851068,9999.0,46.44321196045334,61.863963050775666,49.92055653368833,9999.0,9999.0,46.53817872208677,53.92639497544998,83.49444796140094
confidence_in_domestic_institutions|WVS_E,87.52776418326243,95.1867816091954,84.46998546008447,9999.0,63.51161154116819,69.9130997503929,81.55505950053677,70.87365408204988,78.8577507522252,0.0,152.99355816597196,66.25536925551852,78.40668459909575,83.5785551357281,142.548848926082,119.04969134871212,72.95419454451878,96.37130112666661,9999.0,93.10344827586206,76.37638169820579,41.84100418410041,83.70915343852926,76.31460196958034,74.82140619125204,9999.0,9999.0,78.74015748031496,89.80838146262653,67.555492011295,72.09898160188487,65.6259707983846,78.18115388447869,9999.0,88.60278463913279,160.00761941044811,62.00703995828173,86.439583514491,63.183769561002634,86.47404850711648,55.24861878453038,75.9565493107813,43.10344827586207,63.850336242667055,74.01475441661813,49.504950495049506,9999.0,80.55663179646132,39.52569169960474,96.4901683292488,9999.0,9999.0,83.17498416508317,59.133534836859646,101.31842199764017
