construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,328.1947573213189,25.984964546699395,0.0,702.3090589124007,29.67127470172641,69.48666138412077,261.70654415295536,0.0,57.39977204862163,818.346283238395,9945.864743096568,21.337675592606836,0.0,337.5498353794379,47.66705069124424,9935.519469593399,537.7392190090253,0.0,9921.627955701886,0.0,39.96584250724955,13.44464491301693,9934.167534837256,21.44729870256262,0.0,0.0,0.0,686.6563515484634,9942.926644795542,90.34304920408562,0.2638661460769427,143.51967812693235,0.0,38.40270544496792,824.216563172846,25.22848017741014,66.72235594383629,9939.724438554042,328.2098960431843,0.0,0.0,6.361393128504915,19.53407143645329,2.9839344966699457,0.0,0.0,909.9552077848103,9934.867525737374,32.870396762260896,0.0,0.0,23.241269534404026,143.26418222046513,38.696129234514174
authoritarian_governance_tolerance|WVS_E,328.1947573213189,0.0,9941.715019255456,0.0,0.0,0.0,0.0,6.9283403859075605,9930.004180125405,9903.813218390804,9837.026556776556,37.62627480290283,9945.052631578947,9926.38052121232,9865.095162147794,9888.594319725164,0.0,0.05580101162594531,0.0,20.386843962411334,6.0916179337231995,75.06596716119545,2.9730831195666667,37.0545912037198,9947.722910216718,0.0,0.0,0.0,0.3644282352416326,149.11965164710335,9950.431281966672,9955.774684645497,0.0,0.0,3.8249694002447967,230.23233216731668,9952.119249171881,9921.204427559385,72.04251999388575,15.598214057262737,1.5406227406007815,0.0,0.0,0.0,9946.650010239608,0.0,0.0,9913.691010743642,43.30847171404446,29.590565674103956,0.0,0.0,0.0,9948.279951214936,56.69819959884779
autocracy_support|WVS_E,25.984964546699395,9941.715019255456,0.0,0.0,0.0,0.7773819831764897,0.0,31.399219880195645,9938.50867306507,9914.530014539916,9840.80071136593,0.0,9953.557124518613,9934.885014151987,9873.59965508746,9902.942953020134,0.05933937067365491,9.904109042335676,0.0,38.15831864612351,0.0,44.120112458497694,0.0,63.79893822455339,9956.227403156385,0.0,0.0,0.0,30.95574524192996,22.559209521834532,9958.935774906338,9964.279177585164,0.5288752342011804,0.0,0.0,255.4034917736496,9960.623742111547,9929.708920499052,16.464734452539332,73.12231484006624,0.0,0.0,0.0,0.0,9955.154503179274,0.0,0.0,9922.195503683308,323.54068907593717,14.537091737699384,0.0,0.0,0.0,9956.784444154602,19.959510434706075
basic_needs_deprivation|WVS_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_qualities_autonomy_self_expression|WVS_A,702.3090589124007,0.0,0.0,0.0,0.0,9961.541837938063,9956.988379576975,408.3189604297783,147.13983934071874,29.080981051424388,69.70172684458399,47.81145614623348,10.107761572396015,62.3156615542502,612.5492702673911,421.7627135590467,0.0,6.23919012497506,0.0,30.633208599310308,34.36609313962292,0.0,9959.271795714834,0.0,0.0,0.0,0.0,0.8166067562317494,17.511094417317032,19.792657691626438,0.0,0.0,0.0,0.0,10.45951027897842,861.1111111111111,0.0,1.766186322177731,0.0,101.21799875898236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.824921818904684,377.21755368814195,9946.490780824115,0.0,0.0,9959.106803172497,0.0,18.1204804952719
child_qualities_conformity_tradition|WVS_A,29.67127470172641,0.0,0.7773819831764897,0.0,9961.541837938063,0.0,9958.831421023977,362.8089149197329,44.20508423019801,61.66584761802814,157.41788569418281,0.0,0.0,51.93087486881177,278.285965242487,258.927979962714,0.005942971247904438,60.03297052465872,0.0,11.021626574954055,7.0554576185430875,22.479130542241712,9961.114837161835,126.64477510336661,0.0,0.0,0.0,0.0,18.80713251181234,14.22050765184953,0.0,0.0,13.370946138151503,0.0,13.219406419185049,853.4798534798535,0.0,934.395230654078,136.22247317899493,39.9922345175694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.85481206369346,131.49105796164622,9948.333822271115,0.0,0.0,9960.9498446195,0.0,18.327993276781257
child_qualities_prosocial_diligence|WVS_A,69.48666138412077,0.0,0.0,0.0,9956.988379576975,9958.831421023977,0.0,0.0,16.76306533033099,82.3793667289714,847.2207688093636,18.131601246057294,0.0,254.28515725855323,88.5443379229626,85.4565895515123,16.764532744372318,6.01186487690817,0.0,41.505491395972896,0.0,33.67030938272342,9960.550218581851,33.667719666351,0.0,0.0,0.0,18.933056689141935,33.110525262280134,44.56213486048442,0.0,0.0,6.607779365626904,0.0,5.9449447911816335,30.944649392152115,0.0,181.1333114968883,0.0,23.5317475707362,412.7196282996393,0.0,132.54947519070146,25.492813836343544,0.0,49.11788974696421,0.0,47.444733869666436,8.991040362333273,9947.769203691132,0.0,0.0,9960.385226039514,0.0,87.80647814507284
civic_dishonesty_tolerance|WVS_F,261.70654415295536,6.9283403859075605,31.399219880195645,0.0,408.3189604297783,362.8089149197329,0.0,0.0,77.17022170732815,16.845644163564145,421.57608636254895,504.5585614526208,66.31577957210834,46.388154027042916,154.265873015873,418.36653435264134,268.34026768354136,21.578175961721186,0.0,168.00497632917967,19.710259189908356,0.0,6.928101055725719,173.70538279294493,47.297220731568075,0.0,0.0,9948.80446134015,52.83003898993668,37.19689566295769,0.0,0.0,8.621210732028679,0.0,57.58261667436486,18.5015829074828,0.0,295.03122308354864,0.0,9939.827890479692,9943.294197189723,9954.789463782634,9942.230902135012,947.0967082396238,105.82573628807556,9948.031016630779,0.0,0.0,0.0,42.41610884710016,0.0,0.0,27.005829116647064,0.0,917.6765015806111
confidence_in_civil_society_organizations|WVS_E,0.0,9930.004180125405,9938.50867306507,0.0,147.13983934071874,44.20508423019801,16.76306533033099,77.17022170732815,0.0,9920.142249247774,9853.355587633527,0.0,9951.067954292648,9962.749887121534,9903.960939443697,9927.460097021069,103.26331862699263,115.64712296258288,0.0,592.9497054375792,1.621211549623041,312.3991085097741,7.964352306265852,0.0,9944.516564026333,0.0,0.0,4.365794727646694,758.750571238445,0.0,9947.224935776287,9957.750571238445,369.3573837233351,0.0,19.452734402666707,215.80750029025887,9948.912902981496,9960.070204855288,0.0,919.5348849639352,220.66383908489172,0.0,86.19691703583197,102.22896828699062,9944.426465797538,5.871540844066644,0.0,9952.556788039547,44.51901567262858,22.02188950947715,0.0,0.0,15.96182127791323,9945.07360502455,49.838885371932406
confidence_in_domestic_institutions|WVS_E,57.39977204862163,9903.813218390804,9914.530014539916,0.0,29.080981051424388,61.66584761802814,82.3793667289714,16.845644163564145,9920.142249247774,0.0,9846.006441834028,20.70115248361192,9920.593315400904,9915.421444864272,9856.451151073918,9879.950308651289,90.98023168498939,903.6286988733334,0.0,406.8965517241379,93.11514372552304,0.0,370.83630110692525,112.36464331343853,9924.178593808749,0.0,0.0,0.0,243.5249518707068,39.97138970913511,9926.901018398115,9933.374029201615,154.376985650405,0.0,161.39721536086722,125.70666630383761,9936.992960041718,9912.560416485509,71.9513655741325,43.39608136301338,0.0,52.248578894346906,0.0,16.79482504765552,9924.985245583382,0.0,0.0,9918.443368203538,0.0,903.5098316707512,0.0,0.0,916.8250158349168,9939.86646516314,52.52773184851367
confidence_in_international_organizations|WVS_E,818.346283238395,9837.026556776556,9840.80071136593,0.0,69.70172684458399,157.41788569418281,847.2207688093636,421.57608636254895,9853.355587633527,9846.006441834028,0.0,263.3719221954516,9850.04739010989,9848.453437137507,9789.66448945967,9813.16364703704,182.8397890025237,836.8420372590856,0.0,316.3003663003663,856.8369566875464,94.50680038915334,849.5041849472229,308.1563539784564,9856.323004863989,0.0,0.0,101.63840426998323,422.4893283716813,849.624060150376,9843.655344655344,9866.587367587368,401.63622584232246,0.0,753.7014628375284,743.5183018246342,9870.20629842747,9845.773754871261,8.918457713638446,828.3716813128578,27.84790243749555,95.352027170209,0.0,101.92114167796885,9853.0088070774,44.02081334724855,0.0,9851.65670658929,318.5456840809321,836.7231700565034,0.0,0.0,563.6249066906001,9848.860457003315,540.7013368796809
crime_victimization|WVS_H,9945.864743096568,37.62627480290283,0.0,0.0,47.81145614623348,0.0,18.131601246057294,504.5585614526208,0.0,20.70115248361192,263.3719221954516,0.0,0.0,0.0,93.09990486959956,23.519915212461797,9961.241177878186,376.14650286707314,0.0,9949.782048771998,0.0,26.037088009706103,0.0,9956.685361292693,0.0,0.0,0.0,0.0,138.59549318921654,9966.789637422353,0.3127481044588656,0.0,625.2857060342765,0.0,2.8525669250430923,848.9023179425656,0.0,11.797822763460047,9963.131650901345,301.1767521078784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.8088485649623,9956.139920665119,1.1658715135448432,0.0,0.0,0.0,88.43186470102803,0.0
