construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,74.0020526116783,69.58010756578155,53.821387610717295,48.017161874974946,110.74226723745363,48.30473856209151,64.52687232005329,136.7759803596656,56.71820010055305,107.60859367670514,47.83125371360666,78.65372548036834,99.79383252182305,90.45142424075394,49.980776624375245,54.17961004742609,46.78411091752169,9999.0,56.66055390981333,42.24911655252213,57.49176863727948,69.73113372647227,52.800462908167965,49.40214658884736,9999.0,9999.0,46.68534080298787,9999.0,66.46352234587529,54.23146270002255,40.23260865272595,67.4805650559957,9999.0,52.32610398448836,72.84038113237264,40.35433564574461,85.16934999316244,82.32357150510478,68.968240836634,48.35371975331408,43.31803643443193,58.32076420311715,54.80363236740124,128.25368412150016,41.947579155233306,9999.0,44.860006527986755,43.20605435156519,61.91950464396285,69.44444444444446,9999.0,81.82266888058848,55.001167133520084,32.67973856209151
authoritarian_governance_tolerance|WVS_E,74.0020526116783,0.0,78.22268305327682,62.463963098212574,53.191489361702125,111.41160562055381,56.94731404958678,73.16944780754856,131.19379298183742,65.36077558804831,108.27793205980532,56.47382920110193,73.07153810254017,102.12787313058315,91.49928991681884,57.537829254623574,60.09327938317944,55.426686405016966,9999.0,65.3031293973086,42.918454935622314,66.13434412477474,75.6448030622256,61.44303839566324,54.8885077186964,9999.0,9999.0,55.32791629048314,9999.0,67.7658790866338,54.07571833764953,46.1462779884793,73.39423439174905,9999.0,60.68116170940954,81.4829566198679,46.94395218735884,90.92733841830591,90.96614699260004,74.88191017238735,56.99629524080935,37.735849056603776,64.73363858327484,62.81294465514597,134.1673534572535,41.1522633744856,9999.0,53.50258201548203,51.848629839060465,70.56208013145812,78.08701993193972,9999.0,90.46524436808375,63.64374262101535,41.32231404958678
autocracy_support|WVS_E,69.58010756578155,78.22268305327682,0.0,58.042018052315825,51.02040816326531,113.69509043927648,52.52536900369004,68.74750276165182,140.99661080126413,60.93883054215158,111.82922411830367,52.05188415520519,82.87435592196687,98.71145881270132,94.67205468235247,54.201407065973775,58.40024048902462,51.00474135912022,9999.0,60.88118435141186,46.46974699412066,61.71239907887801,73.9517641680708,57.021093349766495,53.360849056603776,9999.0,9999.0,50.9059712445864,9999.0,70.68415278747382,58.45209314162108,44.45323909432448,71.70119549759423,9999.0,56.54673442608689,77.06101157397117,44.57496608734314,89.38998043476097,86.54420194670331,73.18887127823253,52.57435019491261,47.53866687603046,58.13953488372093,59.02426280899977,132.4743145630987,37.735849056603776,9999.0,49.080636969585285,47.42668479316372,66.14013508556138,73.66507488604299,9999.0,86.04329932218701,59.221797575118615,36.90036900369004
basic_needs_deprivation|WVS_H,53.821387610717295,62.463963098212574,58.042018052315825,0.0,36.479072361509225,68.61760274174964,36.766649048625794,31.446540880503143,125.23789084619987,45.18011058708733,92.73406332229862,36.29316420014094,35.08771929824561,88.25574300835734,36.63003663003663,38.44268711090953,42.641520533960374,35.24602140405597,9999.0,45.12246439634761,30.71102703905641,13.36898395721925,58.193044213006544,40.99329334948444,37.864057075381645,9999.0,9999.0,35.147251289522146,9999.0,54.92543283240957,27.548209366391184,28.694519139260233,29.32551319648094,9999.0,40.78801447102265,61.30229161890692,28.8162461322789,31.347962382445143,40.02888467654023,57.430151323168275,28.653295128939828,31.779946920966218,26.992962158854127,43.26554285393553,103.91603908193105,30.40948964176759,9999.0,33.32191701452104,26.442744041219264,45.662100456621005,28.011204481792713,9999.0,36.90036900369004,12.706480304955527,21.14164904862579
child_qualities_autonomy_self_expression|WVS_A,48.017161874974946,53.191489361702125,51.02040816326531,36.479072361509225,0.0,86.75325662954404,26.97815657114696,47.18455707084522,114.47871333630212,39.37588485134498,76.33587786259541,28.090216640183648,56.35645845700486,80.13269787870291,68.22400854055974,32.638461375167175,26.55734187389308,22.371364653243848,9999.0,39.31823866060526,19.37984496124031,39.411342426417804,42.10886555293925,35.458147658959895,32.05983133963929,9999.0,9999.0,25.580509091384897,9999.0,47.95574795574795,36.88914745081448,12.610340479192939,39.858296882462696,9999.0,27.14522420012317,50.77827941049064,14.285714285714285,67.82703474395437,64.98125625589671,41.34597266310099,31.01140450410601,21.020769411068464,31.197701073988476,29.277007145859606,100.63141594796716,19.157088122605362,9999.0,25.57544757033248,25.125628140703515,44.57718939475478,52.10212919523638,9999.0,61.39082828407099,37.658851884312014,15.337423312883438
child_qualities_conformity_tradition|WVS_A,110.74226723745363,111.41160562055381,113.69509043927648,68.61760274174964,86.75325662954404,0.0,88.51073224230512,86.49861878453038,173.75630857966837,102.10099021382368,133.85262780911452,89.62279231134181,100.49748756281092,142.96219645506642,96.91528545119704,89.24003865173648,87.60683760683762,87.18072579833023,9999.0,84.03361344537815,68.4931506849315,55.24861878453038,103.6414412240974,82.87292817679557,81.46229130685089,9999.0,9999.0,86.03701033405432,9999.0,104.85678704856787,76.39026783315617,74.1429161503511,97.94311593823056,9999.0,88.67779987128132,112.3108550816488,74.45914723797522,99.96556512419477,92.49165807675,102.87854833425914,83.33850642497981,82.55334508222663,55.55555555555556,90.80958281701777,132.47863247863248,81.98658669896888,9999.0,86.77468633392603,69.53433307024466,101.01154761197535,87.09575254249216,9999.0,79.57951902783938,65.1692537051653,78.06252867536213
child_qualities_prosocial_diligence|WVS_A,48.30473856209151,56.94731404958678,52.52536900369004,36.766649048625794,26.97815657114696,88.51073224230512,0.0,47.472133757961785,114.42230451223574,39.66346153846154,88.08674985145575,29.847692252944736,56.300049632938496,79.32423360930856,69.98148415332082,32.92603806228374,28.314817486654164,27.405625739933164,9999.0,39.60581534772182,22.72727272727273,39.038189533239034,43.86634116570034,35.74572434607646,31.25,9999.0,9999.0,27.33798470414598,9999.0,49.197983980592674,34.84320557491289,14.367816091954024,41.61577249522378,9999.0,28.902699812884258,52.53575502325173,15.527950310559007,68.11461143107093,65.26883294301328,43.10344827586207,31.298981191222573,20.964360587002098,32.95517668674956,31.03448275862069,102.38889156072824,18.34862385321101,9999.0,26.954177897574123,24.752475247524753,44.864766081871345,52.38970588235294,9999.0,63.148303896832076,37.94642857142857,15.625
civic_dishonesty_tolerance|WVS_F,64.52687232005329,73.16944780754856,68.74750276165182,31.446540880503143,47.18455707084522,86.49861878453038,47.472133757961785,0.0,135.94337555553585,55.885595296423325,106.77598887257543,46.998648909476934,66.53426017874875,98.96122771769333,68.07657751053978,49.14817182024552,53.347005243296366,45.95150611339197,9999.0,55.82794910568361,41.41651174839241,31.25,68.89852892234254,51.96785810403824,48.56954178471764,9999.0,9999.0,45.852735998858144,9999.0,65.63091754174556,52.391649048625794,39.40000384859623,60.772054076984084,9999.0,51.49349918035864,72.00777632824291,39.5217308416149,62.79450326294828,53.569123531689684,68.13563603250427,47.52111494918436,42.48543163030221,40.59392145565735,53.97102756327152,117.51699837873427,41.114974351103584,9999.0,44.02740172385703,29.15451895043732,61.08689983983313,50.99919440762974,9999.0,55.580900243309,26.246719160104984,31.847133757961785
confidence_in_civil_society_organizations|WVS_E,136.7759803596656,131.19379298183742,140.99661080126413,125.23789084619987,114.47871333630212,173.75630857966837,114.42230451223574,135.94337555553585,0.0,127.35624900997942,170.62263501891988,113.57866827131011,128.79363297117004,160.1246105919003,147.22138478544872,113.25992412325346,115.81537425180932,114.90618250508831,9999.0,128.0770571452959,105.26315789473685,128.57699154428127,131.3668979308555,124.21696614365054,110.61060258732627,9999.0,9999.0,114.83854146930113,9999.0,108.69565217391305,109.7978132062794,101.86837285710918,129.11632926037893,9999.0,116.4032565780394,139.32950355826117,102.66604705598871,146.6494332869358,149.2537313432836,130.60400504101722,119.77022298879665,93.45794392523365,120.4557334519047,118.53503952377585,189.8894483258834,110.18784041118572,9999.0,112.04530452002919,114.29127725856698,133.33600787944542,140.86094767992702,9999.0,150.64886066198721,126.41767036900265,104.09624179757408
confidence_in_domestic_institutions|WVS_E,56.71820010055305,65.36077558804831,60.93883054215158,45.18011058708733,39.37588485134498,102.10099021382368,39.66346153846154,55.885595296423325,127.35624900997942,0.0,98.96731665307519,38.46153846153846,69.23399413068216,91.1525554981931,81.81014721712395,41.33949960074528,45.53833302379612,38.14283389389172,9999.0,48.01927688618336,33.607839528892164,48.85049161364951,61.0898567028423,44.159185884538,40.76086956521739,9999.0,9999.0,38.0440637793579,9999.0,43.10344827586207,45.59018567639258,31.591331629095983,58.83928803236574,9999.0,43.684826960858395,64.19910410874266,31.713058622114648,76.52807296953247,73.68229448147481,60.32696381300403,39.71244272968411,33.898305084745765,49.67948717948718,46.162355343771274,119.6124070978702,32.78688524590164,9999.0,36.21872950435679,34.564777327935225,53.278227620332885,60.80316742081448,9999.0,73.18139185695851,46.35989010989012,24.03846153846154
