construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,39.114114114114116,33.55855855855856,33.0369371682931,31.72868714411741,44.342595795380305,31.887222000953912,35.03984714324521,72.28307699952151,41.594350350110716,85.68672454951053,25.663821716453292,60.7515410146989,48.13867451230089,93.17974136737463,31.79502154911991,44.21310237364612,44.21310237364612,28.38614476545511,37.709963818338196,18.281535648994517,29.71358998144712,33.55855855855856,38.96694707952986,56.26197063204937,18.552875695732837,83.18952581032413,29.877904008303616,84.07100933320504,32.32399065732399,23.31002331002331,18.832391713747647,32.493593899539995,9999.0,33.95673830827414,33.614299918647745,19.76284584980237,137.24047170187725,31.280381100524984,37.17484962496934,34.960414238860125,16.89189189189189,31.632670495456466,40.87270723961372,64.73878184404501,27.809052395973858,30.331438711044967,55.95439189189189,48.163774483292144,55.651581814372506,45.308562676021545,55.651581814372506,74.3879472693032,9999.0,30.36898084067895
authoritarian_governance_tolerance|WVS_E,39.114114114114116,0.0,38.888888888888886,41.90252543018269,37.05901747444774,53.20818405726989,40.752810262843504,43.90543540513481,73.5451433461703,47.26742153996371,86.94879089615932,30.994152046783626,66.08187134502924,55.55982479059402,100.60089164566777,37.125351879450236,52.25225225225225,51.12395632626847,33.71647509578544,45.131114096631336,21.691973969631235,34.03765298197691,38.888888888888886,44.297277409860186,61.5923009623797,25.974025974025974,87.51358881085392,33.62514819397491,86.65817770232032,37.65432098765432,29.78913996153407,27.69797997563724,41.35918216142959,9999.0,38.16643854953239,38.90367792832315,28.938350781225438,141.56453470240703,36.61071143085532,43.38394793926247,38.66990266233073,22.22222222222222,32.89473684210526,46.203037569944044,70.06911217437533,28.49002849002849,34.3502018177325,61.28472222222222,52.487837483821934,60.98191214470284,48.719000996658266,60.98191214470284,83.2535355311928,9999.0,34.191973969631235
autocracy_support|WVS_E,33.55855855855856,38.888888888888886,0.0,36.92814731200558,31.503461918892185,48.233805939092775,35.7784321446664,38.931057286957696,72.350165203738,43.92407142354349,85.75381275372702,23.094688221709006,60.526315789473685,51.2308204615897,96.27188731666344,31.569796323894685,46.69669669669669,45.56840077071291,28.160919540229887,40.80210976762701,18.34862385321101,30.694302865556686,33.333333333333336,38.741721854304636,56.03674540682415,21.645021645021647,84.17023869443369,30.281798077554683,84.13809753742153,32.098765432098766,24.534487280356675,22.723601857460125,36.38480404325247,9999.0,33.731513083048924,33.38907469342252,23.784104389086597,138.2211845859868,31.05515587529976,40.040597822842244,35.3265525459105,16.666666666666668,31.69975869967296,40.64748201438849,64.51355661881978,24.630541871921185,30.32786885245902,55.72916666666667,49.14448736740171,55.42635658914729,45.37565088023804,55.42635658914729,78.27915741301568,9999.0,30.143755615453728
basic_needs_deprivation|WVS_H,33.0369371682931,41.90252543018269,36.92814731200558,0.0,35.098275897564434,39.714749536178104,27.259375741751718,30.41200088404302,69.22276805056453,45.785999030883936,82.62641560055354,23.73743391975041,63.41997360229009,52.56227409567491,97.60334095074865,35.16461030256693,39.585256114443936,39.585256114443936,24.285190615835774,42.133563401712216,20.210551460551457,32.55623047289714,36.92814731200558,42.33653583297688,59.631559385496395,22.976475279106857,86.03216630177414,26.846770486151016,82.33580240671454,35.693579410771015,18.552875695732837,14.204545454545453,27.8657476403378,9999.0,29.356060606060602,30.102796646914292,24.213075060532685,140.08311219332725,32.22256347256347,33.39840341999651,36.727067977067975,20.261480645338914,28.57236154649948,37.95751457568559,68.10837059749203,23.181206136771664,31.872389977513652,59.323980645338914,51.00641497474216,59.02117056781953,47.23757848757849,59.02117056781953,69.76010101010101,9999.0,29.219560469560466
child_qualities_autonomy_self_expression|WVS_A,31.72868714411741,37.05901747444774,31.503461918892185,35.098275897564434,0.0,46.40393452465163,33.948560730225246,37.101185872516545,64.63122185178686,38.19298980589303,78.03486940177588,23.60872507678692,58.696444375032534,44.7373139680832,89.77838082315695,29.739924909453535,44.86682528225555,42.548775425487754,26.33104812578874,34.308603274120514,16.611295681063122,22.779043280182233,31.503461918892185,36.911850439863485,54.206873992383,15.15151515151515,76.25497910905924,24.630541871921185,77.74425620793687,30.26889401765762,22.704615865915528,20.893730443018978,34.55493262881133,9999.0,31.901641668607773,31.55920327898137,18.76172607879925,130.30592500061235,29.22528446085861,33.77348908075165,32.57328990228013,14.836795252225519,23.980815347721823,38.81761059994734,62.683685204378634,21.186440677966104,26.930078166827283,53.89929525222552,41.22922778202725,53.59648517470614,43.63832270809015,53.59648517470614,76.44928599857454,9999.0,27.932960893854748
child_qualities_conformity_tradition|WVS_A,44.342595795380305,53.20818405726989,48.233805939092775,39.714749536178104,46.40393452465163,0.0,38.56503436883892,41.71765951113022,80.52842667765171,57.09165765797114,69.93006993006993,35.04309254683761,74.7256322293773,63.867932722762106,108.90899957783584,46.470268929654125,50.76142131979696,50.890914741531134,35.59084924292298,53.43922202879942,31.51621008763866,43.86188909998434,48.233805939092775,51.54639175257732,70.9372180125836,34.282133906194055,97.33782492886134,38.15242911323821,93.64146103380173,46.99923803785821,39.43495988611612,25.510204081632654,39.171406267425006,9999.0,40.66171923314781,41.4084552740015,37.03703703703704,151.38877082041446,43.52822209965068,44.70406204708371,48.03272660415517,31.56713927242611,39.87802017358668,49.2631732027728,51.54639175257732,34.48686476385887,43.17804860460085,70.62963927242612,62.312073601829354,70.32682919490674,58.543237114665686,70.32682919490674,81.06575963718821,9999.0,40.52521909664767
child_qualities_prosocial_diligence|WVS_A,31.887222000953912,40.752810262843504,35.7784321446664,27.259375741751718,33.948560730225246,38.56503436883892,0.0,29.262285716703836,68.07305288322533,44.63628386354475,81.47670043321435,22.587718752411224,62.270258434950904,51.41255892833572,96.45362578340946,34.01489513522774,38.43554094710475,38.43554094710475,23.13547544849659,40.98384823437303,19.060836293212272,31.406515305557953,35.7784321446664,41.1868206656377,58.48184421815721,21.82676011176767,84.88245113443496,25.697055318811827,81.18608723937535,34.54386424343183,17.123287671232877,13.054830287206267,26.716032472998616,9999.0,28.206345438721417,28.953081479575104,21.691973969631235,138.93339702598806,31.072848305224284,32.248688252657324,35.57735280972879,19.111765477999725,27.42264637916029,36.80779940834641,64.1025641025641,22.03149096943248,30.722674810174468,58.174265477999725,49.85669980740297,57.87145540048034,46.0878633202393,57.87145540048034,68.61038584276183,9999.0,28.06984530222128
civic_dishonesty_tolerance|WVS_F,35.03984714324521,43.90543540513481,38.931057286957696,30.41200088404302,37.101185872516545,41.71765951113022,29.262285716703836,0.0,71.22567802551663,47.78890900583605,84.62932557550565,25.740343894702526,65.4228835772422,54.565184070627026,99.60625092570076,37.16752027751904,41.58816608939605,41.58816608939605,26.28810059078789,44.13647337666433,22.213461435503575,34.55914044784925,38.931057286957696,44.339445807928996,61.634469360448506,24.97938525405897,88.03507627672626,28.84968046110313,84.33871238166665,37.696489385723126,20.32520325203252,16.207455429497568,29.86865761528992,9999.0,31.35897058101272,32.1057066218664,29.381828342710953,142.08602216827936,34.22547344751558,35.40131339494862,38.72997795202009,22.264390620291024,30.57527152145159,39.96042455063771,70.11128057244414,25.18411611172378,33.87529995246577,61.326890620291024,53.009324949694275,61.02408054277164,49.24048846253061,61.02408054277164,71.76301098505313,9999.0,31.22247044451258
confidence_in_civil_society_organizations|WVS_E,72.28307699952151,73.5451433461703,72.350165203738,69.22276805056453,64.63122185178686,80.52842667765171,68.07305288322533,71.22567802551663,0.0,78.31176419937859,94.7044605581191,57.3170731707317,96.9996128532714,76.74319093252132,129.89715521664252,67.03563077847137,72.09694738456818,80.39893325591754,60.85242670608524,73.21124285674497,54.00154135052699,53.487376979032945,54.69535032428976,61.10030425457629,95.23600052786698,55.27028954500071,106.96331280790994,65.93471557487067,94.41384736428009,61.97236812453413,62.09870734242982,55.018222596019065,68.6794247818114,9999.0,70.16973774753421,66.96619597774925,52.75694403433138,161.01425869946306,70.25441099634259,73.89226347423721,52.91005291005291,55.865921787709496,40.65040650406504,65.83932338063934,94.12634233294204,62.58012674552981,60.45238670208484,94.9284217877095,71.93756148087797,74.78009933682955,75.27386935376062,74.43419028784882,110.57377815157463,9999.0,64.40337562520519
confidence_in_domestic_institutions|WVS_E,41.594350350110716,47.26742153996371,43.92407142354349,45.785999030883936,38.19298980589303,57.09165765797114,44.63628386354475,47.78890900583605,78.31176419937859,0.0,91.7154117493676,34.778563856255815,72.92941656466748,52.62727347094593,97.66834032601967,40.432779002203965,56.96216423623696,50.438734928350485,37.812523398838735,42.19856277698324,25.57544757033248,31.847133757961785,43.724267897011245,51.144822629498435,68.43984618201794,23.04147465437788,85.32306958683878,34.36650296694866,91.36492125454299,40.58533430350069,32.97196124822098,31.581453576338482,45.24265576213083,9999.0,39.819998144310766,41.768066414677506,31.79038104107954,139.3740154783919,40.55460950551623,41.66344858361438,41.25641090210101,29.069767441860463,37.661357695313555,52.10064650932452,76.91665739401358,33.1221198156682,34.82003766969001,63.36405529953917,50.2973182598068,66.32989237865144,52.6024745973595,67.82945736434108,87.13700913189405,9999.0,38.07544757033248
