construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,145.54659072931497,58.8235294117647,54.05368560249752,73.07610544217687,51.58829788505912,52.60096603697241,85.5599971947542,62.28701249526695,71.05894231982835,52.94915171428222,54.35357596275921,81.43495003588583,107.84356661119384,69.41603907509445,83.36458795049269,60.191615913381064,84.65972640454272,55.055192487231594,75.97122302158274,46.27454270850814,50.15562018470331,78.46468888075336,72.77329536465749,100.43620631729286,33.898305084745765,187.14192155456632,47.39336492890995,50.184950035885834,74.99721199955391,48.543689320388346,34.013605442176875,49.83639025230346,9999.0,68.02721088435375,73.38368418233435,48.89111966240961,72.87159202527278,68.38106370543542,67.92010481072012,58.88922733272414,39.0625,49.811393751813526,147.5346687211094,78.99460371315118,49.96256875956124,35.97122302158274,74.4327614831212,94.23781347200918,78.06646887830021,65.29673621806367,48.31975708738431,57.654267380711154,9999.0,63.36848329555534
authoritarian_governance_tolerance|WVS_E,145.54659072931497,0.0,132.46443479001618,146.48489708634054,160.49491313740313,138.64233649030592,142.15521705236682,107.52688172043011,105.22021086989199,120.43783478058356,122.16223698781837,139.95844082148565,163.72627639668536,167.60946993505132,150.54709839506785,163.72627639668536,149.67601825569503,144.63347380469278,141.85983970780916,149.98314796090327,142.16485936766753,134.5956585305845,115.255228901565,169.3902909128994,195.1099727801867,139.28269043139338,271.5819599004475,143.87863025118986,144.85871649877964,171.61420754779581,153.44285129082073,130.63060099041877,139.7084345713294,9999.0,77.51937984496124,170.00067973057625,124.24835180757806,167.11779706908754,163.33001084685446,162.1663098545349,152.9839839914861,141.76148665871642,114.83281268078213,158.1645411352838,155.64913921139436,122.3624291723155,130.2174280653975,168.67896652693597,164.47590158409167,174.68346442654212,153.276955602537,130.71086920666335,154.27126292895306,9999.0,131.86720593191777
autocracy_support|WVS_E,58.8235294117647,132.46443479001618,0.0,44.84304932735426,85.5466393697333,67.06922350394244,58.8235294117647,92.25848778087584,72.18734910671174,80.95927893127313,62.84948832572701,64.253912574204,89.03042088475003,123.54010797994201,78.80720876943086,93.26492456193748,80.59168304564102,92.25519725340692,64.95552909867638,85.87155963302752,53.87001355737234,53.191489361702125,89.90947014658273,91.74311926605505,108.03167716615707,41.49377593360996,190.17779073156515,55.24861878453038,57.78042088475003,95.39727913181389,69.1946069585407,54.41367257443683,64.69563208210184,9999.0,54.94505494505494,85.71219708322673,58.79145627385439,82.77192863671756,75.9765345542996,76.70504353924376,76.73575716389172,41.49377593360996,61.2561750176429,135.5902162353775,86.1366330764671,61.351435794018236,45.87155963302752,84.33309809456598,101.83328432087337,95.23809523809523,75.19707282950847,64.01629845613249,78.05433451297111,9999.0,73.26881990700014
basic_needs_deprivation|WVS_H,54.05368560249752,146.48489708634054,44.84304932735426,0.0,59.10258016032064,37.614772603202894,38.62744075511618,71.58647191289796,58.50653792076063,67.27846774532202,49.16867713977591,50.57310138825289,78.08203688045856,93.8700413293376,65.63556450058812,79.58411337598636,46.21809063152483,82.91576215580983,41.271502665628496,72.19074844707642,44.13817974934643,34.84320557491289,64.49116359889712,58.79977008280126,97.08329316186558,32.154340836012864,171.82950694477591,37.73919520456843,46.83203688045855,61.023686717697686,29.41176470588235,20.04008016032064,35.86286497044722,9999.0,68.9655172413793,59.41015890047812,38.46153846153846,69.09111745076646,65.30333122853337,59.41015890047812,44.91570205086791,28.409090909090907,35.83786846995729,145.7907044723765,57.4712643678161,35.98904347770501,32.190748447076416,70.65228690861488,81.49509803921569,64.09294359644399,61.51626164355736,34.34623180552808,43.68074209885492,9999.0,59.58800872104902
child_qualities_autonomy_self_expression|WVS_A,73.07610544217687,160.49491313740313,85.5466393697333,59.10258016032064,0.0,56.63719244288225,57.64986059479554,90.49959049959051,70.05234435906003,85.34464013916069,68.19109697945527,60.6060606060606,94.4850017586518,112.89246116901697,81.36629627194424,98.60653321566573,65.24051047120419,97.7097781273087,60.293922505307854,91.21316828675577,54.6448087431694,45.87155963302752,74.31539558556084,77.82218992248062,113.48625804005883,46.948356807511736,182.85786100289053,53.191489361702125,63.235001758651805,80.04610655737704,71.7536944610541,39.0625,54.88528481012658,9999.0,82.9755332924419,78.43257874015748,45.04504504504504,88.1135372904458,81.4311154282014,78.43257874015748,63.938121890547265,44.052863436123346,45.662100456621005,159.33805864477432,84.04349827097431,50.5050505050505,51.213168286755774,89.67470674829423,100.7908950617284,83.11536343612335,80.53868148323672,53.368651645207436,62.70316193853428,9999.0,78.61042856072838
child_qualities_conformity_tradition|WVS_A,51.58829788505912,138.64233649030592,67.06922350394244,37.614772603202894,56.63719244288225,0.0,36.16205303767779,62.5,37.59398496240602,48.309178743961354,31.746031746031747,39.682539682539684,75.61664916302016,91.40465361189922,54.94505494505494,77.11872565854797,43.75270291408644,80.25994639354327,35.714285714285715,69.72536072963803,36.90036900369004,28.98550724637681,52.462818938463634,56.33438236536287,94.61790544442718,29.498525073746315,165.97180861623983,31.645569620253163,44.366649163020156,58.5582990002593,35.842293906810035,17.57469244288225,28.81844380403458,9999.0,61.1229566453447,56.944771183039734,21.73913043478261,66.62572973332806,62.83794351109497,56.944771183039734,41.32231404958678,25.57544757033248,23.809523809523807,126.87969924812032,47.16981132075472,25.31645569620253,29.72536072963802,68.18689919117648,79.30308750461064,61.6275558790056,58.913851624373685,31.880844088089688,41.21535438141653,9999.0,57.122621003610625
child_qualities_prosocial_diligence|WVS_A,52.60096603697241,142.15521705236682,58.8235294117647,38.62744075511618,57.64986059479554,36.16205303767779,0.0,69.15122791900043,51.71264827402372,65.82574817979692,35.714285714285715,32.362459546925564,70.2639176784128,92.41732176381251,52.35602094240838,78.13139381046126,44.76537106599973,73.48869404706969,34.48275862068965,70.73802888155132,26.041666666666668,25.77319587628866,55.97569950052453,57.34705051727616,89.26517395981983,22.72727272727273,162.75949724615168,26.595744680851062,39.013917678412795,59.570967152172585,38.02281368821293,18.587360594795538,32.78688524590164,9999.0,64.6358372074056,57.95743933495302,23.696682464454977,64.7440794499618,57.210031347962385,57.93854033290653,43.462982485342806,22.42152466367713,27.3224043715847,136.36363636363635,54.34782608695652,27.62430939226519,30.73802888155131,69.02356902356902,80.31575565652393,62.64022403091889,59.523809523809526,32.89351224000298,42.22802253332982,9999.0,58.135289155523914
civic_dishonesty_tolerance|WVS_F,85.5599971947542,107.52688172043011,92.25848778087584,71.58647191289796,90.49959049959051,62.5,69.15122791900043,0.0,34.013605442176875,53.763440860215056,51.81347150259067,71.63255592574964,104.26573052875446,78.74015748031496,81.6156914893617,101.010101010101,59.880239520958085,66.66666666666667,69.55030487804878,84.01360544217687,67.82591010778931,61.08893171806167,40.816326530612244,90.30608167505794,123.2669868101615,63.90472995639048,198.0752330879247,65.57526980062192,73.01573052875447,92.52999830995437,64.0625,51.54639175257732,56.17977528089888,9999.0,37.3134328358209,90.9164704927348,45.45454545454546,95.27481109906236,91.48702487682928,90.3233238845097,70.50904088050314,61.58502252252252,58.4038493446159,95.23809523809523,69.73734662576688,61.86875864551949,58.37444209537233,96.83598055691078,113.27478681430571,95.59925518870067,82.62926664413654,39.0625,56.17977528089888,9999.0,72.92411127875275
confidence_in_civil_society_organizations|WVS_E,62.28701249526695,105.22021086989199,72.18734910671174,58.50653792076063,70.05234435906003,37.59398496240602,51.71264827402372,34.013605442176875,0.0,61.40350877192982,43.2937181663837,44.69814241486068,72.20707790706635,90.29304029304029,59.76060552719592,73.70915440259417,57.4712643678161,69.93006993006993,39.52569169960474,50.0,38.263220775954224,40.500186636804784,31.446540880503143,77.22614768292061,91.20833418847337,35.97762522247648,177.4864880066678,39.97699165947656,40.95707790706635,79.45006431781704,55.76923076923077,38.46645776043999,42.016806722689076,9999.0,27.700831024930746,66.15642692388342,39.23568611451108,63.21615847737425,59.42837225514116,58.264671262821594,51.282051282051285,39.087181555421125,24.390243902439025,89.28571428571429,61.44407739499764,27.855153203342617,26.315789473684212,64.77732793522267,85.0099413431897,82.51932119656334,55.24861878453038,30.769230769230766,61.34969325153375,9999.0,38.91050583657587
confidence_in_domestic_institutions|WVS_E,71.05894231982835,120.43783478058356,80.95927893127313,67.27846774532202,85.34464013916069,48.309178743961354,65.82574817979692,53.763440860215056,61.40350877192982,0.0,52.065647990945095,53.47007223942208,80.97900773162775,96.42417852749956,68.53253535175732,82.48108422715556,66.39889407743635,95.51097636683484,51.81347150259067,48.07692307692308,47.03515060051562,49.27211646136618,49.01960784313725,85.99807750748201,99.98026401303477,44.74955504703788,178.57142857142858,48.74892148403796,49.729007731627746,88.22199414237843,61.90036900369004,47.238387585001384,51.02040816326531,9999.0,42.918454935622314,74.92835674844481,48.00761593907248,71.98808830193565,68.20030207970257,67.03660108738299,65.9519168291098,47.85911137998252,39.682539682539684,123.56361622594488,67.57521562945692,44.84304932735426,35.08771929824561,73.54925775978407,93.78187116775109,91.29125102112474,64.41323249472654,36.90036900369004,61.34969325153375,9999.0,47.16981132075472
