construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,23.667815251818595,26.226242110088506,44.631169088677176,27.959553655391716,38.71287947721069,49.503559385537656,37.76734325933411,50.19203702378396,40.439684528115464,12.738853503184714,20.7133351618769,36.668817724718345,71.56238291494941,53.57693493678693,9999.0,48.23642395669635,31.666077530340523,34.53630327693296,27.423141315225834,9999.0,28.08988764044944,16.207455429497568,23.83676582761251,37.46291895951,51.33853339111175,41.893372453622035,40.89498530916774,22.72727272727273,9999.0,9999.0,45.5738091094941,9999.0,31.395569921095163,36.548377312708524,22.653147110655198,44.25581394488886,30.789918238190396,21.381895854092235,9999.0,40.093964007007486,24.609448522492002,29.440970341556287,29.364535954744788,9999.0,41.72436074956153,36.36411721146726,33.09121272944705,33.124351299136876,29.98023281352954,18.115942028985508,9999.0,30.952912503953414,72.9798173586064
autocracy_support|WVS_E,9999.0,23.667815251818595,0.0,29.386895825783853,43.36723477268096,26.149661900840883,36.90298772265985,47.69366763098682,40.92799697502945,48.38214526923313,38.629792773564624,10.92896174863388,18.903443407326066,39.829471440413684,69.75249116039858,56.73758865248227,9999.0,51.39707767239169,34.82673124603586,36.2260080468845,25.613249560674998,9999.0,29.585678166544326,13.458950201884251,26.997419543307853,40.62357267520534,54.4991871068071,40.0834806990712,44.05563902486308,17.18213058419244,9999.0,9999.0,48.73446282518944,9999.0,29.585678166544326,34.738485558157684,21.38921279465898,47.4164676605842,33.95057195388574,19.5720040995414,9999.0,41.8887140706153,27.770102238187345,31.904459902966025,32.52518967044013,9999.0,39.91446899501069,39.524770927162606,35.434156614883705,31.860416983140656,28.170341058978707,21.27659574468085,9999.0,34.11356621964876,71.16992560405556
basic_needs_deprivation|WVS_H,9999.0,26.226242110088506,29.386895825783853,0.0,30.696417793191987,34.39934701340212,45.15267283522108,55.94335274354806,27.629674765785666,40.31157331059731,44.50181005897359,19.178646861195112,15.556316462339039,25.641025641025642,78.00217627295982,43.57129298890442,9999.0,38.23078200881384,21.660435582458014,23.555191067395526,21.62485585154728,9999.0,17.236283379054164,29.842030748053325,9.19963201471941,27.32525046596156,41.332891443229244,48.33316581163244,30.889343361285235,32.44820835423093,9999.0,9999.0,35.43614061594566,9999.0,25.654159730225807,42.988170670718915,8.718395815170009,34.11814545134042,20.652249744641956,24.390243902439025,9999.0,30.088322059124977,14.471780028943561,17.73049645390071,18.79699248120301,9999.0,48.16415410757192,24.691358024691358,21.841857046324975,16.260162601626018,27.168580317015028,8.110300081103,9999.0,20.947270556070908,63.35891886563338
child_qualities_autonomy_self_expression|WVS_A,9999.0,44.631169088677176,43.36723477268096,30.696417793191987,0.0,47.65897317625409,58.412298998073055,69.20297890640003,43.34609733883781,56.00611362353879,60.13910404897783,32.43827302404708,31.152647975077883,45.068102755424505,91.26180243581177,61.97621996749309,9999.0,56.63570898740251,38.45248655792314,36.8148172302475,37.34127842459942,9999.0,30.495909541906137,44.44993209038153,23.419203747072597,43.0416730390137,59.73781842181791,61.592791974484406,49.294270339873904,48.04453986696977,9999.0,9999.0,51.1525631889978,9999.0,40.093964007007486,56.24779683357089,21.978021978021978,49.83456802439256,36.3686723176941,41.0813153749546,9999.0,48.493249037713646,30.188202601995705,32.49326908632902,37.76382098545095,9999.0,61.42378027042389,43.20903593532904,36.0229657982467,32.44922616650365,40.428206479867,26.515227059691668,9999.0,37.9885146144762,81.76384584422205
child_qualities_conformity_tradition|WVS_A,9999.0,27.959553655391716,26.149661900840883,34.39934701340212,47.65897317625409,0.0,41.19472612623298,51.985406034559944,47.049026559047945,52.67388367280625,42.92153117713775,15.220700152207003,23.195181810899186,46.7437444601318,74.04422956397171,62.614065081116955,9999.0,58.311350692109805,41.74100426575398,40.51774645045763,29.90498796424812,9999.0,33.877416570117454,20.120724346076457,31.533913855306515,46.74460225922383,61.41346012652521,44.37521910264432,50.96991204458119,23.04147465437788,9999.0,9999.0,54.85549240920793,9999.0,33.877416570117454,39.03022396173081,25.68095119823211,51.985406034559944,39.4560863405614,23.863742503114523,9999.0,46.18045247418843,33.891131822205836,36.19619830653915,39.439462690158244,9999.0,44.206207398583814,46.439043946880716,39.725895018456825,36.15215538671379,32.46207946255183,28.190868764398964,9999.0,41.02783923936687,75.46166400762868
child_qualities_prosocial_diligence|WVS_A,9999.0,38.71287947721069,36.90298772265985,45.15267283522108,58.412298998073055,41.19472612623298,0.0,62.73873185637892,57.80235238086691,63.42720949462522,53.67485699895672,25.974025974025974,33.94850763271816,54.042621468267285,84.79755538579067,73.36739090293592,9999.0,69.06467651392877,52.49433008757295,51.2710722722766,40.65831378606709,9999.0,44.63074239193642,26.109660574412533,42.287239677125484,57.4979280810428,72.16678594834417,55.1285449244633,61.72323786640017,33.11258278145695,9999.0,9999.0,65.6088182310269,9999.0,44.63074239193642,49.78354978354978,36.43427702005108,62.73873185637892,50.20941216238037,34.61706832493349,9999.0,56.59746545246131,44.644457644024804,46.94952412835812,50.19278851197721,9999.0,54.95953322040278,57.192369768699685,50.4792208402758,46.90548120853275,43.2154052843708,38.94419458621793,9999.0,51.78116506118584,85.63347009822206
civic_dishonesty_tolerance|WVS_F,9999.0,49.503559385537656,47.69366763098682,55.94335274354806,69.20297890640003,51.985406034559944,62.73873185637892,0.0,68.59303228919389,74.21788940295218,64.46553690728369,36.76470588235294,44.739187541045126,68.28775019027773,95.58823529411765,84.15807081126289,9999.0,79.85535642225574,63.28500999589991,62.06175218060357,51.44899369439406,9999.0,55.42142230026339,55.45799948954187,53.07791958545245,68.28860798936978,82.95746585667115,65.91922483279026,72.51391777472713,56.88880449043612,9999.0,9999.0,76.39949813935388,9999.0,55.42142230026339,60.57422969187675,47.22495692837805,73.52941176470588,53.191489361702125,45.40774823326046,9999.0,67.72445820433437,55.435137552351776,57.74020403668509,60.98346842030418,9999.0,65.75021312872975,67.98304967702666,61.269900748602765,57.69616111685973,54.00608519269777,49.7348744945449,9999.0,62.5718449695128,97.00566973777462
confidence_in_civil_society_organizations|WVS_E,9999.0,37.76734325933411,40.92799697502945,27.629674765785666,43.34609733883781,47.049026559047945,57.80235238086691,68.59303228919389,0.0,38.99768801849585,43.18792476687213,31.828326406840937,27.09741761158464,33.441870396071316,90.65185581860564,55.11239413815002,9999.0,49.77188315805944,33.20153673170361,36.07176247829605,20.310970559445824,9999.0,20.180366646954468,41.383131897298924,21.883898227243503,26.011365173860103,52.87399259247485,60.982845357278265,39.473684210526315,42.31241368727943,9999.0,9999.0,34.1222553238442,9999.0,30.049786628733997,53.48047538200339,21.368075360815833,32.804260159238964,19.3383644525405,40.47136875774845,9999.0,41.62942320837058,13.157894736842106,30.976429542919384,30.899995156107877,9999.0,60.81383365321774,26.17872807017544,21.63965894379715,23.118054099391905,36.66938698286979,19.6514012303486,9999.0,20.958206749322606,74.90002001487898
confidence_in_domestic_institutions|WVS_E,9999.0,50.19203702378396,48.38214526923313,40.31157331059731,56.00611362353879,52.67388367280625,63.42720949462522,74.21788940295218,38.99768801849585,0.0,55.869823311683774,37.45318352059925,36.34444026798152,46.123768940882954,96.27671293236395,67.79429268296167,9999.0,62.45378170287108,45.88343527651526,48.753661023107696,32.992869104257466,9999.0,25.510204081632654,45.87155963302752,33.75422716489729,38.693263718671744,65.5558911372865,66.60770247103656,52.15558275533796,53.23633215987341,9999.0,9999.0,46.804153868655845,9999.0,42.73168517354564,61.26270733012305,34.02809164551681,45.4861587040506,32.02026299735214,46.09622587150677,9999.0,54.31132175318222,25.839793281653748,43.65832808773102,43.58189370091952,9999.0,66.43869076697605,38.86062661498708,27.397260273972606,35.79995264420355,49.351285527681426,32.33329977516024,9999.0,33.640105294134244,87.58191855969062
