construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
authoritarian_governance_tolerance|WVS_E,0.0,0.0,9975.332184748182,41.34132545747906,46.277921820413745,23.586838097185606,71.17723041289919,83.82977394779569,9961.232656740665,9948.807962976216,9958.560315471885,0.0,9978.286664838122,9962.331182275282,9927.43761708505,9945.423065063213,0.0,208.17383245356007,47.07407994997444,4.526196723067038,102.44698855490402,0.0,0.0,0.0,9975.163234172387,629.2037477071566,948.6614666088883,166.4399608797113,46.82431293644629,0.0,0.0,0.0,38.45980433588405,0.0,8.765072649185964,74.56273379840259,9976.346852889345,9954.744186055112,969.2100817618096,32.96593023286429,0.0,959.9060359929925,2.0572181441746658,19.820113402286083,9969.635464045256,0.0,95.26194062030149,9962.635882788532,16.90878727055295,13.171944997159414,51.32058019460054,0.0,0.0,9968.047087496047,403.2106588318698
autocracy_support|WVS_E,0.0,9975.332184748182,0.0,102.19205154263719,67.74387633843016,21.24370302806907,43.742173567662725,61.00198454292622,9958.07200302497,9950.617854730766,9960.370207226435,0.0,9980.096556592674,9959.170528559587,9929.247508839602,9942.262411347518,0.0,156.93625566094164,69.33993542063081,0.6743609568055362,83.08240261323805,0.0,2.4656038847377246,0.0,9972.002580456692,191.93456685967837,380.2834215888451,88.121647506057,62.32733969854117,0.0,0.0,0.0,32.56635018294064,0.0,7.86750535405492,59.60113708335175,9977.610787205342,9951.583532339417,382.71609471278094,15.88898880826002,0.0,235.88906370716248,4.69743022934512,31.3866793375403,9966.47481032956,0.0,66.46850972839357,9959.475229072837,32.13341095268386,30.639583016859344,47.01762886583333,0.0,0.0,9964.886433780352,241.33007439594445
basic_needs_deprivation|WVS_H,0.0,41.34132545747906,102.19205154263719,0.0,7.471521138105718,365.6006529865979,25.269862376046518,125.87482907463378,131.10048396437307,203.5908657137929,65.3882998311363,9979.821353138805,0.41812443222965,0.0,80.72798245719892,11.373761956150524,0.0,31.699287921256094,1.7587681646145832,9975.444808932605,36.514679032173646,0.0,0.3075762700686404,9969.157969251946,0.0,28.540671321747936,8.418352337865286,32.311995478690136,19.872077958511724,9966.551791645768,0.0,0.0,118.41001323020818,0.0,30.525615550673074,726.2425985600504,0.0,19.645295408874638,9978.347750255358,0.0,0.0,1.9629599921570744,0.0,0.0,0.0,0.0,54.928629397582725,0.0,9977.158142953675,0.0,7.9191389812305815,0.0,0.0,0.4202508114504582,20.674694579744774
child_qualities_autonomy_self_expression|WVS_A,0.0,46.277921820413745,67.74387633843016,7.471521138105718,0.0,9951.341026823746,9940.587701001927,193.95491583044205,391.4365113568144,171.26661364918846,60.34282366186554,8.378053506565166,0.0,62.45877896500561,179.0084678344585,250.52378003250692,0.0,531.5995851302446,28.66160740180841,28.97465645396302,35.12248969134261,0.0,9968.504090458095,104.80379925290205,0.0,80.4151170844431,172.8203211130658,938.4072080255156,163.4716871069346,179.22818740575747,0.0,0.0,319.2178071813725,0.0,64.07270265965919,161.1435075142552,0.0,307.3082891184646,38.81929760711794,375.5853512917121,0.0,103.02190247743789,68.8216983881033,12.755599691951517,9.184535822060788,0.0,9937.576219729575,38.75817717942505,39.165004126565336,9966.550773833496,21.683594762369026,9972.484772940308,0.0,85.4682755089806,444.55194362946213
child_qualities_conformity_tradition|WVS_A,0.0,23.586838097185606,21.24370302806907,365.6006529865979,9951.341026823746,0.0,9957.805273873768,218.2848642357103,91.83986232984094,40.7840602524274,69.43801938466001,0.0,5.458113318040642,275.8369007011585,196.22604070629853,98.67625749952819,0.0,137.7670806804392,434.4494719247222,12.95818937841937,85.03754077138407,0.0,9965.122583429882,0.0,6.20193520129726,953.2553977407762,194.99679628373121,111.87478089735568,949.0300879554188,0.0,0.0,0.0,103.87466632095081,0.0,35.08810067126185,74.60613967463281,5.088279570998658,260.51459396544004,142.36209547762044,18.87130023192821,0.0,153.81954752581157,57.017959086885085,36.26756980940288,53.15312990243434,0.0,9954.793792601416,112.29111478327802,14.918913724712574,9962.847844613287,54.49444227657861,9970.809131235601,0.0,171.73811820744163,109.72352117755648
child_qualities_prosocial_diligence|WVS_A,0.0,71.17723041289919,43.742173567662725,25.269862376046518,9940.587701001927,9957.805273873768,0.0,282.08885435051764,198.6079040293895,353.23945717204145,946.3251430010433,0.0,174.38482570061518,75.82750840186257,915.2024446142093,212.34689481134978,0.0,930.9353234860712,197.50566991242704,218.99919799799366,959.3416862139329,0.0,9954.369257608063,0.0,92.84789545800965,159.8933762667833,165.92845214689393,130.05664026072185,414.46723832407605,0.0,0.0,0.0,204.66145203924336,0.0,96.21432803059878,227.994227994228,463.56572297994893,159.4834903658433,252.82089086792269,21.880106816309443,0.0,86.25967740468155,543.5908364736223,131.62190444307046,116.47387815468944,0.0,9944.040466779597,92.06136157458391,475.8365686334084,9952.094518791468,545.0198888332762,9960.055805413782,0.0,225.99661271659193,236.94717506306824
civic_dishonesty_tolerance|WVS_F,0.0,83.82977394779569,61.00198454292622,125.87482907463378,193.95491583044205,218.2848642357103,282.08885435051764,0.0,301.7773380811764,110.96729578223298,649.8201773784307,0.0,47.00393172500992,931.7122498097223,404.4117647058823,138.06415141095934,0.0,37.79170240127367,21.460752715964503,80.79539067653928,0.907027248014316,0.0,62.22563652326602,2.013264878274228,91.84961664643161,26.949487248725447,202.75681985761457,9933.08077516721,49.437301737467976,13.533730720831478,0.0,0.0,923.6005018606461,0.0,120.01717419096467,143.50740296118448,17.291172103880015,229.50089126559718,0.0,9953.592251766739,0.0,9931.275541795665,9943.564862447649,236.37744302213844,97.74669030985456,0.0,197.40768160811234,58.599228803985994,11.193867367339266,111.7953643068691,9944.993914807303,1.2855336687204115,0.0,260.0088001917775,141.08956835746346
confidence_in_civil_society_organizations|WVS_E,0.0,9961.232656740665,9958.07200302497,131.10048396437307,391.4365113568144,91.83986232984094,198.6079040293895,301.7773380811764,0.0,9960.002311981505,9955.812075233127,45.6910534381203,9971.902582388415,9965.558129603929,9908.348144181395,9943.88760586185,0.0,206.63837325219697,966.7984632682964,110.98706105111572,14.171788061243827,0.0,10.214770131161035,7.160557423089422,9977.116101772757,25.80210632873057,947.1260074075251,415.2076308331979,82.4775353016688,59.728402639251186,0.0,0.0,49.21107800948913,0.0,29.830452892224088,291.3471108248932,9977.631924639185,9966.195739840761,7.9840399190442,203.43107026664177,0.0,103.29811302351348,0.0,122.86972430323445,9968.100004843893,0.0,939.1861663467822,9972.821271929824,15.260710059892887,32.74786768831759,47.36422646250836,11.696561152096542,0.0,9978.041793250677,295.47035035549135
confidence_in_domestic_institutions|WVS_E,0.0,9948.807962976216,9950.617854730766,203.5908657137929,171.26661364918846,40.7840602524274,353.23945717204145,110.96729578223298,9960.002311981505,0.0,9943.130176688317,0.0,9962.655559732018,9952.876231059117,9902.723287067636,9931.205707317038,0.0,11.620292371202993,89.25169985861987,59.94199115080535,35.034341780096284,0.0,0.0,0.0,9965.245772835102,43.273949396082344,106.85790196616179,318.0076821443481,133.02960242984722,3.9065249829837256,0.0,0.0,122.68737155507299,0.0,70.90467846281798,393.2827472153315,9964.971908354482,9953.51384129595,31.270876243154184,50.991152769269924,0.0,945.6886782468177,0.0,38.30888502702307,9955.418106299081,0.0,933.561309233024,9960.139373385013,0.0,398.98265605144866,950.6487144723186,32.18282925709782,0.0,9965.359894705865,26.054445076673005
