construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,225.64739800413744,345.39842753173804,9944.8370590288,19.318171638722006,32.71799352240616,367.40838079305496,2.538518995484857,36.318294272344914,34.97817461538698,133.59624739584376,9952.069123068295,309.9248880639216,360.53313257864664,165.30829015060917,938.8276855854599,9944.453322571966,0.0,0.0,9951.338507437871,0.0,13.799372508551436,123.53815449330287,9941.369523950558,4.334256028201246,0.0,0.0,19.32926036965224,24.2799739206921,9949.189976980892,43.594459252348074,10.942633548809823,67.04417540241133,920.3828147927234,0.8369784117292411,169.01690169016902,14.303225751924742,9.274026634794964,9949.416088765603,10.741586576885155,39.75846546738523,14.996207040091086,25.945411180321884,7.921663633349539,56.77526603274161,0.0,34.57766054610368,152.76414727208478,9960.001757994889,10.09818095618548,0.0,0.0,0.0,0.0,1.519360886939623
authoritarian_governance_tolerance|WVS_E,225.64739800413744,0.0,9964.695247556816,0.0,0.0,0.0,3.78999223166684,5.156965963619058,9963.871995031368,9979.489688014783,9945.769541844002,34.341552849470716,9962.191031092947,9963.82253275459,9970.553499202179,9958.124505610538,10.892104215091344,3.812416219803346,0.0,2.6416875039343495,3.2195326822161547,32.13839951400011,141.14407305493538,296.6589241265022,9975.974228338902,0.0,0.0,0.0,6.405402669977079,70.48679700596884,9980.76088718166,9984.074196453157,8.351168270039793,9940.338881635334,0.0,47.09149949302427,9982.885685097266,9978.779194107488,76.35534066056917,0.0,0.6055572513743286,0.0,0.0,0.0,9977.370963105608,0.0,0.0,9975.400660671481,2.7542134232705564,0.0,0.0,0.0,0.0,0.0,0.0
autocracy_support|WVS_E,345.39842753173804,9964.695247556816,0.0,110.74058314073118,14.81254955723945,22.233953991769752,80.26187566861287,27.28086727271814,9954.980203198094,9962.522930597144,9933.182317125462,0.0,9948.247208911334,9957.57774427352,9955.662597426988,9949.232713777265,69.36545997438947,310.3923435936997,3.9142189925942965,35.30786613235115,12.009068464150733,0.0,47.60446738401423,29.023248355264194,9957.211236280367,0.0,0.0,17.92828463031089,15.499972675994897,0.0,9967.767816493755,9971.495053319539,34.97406734375061,9934.094093154265,1.7546111187598008,16.339242543471784,9969.583119574047,9968.02965663403,0.0,13.811548946986882,52.65228883799575,9.340751013680077,11.277766759962873,7.346647382565312,9963.869928132408,3.214909774759505,0.0,9962.781844820835,13.432694462080722,48.83491560166932,0.0,0.0,0.0,0.0,5.602004102294934
basic_needs_deprivation|WVS_H,9944.8370590288,0.0,110.74058314073118,0.0,32.87499100940475,20.009816230914215,38.70812949684994,296.5197700903042,7.617568521706474,15.002482745838659,120.58873485095734,9966.854418655334,100.70978591729138,0.0,57.25152573520663,404.86914189375375,9959.758714036505,0.0,65.13055402498566,9972.138114713778,57.56533108843057,0.0,41.84073641762278,9962.114836479126,0.0,75.58008007358298,151.11840825844172,9.566868641785753,639.4919685676316,9967.426501035197,7.80800708869058,0.0,120.09456314081442,12.556698749861717,81.163045556143,8.541937512193108,0.0,50.23912540241986,9967.356351849343,7.836187014255305,34.82400442514516,0.913561293739459,2.8848425737131507,15.06638338623246,385.497561067206,4.84237375211109,55.92806990643742,47.50575325673568,9977.622368464929,4.324157233251242,0.0,0.0,0.0,0.0,11.847687463151573
child_qualities_autonomy_self_expression|WVS_A,19.318171638722006,0.0,14.81254955723945,32.87499100940475,0.0,9983.501520295784,9977.111442590347,0.0,206.21297549400185,0.0,206.39927873287996,10.056501514281273,4.840190636952421,183.39738182272626,4.828602261452531,34.83401609387586,12.880707253938862,0.0,0.0,0.5658284922056112,0.0,0.0,9943.363553533558,39.5570176257637,9.348227767962065,0.0,0.0,0.0,0.0,17.924407840132794,0.0,0.0,0.4531140200069963,98.6629247718127,0.0,11.489505234906268,0.0,0.0,14.057579759881268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9984.699533684865,1.4747744050578007,0.0,9983.986344321043,0.0,0.0,0.0,0.0,0.0
child_qualities_conformity_tradition|WVS_A,32.71799352240616,0.0,22.233953991769752,20.009816230914215,9983.501520295784,0.0,9976.94778222319,0.0,288.4357910720563,0.0,205.80130920802821,23.610177716614203,6.6662410062612025,58.3216865930198,4.859043040984091,50.197746580026184,12.62709034616697,0.0,0.0,2.7527561994469814,0.1774082364252969,0.6497591917028345,9942.765584008706,44.040653722507216,0.8271617979808212,0.0,0.0,0.0,0.0,31.26953611198374,0.0,0.0,1.8211746016209958,176.487084099556,0.0,24.571825513665875,0.0,0.8714839106086067,6.601161006605029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9984.535873317709,2.8254011954020832,0.0,9983.356129619591,0.0,0.0,0.0,0.0,0.0
child_qualities_prosocial_diligence|WVS_A,367.40838079305496,3.78999223166684,80.26187566861287,38.70812949684994,9977.111442590347,9976.94778222319,0.0,8.912398770720102,28.91597505954101,1.4953000483299306,420.18680340179577,85.02897074059445,23.10521169739667,33.28736803090221,21.56289433786977,147.81834558268866,25.445937614006183,11.376702312024157,9.038963003749831,11.454710579308209,34.89070223626266,35.4774675652134,9937.370858422253,79.17210489653338,0.0,8.978695736507174,2.745276405974142,2.3624058484537684,14.72735872231953,130.66850840842815,0.0,0.0,7.3467033153483285,391.2489225733096,2.474994659955236,132.12070119607478,0.0,22.990670452161943,5.127867352808771,0.09229613507013568,2.4896176394647256,0.0,0.0,0.7294003403744647,8.9468171037621,0.0,9978.219296768279,13.431913730668747,0.0,9977.03955307016,0.0,0.0,0.0,0.0,0.3254240461571527
civic_dishonesty_tolerance|WVS_F,2.538518995484857,5.156965963619058,27.28086727271814,296.5197700903042,0.0,0.0,8.912398770720102,0.0,93.15965370732452,0.0,421.1665583679752,6.9184570462794746,14.135980312254901,971.6170820509726,8.513459000346472,95.96502094061708,18.501568285367576,0.0,0.0,2.550332352907809,0.0,0.0,171.90875292331694,25.065195034605857,153.75219724382873,0.0,0.0,9982.850840968924,0.0,16.584068020107992,1.0468460874264984,0.0,0.9258729682715376,95.19225446112776,0.0,9.780486245345841,0.0,0.0,6.510762783204402,9984.307651150348,9981.423219440701,9983.971516696567,9985.230492429306,0.0,0.0,9986.105768644667,0.0,5.0688037886944315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,36.318294272344914,9963.871995031368,9954.980203198094,7.617568521706474,206.21297549400185,288.4357910720563,28.91597505954101,93.15965370732452,0.0,9965.296275299053,9951.83950874055,0.0,9947.423956385886,9969.701978131561,9954.83934490154,9951.926782483371,6.320275536330186,968.5556820370068,11.362151038629825,210.4105395328289,0.0,0.0,88.05911037401916,955.4901583285202,9959.2523585549,0.0,0.0,968.5613427844744,70.06289901233534,0.0,9966.944563968307,9970.67180079409,100.0470029772643,9932.503449170685,32.64802305743214,17.982515740363276,9968.759867048599,9967.206404108581,0.0,125.18543298541536,55.076580357363675,76.981880208662,8.635484000666427,557.8583199710741,9963.046675606958,805.0501439568778,37.895011139815296,9961.958592295387,115.87031150184993,97.62339732988809,0.0,0.0,0.0,0.0,228.72096003917903
confidence_in_domestic_institutions|WVS_E,34.97817461538698,9979.489688014783,9962.522930597144,15.002482745838659,0.0,0.0,1.4953000483299306,0.0,9965.296275299053,0.0,9953.285168925368,85.18603424673827,9963.667077974467,9971.147638316379,9972.029546083699,9955.952188650866,1.120829319779297,0.0,1.5056081961410577,2.451067718787481,4.744852783740882,8.75730604806883,130.4778819544835,95.56448571462838,9978.175105177601,1.407847686513124,0.0,0.0,2.7547648487828233,248.78379817834775,9982.23693406318,9985.550243334676,1.164706489050932,9942.707646686664,0.0,89.24581260572174,9984.361731978786,9980.255240989007,0.0,0.0,0.0,0.0,0.0,0.0,9978.847009987127,0.0,0.7423848690161776,9976.876707553001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confidence_in_international_organizations|WVS_E,133.59624739584376,9945.769541844002,9933.182317125462,120.58873485095734,206.39927873287996,205.80130920802821,420.18680340179577,421.1665583679752,9951.83950874055,9953.285168925368,0.0,0.0,9931.905796466539,9957.690871757875,9937.127033047162,9939.915676109686,21.70517847728756,20.23884317924456,84.44676261917692,157.64192167489028,421.23743580168264,16.81344853204638,36.213034587899145,44.867961238507384,9947.241252181215,1.418293426286155,36.434189439591385,114.1323476374578,115.19930552394243,0.0,9950.08275449915,9952.646150686489,779.7788000802962,9914.354370360243,62.799537838838084,34.99191906303662,9951.526684275555,9943.377773656239,0.0,307.7157884850193,617.4345024277018,156.37989180750768,727.976358978962,173.51624714180096,9945.668295062202,133.91736468659548,8.588829172373622,9941.99755825213,30.521144205445765,238.55379445483544,0.0,0.0,0.0,0.0,351.47814788772763
