construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,75.95068616134411,109.22227839568586,9999.0,25.954159977811212,43.56182975939403,37.34132353888781,21.570384938367223,53.04993550336429,26.81446974925236,99.05704199182459,21.41823506059429,38.221707355444,41.8355440923606,57.122617207624934,19.157088122605362,31.70289855072464,29.634859310684458,23.39373266822002,34.19295675415739,24.72281398276363,13.58695652173913,70.02897487060694,21.480925325548426,54.362682969258685,16.339869281045754,81.65917041479261,27.063599458728014,37.04380302845776,24.81848144493963,26.342058562555458,13.531799729364007,65.28531383957534,9999.0,55.37280391346442,95.08002676136071,27.691328877169312,24.66115364244788,39.32837502817219,68.47685467441895,44.87976211180915,26.91868058612438,37.260371373095964,39.43853548065934,32.89197582675843,15.45595054095827,14.992503748125937,19.960079840319363,33.428226363008974,31.04493458050236,26.206070958768315,28.216087541405123,33.939962994670125,39.6286231884058,30.45227350262966
authoritarian_governance_tolerance|WVS_E,75.95068616134411,0.0,121.7671674555807,9999.0,74.84812414647139,97.0895707737813,90.03964739837623,71.58031950135613,106.31903775722728,75.59124286711821,147.83381510969045,70.42174736724398,82.27060129883239,90.61231721022645,110.39171946148792,67.28926226499735,44.24778761061947,79.6348868071352,72.90113743728675,88.85579045448583,66.82115104177072,62.363729639604976,124.69180857093538,70.48061275648809,100.7449627518624,62.9393763956662,131.47223289366968,76.1188878239241,83.64331014307821,75.38456297293831,75.11883168042131,68.19463342969244,81.96721311475409,9999.0,98.0392156862745,141.67953387598118,76.46810199503516,70.15452336191481,58.47953216374269,123.13968837474738,99.54259581213759,81.58151428645282,83.8598784877164,94.10136918098777,81.66874894462428,68.72505279482127,66.03427998534714,71.01424867074684,64.1025641025641,82.28404836470457,80.41427115585046,81.59449887037421,84.29355420100848,60.859083291682595,79.25562153149687
autocracy_support|WVS_E,109.22227839568586,121.7671674555807,0.0,9999.0,108.11971638081314,131.49625569406422,123.311239632718,104.85191173569788,139.59062999156905,108.86283510145996,181.1054073440322,103.69333960158573,115.54219353317416,123.8839094445682,143.6633116958297,100.56085449933911,77.51937984496124,112.90647904147696,106.1727296716285,122.1273826888276,100.09274327611249,95.63532187394674,157.96340080527713,103.75220499082985,134.01655498620417,96.21096863000797,165.97253888635558,109.39048005826585,116.91490237741998,108.65615520728007,108.39042391476306,101.4662256640342,126.70396542830449,9999.0,141.0790323335361,174.95112611032295,109.73969422937692,103.42611559625658,119.19947437713441,156.41128060908915,132.81418804647933,114.85310652079457,117.13147072205817,127.37296141532954,114.94034117896604,101.99664502916302,99.30587221968891,104.2858409050886,99.00990099009901,115.55564059904634,113.68586339019222,114.86609110471596,117.56514643535024,94.13067552602436,112.52721376583862
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,25.954159977811212,74.84812414647139,108.11971638081314,9999.0,0.0,42.45239027847723,36.231884057971016,19.49317738791423,51.658682571407425,25.711907734379643,97.95447997695189,16.556291390728475,35.268718931158624,40.73298207748788,55.73136427566807,17.33102253032929,30.600336535851923,28.525419829767657,21.978021978021978,33.083517273240595,22.779043280182233,12.484394506866415,68.91953538969014,16.5016501650165,51.409694544973306,13.386880856760374,85.22776233561726,25.954159977811212,34.09081460417238,23.709041964022827,23.64066193853428,12.422360248447205,64.18275182470262,9999.0,54.26336443254762,92.12703833707533,26.5887668622966,23.55859162757516,36.37538660388681,67.36741519350215,43.77032263089235,25.80924110520758,34.307382948810584,38.32909599974254,31.78941381188572,14.064697609001406,18.561095668950582,18.315018315018314,32.32566434813626,29.93549509958556,25.096631477851517,27.106648060488325,32.83052351375333,38.52606117353308,29.342834021712857
child_qualities_conformity_tradition|WVS_A,43.56182975939403,97.0895707737813,131.49625569406422,9999.0,42.45239027847723,0.0,53.83955383955383,38.06861523903324,69.34001670843776,46.56084656084656,121.33101929020296,37.91646536126031,59.56297751529285,63.566025724506005,73.4126984126984,40.69858322320274,53.976875849102996,46.13308961135048,39.89196296888604,50.691187054823416,43.78518821434915,35.86093382011749,86.52720517127295,37.97915562621445,75.70395312910753,37.6811394408946,102.83543211720007,43.56182975939403,54.660571901951215,41.316711745605645,43.85256927629809,30.030030030030026,83.09517489275689,9999.0,71.87103421413045,115.4312598604208,45.50118993035087,43.9859338268151,38.61003861003861,84.97508497508497,61.377992412475166,43.416910886790404,58.60164153294481,55.93676578132536,51.94805194805195,31.746031746031747,36.1687654505334,33.78378378378378,55.540234111662684,47.54316488116838,42.70430125943434,44.71431784207115,50.43819329533615,61.90260048678416,46.950503803295675
child_qualities_prosocial_diligence|WVS_A,37.34132353888781,90.03964739837623,123.311239632718,9999.0,36.231884057971016,53.83955383955383,0.0,31.848109018527023,66.85310005258378,41.69881114869543,114.88185017596781,31.69595914075409,48.98210907710828,56.95101727136674,70.92578175684443,37.29395092116059,45.791859787756756,39.91258339084426,33.671456748379825,44.47068083431719,37.564681993842925,29.41176470588235,80.30669895076674,31.758649405708226,65.12308469092295,27.100271002710027,96.61492589669385,37.34132353888781,47.80420475012204,35.09620552509943,35.842293906810035,23.809523809523807,67.26757546685705,9999.0,65.65052799362422,99.60366043452098,29.673590504451038,40.4859618265911,50.08877674983647,78.75457875457874,55.15748619196895,37.19640466628418,48.02077309476023,49.71625956081914,48.108674364054565,29.259115090177758,29.948259230027183,37.029122860185524,49.2530345471522,41.32265866066216,36.483795038928115,38.49381162156492,44.217687074829925,55.45343137254902,40.72999758278946
civic_dishonesty_tolerance|WVS_F,21.570384938367223,71.58031950135613,104.85191173569788,9999.0,19.49317738791423,38.06861523903324,31.848109018527023,0.0,51.08216145206319,20.491803278688522,94.68667533183662,11.947431302270012,33.75832263496832,37.46517743237262,55.154843156323835,12.69035532994924,27.33253189073666,24.141644790323667,17.33102253032929,28.699742233796606,20.352447322775653,9.216589861751153,64.53576035024615,12.578616352201257,49.899298248783,11.876484560570072,77.17086834733894,21.570384938367223,32.58041830798208,19.325266924578838,18.587360594795538,8.038585209003216,60.90400827242933,9999.0,49.87958939310363,90.61664204088504,23.31002331002331,15.503875968992247,34.86499030769651,62.98364015405816,39.38654759144836,21.42546606576359,32.79698665262028,33.94532096029855,28.521609166770457,13.488176489657167,10.504201680672269,11.086474501108647,29.057859703020995,25.55172006014157,20.712856438407528,22.722873021044336,28.446748474309338,35.25825652841782,24.959058982268868
confidence_in_civil_society_organizations|WVS_E,53.04993550336429,106.31903775722728,139.59062999156905,9999.0,51.658682571407425,69.34001670843776,66.85310005258378,51.08216145206319,0.0,52.408799777220835,129.42539358770776,45.824437637303134,67.62578228700801,69.85204947853505,79.26065162907268,46.54653643957701,62.07125014660781,55.90900327742433,49.0618748706629,59.915413533834595,53.69704454372647,43.9553081176223,95.73351984612694,45.87898910490809,83.7667579008227,45.74394421260977,111.36797216922905,56.57537597242398,66.4124287664406,50.04728508693902,49.70052249267236,43.043576243059974,87.71929824561403,9999.0,84.88458042716039,121.27921307679506,51.34914314672514,49.83388704318937,68.73244995973621,97.98863118811491,74.39153862550512,56.430457099820345,66.66444630465998,67.26757546685705,57.79600516442622,37.59398496240602,44.70130550256238,45.36399273241379,61.748574334386696,55.90900327742433,55.71784747246428,55.87552061140053,60.742133110554164,69.99697478428897,56.39097744360903
confidence_in_domestic_institutions|WVS_E,26.81446974925236,75.59124286711821,108.86283510145996,9999.0,25.711907734379643,46.56084656084656,41.69881114869543,20.491803278688522,52.408799777220835,0.0,98.69759869759869,19.23076923076923,36.48037822038365,41.476100798134695,56.48148148148148,21.52626841423522,31.343455256498736,30.49867039504345,22.075055187637968,37.136243386243386,24.363370688537728,13.227513227513228,72.95434969853574,17.636684303350968,52.62135383419833,14.5985401459854,81.65917041479261,26.98267141183235,35.302473893397405,25.25252525252525,25.982615268329553,19.05841701760069,64.92587054534943,9999.0,60.8994212017011,93.33869762630036,27.33188558294341,24.301710348221974,37.587045893111835,74.00347196265562,50.406379400045836,32.44529787436106,35.51904223803561,44.48840531926585,32.53253253253253,14.814814814814813,14.992503748125937,21.878032258655097,33.06878306878307,33.12983312983313,31.278054743758716,29.32551319648094,35.157337788916735,39.2691798941799,30.11940511940512
