construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,116.35700614634821,57.444388270980795,0.0,3.8077447840935505,70.0745338769696,56.116620386345836,0.6518372838549986,174.22279176936297,8.39679785638144,64.87738423768359,9977.581764939405,22.01925649997768,36.90461338795436,135.1850751000674,0.0,9967.297101449276,10.850970648829712,2.116471413412633,9964.807043245843,1.6624102916427006,0.0,233.00132815969613,9977.519074674452,26.28247832106389,0.0,353.12343828085955,8.147668146905787,21.779726383306944,9974.18151855506,7.10275749095625,0.0,279.54227236732123,0.0,611.2938627532022,674.1507424694086,15.598714412873981,0.21446824809938647,9959.671624971828,106.96174181680911,26.54880931676228,18.952879046903142,47.48539133876845,105.48900075122472,16.612974668291073,0.0,0.0,0.0,9965.571773636992,10.796069603598053,17.6535781640387,23.867245791928212,30.162601107893977,0.5320193818753296,9.388363947569545
authoritarian_governance_tolerance|WVS_E,116.35700614634821,0.0,9877.23283254442,0.0,425.1518758535286,91.58967450923757,54.88788883350783,328.41968049864386,9892.680962242774,9923.408757132882,9851.16618489031,173.48069165714622,9916.729398701167,9908.387682789773,9888.608280538512,9931.710737735002,0.0,420.3651131928648,515.3341566803604,8.231588186290864,11.303848958229281,91.48242420654887,79.38982408212586,314.13477185889656,9898.255037248138,39.101439930864416,868.5277671063303,187.03900691291798,916.3566898569218,120.6938683996107,9923.881168319578,9930.805366570308,0.0,0.0,0.0,144.03475183830454,9922.531898004965,9928.845476638086,0.0,331.4057661707071,144.35984321225263,34.69755548098904,392.3305977027598,0.23825346052166196,9917.331251055375,43.634497766976494,211.74349779243062,9927.985751329254,0.0,417.7159516352954,8.871443129863835,11.86344505485944,54.59533468788041,9938.140916708317,635.0300927542174
autocracy_support|WVS_E,57.444388270980795,9877.23283254442,0.0,0.0,169.65806139696463,582.7894585916501,352.8792365577582,265.51845863467247,9859.40937000843,9890.13716489854,9817.894592655968,47.821811913565796,9883.457806466826,9875.116090555432,9855.33668830417,9898.43914550066,0.0,887.0935209585231,164.09754059864176,148.14288758144266,13.54362036025114,10.747656849457513,368.352388668407,218.82844017046045,9864.983445013795,20.068101137433885,834.0274611136444,799.7004290326431,883.0850976225801,891.3438447927199,9890.609576085237,9897.533774335965,34.58635715234067,0.0,76.31227201428999,539.3345881753914,9889.260305770624,9895.573884403744,10.67065549299545,843.5887193909109,111.08825097791089,385.14689347920546,471.1038233955889,99.89976585739771,9884.059658821034,486.23864908848407,56.94412778031109,9894.714159094912,0.0,170.15864511523938,219.6474699431411,170.84819460956976,437.9904091202053,9904.869324473975,210.0534313954517
basic_needs_deprivation|WVS_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_qualities_autonomy_self_expression|WVS_A,3.8077447840935505,425.1518758535286,169.65806139696463,0.0,0.0,9956.547609721523,9962.768115942028,0.0,41.799261353826225,1.1698126957278845,119.4368243708742,0.0,16.814614402174712,14.21207286756706,55.37974683544304,0.0,11.24066764824849,4.26146541613398,0.0,23.734664544941218,0.0,0.0,9930.08046461031,0.0,34.06039092511216,0.0,44.6423675345126,4.257320384726555,9.768834518634634,3.6133624075618727,0.0,0.0,168.3753877101811,0.0,208.89453030429445,103.95139303547367,0.2929535678109296,1.3790642327739668,85.5758329083083,132.63258480649785,71.17220610473984,18.833616037649566,22.51079886937123,68.0538827236617,8.371228758395407,0.0,9980.43890433105,0.0,23.54025743957324,9969.064504900414,13.663058444629101,9971.893351939512,9966.169476486246,54.0665314190595,4.555471063032908
child_qualities_conformity_tradition|WVS_A,70.0745338769696,91.58967450923757,582.7894585916501,0.0,9956.547609721523,0.0,9945.160446160446,12.951792924232066,94.59440952107042,128.8777499303815,172.78662776862058,15.559470467616691,42.47783881123777,936.4339742754939,67.4323720098368,32.29411750672427,202.4333805611534,153.86691038864953,73.74440066747758,92.16595580231944,212.62506819590726,13.158674023019763,9912.472794828727,40.76100185410051,308.91143148627714,346.93424517449006,51.01072172895377,65.13382241451902,239.45707515687232,44.15337372447982,76.62935843454528,0.0,916.9048251072431,0.0,38.01907567597944,269.1841247549638,167.26476751645762,18.5140661731849,0.0,71.27491502491503,15.545084510601754,5.126778433597941,33.141477733110236,33.34894850438893,281.38528138528136,0.0,9962.831234549467,0.0,37.917709813570966,9951.456835118832,11.349752794619718,9954.285682157928,9948.561806704663,282.92498572011243,138.2346813818895
child_qualities_prosocial_diligence|WVS_A,56.116620386345836,54.88788883350783,352.8792365577582,0.0,9962.768115942028,9945.160446160446,0.0,15.99878093362609,38.410057842153066,2.160837974111587,885.1181498240322,18.30404085924591,64.65425455925535,16.578394493339147,71.93136110029843,10.552939030992526,954.2081402122433,31.009402424758576,17.874935004197496,21.318792849893327,16.48937206021113,0.0,9918.693301049234,1.2446509243247732,268.21024864241036,0.0,46.242216960449014,16.712730515166243,17.13086018494289,17.25981541730895,0.0,0.0,25.325017125735528,0.0,156.571694228598,47.45516309489079,0.0,86.09631665442154,149.91122325016352,921.2454212454213,137.15020611572336,64.84441166024644,14.872308666246056,66.56281020662271,18.557992302612107,1.2286897878710192,9969.051740769974,6.83052626262149,178.01969272557506,9957.677341339338,38.14307063271368,9960.506188378435,9954.78231292517,6.658369869687007,36.78938226217178
civic_dishonesty_tolerance|WVS_F,0.6518372838549986,328.41968049864386,265.51845863467247,0.0,0.0,12.951792924232066,15.99878093362609,0.0,9.523899153997412,0.0,27.264544180358484,0.0,46.88683865535425,11.31531037250543,9.361285875934229,0.0,11.883154383773146,2.3835541486683773,0.0,11.140895216402598,1.5773772386278537,0.0,36.474340659854846,0.0,48.139917437491505,0.0,399.01960784313724,9977.429615061632,10.709624982061214,0.3985989531331917,0.0,0.0,283.92357793446723,0.0,31.42122361502645,363.92881250456946,0.0,0.0,45.13500969230349,9936.016359845942,9959.613452408552,9977.574533934236,9966.20301334738,14.835166844579497,2.2476216024603097,9985.511823510344,0.0,0.0,3.4096727645114697,2.6172940243654743,9978.287143561593,4.086778453486495,7.785135583661678,42.86674347158218,3.5309695077596217
confidence_in_civil_society_organizations|WVS_E,174.22279176936297,9892.680962242774,9859.40937000843,0.0,41.799261353826225,94.59440952107042,38.410057842153066,9.523899153997412,0.0,9946.59120022278,9869.574606412292,26.639330478638897,9931.374217712992,9929.147950521465,9919.739348370927,9952.453463560423,28.83784076248311,47.18378022773031,32.23893813746718,17.60396631112664,249.3332584865766,8.95474479243061,112.5998134872064,3.62596139014142,9915.233242099177,33.6211351524696,414.9478173044551,22.164781507890986,87.43372507971324,17.97992579741473,9949.299477507328,9955.95642375694,0.0,0.0,28.75178320920324,116.81602501844304,9947.650856853275,9949.166112956811,18.224071779394222,246.83895501878166,925.6084613744949,21.08892274514089,236.36585672564308,21.227999754381884,9941.203994835574,0.0,7.930273444806048,9953.636007267587,85.31024919502508,194.09099672257565,5.631845779069472,4.365443244021151,17.382866889445836,9929.00302521571,90.66784608580274
confidence_in_domestic_institutions|WVS_E,8.39679785638144,9923.408757132882,9890.13716489854,0.0,1.1698126957278845,128.8777499303815,2.160837974111587,0.0,9946.59120022278,0.0,9900.3024013024,0.0,9962.519621779617,9957.523899201866,9942.518518518518,9977.473731585766,62.114488668734914,4.22355182717877,0.0,5.782211549378928,2.9590336830469717,0.0,93.71231696813092,0.0,9946.378646165802,0.0,48.210959455337246,1.9190626922138954,6.891618933606814,0.0,9973.017384731671,9979.9415829824,29.41375209616001,0.0,64.1005787982989,53.72012590311141,9971.668114417056,9974.698289651778,438.60343029736435,130.0781606904056,206.00387701021057,10.107893615000641,17.391010672017302,33.030974525695385,9966.467467467468,0.0,0.0,9977.121967741345,102.06635206635207,30.56443438609044,2.0552785895746197,0.0,1.7430312147733034,9959.73082010582,4.482671005162356
confidence_in_international_organizations|WVS_E,64.87738423768359,9851.16618489031,9817.894592655968,0.0,119.4368243708742,172.78662776862058,885.1181498240322,27.264544180358484,9869.574606412292,9900.3024013024,0.0,0.0,9884.727661230603,9885.281326959293,9865.50192470803,9905.231159343193,39.27111535807188,254.40161450524147,65.28282931287792,888.0378537150336,103.39405706889004,0.0,852.2018355985841,60.25918525918526,9868.586685616789,50.4666421621439,555.7591857911348,213.27475634559542,886.9055655575891,151.5090811965812,9900.774812489099,9907.699010739827,148.54584292636406,0.0,866.8580065557267,497.16213891108106,9899.425542174484,9902.455717409206,793.7119026487836,520.4206224614388,69.65874066507425,117.53435210528893,886.6889972129509,882.7922749885317,9894.224895224896,2.5082140162076882,23.082666907719258,9904.879395498772,16.63986420083981,58.544022034323106,199.5096760439721,895.2991452991453,892.600089968511,9887.488247863248,175.41580041580042
crime_victimization|WVS_H,9977.581764939405,173.48069165714622,47.821811913565796,0.0,0.0,15.559470467616691,18.30404085924591,0.0,26.639330478638897,0.0,0.0,0.0,15.464790535158041,8.137839146183978,25.290850583248258,0.0,9972.826040243375,0.0,0.0,9970.452407643976,0.0,0.0,54.66400857514583,9983.164439072585,16.256567703152747,0.0,246.9694346663589,0.0,6.102920171426192,9979.826882953193,0.0,0.0,243.4507072086808,0.0,106.5225604846693,234.01730496977692,0.089444328421731,0.0,9966.188311541675,24.887807969328804,1.4160087903896112,1.76815846638722,31.756315196751366,31.5663060416574,1.3725951512497439,0.0,0.0,0.0,9971.10071243109,0.0,2.1665661666381375,5.598290941235643,7.166394311265012,0.0,0.0
democratic_system_evaluation|WVS_E,22.01925649997768,9916.729398701167,9883.457806466826,0.0,16.814614402174712,42.47783881123777,64.65425455925535,46.88683865535425,9931.374217712992,9962.519621779617,9884.727661230603,15.464790535158041,0.0,9947.267415656945,9927.301536008732,9966.92448200715,0.0,46.717001280202396,16.802288559408375,719.036664720713,0.0,1.2277767307182827,131.36118172132035,11.794472683774899,9939.095348237388,0.0,27.115538761021398,45.972032745574275,22.349293113254674,52.18317605910904,9963.24853640549,9969.467052514738,295.8115910741392,0.0,44.90511809807862,193.49565150411033,9962.035205666174,9961.709841432536,0.0,272.6648547125394,339.11909013229206,135.6516002294054,9.829238780919965,89.48785299532591,9956.109758564256,38.46135336032951,0.0,9965.084467581439,50.36637784951743,952.9539176635989,484.108570759017,77.93501174245156,53.88566268982726,9944.365890630725,27.298555538723377
democratic_values_importance|WVS_E,36.90461338795436,9908.387682789773,9875.116090555432,0.0,14.21207286756706,936.4339742754939,16.578394493339147,11.31531037250543,9929.147950521465,9957.523899201866,9885.281326959293,8.137839146183978,9947.267415656945,0.0,9925.075268817205,9962.453608893456,231.4132481781708,21.146921928514985,8.607369560606713,23.92784728073063,11.830695059104023,0.0,409.9668291642811,0.0,9931.12644004313,0.0,64.66623178951946,11.47219007393641,24.749234996461553,10.813912429378533,9958.269406392694,9965.464004305524,37.7008680093241,0.0,194.89327039169387,58.07576291769499,9958.015783204288,9959.67721530867,98.67589949936837,625.8046636461834,389.6614964685334,62.96723333887353,26.748131484254316,96.80726855422868,9951.446393124359,0.0,0.0,9962.100893398238,721.140911818878,222.1013639745492,20.45639974278638,3.802694480660591,11.933389110211053,9944.709745762711,31.782597460563565
