construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,57.850512696504076,70.55523997420066,37.536607343996394,64.0742820471683,59.20172552650287,80.40827147401909,51.14165460969505,57.938413965798404,55.865921787709496,47.46741840213564,49.24528154041446,61.805632495001134,82.59211106107487,113.26588846704928,74.24465451681867,49.57223563605943,59.22519509476031,55.99235684751284,74.5239955668599,50.780426116919244,39.880393348433785,41.33821899248676,9999.0,45.41177481140892,51.236162249661305,61.85841532645577,63.80394967351489,49.44562796552726,74.92675587932537,9999.0,27.17391304347826,50.60990116532938,9999.0,9999.0,74.9528242926668,40.48582995951417,70.60004427448754,45.24947815853041,74.48246947300126,9999.0,9999.0,36.93001060445387,58.22981366459628,111.82283939159926,9999.0,49.64582315583782,56.22026262947954,54.47387025357668,49.84990724528075,51.053577705975684,9999.0,9999.0,57.80346820809249,66.34177531033622
authoritarian_governance_tolerance|WVS_E,57.850512696504076,0.0,73.40988936080961,41.03929395354395,48.16845849531996,43.1922170140992,64.39876296161543,53.99630399630399,41.92890545339475,39.96812113966925,31.45790988973198,33.2357730280108,45.79612398259747,66.58260254867122,97.25637995464561,77.09930390342761,33.56272712365577,62.72788170430787,59.4950434570604,58.514487054456225,34.77091760451558,42.73504273504273,30.196939939916625,9999.0,29.402266299005255,35.22665373725764,58.943315780263134,57.017747423904524,47.39336492890995,60.975609756097555,9999.0,30.676599653025818,34.60039265292572,9999.0,9999.0,58.943315780263134,50.59409259650124,54.590535762083874,29.239969646126745,77.3371188596102,9999.0,9999.0,20.920502092050206,49.99026953391067,114.67748877820821,9999.0,53.14850976538537,59.07491201608849,38.46436174117301,33.84039873287708,53.90822709258463,9999.0,9999.0,53.2357730280108,50.33226679793256
autocracy_support|WVS_E,70.55523997420066,73.40988936080961,0.0,53.74402123124054,57.412814540205375,75.40913941374701,96.61568536126323,41.936107887028136,74.14582785304255,72.18504353931706,53.663352372893314,45.14662665471044,61.924846625766875,98.79952494831902,108.19422647072811,65.03910779415176,65.77964952330358,75.43260898200445,56.120139246632014,67.03848298940324,41.936107887028136,30.674846625766875,57.5456328797309,9999.0,61.61918869865306,60.79532855347772,52.65286860378885,70.35738630830656,65.6530418527714,79.44370391725292,9999.0,43.3813269307224,66.81731505257352,9999.0,9999.0,91.16023817991095,57.12987308079333,86.80745816173169,61.45689204577455,65.27692275033435,9999.0,9999.0,53.13742449169801,66.38913234005258,102.61729266893235,9999.0,60.17337169951319,47.014715906812626,61.82749460084476,66.05732113252489,41.848030983308774,9999.0,9999.0,62.32041624602004,82.54918919758036
basic_needs_deprivation|WVS_H,37.536607343996394,41.03929395354395,53.74402123124054,0.0,47.263063304208174,42.39050678354274,63.597052731058966,34.33043586673492,41.12719522283828,21.929824561403507,30.656199659175513,32.43406279745434,44.99441375204101,65.78089231811475,96.45466972408916,57.43343577385854,32.76101689309931,42.41397635180019,39.181138104552716,57.71277682389976,33.969207373959115,23.069174605473663,24.527000249526633,9999.0,19.011406844106464,34.42494350670118,45.04719658349564,46.992730930554764,32.63440922256713,60.44137250665503,9999.0,10.362694300518134,33.798682422369254,9999.0,9999.0,58.14160554970667,17.152658662092627,53.78882553152741,28.438259415570283,57.67125073004114,9999.0,9999.0,20.118791861493744,41.41859492163615,95.01162064863912,9999.0,32.83460441287769,39.40904388651941,37.66265151061655,33.03868850232062,34.24235896301556,9999.0,9999.0,48.81563899602991,49.530556567376095
child_qualities_autonomy_self_expression|WVS_A,64.0742820471683,48.16845849531996,57.412814540205375,47.263063304208174,0.0,49.519671325318754,70.72621727283497,37.99922917569976,48.25635976461429,46.295575450888805,37.78536420095153,39.563227339230345,52.12357829381702,72.91005685989076,103.58383426586516,61.10222908282338,39.890181434875316,68.95165105497209,52.18326053530364,63.101604278074866,37.99922917569976,26.7379679144385,36.52439425113617,9999.0,35.7297206102248,41.55410804847719,48.71598989246048,63.34520173512407,59.17208392573903,67.57053704843105,9999.0,36.90036900369004,40.92784696414527,9999.0,9999.0,65.27077009148269,53.192994369464955,60.91799007330342,35.56742395734629,61.340044039005974,9999.0,9999.0,27.247956403269754,56.31772384513022,98.68041395760397,9999.0,56.236492988184814,43.07783719548425,44.79181605239256,40.16785304409663,37.9111522719804,9999.0,9999.0,58.38353753469166,56.6597211091521
child_qualities_conformity_tradition|WVS_A,59.20172552650287,43.1922170140992,75.40913941374701,42.39050678354274,49.519671325318754,0.0,65.74997579161422,55.99555404924139,43.280118283393534,41.319333969668044,32.809122719730766,34.58698585800959,47.147336812596265,67.93381537867,98.60759278464441,79.09855395636501,34.91393995365456,64.07909453430666,60.84625628705919,59.86569988445501,36.12213043451437,44.73429278798014,31.548152769915415,9999.0,30.75347912900404,36.577866567256436,60.29452861026192,58.36896025390331,54.299527405073604,62.59429556721028,9999.0,32.027812483024604,35.951605482924506,9999.0,9999.0,60.29452861026192,51.945305426500035,55.94174859208266,30.591182476125535,79.33636891254761,9999.0,9999.0,22.271714922048996,51.34148236390946,116.6767388311456,9999.0,54.499722595384156,61.07416206902589,39.8155745711718,35.19161156287587,55.90747714552204,9999.0,9999.0,54.586985858009584,51.68347962793135
child_qualities_prosocial_diligence|WVS_A,80.40827147401909,64.39876296161543,96.61568536126323,63.597052731058966,70.72621727283497,65.74997579161422,0.0,77.20209999675762,64.48666423090975,62.52587991718427,54.01566866724699,55.79353180552581,68.35388276011248,89.14036132618622,119.81413873216063,100.30509990388123,56.12048590117078,85.28564048182288,82.05280223457541,81.07224583197123,57.328676382030594,65.94083873549636,52.75469871743164,9999.0,51.96002507652027,57.784412514772654,81.50107455777814,79.57550620141953,75.50607335258982,83.8008415147265,9999.0,53.23435843054083,57.15815143044073,9999.0,9999.0,81.50107455777814,73.15185137401626,77.14829453959888,51.79772842364176,100.54291486006383,9999.0,9999.0,43.47826086956522,72.54802831142568,137.88328477866182,9999.0,75.70626854290037,82.2807080165421,61.02212051868803,56.398157510392096,77.11402309303826,9999.0,9999.0,75.79353180552582,72.89002557544757
civic_dishonesty_tolerance|WVS_F,51.14165460969505,53.99630399630399,41.936107887028136,34.33043586673492,37.99922917569976,55.99555404924139,77.20209999675762,0.0,54.73224248853694,52.77145817481144,34.2497670083877,25.733041290204824,42.51126126126126,79.38593958381341,88.7806411062225,45.62552242964614,46.36606415879796,56.01902361749884,36.7065538821264,47.62489762489763,22.52252252252252,11.26126126126126,38.13204751522529,9999.0,42.20560333414745,41.3817431889721,33.23928323928324,50.943800943800944,46.23945648826579,60.0301185527473,9999.0,23.967741566216787,47.40372968806791,9999.0,9999.0,71.74665281540533,37.71628771628772,67.39387279722607,42.04330668126894,45.863337385828736,9999.0,9999.0,33.7238391271924,46.975546975546976,83.20370730442673,9999.0,40.759786335007576,27.601130542307015,42.413909236339144,46.64373576801927,22.43444561880316,9999.0,9999.0,42.90683088151442,63.135603833074754
confidence_in_civil_society_organizations|WVS_E,57.938413965798404,41.92890545339475,74.14582785304255,41.12719522283828,48.25635976461429,43.280118283393534,64.48666423090975,54.73224248853694,0.0,40.056022408963585,31.545811159026307,33.32367429730513,45.8840252518918,66.67050381796554,97.34428122393994,77.83524239566056,33.6506283929501,62.8157829736022,59.582944726354725,58.60238832375056,34.85881887380991,43.47098122727567,30.284841209210956,9999.0,29.490167568299583,35.31455500655198,59.03121704955747,57.10564869319886,53.03621584436914,61.33098400650583,9999.0,30.764500922320146,34.688293922220055,9999.0,9999.0,59.03121704955747,50.681993865795576,54.67843703137821,29.327870915421077,78.07305735184315,9999.0,9999.0,21.008403361344538,50.078170803205,115.41342727044113,9999.0,53.236411034679705,59.81085050832142,38.55226301046734,33.92830000217141,54.64416558481757,9999.0,9999.0,53.32367429730513,50.42016806722689
confidence_in_domestic_institutions|WVS_E,55.865921787709496,39.96812113966925,72.18504353931706,21.929824561403507,46.295575450888805,41.319333969668044,62.52587991718427,52.77145817481144,40.056022408963585,0.0,29.585026845300817,31.36288998357964,43.923240938166316,64.70971950424006,95.38349691021446,75.87445808193506,31.68984407922461,59.523809523809526,57.62216041262924,56.64160401002506,32.89803456008442,41.51019691355019,28.324056895485466,9999.0,27.529383254574093,33.35377069282649,57.07043273583197,55.14486437947336,36.90036900369004,59.37019969278033,9999.0,28.803716608594655,32.72750960849456,9999.0,9999.0,57.07043273583197,39.08248322349613,52.71765271765271,27.367086601695586,76.11227303811766,9999.0,9999.0,19.047619047619047,48.117386489479514,113.45264295671565,9999.0,43.47826086956522,57.85006619459594,36.59147869674185,31.96751568844592,52.68338127109209,9999.0,9999.0,51.362889983579635,48.4593837535014
confidence_in_international_organizations|WVS_E,47.46741840213564,31.45790988973198,53.663352372893314,30.656199659175513,37.78536420095153,32.809122719730766,54.01566866724699,34.2497670083877,31.545811159026307,29.585026845300817,0.0,22.852678733642364,35.41302968822904,56.19950825430278,86.87328566027718,57.35276691551132,23.179632829287335,52.344787409939435,48.43379836799158,48.13139276008779,24.387823310147144,22.98850574712644,19.81384564554819,9999.0,19.01917200463682,24.84355944288921,44.96652772514842,40.983606557377044,42.56522028070638,50.85998844284306,9999.0,20.29350535865738,24.217298358557287,9999.0,9999.0,48.5602214858947,40.21099830213281,44.20744146771544,18.856875351758312,57.590581871693914,9999.0,9999.0,10.537407797681771,39.60717523954224,94.93095179029191,9999.0,42.76541547101694,39.32837502817219,28.081267446804574,23.457304438508643,34.16169010466834,9999.0,9999.0,42.852678733642364,39.94917250356412
