construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.0,93.11863167432324,0.0,120.63729455033803,116.4243584586178,544.9452508276038,855.4671135316297,95.34145589560941,849.3829821630652,381.9419484578666,9846.526444984462,21.857227739580708,803.651433674924,819.6248196248197,232.4238261738262,9843.642780654523,145.6303142099412,758.8838067455595,9837.435710984731,30.747977336846304,0.0,103.8178045577333,9826.666076101621,157.58116074543955,262.2265122265122,840.5026346202817,849.9278499278499,847.4776167402514,9836.84577004916,858.008658008658,851.3883534069383,849.1994924077507,0.0,147.313917958604,67.90307518633725,836.2745831987852,837.2351332877649,9855.505891928235,849.8869551501131,312.42042271454034,0.0,859.8312089558228,193.02196974900937,823.7190066823337,694.988627192017,47.808015302878005,246.19093481368935,9859.36424512987,152.03917400682514,0.0,0.0,0.0,0.0,48.20466154226335
authoritarian_governance_tolerance|WVS_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autocracy_support|WVS_E,93.11863167432324,0.0,0.0,0.0,0.0,0.0,33.87837397824608,0.0,9965.984007786292,9976.194997005528,9955.25652277244,0.0,9982.701278346605,9932.521563545053,9938.925571504518,9967.10919343814,27.32879123394268,0.0,3.2792681814034133,87.7724668924098,0.0,0.0,0.0,35.9595836844176,9951.300635713045,0.35488124880905403,0.0,0.0,0.0,4.194048041141322,9978.96734538595,9979.836262395229,0.0,0.0,256.98437331836635,0.0,9964.722492187077,9956.535885167465,0.13502421671298315,0.0,0.0,0.0,0.0,46.50927804346309,9950.771814983273,0.0,0.0,9983.647424925735,0.0,110.42158934897773,0.0,0.0,0.0,0.0,0.0
basic_needs_deprivation|WVS_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_qualities_autonomy_self_expression|WVS_A,120.63729455033803,0.0,0.0,0.0,0.0,9975.166778672883,9950.539823362906,0.45898228114459627,181.8304616898888,11.824867750890618,237.0255672217496,27.35552751857524,0.0,273.4039084869733,179.73210364514713,64.4097455916005,225.5071267530284,0.6205935671543408,0.0,14.134718763880315,0.0,0.0,9978.533081644624,855.0425555883121,7.89532015253684,0.0,34.621221995027355,0.0,20.204368105935973,14.500072374316716,20.900755811286714,0.0,173.66465298749603,0.0,88.52700402044192,0.0,0.0,856.4333263990013,1.3562095528366314,279.6676251601902,0.0,0.0,0.0,15.583397602546533,0.0,0.0,9979.225019069412,0.0,0.0,9962.167045781369,0.0,0.0,0.0,0.0,0.0
child_qualities_conformity_tradition|WVS_A,116.4243584586178,0.0,0.0,0.0,9975.166778672883,0.0,9951.124147039402,3.3299700977784283,418.0346857549075,9.80130346118083,664.8919349148183,19.752476801769706,0.0,761.2045947350501,932.6315430868551,28.38273258804456,141.54598764326346,0.0,1.06248576230562,40.91269958227427,0.0,0.0,9977.583155512013,145.20911797168134,32.839472581584374,0.0,23.316938369327225,0.9059699085274566,16.193592281451817,15.08095374266378,8.421450598249184,0.0,63.25669549785502,0.0,435.56242587318025,0.0,4.6005969661700306,91.0869271723355,6.837119528623919,155.53185044710466,0.0,0.0,0.0,84.05795583120312,33.74712387651908,0.0,9978.275092936803,0.0,0.0,9956.66201217329,0.0,0.0,0.0,0.0,0.0
child_qualities_prosocial_diligence|WVS_A,544.9452508276038,0.0,33.87837397824608,0.0,9950.539823362906,9951.124147039402,0.0,257.30017109327457,356.1009649797677,258.722337190651,48.42852091504744,113.2221660881517,0.0,38.877477310600284,1.7677351730239081,13.965813598166548,0.9480035251847241,128.33185877761153,35.68275538204237,0.0,429.2301900997553,9.79075015586173,9957.39169970797,54.02269413686122,0.0,91.76264611476338,137.21572545101958,198.8058757721679,96.81055149518102,939.2038556344505,0.0,0.0,17.707455033360333,0.0,82.37584031576381,89.99507657225779,8.279244136904836,5.759929569914107,68.1201018670944,0.01642525007011386,221.1301328238029,0.0,459.92211745636405,0.0,0.0,460.1305430320974,9957.341291061879,953.674765110858,30.84415584415585,9943.513128458731,0.0,0.0,0.0,0.0,144.58095621643218
civic_dishonesty_tolerance|WVS_F,855.4671135316297,0.0,0.0,0.0,0.45898228114459627,3.3299700977784283,257.30017109327457,0.0,13.899089030899223,0.0,1.6718480366796626,6.348044111176783,0.0,32.12837817099462,134.83219289670905,7.068678266454299,11.356560451467715,11.753035302236306,0.5294535508242184,38.47431658937023,10.688681182749509,0.0,0.0,951.2764076227025,13.623531365466846,6.770442183837417,13.374049885206077,9975.174748621015,0.3883539535962832,9.600129094071633,0.0,0.0,0.0,0.0,21.394590856064028,6.510679742939153,18.92741798402176,15.335588320660555,0.0,9971.49238628549,9978.651485441564,0.0,9980.925174728489,209.4894441272342,82.53413197384975,9981.506694484942,0.0,0.0,0.0,136.60152384970445,0.0,0.0,0.0,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,95.34145589560941,0.0,9965.984007786292,0.0,181.8304616898888,418.0346857549075,356.1009649797677,13.899089030899223,0.0,9964.758640890452,9939.770310879632,47.447536080515945,9967.478880438946,9917.035351652245,9917.296278850432,9945.479900784054,0.0,515.4873971774879,29.174544941806648,23.335807402134805,160.61362936679762,127.53148808564161,36.74629521143874,73.8629579536804,9949.167243040989,121.04209526189734,133.05478564270913,24.107667883545872,26.336601836383764,92.9163515523281,9966.134787679443,9971.991345292967,15.547190274661695,0.0,20.25714311129604,548.1416581623951,9954.471129659543,9934.906592513378,0.0,34.233866193932364,20.018359666298892,0.0,3.369645883581345,53.46756539957704,9948.638422311216,6.092285301854471,77.43758149609326,9972.856327265772,554.0860087861513,104.90767457771715,0.0,0.0,0.0,0.0,175.34102380947348
confidence_in_domestic_institutions|WVS_E,849.3829821630652,0.0,9976.194997005528,0.0,11.824867750890618,9.80130346118083,258.722337190651,0.0,9964.758640890452,0.0,9949.188571835195,9.484477125704593,9977.689869658183,9926.453612607807,9927.748061528144,9955.931683461766,58.24479698955962,9.825370523708862,8.831474079087805,107.86866222120491,13.559661321077197,0.0,0.0,609.8955434170487,9950.075268817205,17.13257322124375,22.5967187090189,0.0,4.907142983872465,25.976537864953315,9973.955936697528,9974.824853706808,2.9587559970523856,0.0,57.795205517548254,22.748932211353285,9959.711083498654,9945.35837519109,0.0,10.106955869790212,0.0,0.0,0.0,288.6243061366507,9949.546448087433,0.0,0.4341977866714579,9978.636016237315,0.6317284577656821,210.30528555566107,0.0,0.0,0.0,0.0,0.0
