construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,910.3406876379428,147.92771568721386,9890.78005888438,863.2907817108376,213.1513359995363,264.404609475032,315.06748826291084,716.6746462199546,906.1723631149317,197.5889115117931,9912.520287326342,802.1338506779342,170.16559281572876,256.74560181602436,856.0438938854007,9913.025821596244,869.8672504567987,197.72397827827177,9872.391791811848,99.61183770402465,0.0,901.3294130665023,9948.498794569217,61.35512532146983,258.72371021769595,465.66688988033724,434.4368969137238,87.10790026479813,9949.551795622217,0.0,23.124412132703213,111.10701432483376,141.56110500166184,12.48741121834783,881.9043936414828,37.87257453178211,835.555393804111,9941.97892110047,617.9805364005922,203.2861964726074,889.5692998571137,875.0587488648036,190.2010352714578,80.62073166130344,587.677506097562,149.27196631747785,156.36912643954898,9950.895279724324,42.177082100445816,86.9695987066879,0.0,0.0,353.613771937172,152.39612081617662
authoritarian_governance_tolerance|WVS_E,910.3406876379428,0.0,9900.135127479607,291.79238174707774,121.17029195753983,9.481401371354579,600.4815327083654,82.96259331442593,9889.013073381459,9911.84412360977,9880.583147143314,0.0,9798.776065336231,9909.659334114236,9855.891789118621,9853.698604896026,325.8603205871532,38.97530401465934,231.03448275862073,842.4082162807248,22.022484228991672,7.888940115772755,20.360724123137302,0.0,9908.948517593011,67.38275738821274,0.0,293.80419857558354,0.0,0.0,0.0,9932.317307189816,872.2109533468561,9887.083688855122,469.73912980487216,6.223212959849505,9929.177612168372,9841.227154298947,0.0,59.82236154649948,12.580458549659127,0.0,64.98673740053053,248.22268044951312,9891.859130628374,853.7735849056604,0.0,9908.00127357134,41.86472602954315,193.2102908783,0.0,0.0,0.0,9924.502923736358,471.5526013074628
autocracy_support|WVS_E,147.92771568721386,9900.135127479607,0.0,176.69214578486762,854.0852215525019,90.10242429293106,800.6535947712418,889.1952614379085,9873.135752728285,9895.966802956596,9884.353048323155,0.0,9791.928290519598,9896.802137920551,9889.397184514832,9845.838333727064,161.2305178481649,154.77933735728658,59.05413240565042,452.42152577115905,331.6761188155303,0.0,119.39658018089389,6.959901077548139,9942.453912989222,916.184816726027,7.664920093278653,256.05840442456116,21.5113626628535,10.311752705261824,0.0,9954.095322562604,171.16452315693303,9913.9642404955,48.20938729189626,72.6988334831472,9950.74393745037,9825.349833645776,151.16466528995988,26.068209324963306,83.8049470912141,19.252628587666948,91.1680911680912,294.95558907323607,9916.569017656813,530.8528983201786,30.74297381590786,9937.83023294788,106.62414579549548,91.79505135387488,7.988380537400147,0.0,0.0,9908.625603083185,238.42865589593617
basic_needs_deprivation|WVS_H,9890.78005888438,291.79238174707774,176.69214578486762,0.0,816.2301853214839,168.21962097247354,34.30185633575465,551.41495157385,290.10136743213997,81.4315839541724,833.2870241733815,9908.08532465139,761.5920114506728,0.0,101.48905510190076,54.97166901101818,9851.754237288136,68.02091440056216,146.06011456735774,9818.00081900082,3.896186561338979,0.0,23.666766241340554,9887.227210261108,17.970167320460888,19.291528404095416,248.44988646891483,0.7889581584228154,857.2783309625415,9888.28021131411,0.0,0.0,0.0,0.0,70.86239585412773,828.5734790549656,0.6880143106976391,782.2244792175936,9901.437081873208,397.52232624628766,0.0,605.3233931522336,40.11531161358175,497.51919455309286,0.0,52.12088440278782,0.0,75.44345408112596,9889.623695416214,0.0,13.446077720667688,0.0,0.0,0.0,193.24324324324323
child_qualities_autonomy_self_expression|WVS_A,863.2907817108376,121.17029195753983,854.0852215525019,816.2301853214839,0.0,9844.612696740107,9719.098293447927,138.33453292329165,195.66789859740726,184.2333550206029,140.21990245572,862.3018113427382,227.49348757119515,66.501125709712,226.50854985818313,62.11215420635102,824.2649601145934,650.4891017721811,72.2488310823353,242.86341677646027,0.0,886.7649601145934,9859.601614086574,859.7379330875664,862.8986116659061,50.016013664994105,405.1457944805578,143.8081864045353,94.80246071165979,315.3363886860219,0.0,0.0,359.03383748652914,388.0255595886267,847.1764274873083,484.82275931083655,105.3515450067174,771.807092806798,0.0,30.691530691530716,184.09901062127165,799.808438375463,823.8402728811998,177.36325071288397,102.10345537254011,265.2423788105947,9870.776296725588,242.89031623994953,62.807562807562846,9867.408859234547,13.086162574239864,0.0,0.0,73.40258128943427,105.40015540015543
child_qualities_conformity_tradition|WVS_A,213.1513359995363,9.481401371354579,90.10242429293106,168.21962097247354,9844.612696740107,0.0,9791.181069958848,315.5053453211666,74.39379132591537,27.72868866268952,126.88052351076031,43.62946952822227,223.01555245751416,55.211620686144755,881.9246597024375,116.14358669244882,296.3477366255144,142.61907530132157,560.9982742599229,855.7137068411179,28.466751897873024,0.0,9895.303460133247,13.121522606617447,66.5603355452481,77.20381733736173,36.61554417155553,890.4430224693099,0.9753623010426367,5.866411381415432,0.0,8.734598992444802,849.6708049813225,110.57334833616726,117.03154846984033,62.0636258934131,19.028988395551224,108.3072186486338,0.0,340.5621916896027,29.76395565772181,84.65717233319248,192.613441092839,916.1126938904716,131.31871506664208,855.7137068411179,9922.260548013415,53.814498258942706,44.1073046437031,9939.465383684337,0.0,0.0,0.0,11.844425994539378,896.6227977502087
child_qualities_prosocial_diligence|WVS_A,264.404609475032,600.4815327083654,800.6535947712418,34.30185633575465,9719.098293447927,9791.181069958848,0.0,755.2083333333334,740.1488246237104,762.979874852021,465.65183450429356,0.0,658.9413624150234,34.08548008624615,256.4102564102564,13.700136543166877,141.20370370370367,580.9425219363108,324.3727598566308,256.515093022621,324.0049801846393,0.0,9757.136924803592,806.3063063063063,112.49728791494906,308.513678095136,796.1586121437423,50.64290489141456,244.66729170113553,432.35930735930737,0.0,124.13869748833079,0.0,0.0,185.96158962210376,294.2674609341276,120.78731237609747,406.64861982691446,799.7864328375587,760.5023338519671,68.49706955423443,746.3768115942029,313.0123844409559,790.5982905982906,86.61239258254187,164.981912244589,9796.746144721234,638.1766381766382,433.7027914614122,9813.950980392157,808.641975308642,0.0,0.0,69.75632203743251,271.10839445802776
civic_dishonesty_tolerance|WVS_F,315.06748826291084,82.96259331442593,889.1952614379085,551.41495157385,138.33453292329165,315.5053453211666,755.2083333333334,0.0,78.69049129037714,59.85487485202097,57.299091233072005,0.0,215.6611684366448,44.560989863571336,614.1826923076924,469.84886109322787,859.375,143.70889354519528,311.90432551319645,374.296525771159,42.480857377621774,0.0,27.340723523451942,421.16376244665713,898.0086515513126,66.81798666066751,884.7002788104089,9852.470285843796,571.3041964630403,166.17124429624428,0.0,131.87228334691662,820.694542877392,269.51897905759165,242.45197423748834,303.44404823571494,306.29867601246104,689.9954812987758,0.0,9848.044000518634,9861.921089162077,9833.91847826087,9840.056533827617,96.53126161278337,175.15405924920853,9817.740970215604,68.10599320608219,893.3849715099715,351.7899126735333,903.4926470588235,9896.183641975309,0.0,0.0,0.0,692.9833944580278
confidence_in_civil_society_organizations|WVS_E,716.6746462199546,9889.013073381459,9873.135752728285,290.10136743213997,195.66789859740726,74.39379132591537,740.1488246237104,78.69049129037714,0.0,9884.844748858448,9853.583772391992,0.0,9771.77669058491,9885.148007590133,9847.951208390334,9849.134710372698,469.31549129037717,82.243042144394,702.6610644257703,815.4088415294033,52.146765391648614,433.13128076406133,10.499675226945072,7.839912225312602,9881.94914284169,89.68004285207735,13.210540141855432,850.1381571575953,75.34304527073311,0.0,0.0,9905.317932438495,867.6470588235294,9880.827731092437,854.5044609359036,43.3949612031804,9902.17823741705,9814.227779547628,0.0,132.49423938089646,41.88465671795467,75.70010972758934,84.08748114630467,158.19809561415792,9866.256637168142,542.4568057311421,5.020125593321723,9888.295867045703,170.70950712237746,888.4331383492007,0.0,0.0,0.0,9903.049063571618,481.31793243849415
confidence_in_domestic_institutions|WVS_E,906.1723631149317,9911.84412360977,9895.966802956596,81.4315839541724,184.2333550206029,27.72868866268952,762.979874852021,59.85487485202097,9884.844748858448,0.0,9876.414822620301,0.0,9795.261847816459,9913.632374309793,9876.435575109994,9877.61907709236,144.9243192964654,31.645776210993603,120.03432003432005,838.2398917577137,50.67379440917696,83.49269536484148,6.741386107102699,0.0,9904.78019307,61.82565819399208,0.0,873.0043541364296,23.131213852388356,0.0,0.0,9928.148982666804,280.74681015857493,9909.312097812097,353.5259873546902,0.0,9925.009287645362,9837.058829775937,0.0,33.355236843608935,13.193494563973417,8.544532706040599,36.97534420425987,181.02914584246844,9891.859130628374,687.1069182389938,0.0,9916.780233765365,74.49293830306891,196.97847429179689,0.0,0.0,0.0,9931.533430291278,201.72962782809498
