construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,38.66993321202388,26.26503347504267,0.0,216.29635067456238,936.3279459534865,138.7277404628975,0.0,0.0,159.2825952301948,59.91576032900335,9926.948283436892,36.33184220588696,930.770700470334,5.90875921186047,136.9557996665664,9931.972876357298,123.42543413292198,757.989850267842,9937.712321282215,937.925155513971,29.098370787905765,104.04250381438156,9920.655895622485,112.77902504869164,181.93790487811714,102.31654992516012,339.7569323182231,22.60023325190781,9898.527589547975,0.0,0.0,14.656539815226381,0.0,19.143415426389055,863.4086001820851,0.0,943.1503225038439,9940.657412325174,127.74474880404071,237.03878811286313,0.0,4.261698626040719,222.5556626215424,40.76225835107388,198.6049722533025,22.505089887705253,671.4416390304547,9949.766177508922,99.28915920278007,237.08263484246015,0.0,116.00495098428344,0.0,57.936482092615265
authoritarian_governance_tolerance|WVS_E,38.66993321202388,0.0,9944.089772693771,0.0,0.0,16.69961658279415,126.65810209864105,87.19563645591418,9944.089772693771,9954.404091513385,9932.529882648507,28.624309536898878,9940.997246576673,9931.589950994967,9939.165012980548,9893.87261116681,20.87712903692632,2.5981004725087047,12.10753219906374,0.0,7.609940521153767,41.619803368546314,14.237511339358988,45.42636565931264,9900.832318126515,5.303456314906072,212.42205280384152,4.469264603861845,7.433092328773185,175.80512774335654,0.0,9960.99422558531,176.70318917872734,0.0,467.39123737959295,107.98611139361762,9964.84802750305,9943.969573028477,14.753304867366253,5.428013999289632,177.6295883609405,0.0,0.0,288.13993879745266,9927.945145239342,0.0,5.870050668482477,9903.030120324318,0.0,162.04030936898963,380.94733991254714,0.0,7.689925183891461,0.0,1.2801310578983731
autocracy_support|WVS_E,26.26503347504267,9944.089772693771,0.0,0.0,51.23675788817298,214.6860674068876,40.01364329182485,0.0,9935.908517350157,9946.22283616977,9924.348627304895,3.734193433792477,9932.815991233061,9923.408695651353,9933.414949090948,9885.691355823195,13.21719576609015,96.53557007640504,96.8050698396622,0.0,158.83587796771803,65.73644866139223,55.05556586462136,45.16402067363465,9892.651062782903,212.58012796124567,452.7788091561352,108.8335239904709,3.8157315084870476,7.907270127016673,0.0,9952.812970241697,83.6118739929917,0.0,119.92426775026595,574.4611987975404,9956.666772159437,9935.788317684865,12.763999988149813,35.19442250262132,876.662815299747,0.0,0.0,879.95868345384,9919.76388989573,42.21568974747008,6.23742754371473,9894.848864980706,21.92950873919787,431.6368318031547,918.2206300234799,0.0,25.397813376481103,0.0,47.65495806799092
basic_needs_deprivation|WVS_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_qualities_autonomy_self_expression|WVS_A,216.29635067456238,0.0,51.23675788817298,0.0,0.0,9946.632926563521,9925.966537180626,716.4047807577567,196.53590318731827,0.0,70.37677926895344,398.2056381656448,12.750816234226903,30.517433695998335,208.09910146008122,30.096658063138918,470.2863465507364,0.0,0.0,0.0,0.0,0.950277018023705,9952.213200173686,101.60843998616397,365.01954108728773,0.0,943.2860434413814,0.0,7.5775232447593766,69.03869735728144,0.0,0.0,4.9323832509673196,0.0,851.0330057949105,23.731168233891836,0.0,5.967362386202396,545.3928941209363,28.334232923165928,24.99972920570619,9.443359415237936,0.0,71.85505816376293,150.35287110146885,0.0,9955.263067608917,42.575899155352786,0.0,9947.459855562085,120.22883896759541,0.0,9948.249863438306,0.0,0.0
child_qualities_conformity_tradition|WVS_A,936.3279459534865,16.69961658279415,214.6860674068876,0.0,9946.632926563521,0.0,9925.016260162602,57.77678504951231,944.4157971366174,0.8130652649863634,24.554707379134854,614.6170006464124,0.0,19.6465217573397,105.28125228586057,0.0,948.2607074366077,8.017179195113052,0.0,48.80262538713241,0.0,0.0,9950.451734539969,929.926287619137,465.07936507936506,0.0,468.6515558970418,0.0,116.36502810166934,0.0,0.0,0.0,0.0,0.0,24.28097534284052,31.055555995909998,0.0,0.0,62.4578513729457,4.0392735307077885,32.890872131816195,6.3456207157714815,0.0,2.4084919759317103,845.7275457275457,0.0,9959.553217968472,129.1129160694378,0.0,9946.50957854406,934.0933767643866,0.0,9952.540013797861,0.0,12.039605564061432
child_qualities_prosocial_diligence|WVS_A,138.7277404628975,126.65810209864105,40.01364329182485,0.0,9925.966537180626,9925.016260162602,0.0,53.375525807096494,47.129814791558005,920.7395548858964,54.38622858591319,35.05772559357234,23.016826093558052,266.2977025548619,14.193236379444954,173.02480717114864,77.67084064113997,467.1125072738863,145.8400611460807,14.879583811669477,495.67437982072124,0.0,9936.936317264672,106.18229127887479,902.2067363530778,262.8097797662119,351.68535991929264,522.7092657230348,0.0,19.36831712269985,0.0,189.66878182445456,173.6251245798589,0.0,141.5199511388012,865.6022689332798,577.476741262258,78.67732458837195,330.1053766090141,753.4476150486657,882.0895997212007,55.63245144964735,73.26820211503717,237.97684460025025,429.31956346590493,930.6426801268868,9925.28093425355,904.40453855088,532.2709519321119,9939.19250537333,926.7763035936548,0.0,9918.267730082938,0.0,120.94987302074276
civic_dishonesty_tolerance|WVS_F,0.0,87.19563645591418,0.0,0.0,716.4047807577567,57.77678504951231,53.375525807096494,0.0,0.0,876.8444651296943,0.0,0.0,0.0,166.8470572431044,0.0,68.74324398499493,0.0,896.9016280440001,467.9580432853035,0.0,208.72373450896373,0.9245892098184072,894.0412275084695,48.02695196830561,413.86720215243133,65.82557027244839,479.358897614071,9889.578881849186,0.0,0.0,0.0,140.23659350789814,1.1280846063454817,0.0,93.93114044276837,730.7980882679867,11.674435011210605,44.30604435597945,0.0,9875.21919195913,9837.194509964998,9894.458291926003,9896.794164990413,130.19957756799863,107.64669593192514,9885.747590370685,4.3370640095429565,860.5094487946781,900.1405680582628,422.61320509081173,9881.881213837452,0.0,169.49028738556052,0.0,262.2399684497259
confidence_in_civil_society_organizations|WVS_E,0.0,9944.089772693771,9935.908517350157,0.0,196.53590318731827,944.4157971366174,47.129814791558005,0.0,0.0,9946.22283616977,9924.348627304895,0.0,9932.815991233061,9923.408695651353,9936.242403674958,9885.691355823195,0.0,148.01120494256838,218.50892379503745,0.0,366.34575939064297,950.7939199257601,65.89567426570535,0.0,9892.651062782903,73.69123907235678,98.87681278589932,196.55282223608492,4.913185415422959,0.0,0.0,9952.812970241697,0.0,0.0,0.0,860.1754845118261,9956.666772159437,9935.788317684865,0.0,35.19442250262132,133.07307171000338,0.0,0.0,213.29201678717322,9919.76388989573,144.1660443573992,2.7971819631071355,9894.848864980706,66.7800070780683,92.92715438379982,318.2206300234799,0.0,36.94182492049266,0.0,66.8743548746142
confidence_in_domestic_institutions|WVS_E,159.2825952301948,9954.404091513385,9946.22283616977,0.0,0.0,0.8130652649863634,920.7395548858964,876.8444651296943,9946.22283616977,0.0,9934.944668769096,80.6275028830293,9943.412032697262,9934.004737115554,9937.71422442851,9896.287397287397,86.20288160489653,4.383095727137864,5.726729895754019,22.02813483875653,1.0185734116963872,0.0,5.5408248551748045,147.8304318453403,9903.247104247104,2.3830956305468973,214.83683892443017,0.0,58.247697386923846,91.26309567145688,0.0,9963.12728906131,4.504397648018738,0.0,177.85763418892682,52.43340513033621,9966.98109097905,9946.384359149066,27.147871157004673,1.8437969950386162,78.66732461221417,0.0,0.0,51.56332485409837,9930.359931359932,0.0,22.183786413390592,9905.444906444907,0.0,264.8135184286463,762.1500048210146,0.0,8.978631778383445,0.0,14.102877010737949
