construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,43.11730294152761,42.918454935622314,29.471350257331835,103.84900979949326,39.52569169960474,52.4164493275773,9999.0,31.554797396847842,42.12963778196482,35.06687383846693,42.12963778196482,41.123682526854566,44.00775374708877,46.14803586302518,35.09210915781989,36.058907747742,53.95552844465746,44.583190869668904,48.7796567820191,35.91626599220691,19.193857965451055,38.95670381525343,36.524880495780344,51.76714786773118,42.526987337863304,48.34837691588838,41.321857737033,38.63036756364606,37.416542747572294,57.80346820809249,25.706940874035993,32.467532467532465,52.15887320251876,52.022730347720206,54.510559841589384,55.86672724941731,61.928900700493784,31.084464386378524,53.91819291258879,9999.0,9999.0,24.303719999176145,38.75968992248062,94.53843991148469,9999.0,31.227552309614715,28.401961096206122,63.90729087170622,40.56137933297242,9999.0,9999.0,9999.0,9999.0,41.34900979949326
authoritarian_governance_tolerance|WVS_E,43.11730294152761,0.0,51.78447090303502,34.200937267957336,107.66573267340232,53.421970049822875,57.146036338202805,9999.0,36.28438440747334,46.85922479259032,39.796460849092426,46.85922479259032,45.85326953748006,48.73734075771427,50.87762287365068,39.8216961684454,35.587188612099645,65.89021891512995,48.44065904911764,53.50924379264461,40.64585300283241,23.923444976076556,43.68629082587893,41.254467506405845,56.49673487835669,47.256574348488805,53.077963926513874,45.19333654677784,43.35995457427156,42.30579791725303,66.58923732094465,45.93915548580565,34.84320557491289,54.52658255149359,55.87116427132885,59.39981501127012,56.464015334437846,66.65848771111929,35.81405139700402,58.772573747857265,9999.0,9999.0,29.033307009801646,37.174721189591075,94.06672077584233,9999.0,35.957139320240216,33.13154810683162,68.63687788233173,45.29096634359792,9999.0,9999.0,9999.0,9999.0,45.165732673402324
autocracy_support|WVS_E,42.918454935622314,51.78447090303502,0.0,38.138518218839245,79.77115716753022,20.964360587002098,43.035719965647765,9999.0,24.53891394963741,39.105218302901406,28.10064691501849,33.557046979865774,39.200981728933726,25.402239864762883,24.769192863457832,21.066158501425097,19.083969465648853,38.29711678981657,17.064846416382252,57.44682474352651,26.41244686558541,27.86102592695846,44.59417354728151,24.154589371980677,37.073137365550025,19.53125,26.201081012537845,16.260162601626018,29.280653183801792,9.47867298578199,60.40628351523563,21.18827485931829,37.72726055640346,27.05336542866424,29.518753146102632,26.109660574412533,27.92885748762701,64.12901451069389,31.055900621118013,25.77319587628866,9999.0,9999.0,32.970887960683555,27.399819939187008,76.09468657929493,9999.0,27.392614657408764,29.18005924245289,56.9536968500699,49.22854729447983,9999.0,9999.0,9999.0,9999.0,17.271157167530223
basic_needs_deprivation|WVS_H,29.471350257331835,34.200937267957336,38.138518218839245,0.0,94.93264412592299,39.7760173656271,43.50008365400703,9999.0,22.63843172327757,33.21327210839454,26.150508164896657,33.21327210839454,32.20731685328429,35.091388073518495,37.2316701894549,26.175743484249622,34.536125511350065,52.65037364781299,35.66682519609863,39.863291108448834,26.999900318636634,10.277492291880781,30.04033814168315,27.60851482221007,42.850782194160914,33.61062166429303,39.432011242318104,32.40549206346272,29.664070877353353,28.659845233057254,49.504950495049506,40.369447106593555,29.15451895043732,43.192576516226055,48.699925393377896,45.753862327074344,47.11002973490227,53.012535026923516,22.168098712808252,45.12662106366149,9999.0,9999.0,15.337423312883438,39.34696176381276,89.96428898452524,9999.0,22.31118663604444,19.485595422635846,54.99092519813595,31.645013659402146,9999.0,9999.0,9999.0,9999.0,32.432644125922984
child_qualities_autonomy_self_expression|WVS_A,103.84900979949326,107.66573267340232,79.77115716753022,94.93264412592299,0.0,86.03775178471541,108.04745465372669,9999.0,89.55064863771634,84.33406113537117,93.11238160309742,88.88522427440633,84.4298245614035,83.11855670103093,89.78092755153675,86.07789318950401,72.07854406130268,101.1100386100386,71.8984962406015,114.24095065061024,71.6491308325709,84.6551518340422,94.24603174603175,76.5646976090014,82.3019801980198,78.54527348234441,86.96278189985284,70.127765064836,77.03488372093022,74.49040767386091,112.42377331501383,80.19911504424779,98.24965656049328,79.77115716753022,81.65708812260536,87.00980392156862,85.3310502283105,117.12358910634772,95.07328990228012,88.01020408163265,9999.0,9999.0,81.296992481203,75.11034047919294,121.3235294117647,9999.0,72.62145748987854,77.76717557251908,102.18253968253968,106.02267320156358,9999.0,9999.0,9999.0,9999.0,62.5
child_qualities_conformity_tradition|WVS_A,39.52569169960474,53.421970049822875,20.964360587002098,39.7760173656271,86.03775178471541,0.0,45.10439109072028,9999.0,26.607585074709924,45.3718129200866,30.169318040091003,44.57777557395746,44.99216016436621,27.470910989835396,26.837863988530344,23.13482962649761,24.752475247524753,40.36578791488908,24.20557195895577,59.084323890314366,32.68688261728632,29.498525073746315,49.26137092354868,36.7630963913041,40.36578791488908,27.83398906199457,28.269752137610357,22.988991708108507,31.349324308874305,11.547344110854503,66.07478929711154,21.321961620469086,39.37250313671457,29.122036553736752,31.587424271175145,28.641361204871597,29.997528612699522,69.7975202925698,41.389131494673784,28.048994275871003,9999.0,9999.0,34.6083871074714,29.46849106425952,82.36128119648012,9999.0,33.659209274593955,32.77876661616236,63.220291467255095,50.866046441267684,9999.0,9999.0,9999.0,9999.0,23.537751784715415
child_qualities_prosocial_diligence|WVS_A,52.4164493275773,57.146036338202805,43.035719965647765,43.50008365400703,108.04745465372669,45.10439109072028,0.0,9999.0,45.58353079352303,56.15837117864001,49.09560723514212,56.15837117864001,55.15241592352975,49.48061385884667,48.847566857541615,45.144532495508884,54.60484251179797,62.375490783900354,46.215274827967036,62.808390178694296,49.944999388882096,33.222591362126245,52.98543721192861,50.55361389245553,62.375490783900354,49.843691931005836,50.27945500662163,44.99869457711978,52.65910096032125,33.557046979865774,82.24219920526349,45.266648853402074,61.80563455048724,51.131739422748026,53.597127140186416,50.651064073882864,52.00723148171079,63.69426751592357,45.113197783053714,50.058697144882274,9999.0,9999.0,38.33245339585133,51.47819393327079,104.3709840654914,9999.0,45.2562857062899,42.43069449288131,77.9360242683814,54.590112729647615,9999.0,9999.0,9999.0,9999.0,45.54745465372669
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,31.554797396847842,36.28438440747334,24.53891394963741,22.63843172327757,89.55064863771634,26.607585074709924,45.58353079352303,9999.0,0.0,35.296719247910545,28.23395530441266,35.296719247910545,34.290763992800294,30.983807842836313,30.35076084153126,26.647726479498527,36.108036495787616,43.87868476789,27.718468811956686,41.94673824796484,29.08334745815264,12.360939431396787,32.12378528119916,29.691961961726076,43.87868476789,31.346885914995486,31.782648990611275,26.501888561109425,31.79744902959179,15.06024096385542,61.38054727453404,26.76984283739172,43.30882853447689,32.63493340673767,35.10032112417606,32.15425805787251,33.510425465700436,55.09598216643952,24.251545852324256,31.56189112887192,9999.0,9999.0,17.470801465121877,32.981387917260435,85.87417804948103,9999.0,24.394633775560447,21.56904256215185,57.07437233765195,33.72846079891815,9999.0,9999.0,9999.0,9999.0,27.050648637716332
confidence_in_domestic_institutions|WVS_E,42.12963778196482,46.85922479259032,39.105218302901406,33.21327210839454,84.33406113537117,45.3718129200866,56.15837117864001,9999.0,35.296719247910545,0.0,38.80879568952963,45.87155963302752,39.98373542965574,42.452617836402105,49.114988686907935,38.834031008882604,25.839793281653748,56.14282358468405,31.232557375972682,52.521578633081816,25.906735751295336,22.93577981651376,42.69862566631613,35.898758744372586,41.63604133339098,25.641025641025642,41.77267269536596,24.93765586034913,36.36894485630141,33.82446880923209,67.16210733124052,36.19176015535975,53.0877496849235,39.105218302901406,40.991149257976545,46.343865056939805,44.66511136368168,65.6708225515565,34.82638623744123,47.34426521700384,9999.0,9999.0,26.595744680851062,34.013605442176875,80.65759054713588,9999.0,21.008403361344538,32.14388294726883,53.68814192343605,44.30330118403513,9999.0,9999.0,9999.0,9999.0,21.83406113537118
