construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,45.350634883315365,6.32315939175146,9948.084102152694,44.9159391610018,189.32096264774734,416.4355499527261,97.29979504923816,23.19735477061974,192.65559126194074,84.58281933396421,9948.834219358507,16.88713245572451,401.67030904924593,305.29294257206095,147.12108978505756,0.0,112.25886517639984,61.84550300933317,9898.494949494949,72.00702507561712,0.0,419.6720538771232,9911.282417524922,36.691139408682986,38.542473020067035,155.38348556403977,100.07722629069467,24.74242128927422,9908.603795746318,0.0,0.0,42.584001772544866,0.0,63.14936928076827,228.19096020692066,0.0,17.307545376137426,9935.501656693536,12.369759429767797,62.703621035370986,1.052832626097576,52.167332441806856,178.89962188785302,4.382590380634085,73.51430158289364,33.73697364767097,34.89352838220239,0.0,110.58852693145528,59.62831983976905,725.8036788722709,327.14678021537225,0.0,33.84863598555103
authoritarian_governance_tolerance|WVS_E,45.350634883315365,0.0,9910.081347545436,0.0,352.4177949709864,162.4709876143213,864.790820409371,269.35455581864426,9900.461337925426,9758.166031019578,9889.598290598291,0.0,9907.387744851832,9771.337588112021,9771.51461988304,9863.367816091954,0.0,95.80351741066605,108.5079949720834,874.1660094252786,430.40935672514615,0.0,885.709703310269,711.6534002914018,9895.019900497513,66.47373235619038,131.30255792208672,76.20314810719479,138.4021748662633,431.19700073501906,0.0,9928.936566400655,26.216770768150553,0.0,77.85323306732144,483.5984990099559,9923.67105993033,9902.084714548802,32.409435996812064,16.213072839177457,105.77208279344673,0.0,136.2605374305082,171.30510256687882,9912.982150446238,103.2311962990583,121.01208127479669,9865.62638121547,0.0,201.08339220112725,98.9463925533381,691.8413283054167,340.6789830254244,0.0,49.91606504942939
autocracy_support|WVS_E,6.32315939175146,9910.081347545436,0.0,0.0,43.011965734828465,98.9644876437329,286.36940552386767,0.0,9922.039923039923,9781.354436816679,9912.786696395393,0.0,9928.96632996633,9792.916173226518,9794.703025680143,9886.637037261988,0.0,75.14982499876758,122.08337880606787,240.57218074667185,31.4486397152301,0.0,129.51051064698788,88.57789735558399,9918.208306294613,1.0409681642558297,121.68684713640519,76.70444984932618,46.88552188552188,242.04761650085683,0.0,9950.515151515152,3.969136370452162,0.0,21.773514717063108,290.8913698387383,9945.249645044825,9923.6632996633,39.060419976811104,0.0,44.90860017175805,0.0,221.3311860370684,279.75627455396244,9934.560735560735,55.17815517815518,4.795992861778075,9887.204966329966,0.0,63.019576293912564,0.0,713.4199134199134,96.60291918356432,0.0,17.15297689323664
basic_needs_deprivation|WVS_H,9948.084102152694,0.0,0.0,0.0,6.687689289875962,42.687431366676634,264.86702540079796,5.023886577284642,0.0,2.621104762635781,11.996671571139657,9970.120487576183,0.0,0.0,139.14875737680714,5.455045517710971,0.0,19.076268925211522,10.18003160860303,9928.414628209808,23.16276968029313,0.0,940.9583220947993,9932.568685742599,0.0,1.6475740340195983,40.579262442019925,29.629141904453014,0.0,9929.890063963994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9956.787924911212,0.0,18.996324259482158,0.0,12.955056263558706,44.00274932675297,0.0,23.85462385462386,2.159439001544264,0.0,0.0,0.0,0.0,413.7566137566137,0.0,0.0,4.808419094133377
child_qualities_autonomy_self_expression|WVS_A,44.9159391610018,352.4177949709864,43.011965734828465,6.687689289875962,0.0,9927.215353938185,9909.70799577316,513.6210221793635,16.986559539751042,0.0,0.0,16.052460166349334,683.37504687611,55.87189868330657,0.0,193.39572391510873,0.0,62.082794476884686,24.808320764203117,0.0,0.0,0.0,9927.011777622518,920.8496610064067,0.0,8.905181505800698,29.571901355823627,10.627204973805888,424.6140125968452,41.62782935125861,0.0,0.0,101.2145748987854,0.0,45.77620521892969,775.069317517749,0.0,115.7105868352069,390.51815764144527,6.556970163039274,0.0,0.0,0.4371631693613125,90.71822926591713,25.949572927543187,0.0,9945.664790318042,0.0,0.0,9861.012338787737,116.96596914819277,9724.274725274725,9770.06227106227,0.0,0.0
child_qualities_conformity_tradition|WVS_A,189.32096264774734,162.4709876143213,98.9644876437329,42.687431366676634,9927.215353938185,0.0,9896.74687912311,18.60064124549737,40.32160750552566,794.3426607499241,19.38069429632985,0.8310322817632425,437.4014892386292,775.0355430251332,804.3561973060155,37.7953773907531,0.0,19.771968826472488,44.28082858219368,60.96822198517114,5.865214604506491,0.0,9926.640189268097,22.5188889785163,81.0911086848422,25.775981578514532,3.4715091518324357,0.0,1.1655011655011691,5.518749118994862,0.0,0.0,109.85535116617537,0.0,76.04345340194398,327.5662951929089,0.0,381.97314565239094,4.311335113868054,51.916034586696185,5.715503479562713,0.9963494302676068,0.0,28.600512077445202,22.507274528342606,0.0,9934.948361469713,457.5596302462285,0.0,9857.953760907343,36.72037794734152,9723.168912848158,9768.956458635705,0.0,0.0
child_qualities_prosocial_diligence|WVS_A,416.4355499527261,864.790820409371,286.36940552386767,264.86702540079796,9909.70799577316,9896.74687912311,0.0,358.15254736428784,113.77943413871554,116.81104244831897,26.315906666166185,58.21912048640873,44.96612541091014,60.125646090453074,80.81752604862407,780.3654550672137,0.0,127.25426340301854,141.42790001392564,0.0,0.0,0.0,9899.008246742536,347.39158467188065,8.228192474697337,9.734611647291132,60.63785963841745,17.36586927854877,75.18191028829328,556.834175014488,0.0,14.804144245768597,885.174705533987,0.0,174.0378891340127,332.83613682032035,0.0,503.3727725272347,379.94660030588176,57.72489233934128,6.652618046689838,8.301578660860088,7.005725391322613,246.63317044072775,198.5000232840835,0.0,9917.843441902087,508.58110586056796,0.0,9830.543863972662,90.93367351702008,9683.116313557937,9728.903859345484,0.0,4.148074507355943
civic_dishonesty_tolerance|WVS_F,97.29979504923816,269.35455581864426,0.0,5.023886577284642,513.6210221793635,18.60064124549737,358.15254736428784,0.0,871.8272423782347,0.0,22.52060579538319,30.02701314937603,4.734147545028392,735.5227148330597,324.98575002295064,9.642771883003718,0.0,0.0,0.0,369.7338217904426,89.68838711883501,0.0,0.0,0.0,248.12718764369723,518.237660360948,0.0,9923.182302590556,0.0,0.0,0.0,0.0,105.26315789473685,0.0,882.8990715783168,77.32549765217647,0.0,780.1710484637313,0.0,9898.17569316711,9900.761196856358,9906.283785788459,9928.29850674605,0.0,52.44147686410989,9927.557351202207,894.3191311612364,263.46692523163114,0.0,22.012578616352215,9909.457307323313,168.51137918169377,204.51770451770454,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,23.19735477061974,9900.461337925426,9922.039923039923,0.0,16.986559539751042,40.32160750552566,113.77943413871554,871.8272423782347,0.0,9786.371159224705,9917.803418803418,0.0,9919.34632034632,9783.296163606508,9799.71974808817,9891.572944297082,0.0,34.254916096903685,27.212873502626138,88.18958818958822,5.828107221296079,0.0,177.358018471009,494.19994185158356,9923.22502870264,4.2043057310232825,21.031855216832213,0.9420173802989922,578.9321789321789,617.571740241046,0.0,9947.187326692,31.16665548607473,0.0,31.10859728506786,781.2713602187287,9945.386946386947,9914.04329004329,15.129689059536418,0.0,0.0,0.0,0.0,45.867871068966,9931.039936464715,0.0,0.6532325111841288,9877.584956709958,0.0,225.35723863157494,888.682745825603,710.0920885967614,319.95781995781994,0.0,0.0
confidence_in_domestic_institutions|WVS_E,192.65559126194074,9758.166031019578,9781.354436816679,2.621104762635781,0.0,794.3426607499241,116.81104244831897,0.0,9786.371159224705,0.0,9804.567513273067,816.3447146707164,9795.671376982258,9641.306506321307,9722.493516399694,9778.829235831874,0.0,393.3499325656188,362.035611620445,71.50138654234121,0.0,0.0,0.0,0.0,9806.679098839206,77.90777785979674,207.1045404378738,120.93518154124214,0.0,0.0,0.0,9827.756674294431,457.82935599869234,0.0,457.68749190449455,638.5032629883889,9832.380489798485,9771.922644776192,60.14465536547797,5.067945831909185,822.6049313005835,63.92793578148269,94.8828348428415,100.23832172409914,9799.179520519368,292.17815858542184,0.0,9790.79744716468,0.0,229.4372294372294,7.577692635163885,358.2707846273738,636.4489819867395,0.0,657.4460447794679
