construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,54.129692832764505,60.58471928779096,71.37812752219531,87.09677419354838,85.90893984712528,56.973995271867615,76.01681805322306,51.70438527564676,64.92898880592048,101.06093650608196,53.057199211045365,47.61904761904761,78.51796870167625,67.1329931627975,70.92198581560284,9999.0,66.25886265788654,65.4876741693462,65.69579288025889,63.03888054698366,9999.0,86.14324103283094,9999.0,71.94244604316548,66.07571920254561,70.08413166298206,104.35482278032427,84.74576271186442,49.106203995793905,9999.0,9999.0,57.33154898125639,49.561791598196606,55.50628233555063,54.60992907801419,56.497175141242934,120.0003304454759,66.49215237969007,74.67899332306112,9999.0,9999.0,59.70514040309698,108.7565585044063,72.25435214394204,67.25502432247268,59.3942698394153,62.219580473213945,47.44527206046091,75.05005083697577,67.003367003367,9999.0,34.129692832764505,33.333333333333336,63.45381526104418
authoritarian_governance_tolerance|WVS_E,54.129692832764505,0.0,43.82540479244511,33.67003367003367,53.475935828877,49.01960784313725,56.447149972329825,33.898305084745765,35.31663404112066,34.87886382623225,64.76135488837568,55.1798164186703,48.01120448179272,49.96175176898068,53.003300330033,57.07943652978538,9999.0,24.154589371980677,42.288546187160065,42.36379236379236,19.841269841269842,9999.0,62.48063531350925,9999.0,57.87878787878788,25.44529262086514,31.847133757961785,79.91287003989082,62.00519405828488,33.3827540653304,9999.0,9999.0,43.201856148491885,31.81687015532802,39.17185863971544,47.16981132075472,27.997876692819595,83.53553735719342,46.083193968835445,45.41671741160232,9999.0,9999.0,35.97122302158274,94.6268656716418,49.54971467673546,42.034082161102944,23.094688221709006,44.44063796581783,17.98561151079137,43.66812227074236,46.29629629629629,9999.0,20.0,35.45595054095827,65.57643246866911
autocracy_support|WVS_E,60.58471928779096,43.82540479244511,0.0,53.854554193441246,71.50189373827476,68.38536651837123,64.30133174319221,55.51338378610478,43.17081581198303,45.188634724460634,72.34151329243355,61.634842873696755,54.46623093681917,62.02280900821202,59.458326785059455,64.51300899506722,9999.0,40.48582995951417,49.868704591217934,57.492120331007385,45.02204892131924,9999.0,73.45636043317852,9999.0,64.33381433381433,46.08316711883313,52.560558334228,87.49302844394869,69.58535246234274,40.816326530612244,9999.0,9999.0,48.543689320388346,39.6710519261904,46.75201704377331,59.17312661498708,38.973601812488866,91.28090723182748,48.78048780487805,55.48874240740459,9999.0,9999.0,37.87878787878788,101.08189212666825,57.12987308079333,47.84688995215311,30.674846625766875,52.2948197366802,25.839793281653748,57.5264775082217,69.31805415121897,9999.0,26.455026455026456,41.910976995984726,72.03145892369557
basic_needs_deprivation|WVS_H,71.37812752219531,33.67003367003367,53.854554193441246,0.0,56.547619047619044,34.36426116838488,56.497175141242934,31.055900621118013,45.20613928573604,21.367521367521366,64.84637423434104,58.85226519231142,43.10344827586207,44.74036496864652,71.92271424944693,47.052211116593796,9999.0,25.188916876574307,32.21197491128167,33.3994708994709,14.619883040935672,9999.0,49.36371100164203,9999.0,67.79997309658327,20.53388090349076,28.467908902691512,78.60414743666921,50.0,23.355528652138823,9999.0,9999.0,57.9511616417046,28.096971989722732,27.303312629399585,40.983606557377044,14.880952380952381,78.31415055685925,39.88095238095238,33.06277056277057,9999.0,9999.0,28.358041329739443,113.54627959105571,46.50367680028697,33.53766879886283,23.179707567674374,52.073066561534915,31.35541696085354,33.43382807668522,36.90036900369004,9999.0,38.91941391941392,39.12839931459939,59.92599742599742
child_qualities_autonomy_self_expression|WVS_A,87.09677419354838,53.475935828877,71.50189373827476,56.547619047619044,0.0,71.07843137254902,77.40410279874934,62.543493389004865,62.11180124223603,62.893081761006286,91.63208852005532,73.48730673792709,81.68698426277425,79.3815656715532,87.32876712328766,73.83792540230809,9999.0,50.0,58.99768919699595,60.18518518518518,49.26108374384237,9999.0,76.14942528735631,9999.0,94.58568738229755,51.245210727969344,55.2536231884058,105.38986172238349,83.86075949367088,50.14124293785311,9999.0,9999.0,72.25784513747206,41.32231404958678,54.08902691511387,69.44444444444444,41.666666666666664,110.57148245944926,66.66666666666666,59.848484848484844,9999.0,9999.0,55.14375561545373,131.38127848666068,73.28939108600125,60.32338308457712,49.965421853388655,69.93006993006993,45.662100456621005,60.2195423623995,73.52941176470588,9999.0,56.75441281501888,53.763440860215056,83.8839227879259
child_qualities_conformity_tradition|WVS_A,85.90893984712528,49.01960784313725,68.38536651837123,34.36426116838488,71.07843137254902,0.0,76.48156119959822,47.16981132075472,55.55555555555556,38.61003861003861,78.25216910831354,57.4712643678161,69.43208230198992,63.343073289837086,85.14492753623188,61.583023441523764,9999.0,33.003300330033,46.74278723621164,47.93028322440087,33.222591362126245,9999.0,63.894523326572,9999.0,82.33078542151324,38.990308767185034,42.99872122762148,93.13495976159918,71.60585753288657,37.88634097706879,9999.0,9999.0,69.85991757013186,38.314176245210724,41.83412495432955,53.475935828877,29.41176470588235,95.11510157226903,54.41176470588235,47.593582887700535,9999.0,9999.0,42.88885365466941,128.0770919159857,61.034489125216936,48.0684811237928,37.710519892604346,60.6060606060606,43.47826086956522,47.964640401615185,57.80346820809249,9999.0,53.450226244343895,53.65921163952936,74.45680975092739
child_qualities_prosocial_diligence|WVS_A,56.973995271867615,56.447149972329825,64.30133174319221,56.497175141242934,77.40410279874934,76.48156119959822,0.0,52.631578947368425,45.45454545454546,55.236317411121426,87.71929824561403,39.8406374501992,67.10781696128527,68.82529730687719,72.09991280952555,50.0,9999.0,43.47826086956522,55.79500277454714,56.00312148545984,56.044715723731045,9999.0,76.45056963803188,9999.0,76.97540035828044,57.36685396544727,61.47506539392042,94.66215138552522,81.96672409035655,39.41353260099485,9999.0,9999.0,56.427547184435916,52.29279710607511,45.81361094075157,41.49377593360996,47.88810887218129,105.59006211180125,71.45907202641811,66.06992705399946,9999.0,9999.0,53.94369224156458,113.72347815113434,62.561680749142994,57.562352927673615,49.701598444616245,54.054054054054056,38.46153846153846,66.44098456791413,55.55555555555556,9999.0,39.09661247949255,23.64066193853428,53.76114386624512
civic_dishonesty_tolerance|WVS_F,76.01681805322306,33.898305084745765,55.51338378610478,31.055900621118013,62.543493389004865,47.16981132075472,52.631578947368425,0.0,38.61003861003861,31.446540880503143,69.06392694063928,56.17977528089888,60.89714431844578,53.16195658208872,71.3402571711177,53.048085457979624,9999.0,24.691358024691358,38.20784925266749,39.39534524085673,23.04147465437788,9999.0,55.35958534302786,9999.0,73.79584743796909,30.455370783640888,34.463783244077334,84.21544209215442,63.07091954934242,29.351402993524644,9999.0,9999.0,56.2693351853021,26.455026455026456,33.299186970785414,48.309178743961354,20.876826722338205,86.73574217030145,45.87682672233821,39.05864490415639,9999.0,9999.0,34.353915671125264,116.51399089210035,52.4995511416728,39.53354314024865,27.397260273972606,43.47826086956522,29.673590504451038,39.429702418071045,63.202117224659006,9999.0,41.88712522045856,45.12427365598521,65.92187176738325
confidence_in_civil_society_organizations|WVS_E,51.70438527564676,35.31663404112066,43.17081581198303,45.20613928573604,62.11180124223603,55.55555555555556,45.45454545454546,38.61003861003861,0.0,36.54021981675543,63.69309838472834,45.24886877828054,45.58589692467496,53.37439410050682,50.57799277291525,56.01118002613805,9999.0,26.109660574412533,41.22028968351273,48.84370542330218,36.37363401361404,9999.0,64.80794552547331,9999.0,55.45348032167013,37.43475221112793,43.912143426522796,78.84461353624349,60.936937554637545,32.31449756168307,9999.0,9999.0,34.96503496503497,31.16228117486594,38.103602136068105,45.04504504504504,30.325186904783664,82.63249232412227,45.01493746518811,46.840327499699384,9999.0,9999.0,43.150140013214724,92.20155811452405,48.48145817308813,40.96582565745561,22.026431718061673,43.78604898535575,17.33102253032929,48.8780626005165,60.80928339989451,9999.0,17.57469244288225,33.03064298384052,63.15112491155136
confidence_in_domestic_institutions|WVS_E,64.92898880592048,34.87886382623225,45.188634724460634,21.367521367521366,62.893081761006286,38.61003861003861,55.236317411121426,31.446540880503143,36.54021981675543,0.0,56.18045476536042,51.319521350299176,47.368526135047716,45.15807591267325,73.51147729568972,39.51946727458156,9999.0,17.391304347826086,27.027027027027028,31.545741324921135,15.037593984962406,9999.0,52.859821847163616,9999.0,60.26722925457102,17.035775127768314,29.58579881656805,71.07140359465696,45.87155963302752,15.822784810126581,9999.0,9999.0,54.19632778123344,27.954648313747523,23.364485981308412,52.872251217268,22.81254328541575,75.11984870475436,37.5022938458202,30.030030030030026,9999.0,9999.0,36.28963223420281,118.01361275082141,38.97093295827473,33.453182038087704,14.513788098693759,51.28960943257185,31.844810629023048,40.16064257028113,55.19823655524353,9999.0,43.38674707917962,31.595655472587147,61.071653588407116
