construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,39.81615830257915,52.60800797243845,9977.21493553499,10.49523932791827,836.296625168907,341.63180019320134,7.164675261284856,151.79671826362983,73.43293834793062,266.6220324420399,9975.210716125708,164.60464406877466,33.89756569997519,71.32459415273726,41.97473250757537,9943.175982005676,182.9847328430623,68.26649940854568,9911.872018771299,23.060743090458118,0.0,292.2071906488651,9973.75931364691,0.7514450524022358,11.825590230609812,85.41938706601839,22.952695224366988,19.32110036512489,9976.718110892489,0.0,4.792383456877353,18.242361432829625,541.3206062355985,172.52201243934576,14.766156822898672,0.30864590700504024,30.137015471320453,9962.084821991231,20.319221909011567,64.23218884867364,22.248254297537844,25.299142327204166,67.92069533568761,29.829409260530568,53.66977896212972,0.0,395.21415712781493,9934.763561654163,0.0,29.779435991356593,0.0,2.745445355981012,54.941815550790324,157.99804644245046
authoritarian_governance_tolerance|WVS_E,39.81615830257915,0.0,9936.896506917374,0.0,70.94173873482701,910.0081207537842,463.32309375787634,35.388150080803754,9899.680923827527,9914.986394557824,9924.483732379531,89.23200859291083,9922.824766945334,9942.911339370185,9935.487869484077,9919.324294101201,55.183514886590174,100.10569252705864,13.180705326567882,207.6549255897082,61.68932300705328,0.0,916.5066786047893,148.50935105338237,9958.667661531015,43.15083218737703,110.69456097907278,76.0383589440145,41.06571426159055,113.00660983742407,0.0,9960.821592256374,7.842910421442646,9855.096284667714,44.21330600402081,236.05122800293827,9959.125757227206,9935.47656691135,301.67002423286914,21.479876866947897,315.03480330772436,1.0654304951879752,66.74501704537494,99.04252761395617,9945.755625327054,62.66909279435043,0.0,9883.198336667017,40.66269687640188,13.627639961531848,132.5596512537268,0.0,144.31859700401898,9934.374059639471,175.92009970356656
autocracy_support|WVS_E,52.60800797243845,9936.896506917374,0.0,0.0,22.456698825007038,914.5717789785068,578.9978630937101,28.86863770517268,9905.604641629256,9920.91011235955,9930.40745018126,37.6508531002913,9928.74848474706,9948.835057171913,9941.411587285804,9925.24801190293,764.875378239518,81.50928899161661,52.7199409498312,900.2380816718078,11.369490757181119,0.0,755.7637297398501,99.1116779172805,9963.194062976834,9.266564975640001,66.68509919635792,73.44781535791734,51.76316805696291,29.186737895561762,0.0,9965.385250481098,23.84550640020776,9861.02000246944,98.56732062287347,75.30827913799902,9964.74488424611,9933.852728970376,139.13013017475828,25.253057034266725,273.1687959003718,11.719081859048018,116.55918428530461,195.02253059391998,9951.67934312878,273.5263969338388,0.0,9883.304207119741,200.9074023324503,10.614479656428735,40.52383782916773,0.0,92.78863974772734,9940.297777441197,86.2719793402733
basic_needs_deprivation|WVS_H,9977.21493553499,0.0,0.0,0.0,0.0,325.43271635524053,85.63557271780428,0.0,328.3654153456538,0.0,175.56707536892992,9984.337552742616,189.60449655869817,0.0,4.822767506268093,13.36826274351138,9956.787597667533,11.411163319734982,17.339107978204982,9924.96413657578,0.0,0.0,290.72941748672633,9982.886150263816,0.0,0.0,7.983469562998383,2.052552713411618,0.0,9985.844947509397,0.0,0.0,0.0,359.9712523763157,11.891203858779406,0.0,0.0,0.0,9971.211658608137,0.0,21.12941226035833,0.8118852529405416,9.568991622338643,19.74335611590012,4.651597207717902,15.883225707365394,0.0,0.0,9943.89039827107,0.0,0.0,0.0,0.0,3.8855869107125187,18.633431266061766
child_qualities_autonomy_self_expression|WVS_A,10.49523932791827,70.94173873482701,22.456698825007038,0.0,0.0,9928.736343995564,9926.495761444101,10.965057952657773,419.2487529142083,63.997091910920645,312.63423577278644,0.0,192.3925960320146,22.826392731323892,30.382406664303502,649.8199065366612,168.9288321454643,52.68328056012733,57.753649065242406,148.24003030460585,0.0,0.0,9933.820843535537,9.135743948515625,0.0,0.0,24.62552631304763,11.602356795074087,27.751132203186998,0.0,0.0,0.0,14.294256558161074,342.8479647050828,142.44394470473816,7.988319471624273,0.0,98.57339669218494,2.4817358658152884,6.111939198209711,42.944935029861426,11.636144579458936,46.353569431274394,73.70942893436415,45.03612741956128,113.94450812229313,9975.547598404717,425.85916846911795,261.10044393317173,9969.298095976566,5.805526711663141,0.0,9963.587680610146,58.53717138576014,24.76063345352074
child_qualities_conformity_tradition|WVS_A,836.296625168907,910.0081207537842,914.5717789785068,325.43271635524053,9928.736343995564,0.0,9893.132474443355,25.67897910150326,140.51409062550277,517.6616666189562,0.0,166.88647282050667,163.65793374330906,920.5866114313183,413.16314154521,896.9995661623353,191.1211007002742,914.0568356646448,29.176959591421365,81.51986183074266,76.35730377429392,710.2947906056714,9910.869955839806,203.14720107709348,461.2614067099244,137.1733126383785,165.6632098916165,49.47309451672524,42.82958565084398,135.8357280524034,0.0,0.0,700.4104950070902,388.32711228440195,225.02268668949972,74.07103787919748,10.808270224176304,152.49892793175997,198.9802169289229,42.432560243441074,43.290924510682316,48.506971291087865,0.0,27.543410684285305,217.5485444470106,15.272966158120084,9941.661666618957,857.4839984065226,60.5478454807449,9934.431426456593,58.72498253032556,0.0,9921.695123584597,0.0,53.10620721226877
child_qualities_prosocial_diligence|WVS_A,341.63180019320134,463.32309375787634,578.9978630937101,85.63557271780428,9926.495761444101,9893.132474443355,0.0,419.2717298833732,375.1156133371973,890.4210840674929,58.1751473653586,79.14657426357134,333.0420651506558,418.34602887985494,310.9225589937466,728.0923169442053,499.33803448868014,820.9071622040905,76.03832819643813,314.06188797493144,54.2754513815607,70.40238619185986,9898.21697398333,126.71477962790884,84.22018619992839,48.56909372327874,181.73764565517143,67.93974356768302,580.6733912850345,236.62544853124308,0.0,0.0,363.7217519205097,830.5309741773831,889.448770804703,924.7716317983223,1.3699499137842537,906.3559063559063,918.9618565996817,48.38486158710879,104.28430763220898,52.51326530134364,14.301887434568272,69.06051991458044,165.0927538611139,69.68262991207541,9939.421084067493,855.2434158550592,291.64059626261485,9932.19084390513,576.0888969046218,0.0,9919.454541033134,28.90987367194461,125.86562466080538
civic_dishonesty_tolerance|WVS_F,7.164675261284856,35.388150080803754,28.86863770517268,0.0,10.965057952657773,25.67897910150326,419.2717298833732,0.0,62.73258904837853,40.59488898198575,0.0,17.405679817166835,160.41059365686806,22.451037725551714,92.38753650375986,140.24251818103536,102.41700459202255,95.44609110466277,295.9064290987176,58.17426878591212,28.373905656212983,0.0,50.93559951604509,17.42504581489608,0.0,11.025758861022766,202.70722723639634,9962.553699608357,0.0,0.0,0.0,32.14931334919197,14.903093787826869,776.1593245464212,45.033737001312545,0.0,14.150143582053332,13.129098806848177,16.474907633908515,9964.78534098808,9954.636563725153,9963.950574557193,9964.357597271377,122.83517122226799,74.00682588229475,9954.99416475862,0.0,191.47929442047092,84.42803754074407,2.8385865650016626,9950.540461744544,0.0,13.291296964095913,0.0,954.3340909564819
confidence_in_civil_society_organizations|WVS_E,151.79671826362983,9899.680923827527,9905.604641629256,328.3654153456538,419.2487529142083,140.51409062550277,375.1156133371973,62.73258904837853,0.0,9886.466413782204,9893.191867091413,380.9066504818256,9905.18477879032,9911.619474082067,9904.196004195957,9898.326375009254,180.0407475306242,189.15762161731038,27.112631393121404,0.008799951824698837,13.629875045436648,365.6193158481488,718.5481466500039,21.063639611417486,9925.978479886988,35.08453360308589,78.47911381939724,199.06748131021675,92.7694920361012,0.0,0.0,9928.169667391252,915.2013518817902,9823.804419379594,872.6724922500084,28.833743662051546,9928.587293611914,9897.369174684964,157.13774082628345,115.82903721985483,413.3725676492353,34.50702838859125,150.3663284681857,146.46264801456732,9914.463760038936,258.55775488959887,934.6945292697044,9845.090944440632,885.9140414648264,177.51486559536096,383.22818540604385,0.0,34.762842091856044,9903.620098832567,38.65237336157679
confidence_in_domestic_institutions|WVS_E,73.43293834793062,9914.986394557824,9920.91011235955,0.0,63.997091910920645,517.6616666189562,890.4210840674929,40.59488898198575,9886.466413782204,0.0,9908.497337821707,44.75945017182131,9909.61025690001,9926.924944812363,9919.501474926254,9903.33789954338,497.86722666428113,498.58073940642953,933.7224499495039,354.51844550273347,77.42607192435632,6.571969245203505,900.5202840469661,42.256080514397546,9941.283950617284,46.95751005420529,450.6088485996482,158.81739648495682,72.18963831867059,0.0,0.0,9943.475138121546,97.17348927875243,9839.10989010989,443.53351853585957,41.87742945125953,9942.83477188656,9910.211355016665,98.03229795591767,100.11713822310325,404.8685145700071,141.53458121015032,526.6343660434011,929.2099792099792,9929.76923076923,762.3689727463313,0.0,9859.800744878958,901.219512195122,24.532936297642166,94.44173573866408,0.0,47.747870213772615,9918.387665081647,760.7088989441932
