construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,66.81436490846855,61.94721636328187,9999.0,36.63003663003663,37.87944056747365,46.66508301000343,52.593481122367365,55.566274358479646,58.280986809873056,54.783984210602696,51.888431746903045,67.07979995651229,64.71069310979351,97.6850311356182,102.03507486546263,39.94431171688352,53.67961124075555,54.51820272672284,46.591118239423665,51.81347150259067,22.42152466367713,55.85835867214194,46.777105235212915,71.45012371009595,51.445386586756065,49.61948249619483,44.44444444444444,66.4597602739726,43.79070289692342,36.66653890869137,35.02502533880861,76.69169200547528,9999.0,43.47443069197904,86.49050787147053,40.50342016912332,66.61294654848241,36.10806166770083,47.11288268836849,44.54541846898687,43.921822491833524,27.397260273972606,44.75837138508372,44.91039512511096,46.03595657923132,45.51320230295811,39.682539682539684,35.758464287350535,43.21154545369792,87.84179762068388,9999.0,60.44433835189005,9999.0,41.02123847560748
authoritarian_governance_tolerance|WVS_E,66.81436490846855,0.0,75.00429324659558,9999.0,47.237130394580795,49.89928492799699,58.684927370526765,47.890917456134844,63.36448598130841,53.578423143640535,74.13932685671816,56.8879168946833,79.09964431703563,76.73053747031685,97.74825701903147,101.92697768762677,51.964156077406855,48.97704757452303,58.98886151497276,54.08920809559027,59.62732919254658,51.68704328480269,60.857843819922195,58.79694959573625,75.99818511796732,53.68033501025828,53.477425284795146,44.28341384863124,65.06950606329488,55.81054725744676,51.612226585715455,40.024510486588866,81.69117715325552,9999.0,46.07091563613302,91.48999301925078,44.35377296154354,78.63279090900575,40.0,54.20404876926616,40.98638721496111,42.37288135593221,39.41710463449594,42.73504273504273,45.3416149068323,41.3333929129988,42.53695687829367,55.8374658824434,31.055900621118013,43.10344827586207,83.13923395445136,9999.0,71.471051367092,9999.0,41.7740142331223
autocracy_support|WVS_E,61.94721636328187,75.00429324659558,0.0,9999.0,47.91764483898004,46.0693689056007,54.855011348130475,60.78340946049441,63.75620269660669,66.4709151480001,70.30941083432187,60.078360085030084,75.26972829463932,72.90062144792054,106.14694283185986,111.3842774812237,48.134240055010565,61.869539578882595,62.70813106484988,54.7810465775507,63.29527496207621,39.52569169960474,64.04828701026898,54.967033573339954,79.640052048223,59.635314924883104,57.809410834321866,55.42496588694786,74.64968861209965,51.98063123505047,47.78231056331916,43.21495367693565,84.88162034360232,9999.0,51.66435903010608,94.68043620959756,48.69334850725036,74.80287488660946,44.29799000582787,58.79127766447459,53.191489361702125,52.083333333333336,35.587188612099645,52.94829972321075,53.100323463238,54.22588491735836,53.70313064108515,52.0075498600471,43.948392625477574,52.56074806945901,96.03172595881091,9999.0,74.6614945574388,9999.0,49.21116681373452
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,36.63003663003663,47.237130394580795,47.91764483898004,9999.0,0.0,22.812636520381442,30.63131200783023,29.940119760479043,40.49947031138744,38.7037522959853,40.65040650406504,28.697725934721653,52.01299590942008,49.64388906270129,74.76630868155142,80.00364333091528,23.20185614849188,34.1023767268678,31.32749691454145,25.899017135628625,31.914640811767782,15.847860538827257,32.667652859960555,31.710301188120702,54.074850761255846,28.254680774574673,30.284504028472238,19.801980198019802,50.19483521563966,28.723898849831212,18.148820326678766,11.834319526627219,53.50098619329388,9999.0,23.40839360070129,63.29980205928913,21.551724137931036,51.5461425013902,18.587360594795538,26.525198938992045,16.835016835016834,19.193857965451055,12.330456226880393,23.571408728505155,24.752475247524753,21.929824561403507,22.871847120446205,24.813895781637715,16.181229773462782,21.180113919150585,68.26456310679612,9999.0,43.28086040713036,9999.0,25.95443442851527
child_qualities_conformity_tradition|WVS_A,37.87944056747365,49.89928492799699,46.0693689056007,9999.0,22.812636520381442,0.0,29.750003029531875,23.094688221709006,38.42472694516383,41.365906829401496,45.204402515723274,30.161278748519965,50.16471997604073,47.79561312932195,76.22986149534974,81.4671961447136,19.011406844106464,36.76453126028399,32.79104972833976,26.246719160104984,33.3781936255661,15.797788309636653,34.13120567375886,29.862025254741358,54.53504372962439,29.718233588372986,31.74805684227055,25.188916876574307,49.544680293501045,25.906735751295336,17.513134851138354,13.297872340425531,54.9645390070922,9999.0,24.871946414499604,64.76335487308744,23.58834018865177,49.69786656801085,15.06024096385542,28.81844380403458,15.197568389057752,18.248175182481752,10.482180293501049,25.034961542303463,27.995315144639402,23.58490566037736,24.335399934244514,26.902541541448503,18.843384306878974,22.643666732948894,70.9267176402123,9999.0,44.74441322092868,9999.0,24.106158495135926
child_qualities_prosocial_diligence|WVS_A,46.66508301000343,58.684927370526765,54.855011348130475,9999.0,30.63131200783023,29.750003029531875,0.0,44.46404358442558,47.43683682053787,50.15154927193127,53.99004495825305,35.66039888929744,58.950362418570506,56.58125557185173,81.72898163612722,86.96631628549108,31.814874178941743,45.550173702813765,38.290169869117236,32.86169009020442,38.877313766343576,30.211480362537767,39.63032581453634,38.64766769727113,61.03752371583163,35.21735372915046,37.24717698304803,31.00700469121522,58.33032273603082,35.661265358981645,25.38071065989848,18.79699248120301,60.46365914786968,9999.0,30.371066555277082,70.26247501386491,32.05128205128205,58.48350901054063,26.315789473684212,34.37331646874195,29.619503303713834,27.69378963422792,19.267822736030826,30.53408168308094,36.78095758716918,30.78740015506392,29.83452007502199,35.68818398397828,27.62902674940875,28.142786873726372,79.7123600827421,9999.0,50.243533361706156,9999.0,32.89180093766571
civic_dishonesty_tolerance|WVS_F,52.593481122367365,47.890917456134844,60.78340946049441,9999.0,29.940119760479043,23.094688221709006,44.46404358442558,0.0,42.412105028927456,39.35753935753935,59.91844307061699,20.79002079002079,48.338230156411974,62.509653684215664,74.84407484407484,93.97295050477575,28.81844380403458,34.75616378842185,44.767977728871585,39.8683243094891,45.4064454064454,30.769230769230766,46.63696003382101,31.948881789137378,62.11233483960757,39.45945122415711,39.25654149869396,30.06253006253006,50.84862227719371,28.73563218390805,36.746734091866834,25.803626700487683,67.47029336715435,9999.0,31.850031850031847,55.392096914588265,30.132889175442365,60.24096385542168,19.047619047619047,39.98316498316498,26.765503428859933,28.39571047663533,25.19622084839476,28.68335806724432,31.12073112073112,27.112509126897613,28.316073092192497,38.61003861003861,16.835016835016834,35.14942109301105,68.91835016835017,9999.0,41.931669838646584,9999.0,26.7379679144385
confidence_in_civil_society_organizations|WVS_E,55.566274358479646,63.36448598130841,63.75620269660669,9999.0,40.49947031138744,38.42472694516383,47.43683682053787,42.412105028927456,0.0,55.010055601561575,62.89123630672927,50.07041207444222,67.85155376704672,65.48244692032794,69.79500460910408,74.17470125748359,40.71606552741796,52.86301105505473,52.70018305426201,47.27170327534919,23.923444976076556,40.438952734813796,51.17140137934631,47.54885904574735,70.75785091021837,31.948881789137378,50.39123630672927,42.30387992070236,66.6545292713517,44.56245670745786,40.36413603572656,33.20700566634778,74.87367233301444,9999.0,44.24618450251347,76.27946591848493,37.46885833673859,67.38470035901685,23.364485981308412,47.75472988374744,30.3030303030303,35.91153742421933,28.169014084507044,40.93917842419066,41.31780734576084,37.81535303333153,40.908345630431214,44.589375332454495,35.08771929824561,42.238463291094874,87.05875349723198,9999.0,63.60598465861624,9999.0,40.6955085116377
confidence_in_domestic_institutions|WVS_E,58.280986809873056,53.578423143640535,66.4709151480001,9999.0,38.7037522959853,41.365906829401496,50.15154927193127,39.35753935753935,55.010055601561575,0.0,65.60594875812268,48.35453879608781,70.56626621844013,68.19715937172134,91.65858481863954,99.66045619228143,43.43077797881136,40.443669475927535,50.45548341637727,45.55582999699478,51.09395109395109,43.1536651862072,52.3244657213267,50.26357149714076,68.60547183127828,45.14695691166279,44.944047186199654,35.75003575003575,56.536127964699396,47.277169158851265,43.07884848711996,31.491132387993375,73.15779905466005,9999.0,37.53753753753753,82.95661492065528,35.82039486294805,70.09941281041026,31.645569620253163,45.67067067067067,32.45300911636562,34.08321616414102,30.88372653590045,34.37086375475001,36.808236808236806,32.800014814403305,34.00357877969818,47.304087783847905,22.52252252252252,40.836926780516734,74.60585585585585,9999.0,62.93767326849652,9999.0,33.24063613452681
