construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.9999050044141642,0.9989917116760219,NaN,0.9998670247607921,0.9999740866738122,1.0,NaN,0.9992966926602578,0.9987376574113521,0.9994846064285943,NaN,0.999728909501589,0.9999619731933667,0.9998256646608412,0.9988600330874994,NaN,1.0,0.9999999999988978,NaN,1.0,NaN,1.0,NaN,0.9988162019675647,0.999978831157094,0.9997103005299599,NaN,1.0,NaN,NaN,0.9977033020726818,1.0,NaN,0.9999054554116421,0.9999999999969007,0.9999999999759919,0.99878115020063,NaN,1.0,1.0,0.9999159306917706,1.0,0.9999676350381477,0.9994129591340183,NaN,1.0,0.9989077219969702,NaN,0.9999999999999984,0.9999999999977891,1.0,1.0,0.9992629155076014,0.9999999879029442
authoritarian_governance_tolerance|WVS_E,0.9999050044141642,0.0,NaN,0.9998919908959358,1.0,0.9999999999982362,1.0,NaN,NaN,NaN,NaN,0.9999428607875269,NaN,NaN,NaN,NaN,NaN,1.0,1.0,0.9999710311899177,1.0,NaN,1.0,0.9998925644598788,NaN,0.9999750962422649,1.0,NaN,1.0,0.9999960560617195,NaN,NaN,1.0,NaN,0.9999999000708051,0.9999705887753467,NaN,NaN,0.9999066782565397,1.0,1.0,0.9999995271034186,1.0,0.9999997113312431,NaN,NaN,1.0,NaN,NaN,1.0,1.0,1.0,1.0,NaN,1.0
autocracy_support|WVS_E,0.9989917116760219,NaN,0.0,0.9986724437673813,0.9999836128671135,0.9995825239068578,0.999311135909271,NaN,NaN,NaN,NaN,0.999284220627525,NaN,NaN,NaN,NaN,NaN,0.999417930544956,0.9994634337415464,0.9997187444575355,0.9995492552221242,NaN,0.9993614276875997,0.9978218060921727,NaN,0.9996414810686923,0.9999986063287876,NaN,0.9994903539504619,0.9999566756285353,NaN,NaN,0.999396609003174,NaN,0.9999034113490967,0.9995303686054507,NaN,NaN,0.9986716992559821,0.9996496582945513,0.999425861032331,0.9997806617148681,0.9998948299379934,0.9997544764934251,NaN,NaN,0.9999999893584892,NaN,NaN,0.9995023311821922,0.9997996277171304,0.999258585332084,0.9989024352772228,NaN,0.9997532752838358
basic_needs_deprivation|WVS_H,NaN,0.9998919908959358,0.9986724437673813,0.0,0.9998631718628566,0.999934518247208,0.9999999998259814,NaN,0.9990955174290448,0.9981993534242806,0.9993430839214892,NaN,0.9996596167094411,0.9999651787027735,0.9997792564624509,0.9984491403856517,NaN,0.9999999999999925,0.9997840809813628,NaN,0.9999999999899724,NaN,0.9999999999999986,NaN,0.9978792447115292,0.9999589814535316,0.9996386140486379,NaN,0.9999999999997001,NaN,NaN,0.9964376316093133,0.9999999986477988,NaN,0.9999152517774744,0.9999872777821668,0.9999999999617232,0.9983766235989511,NaN,0.9999999999999933,0.9999999998612947,0.999915798379189,0.9999999999976631,0.9999511154292464,0.9992628495170077,NaN,0.9999999999931959,0.9985944488461863,NaN,0.999998602347179,0.9997373411886624,0.9999999999999366,0.9999999999999998,0.999547264253422,0.9998290342077355
child_qualities_autonomy_self_expression|WVS_A,0.9998670247607921,1.0,0.9999836128671135,0.9998631718628566,0.0,NaN,NaN,NaN,0.9999873497712151,0.9999827599348341,0.9999907019621945,0.9998860204010193,0.9999999352933657,1.0,0.9999999944404953,0.99998572900469,NaN,1.0,0.9999999999999916,0.999923547506764,1.0,NaN,NaN,0.9998330840079469,0.9999881487321396,0.9999452589607459,0.9999999999451404,NaN,1.0,0.9999981864255262,NaN,0.9999868721999512,1.0,NaN,0.999985159496167,0.9999273377571086,0.9999999999992988,0.9999805910332161,0.999853671282723,1.0,1.0,0.9999662761048091,1.0,0.9999573740694864,0.9999829494607719,NaN,NaN,0.9999873756939456,NaN,NaN,1.0,NaN,NaN,1.0,1.0
child_qualities_conformity_tradition|WVS_A,0.9999740866738122,0.9999999999982362,0.9995825239068578,0.999934518247208,NaN,0.0,NaN,NaN,0.9996858390717426,0.9995258305808942,0.9997620141770911,0.9999994745856459,0.999896594210395,1.0,0.9999692323240605,0.9995792567401726,NaN,1.0,0.9999999999997352,0.9999999999992201,1.0,NaN,NaN,0.9998889824213891,0.9993901205649183,1.0,0.99992327438654,NaN,1.0,0.9999975118077754,NaN,0.9994656454110954,1.0,NaN,0.9999999999999792,0.9999999854176524,0.9999999999944178,0.9995081846861674,0.999921017309564,1.0,1.0,1.0,0.9999999999999988,1.0,0.9996872221238636,NaN,NaN,0.9996502798790309,NaN,NaN,0.9999999999999998,NaN,NaN,0.999670003451678,1.0
child_qualities_prosocial_diligence|WVS_A,1.0,1.0,0.999311135909271,0.9999999998259814,NaN,NaN,0.0,NaN,0.9995512237540046,0.9991499306540746,0.9997056882984375,1.0,0.9999999999999558,1.0,1.0,0.9992896162093728,NaN,0.9999999999999969,1.0,1.0,0.9999999999983421,NaN,NaN,0.9996277061970629,0.9991594636547524,1.0,1.0,NaN,0.9999999999997891,0.9999936824995179,NaN,0.9985335031876857,0.999999999999997,NaN,1.0,1.0,0.9999999999835666,0.9991204862616554,0.9999508434684166,0.9999999999992928,0.9999999999999998,1.0,0.9999999999979332,1.0,0.9995438284067801,NaN,NaN,0.9994737984332247,NaN,NaN,0.9999999950109072,NaN,NaN,0.9999999999981894,0.9999891357822168
civic_dishonesty_tolerance|WVS_F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
confidence_in_civil_society_organizations|WVS_E,0.9992966926602578,NaN,NaN,0.9990955174290448,0.9999873497712151,0.9996858390717426,0.9995512237540046,NaN,0.0,NaN,NaN,0.9994724743864716,NaN,NaN,NaN,NaN,NaN,0.9996316220604079,0.9996445973207798,0.9997687562325169,0.999979591505899,NaN,0.9996051822362398,0.9986594452956293,NaN,0.9997235904199459,0.9999989556115779,NaN,0.9997359155920622,0.9999737957549245,NaN,NaN,0.9996379650518163,NaN,0.9999242181155735,0.999635228285488,NaN,NaN,0.9990772794646658,0.9998886669971397,0.9996618124408991,0.999831603081401,0.9999999809629426,0.9998071150224102,NaN,NaN,0.9999999999974897,NaN,NaN,0.9996833712653774,0.9999999913697663,0.9995374638372702,0.9992497253132598,NaN,0.999834338970439
confidence_in_domestic_institutions|WVS_E,0.9987376574113521,NaN,NaN,0.9981993534242806,0.9999827599348341,0.9995258305808942,0.9991499306540746,NaN,NaN,0.0,NaN,0.9991541540766701,NaN,NaN,NaN,NaN,NaN,0.9992964418209938,0.9993519444263183,0.9996986808009198,0.9994125549605598,NaN,0.9992122255687353,0.9965471885010345,NaN,0.9995892338831475,0.9999984333021446,NaN,0.9993467113999726,0.9999313526528009,NaN,NaN,0.999238397234996,NaN,0.999893924250306,0.9994745369794444,NaN,NaN,0.9983323177880463,0.9995835893908438,0.9992774665037814,0.9997540981888582,0.9998903301253925,0.9997296031665789,NaN,NaN,0.9999999843362821,NaN,NaN,0.9993988323898492,0.9997680806662516,0.9990647754565523,0.9986236879052967,NaN,0.9997243107426264
