construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.9999999837499227,0.999999972391236,NaN,0.9999999961767941,0.9999999950953901,0.9999999999665968,1.0,0.999999999641312,0.9999999804802336,0.9999999947744791,NaN,0.9999999841914725,0.9999999922868068,0.9999999828842725,0.9999999735176697,NaN,1.0,0.9999999937960845,NaN,0.9999999967674136,0.9999999999999999,0.9999999988556252,NaN,NaN,0.9999999962764308,0.9999999891893845,0.9999999958087618,0.9999999999546241,NaN,0.9999999880661244,0.9999999951103955,1.0,NaN,0.9999999966521812,0.9999999999939695,0.9999999933039944,0.9999999814957691,NaN,NaN,0.999999999912308,0.9999999993010041,0.9999999984302674,0.9999999991219362,0.9999999922148795,0.9999999923734085,NaN,0.9999999803368316,NaN,0.9999999999785317,NaN,0.9999999999600035,0.9999999999476831,0.9999999999999748,0.9999999889117501
authoritarian_governance_tolerance|WVS_E,0.9999999837499227,0.0,NaN,NaN,0.9999999957742117,0.9999999993778362,0.9999999849382932,0.9999999931626921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9999999289832189,0.9999999999913595,0.9999999923996185,0.9999999776249558,0.9999999909988957,0.999999999258343,0.9999999937640733,0.9999999359355194,NaN,0.9999999900738462,0.9999999937775432,0.9999999865928008,0.9999999993701559,0.9999999487981377,NaN,NaN,0.9999999992081893,NaN,0.9999999972513535,0.9999999629106628,NaN,NaN,NaN,NaN,0.9999999936811467,0.9999999554583583,0.9999999973077341,0.9999999677384982,NaN,0.9999999894579418,NaN,NaN,0.9999999999996773,0.9999999929120923,NaN,0.9999999744156263,0.9999999577418128,NaN,0.9999999885313291
autocracy_support|WVS_E,0.999999972391236,NaN,0.0,NaN,0.999999994089498,0.9999999991472305,0.9999999750604948,0.9999999568653525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9999999275802556,0.999999999850099,0.9999999845069143,0.9999999593112461,0.9999999886540668,0.9999999737220733,0.9999999885114758,0.9999998784774696,NaN,0.9999999796166047,0.9999999878586223,0.9999999916346849,0.9999999724416063,0.9999998925271523,NaN,NaN,0.9999999705980577,NaN,0.9999999964179642,0.9999999685810077,NaN,NaN,NaN,NaN,0.9999999748540435,0.9999999638989419,0.9999999788515026,0.9999999720351411,NaN,0.9999999884837317,NaN,NaN,0.9999999997678447,0.9999999793445391,NaN,0.9999999611864969,0.9999999314779736,NaN,0.9999999765929894
basic_needs_deprivation|WVS_H,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
child_qualities_autonomy_self_expression|WVS_A,0.9999999961767941,0.9999999957742117,0.999999994089498,NaN,0.0,NaN,NaN,0.9999999999999815,0.9999999997152821,0.9999999953670682,0.9999999994807478,NaN,0.9999999962657518,0.999999998547663,0.9999999958083442,0.9999999928728086,0.9999999936796072,0.9999999999999982,0.9999999999999506,0.9999999935540254,0.9999999999866093,0.9999999999988699,NaN,0.9999999905964684,NaN,0.9999999999999463,0.9999999999991863,0.9999999999999891,0.9999999987536814,0.9999999912279298,0.9999999965500187,0.999999999996866,0.9999999984590763,NaN,0.9999999999999926,0.9999999987884303,0.9999999979027462,0.999999995452968,NaN,NaN,0.9999999998230289,0.9999999999005507,0.9999999998731088,0.999999998274936,0.9999999984513698,0.9999999978064004,NaN,0.9999999959484018,0.9999999999999776,NaN,NaN,NaN,NaN,0.9999999999999754,0.9999999999999999
child_qualities_conformity_tradition|WVS_A,0.9999999950953901,0.9999999993778362,0.9999999991472305,NaN,NaN,0.0,NaN,0.9999999999999984,0.9999999999966591,0.9999999993918789,0.9999999999306122,NaN,0.9999999994285134,0.9999999997817722,0.9999999994661071,0.999999999132048,0.999999992373954,0.9999999999999988,0.9999999999999969,0.9999999932266821,0.9999999999734075,0.9999999999870093,NaN,0.9999999902903949,NaN,0.9999999999713314,0.999999991312369,0.999999999769828,0.9999999989173006,0.9999999907301226,0.9999999994442663,0.999999999999995,0.9999999985591145,NaN,0.9999999997847486,0.9999999979842054,0.9999999961955393,0.9999999994164646,NaN,NaN,0.999999999814703,0.9999999998572936,0.9999999998580384,0.9999999969976784,0.999999999769727,0.999999999806932,NaN,0.9999999994718728,0.9999999999999835,NaN,NaN,NaN,NaN,0.9999999999999888,0.9999999909400423
child_qualities_prosocial_diligence|WVS_A,0.9999999999665968,0.9999999849382932,0.9999999750604948,NaN,NaN,NaN,0.0,0.9999999998794709,0.9999999946889061,0.9999999860411182,0.9999999928345211,NaN,0.9999999867543337,0.9999999971849834,0.9999999855200831,0.9999999820411214,0.9999999998729707,0.9999999987547603,0.9999999942432068,0.9999999987418329,0.9999999999800115,0.9999999987689269,NaN,0.9999999980388817,NaN,0.9999999999484486,0.9999999974257142,0.9999999975243284,0.9999999966682469,0.9999999980137434,0.9999999903169116,0.9999999999032115,0.9999999997219202,NaN,0.9999999998987796,0.9999999999999724,0.9999999913737301,0.999999985195887,NaN,NaN,0.9999999987619655,0.9999999982304412,0.9999999987614948,0.999999999697234,0.9999999948654373,0.9999999985639586,NaN,0.9999999896678253,0.9999999961911531,NaN,NaN,NaN,NaN,0.9999999987482651,0.9999999972035398
civic_dishonesty_tolerance|WVS_F,1.0,0.9999999931626921,0.9999999568653525,NaN,0.9999999999999815,0.9999999999999984,0.9999999998794709,0.0,0.9999999915426089,0.9999999740453781,0.9999999897761107,NaN,0.9999999949745116,0.9999999933019353,0.9999999779758948,0.9999999435713066,0.9999999999351059,0.999999993433155,0.9999999999998371,0.999999999999992,0.9999999999731328,0.9999929748959132,0.9999999999999886,0.9999999889916287,NaN,0.9999999999983062,0.9999999819276023,NaN,0.9999999924794167,0.9999999901312226,0.9999999870605892,0.9999999999998815,0.9999999848544726,NaN,0.9999999999999393,0.9999999988157481,0.9999999859564883,0.999999980769504,NaN,NaN,NaN,NaN,NaN,0.9999999997988729,0.9999999921302865,NaN,NaN,0.9999999618949403,0.9999999809208013,0.9999999994141631,NaN,0.9999999996554483,0.9999999974300353,0.9999996990019172,0.999999980732545
confidence_in_civil_society_organizations|WVS_E,0.999999999641312,NaN,NaN,NaN,0.9999999997152821,0.9999999999966591,0.9999999946889061,0.9999999915426089,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9999999925401707,0.9999999982610778,0.9999999999980937,0.9999999994902006,0.9999999997378844,0.9999999999551368,0.9999999999983543,0.9999999978234869,NaN,0.9999999999838189,0.9999999999964544,0.9999999844877674,0.9999999968106531,0.9999999978758902,NaN,NaN,0.9999999972118621,NaN,0.9999999992536255,0.9999999954531626,NaN,NaN,NaN,NaN,0.9999999947806049,0.9999999849825733,0.9999999993525971,0.9999999952191645,NaN,0.999999999966798,NaN,NaN,0.9999999989499644,0.9999999948147944,NaN,0.999999993121485,0.9999999914209591,NaN,0.9999999999859505
confidence_in_domestic_institutions|WVS_E,0.9999999804802336,NaN,NaN,NaN,0.9999999953670682,0.9999999993918789,0.9999999860411182,0.9999999740453781,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.9999999654632731,0.9999999999886056,0.9999999920792174,0.9999999738224884,0.9999999911782759,0.9999999900549325,0.9999999912758301,0.9999999465105186,NaN,0.9999999853278813,0.9999999925011069,0.9999999850279064,0.9999999911797784,0.9999999574897749,NaN,NaN,0.9999999996639017,NaN,0.9999999975842142,0.9999999858505898,NaN,NaN,NaN,NaN,0.999999992409926,0.9999999773423904,0.9999999958807455,0.9999999877602389,NaN,0.9999999922570834,NaN,NaN,0.999999999999343,0.9999999876908361,NaN,0.9999999807953975,0.9999999786528104,NaN,0.9999999822141583
confidence_in_international_organizations|WVS_E,0.9999999947744791,NaN,NaN,NaN,0.9999999994807478,0.9999999999306122,0.9999999928345211,0.9999999897761107,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.9999999820763316,0.9999999977396022,0.9999999954070796,0.9999999932249986,0.9999999990460124,0.9999999999233621,0.9999999999778678,0.9999999868725671,NaN,0.9999999999694059,0.9999999970443743,0.999999982762008,0.9999999961388639,0.9999999873101357,NaN,NaN,0.9999999967146097,NaN,0.9999999979563504,0.9999999863412018,NaN,NaN,NaN,NaN,0.9999999932349974,0.999999973719904,0.9999999991993305,0.999999985517739,NaN,0.9999999995408664,NaN,NaN,0.999999998528131,0.9999999938088882,NaN,0.9999999896967579,0.9999999847636982,NaN,0.9999999953260695
crime_victimization|WVS_H,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
democratic_system_evaluation|WVS_E,0.9999999841914725,NaN,NaN,NaN,0.9999999962657518,0.9999999994285134,0.9999999867543337,0.9999999949745116,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,0.999999931357447,0.9999999999331729,0.999999990545443,0.9999999789570531,0.9999999920793561,0.9999999992699494,0.9999999936127485,0.9999999309180965,NaN,0.9999999896909321,0.9999999920614663,0.9999999904128172,0.9999999993911736,0.9999999492618638,NaN,NaN,0.9999999991445466,NaN,0.9999999975919778,0.999999972145186,NaN,NaN,NaN,NaN,0.9999999953617358,0.9999999667353843,0.9999999965737909,0.9999999723297481,NaN,0.9999999913888076,NaN,NaN,0.9999999999997321,0.9999999958029112,NaN,0.9999999824978036,0.9999999671217523,NaN,0.9999999866506581
democratic_values_importance|WVS_E,0.9999999922868068,NaN,NaN,NaN,0.999999998547663,0.9999999997817722,0.9999999971849834,0.9999999933019353,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,0.9999999818820788,0.9999999993420388,0.9999999940684534,0.9999999900169427,0.9999999972086221,0.9999999991897837,0.9999999983803062,0.9999999833029921,NaN,0.9999999976550293,0.9999999985527477,0.9999999890765534,0.9999999997246849,0.9999999834520036,NaN,NaN,0.9999999997323632,NaN,0.9999999990420071,0.9999999929462964,NaN,NaN,NaN,NaN,0.9999999940032042,0.9999999832470076,0.9999999988605632,0.9999999933782293,NaN,0.9999999971153981,NaN,NaN,0.9999999998981894,0.9999999968276915,NaN,0.9999999959966978,0.999999995278525,NaN,0.9999999951698564
economic_ideology|WVS_E,0.9999999828842725,NaN,NaN,NaN,0.9999999958083442,0.9999999994661071,0.9999999855200831,0.9999999779758948,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.999999964630178,0.9999999967562235,0.9999999919632615,0.9999999761491314,0.9999999917889977,0.9999999997755251,0.9999999932316824,0.9999999534061181,NaN,0.9999999868124817,0.9999999998331701,0.9999999739845584,0.9999999976736411,0.9999999602077155,NaN,NaN,0.9999999992903383,NaN,0.9999999977810818,0.9999999816760147,NaN,NaN,NaN,NaN,0.9999999915629683,0.9999999703729694,0.9999999989175544,0.9999999824962132,NaN,0.9999999923866107,NaN,NaN,0.999999997558923,0.9999999935040983,NaN,0.9999999903068943,0.9999999795718341,NaN,0.9999999862357482
electoral_integrity|WVS_E,0.9999999735176697,NaN,NaN,NaN,0.9999999928728086,0.999999999132048,0.9999999820411214,0.9999999435713066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.9999999259458258,0.9999999999844703,0.999999987884287,0.9999999494776913,0.9999999845110722,0.9999999773695087,0.9999999878224284,0.9999998713458248,NaN,0.9999999696855527,0.9999999918344811,0.9999999774699181,0.9999999945357828,0.9999999018123968,NaN,NaN,0.9999999992923989,NaN,0.9999999963512655,0.9999999796446187,NaN,NaN,NaN,NaN,0.9999999898400516,0.9999999691302672,0.9999999989354019,0.9999999827596876,NaN,0.9999999884056353,NaN,NaN,0.999999999998051,0.9999999831541007,NaN,0.9999999695523075,0.9999999643551611,NaN,0.9999999721966492
existential_threat_worry|WVS_H,NaN,0.9999999289832189,0.9999999275802556,NaN,0.9999999936796072,0.999999992373954,0.9999999998729707,0.9999999999351059,0.9999999925401707,0.9999999654632731,0.9999999820763316,NaN,0.999999931357447,0.9999999818820788,0.999999964630178,0.9999999259458258,0.0,0.9999999970834716,0.9999999855645088,NaN,0.9999999942766525,0.9999999891439237,0.9999999938851363,NaN,NaN,0.9999999905670425,0.9999999890321412,0.9999999930063349,0.9999999940160885,NaN,0.9999999505786968,0.9999999927211084,0.9999999957730142,NaN,0.999999994181905,0.9999999962600137,0.9999999859249022,0.9999999640830327,NaN,NaN,0.999999999357156,0.999999994605728,0.9999999977917255,0.9999999966120071,0.9999999660089794,0.9999999882896209,NaN,0.9999999676772049,NaN,0.9999999999999986,NaN,0.9999999999999969,0.9999999998791893,0.9999999932973869,0.9999999886005924
