construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.998687030179087,0.9998088225375908,NaN,0.9999999768406805,0.9999991264860242,0.9999976210859118,0.9975142988552436,0.9989300948600398,0.9986619088809164,0.9992146290860721,NaN,0.9995027031212005,0.9993734197128047,0.9989681899436873,0.9999797438366566,NaN,0.9999982731265402,0.9999999999957333,NaN,0.9999999999413919,0.9999938169816704,0.9990951833927845,NaN,0.9986355004008276,0.999992960240069,0.9999992864446796,0.9973898852234089,0.9999999934660243,NaN,0.998636741707585,0.9999980615821757,0.9999992106288033,0.9993899320594172,0.9999999999361955,0.9993897912849722,0.9985652133286225,0.9996521541769432,NaN,0.9973235335656326,0.9975746135669065,0.9973225092254039,0.9973253694289387,0.9999985292745878,0.999113305044849,0.9988672266307876,0.9999999999072714,0.9989145585277683,NaN,0.999998707443945,NaN,NaN,NaN,NaN,0.9999923638827865
authoritarian_governance_tolerance|WVS_E,0.998687030179087,0.0,NaN,0.9983945090867569,0.9983455078865622,0.997683785710784,0.9987907942723132,0.9941943464217821,NaN,NaN,NaN,0.9972680032454802,NaN,NaN,NaN,NaN,0.9989542732878488,0.9980719435775839,0.9961363840290747,0.9977554820740078,0.9966200227799358,0.9968287259271951,0.9991252871230666,0.9991554261826056,NaN,0.9942801751697213,0.9948488692248995,0.9894397442024092,0.9970327777198116,0.9982160580339965,NaN,NaN,0.9978938836501299,NaN,0.9968999661938469,0.997777257393383,NaN,NaN,0.997672440056363,0.9882137493969511,0.9940177575123891,0.987757276857039,0.9883573940235276,0.994653372644562,NaN,0.9897857276886467,0.9949202588499532,NaN,0.9982253140252985,0.9994703173024722,NaN,NaN,NaN,NaN,0.996588433786873
autocracy_support|WVS_E,0.9998088225375908,NaN,0.0,0.9999689207625234,0.9999957605360085,0.999991123555464,0.9999908985813342,0.9965623198256635,NaN,NaN,NaN,0.9983804145245389,NaN,NaN,NaN,NaN,0.999984495245935,0.9999917464451342,0.9999979739365908,0.9999855058599132,0.9999999960869418,0.99934949048295,0.9992755205176316,0.9992881768083812,NaN,0.9999681547646527,0.9999958021883347,0.9956456191738834,0.9999972994627385,0.9985144391057054,NaN,NaN,0.9999926365063366,NaN,0.9999962510093481,0.9988254223470502,NaN,NaN,0.9999591258328996,0.9956158177079386,0.9964869089812985,0.9957247843553295,0.9961223772687644,0.9999906710388599,NaN,0.9967562509446805,0.999994350333526,NaN,0.9999875607636024,0.9999910274997709,NaN,NaN,NaN,NaN,0.9999748328283142
basic_needs_deprivation|WVS_H,NaN,0.9983945090867569,0.9999689207625234,0.0,0.9994928341207868,0.9999733615405286,0.9999821435752431,0.9963948154172075,0.9992947940182668,0.9983058167959324,0.9991116984650567,NaN,0.9998214426466744,0.9983834921200156,0.9989371950582506,0.999975151097833,NaN,0.9994861148646832,0.9999532273801021,NaN,0.9999722279042957,0.9999620465658859,0.9989129899269006,NaN,0.9950404156280781,0.9999556379762845,0.9997383783272835,0.9960339708649774,0.9999844762054101,NaN,0.9979192443242579,0.9999752517221315,0.9999742165900481,0.9993136990500536,0.9999025948838863,0.9994573038480975,0.9983305125106281,0.9992172125112114,NaN,0.9957673564864317,0.9963166789612443,0.9958844777770655,0.9956986591495574,0.9999668414305862,0.9991584179088657,0.9988326882235823,0.9999892602450733,0.9989675872708687,NaN,0.9997457143108305,NaN,NaN,NaN,NaN,0.999965045038839
child_qualities_autonomy_self_expression|WVS_A,0.9999999768406805,0.9983455078865622,0.9999957605360085,0.9994928341207868,0.0,NaN,NaN,0.997590181654189,0.9998729731337099,0.9972649913541679,0.9999983259193846,0.9999991463350897,0.9999277679683519,0.9999999991490807,0.9996126331622346,0.999992395831523,0.9999996747717834,0.9999999999999952,1.0,0.9999999998709445,0.9999999999998932,0.9999999742409641,NaN,0.9999999988923403,0.9959163610855896,0.9999999999974712,0.9999999999066247,0.9968802085784101,0.9999999999999999,0.9999989006333874,0.9965621405094447,0.9999999380266825,1.0,0.999999998938587,0.9999999999999931,0.9999995468054624,0.9958951062353277,0.9999868571829501,0.9993201772203335,0.9960867137422044,0.9983761502469146,0.9961877017328592,0.9972718303088085,0.9999999999912808,0.9999405194170361,0.999632153403348,NaN,0.9998186007276927,0.9999999999878325,NaN,NaN,NaN,NaN,NaN,0.999999999999802
child_qualities_conformity_tradition|WVS_A,0.9999991264860242,0.997683785710784,0.999991123555464,0.9999733615405286,NaN,0.0,NaN,0.9978146674990687,0.9999809687433806,0.9972935284729735,0.9999980806710793,0.9999959159481032,0.9999982226274162,0.999999999161989,0.9991428309499963,0.9999903506547603,0.9999999882395458,0.9999999999944841,0.9999999999999968,0.9999999999999816,0.999999998061424,0.9999986496047192,NaN,0.9999999988639735,0.9956088610969359,0.9999999999881404,0.9999999998599716,0.9980587919387743,0.9999999999881103,0.9999943941225709,0.995581215355997,0.9999974107444359,0.9999999999999999,0.9999989508437308,0.9999999999994462,0.9999993372717855,0.9957088241266981,0.9999817798522255,0.9992892443785486,0.9974126387916338,0.9989631228343301,0.9974813067889154,0.9998912535223191,0.9999999999949072,0.9999703453503791,0.9999999316891464,NaN,0.9992074721183241,0.9999999834920786,NaN,NaN,NaN,NaN,NaN,0.9999999999999863
child_qualities_prosocial_diligence|WVS_A,0.9999976210859118,0.9987907942723132,0.9999908985813342,0.9999821435752431,NaN,NaN,0.0,0.9980362118523636,0.9999832630558123,0.998732493429847,0.9999975991491236,0.9999953231030477,0.9999950046987753,0.999999309677478,0.999326361687676,0.9999901462287523,0.9999999999935709,0.9999998537296412,0.9999999769057623,0.9999999993653492,0.999999502010178,0.9999962826701158,NaN,0.9999992755749306,0.9962958276208994,0.9999999999837834,0.9999999995186389,0.9980530958301749,0.9999999978766005,0.9999933798181775,0.9985677535750402,0.9999984931243273,0.999999999988527,0.9999954824709437,0.9999999999953153,0.9999972737375722,0.9984954434736741,0.9999781977168519,0.9999959244430774,0.9973497035631009,0.9984363391047159,0.9982523557215002,0.9979972741405712,0.9999999999895183,0.9999727396014697,0.9999927673328982,NaN,0.9994144006795803,0.9999999845361166,NaN,NaN,NaN,NaN,NaN,0.9999999956580814
civic_dishonesty_tolerance|WVS_F,0.9975142988552436,0.9941943464217821,0.9965623198256635,0.9963948154172075,0.997590181654189,0.9978146674990687,0.9980362118523636,0.0,0.997771279736363,0.9939639434564775,0.9988414151087107,0.9970197841062698,0.9969251395004946,0.9967830848325949,0.9962346864989882,0.9971045957622829,0.9970518321722524,0.9999911128770911,0.9978356854686409,0.9955853351960539,0.9993824790195861,0.9954882258760003,0.9996086756125175,0.9974528454290148,0.9940145651654095,0.9960513972750977,0.9963397412736198,NaN,0.9982261792939541,0.9976784240632838,0.9930294084883102,0.996727855770651,0.9985306019910272,0.9984750160593286,0.9965453302220058,0.9978457608150062,0.9908091191038946,0.9935514777245307,0.996506464899816,NaN,NaN,NaN,NaN,0.9963208289680773,0.9944813891160567,NaN,0.9968070415320545,0.9947759156314796,0.9999999878628341,0.9978967467457432,NaN,NaN,NaN,NaN,0.9973651244929458
confidence_in_civil_society_organizations|WVS_E,0.9989300948600398,NaN,NaN,0.9992947940182668,0.9998729731337099,0.9999809687433806,0.9999832630558123,0.997771279736363,0.0,NaN,NaN,0.9981330042360288,NaN,NaN,NaN,NaN,0.9993747070454432,0.9996013350675439,0.9991956864472774,0.9992365318026857,0.9989207850941951,0.9990273744717889,0.9993455692234265,0.9990191070080494,NaN,0.9986355739744995,0.9993833765839264,0.9969993241872014,0.9994707757219796,0.9982490085895268,NaN,NaN,0.9999834716020246,NaN,0.9999665601243085,0.9992419071356926,NaN,NaN,0.9983069780606255,0.9970723824936819,0.9975971427151786,0.9972970656143482,0.9986317480940833,0.9993099214695759,NaN,0.9968784565808401,0.9992541925998345,NaN,0.9999704594819016,0.9999826079216887,NaN,NaN,NaN,NaN,0.9999563435443872
confidence_in_domestic_institutions|WVS_E,0.9986619088809164,NaN,NaN,0.9983058167959324,0.9972649913541679,0.9972935284729735,0.998732493429847,0.9939639434564775,NaN,0.0,NaN,0.9973276135320164,NaN,NaN,NaN,NaN,0.998875037220826,0.9985270093732336,0.9961663676402799,0.9982555311485141,0.9967247713733587,0.9964999514700204,0.9989972885511936,0.9990971359484394,NaN,0.9952455526161349,0.9947518104644418,0.9902322150365032,0.9969824718394846,0.9981837569495775,NaN,NaN,0.9986336794174562,NaN,0.9967885588319437,0.9978670868412579,NaN,NaN,0.996830493875825,0.9875432806803508,0.9923149929849275,0.9879888812257648,0.9868600196361473,0.9946641360868791,NaN,0.9882430685504296,0.9959960367878888,NaN,0.9988061579748376,0.9991640730772686,NaN,NaN,NaN,NaN,0.9965946053039546
