construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,NaN,0.9999999981574892,NaN,0.9999999999998513,0.9999999999999845,0.999999999934222,0.9999999990998881,0.9999999982783543,0.9999999980613383,0.9999999985745165,NaN,0.9999999984041583,0.999999999231189,0.999999999832748,0.9999999986715278,NaN,1.0,0.999999999999773,NaN,1.0,1.0,1.0,NaN,0.9999999995891018,0.9999999999998562,1.0,NaN,1.0,NaN,NaN,0.9999999982417435,1.0,NaN,0.9999999999997731,0.999999999999853,0.9999999985522403,0.9999999990777072,NaN,0.9999999996099106,0.9999999991861804,NaN,0.9999999991203812,0.9999999999019781,0.9999999991675996,0.999999999999591,1.0,0.9999999999995423,NaN,0.9999999999998298,NaN,NaN,NaN,NaN,1.0
authoritarian_governance_tolerance|WVS_E,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
autocracy_support|WVS_E,0.9999999981574892,NaN,0.0,NaN,0.9999999999588419,0.9999999999654311,0.999999999641473,0.9999999471479007,NaN,NaN,NaN,0.9999999998433554,NaN,NaN,NaN,NaN,0.9999999978103624,0.9999999892302353,0.9999999999615078,0.9999999974907555,0.9999999919326127,0.9999999873209537,0.9999999999975456,0.9999999946740672,NaN,0.9999999999495481,0.9999999955241782,0.999999957810536,0.9999999998734855,0.999999999968108,NaN,NaN,0.9999999926084652,NaN,0.9999999996189328,0.9999999998988057,NaN,NaN,0.9999999999593819,0.9999999829561262,0.9999999426406524,NaN,0.9999999219416672,0.9999999964224555,NaN,0.9999999996994849,0.9999999999359831,NaN,0.9999999899917627,0.9999999951737104,NaN,NaN,NaN,NaN,0.9999999978331491
basic_needs_deprivation|WVS_H,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
child_qualities_autonomy_self_expression|WVS_A,0.9999999999998513,NaN,0.9999999999588419,NaN,0.0,NaN,NaN,0.9999999955796123,0.9999999999763062,0.9999999999627014,0.9999999999776178,0.9999999999999994,0.9999999999999314,0.9999999999894427,0.9999999999854049,0.9999999999720413,0.999999999999538,0.9999999999997515,0.9999999999999997,0.999999999994553,0.999999999999973,0.9999999999999809,NaN,0.9999999999989527,0.9999999983675081,1.0,0.9999999999998985,0.9999999969222021,0.9999999999826007,0.9999999999999999,0.9999999999471852,0.9999999999999996,0.9999999997165017,NaN,0.9999999999977407,1.0,1.0,0.9999999999830104,1.0,0.9999999999988262,0.9999999999526012,NaN,0.9999999953995813,0.9999999999999695,0.9999999992166416,0.9999999999999316,NaN,0.9999999999663611,0.9999999999999845,NaN,NaN,NaN,NaN,NaN,0.9999999999999992
child_qualities_conformity_tradition|WVS_A,0.9999999999999845,NaN,0.9999999999654311,NaN,NaN,0.0,NaN,0.999999994258361,0.9999999999756778,0.9999999998956417,0.9999999999826662,0.999999999999999,0.9999999999998792,0.9999999999944355,0.9999999999857855,0.9999999999718184,0.9999999999943707,0.9999999999998958,1.0,1.0,1.0,1.0,NaN,0.999999999999133,0.999999998091724,0.9999999999999999,0.9999999999999998,0.9999999957637852,1.0,1.0,0.9999999999600112,0.9999999999999881,0.999999999527508,NaN,0.9999999999999446,1.0,1.0,0.9999999999840636,1.0,0.9999999999982045,0.9999999962031534,NaN,0.9999999933943626,0.9999999994918541,0.9999999991305834,0.9999999999999994,NaN,0.9999999999999057,0.9999999999999999,NaN,NaN,NaN,NaN,NaN,1.0
child_qualities_prosocial_diligence|WVS_A,0.999999999934222,NaN,0.999999999641473,NaN,NaN,NaN,0.0,0.9999999987398676,0.9999999997095146,0.999999999657575,0.9999999997833912,0.9999999985670458,0.9999999995620219,0.9999999998906509,0.9999999999426459,0.9999999997576657,0.9999999990060391,0.9999999992410402,0.9999999999991488,0.99999999888117,0.9999999993714972,1.0,NaN,0.999999999852426,0.999999999913711,0.9999999999995225,1.0,0.999999998899611,1.0,0.9999999987140572,0.9999999996247977,0.9999999995024939,1.0,NaN,0.9999999999993151,0.9999999999994889,0.9999999997649373,0.9999999995673695,0.9999999999989999,0.999999999295607,0.999999998747336,NaN,0.9999999986239473,0.9999999999999082,0.999999999803572,0.9999999999952397,NaN,0.9999999999983468,0.9999999983986531,NaN,NaN,NaN,NaN,NaN,1.0
civic_dishonesty_tolerance|WVS_F,0.9999999990998881,NaN,0.9999999471479007,NaN,0.9999999955796123,0.999999994258361,0.9999999987398676,0.0,0.9999999729271205,0.9999999672365794,0.9999999861998087,0.9999999917207889,0.9999999402092512,0.999999991717444,0.9999999960410718,0.9999999803370485,0.9999999842076487,0.9999999928109471,0.9999999998568082,0.9999999863035677,0.999999992654178,0.999999992612217,0.9999999950993814,0.99999999961831,0.9999999930748811,0.9999999966605818,0.9999999968220983,NaN,0.9999999975208366,0.9999999926348496,0.99999995738622,0.9999999629107893,0.9999999966755219,NaN,0.9999999925703329,0.9999999929786877,0.9999999820342726,0.9999999865150179,0.9999999999973238,NaN,NaN,NaN,NaN,0.9999999946602948,0.9999999892040847,NaN,0.9999999928227234,0.9999999999936872,0.9999999881930371,0.9999999933519494,NaN,NaN,NaN,NaN,0.9999999917554997
confidence_in_civil_society_organizations|WVS_E,0.9999999982783543,NaN,NaN,NaN,0.9999999999763062,0.9999999999756778,0.9999999997095146,0.9999999729271205,0.0,NaN,NaN,0.9999999963460748,NaN,NaN,NaN,NaN,0.9999999973593282,0.9999999943289553,0.9999999999173269,0.9999999976933274,0.9999999948375067,0.99999999407003,0.9999999996706074,0.9999999956233652,NaN,0.9999999982782929,0.9999999961612492,0.9999999755344864,0.9999999998762131,0.9999999999829033,NaN,NaN,0.9999999944189117,NaN,0.9999999970813048,0.9999999980478123,NaN,NaN,0.9999999999748721,0.9999999891635349,0.9999999742193355,NaN,0.9999999698178066,0.9999999967410258,NaN,0.9999998293088043,0.9999999999719512,NaN,0.9999999945512233,0.9999999952629169,NaN,NaN,NaN,NaN,0.9999999946310179
confidence_in_domestic_institutions|WVS_E,0.9999999980613383,NaN,NaN,NaN,0.9999999999627014,0.9999999998956417,0.999999999657575,0.9999999672365794,NaN,0.0,NaN,0.9999999937362221,NaN,NaN,NaN,NaN,0.9999999975949486,0.9999999914266078,0.9999999972518824,0.9999999972601556,0.9999999920035397,0.999999989729741,0.9999999932607603,0.9999999946036201,NaN,0.9999999938952587,0.9999999945654571,0.9999999724509198,0.9999999963657634,0.9999999999545623,NaN,NaN,0.9999999930023605,NaN,0.9999999950424739,0.999999994454669,NaN,NaN,0.9999999999786293,0.9999999854379377,0.9999999614280424,NaN,0.999999950327681,0.9999999962971279,NaN,0.9999999998488944,0.9999999996961961,NaN,0.9999999910373685,0.9999999944414774,NaN,NaN,NaN,NaN,0.9999999907123764
