construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.9950796782742759,0.9971719818302385,NaN,0.9986393762535071,0.9999999999995752,0.9999210492459497,0.9940368145467177,0.9998730393216491,0.9914670512993125,0.9961638077699458,NaN,0.9942312569612594,0.9888772253739347,0.9913174616430191,0.99138198122973,NaN,0.9959902219352819,0.999425075362816,NaN,0.9988750170443226,0.9998154225304928,0.9966930673852911,NaN,0.9877431372996656,0.9968656587752811,0.9994698440419854,NaN,0.9999699627728392,NaN,NaN,0.987112751559132,0.9969155341256619,NaN,0.9985357701069087,0.9971111451106915,0.9982386226249946,0.9989621223457988,NaN,0.9985423731664261,NaN,0.9963924878935209,0.9974549879316957,0.999757704735224,0.9963735720779064,NaN,0.9982184388889335,0.986474952286162,NaN,0.9963292957438815,NaN,NaN,NaN,0.9861591013999331,0.9999999998210569
authoritarian_governance_tolerance|WVS_E,0.9950796782742759,0.0,NaN,NaN,0.999999999999976,0.9974063986015331,0.9972479573631323,0.9999999999999726,NaN,NaN,NaN,0.9999999999999539,NaN,NaN,NaN,NaN,NaN,0.9999999999999746,0.9982012234069474,0.9971194513869505,0.9963748240414,0.9898568101421799,0.9999999736554291,0.9958795543792806,NaN,0.9999999999999496,0.9999999999999812,NaN,0.9995387129290055,0.9932580249497428,NaN,NaN,0.9999999999999808,NaN,0.999999999999975,0.9999999999999915,NaN,NaN,0.9944688475334181,0.9962152397734249,NaN,0.9993530229454894,0.9999999999970824,0.9961959752611231,NaN,NaN,0.9999999999999875,NaN,0.9987585258905434,0.9999999999999997,NaN,NaN,NaN,NaN,0.9999999999987327
autocracy_support|WVS_E,0.9971719818302385,NaN,0.0,NaN,0.9999999999999811,0.9979263754463243,0.9978133684143444,0.9999999999999754,NaN,NaN,NaN,0.9999999999999643,NaN,NaN,NaN,NaN,NaN,0.999999999999976,0.9984467652235651,0.9975735891535014,0.9978120494349548,0.9935274976400313,0.9999999840115069,0.9968810204565729,NaN,0.9999999999999695,0.9999999999999848,NaN,0.9995706183548277,0.9968657392213623,NaN,NaN,0.9999999999999875,NaN,0.9999999999999769,0.999999999999993,NaN,NaN,0.9972856048291183,0.9976917245902672,NaN,0.999695605709474,0.9999999999982525,0.9969095777613927,NaN,NaN,0.9999999999999905,NaN,0.9990400752857775,1.0,NaN,NaN,NaN,NaN,0.9999999999992248
basic_needs_deprivation|WVS_H,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
child_qualities_autonomy_self_expression|WVS_A,0.9986393762535071,0.999999999999976,0.9999999999999811,NaN,0.0,NaN,NaN,0.9963137679314393,0.9999999999999635,0.9967287838378563,0.9999999999445018,0.999999992998776,0.9969655547048416,0.9939514677266515,0.9973493826478188,0.9965060361915244,NaN,0.9968397649160005,0.999999999999992,0.999999999999991,0.9999999999999861,0.9997503651074288,NaN,0.9969014057907518,0.9933762590647509,0.9999999999999947,0.9983459367346063,NaN,1.0,0.9982297580868082,NaN,0.9924077204780979,1.0,NaN,0.9983641561224141,0.9999665089717649,0.9999999999999784,0.9999999999999996,0.999999999999998,0.9999999999999845,NaN,0.9999999999999817,0.9999999999999992,0.9999993595594742,0.9994233400030479,NaN,NaN,0.9906666903251928,0.9999999999999855,NaN,NaN,NaN,NaN,0.9921613198575091,0.999999986333886
child_qualities_conformity_tradition|WVS_A,0.9999999999995752,0.9974063986015331,0.9979263754463243,NaN,NaN,0.0,NaN,0.9950994525527774,0.9999999999996989,0.9945864732157566,0.9966458768036139,0.9999999999593879,0.9956215886798282,0.9899232296269433,0.9940778515817518,0.9944165604565925,NaN,0.996803256295511,0.9999999999999646,0.9999999999999998,0.9999999999999686,0.9999999999993033,NaN,0.9999981218139345,0.9916609013266345,0.9973450633619181,0.9979457131481321,NaN,0.9999999999999759,0.9999999999193817,NaN,0.9921492655858606,0.9983695838241806,NaN,0.9986382647618416,0.9976945353163862,0.9999171452754192,0.9997441108824816,0.999999999999887,0.9999999999819014,NaN,0.998100751879165,0.9986997633474756,0.9999999999999284,0.9972484339674221,NaN,NaN,0.9897721552533302,0.9999999999995116,NaN,NaN,NaN,NaN,0.990435088537896,0.9998602611909031
child_qualities_prosocial_diligence|WVS_A,0.9999210492459497,0.9972479573631323,0.9978133684143444,NaN,NaN,NaN,0.0,0.997829523137358,0.9999605503062975,0.9972990928810497,0.9972987984742738,0.999999999999985,0.998067985068466,0.9965432832187785,0.9969446480280948,0.9973199958857158,NaN,0.9989368067247795,0.9999999999999686,0.9999245093857919,0.9998133201569008,0.9999956731953671,NaN,0.9999166252384041,0.9969518411946187,0.9999999999997543,0.999999999999992,NaN,0.9999908607259762,0.9999139640657624,NaN,0.9996850248564377,0.9990620839659319,NaN,0.9999999999999896,0.9999999999999968,0.9985565038292485,0.9992379110968015,0.9998902689475837,0.9993747671519249,NaN,0.9999999999958442,0.9986697685022569,0.9999999999999999,0.9979533225263699,NaN,NaN,0.9968610075561882,0.9999999999999791,NaN,NaN,NaN,NaN,0.9960910132628601,0.9999999999996855
civic_dishonesty_tolerance|WVS_F,0.9940368145467177,0.9999999999999726,0.9999999999999754,NaN,0.9963137679314393,0.9950994525527774,0.997829523137358,0.0,0.9999999999999523,0.9999999999943932,0.9999999999999654,0.9999999999999967,0.9994416327252731,0.99722623591004,0.9999999999999754,0.999999999700954,NaN,0.9999999999997553,0.9981332745717443,0.999204923004617,0.9976889290781916,0.9978993209158038,0.9984432143485055,0.9912674459484508,0.9967284036092857,0.9948370880957428,0.9999967301345688,NaN,0.999947031033292,0.9925968887265513,NaN,0.9999999995156573,0.9981305740098974,NaN,0.9999999995307391,0.9975023710222624,0.9999999999999659,1.0,0.9944882164196113,NaN,NaN,NaN,NaN,0.9963686034667697,0.9999999999999818,NaN,0.9963102346481879,0.9925926965214393,0.9998343903258625,0.9999999999999853,NaN,NaN,NaN,0.9987235945964802,0.9969657915690372
confidence_in_civil_society_organizations|WVS_E,0.9998730393216491,NaN,NaN,NaN,0.9999999999999635,0.9999999999996989,0.9999605503062975,0.9999999999999523,0.0,NaN,NaN,0.9999999999999345,NaN,NaN,NaN,NaN,NaN,0.9999999999999524,0.9999999999999364,0.9998689975184418,0.9999999999998704,0.999939247052829,0.9999999999999772,0.9998608639663756,NaN,0.9999999999992334,0.9999999999999696,NaN,0.9999999999973307,0.9998602369815057,NaN,NaN,0.9999999999999839,NaN,0.9999999999999568,0.9999999999999869,NaN,NaN,0.9998880771994826,0.9999999999998878,NaN,0.9999999999999936,0.9999999999998147,0.9999999999999422,NaN,NaN,0.9999999999999776,NaN,0.9998784384449215,0.9999999999999833,NaN,NaN,NaN,NaN,0.9999999999987065
confidence_in_domestic_institutions|WVS_E,0.9914670512993125,NaN,NaN,NaN,0.9967287838378563,0.9945864732157566,0.9972990928810497,0.9999999999943932,NaN,0.0,NaN,0.9999999999999659,NaN,NaN,NaN,NaN,NaN,0.9999999999999816,0.9976680975485358,0.9975565452460016,0.9971317614143137,0.9919750865262047,0.9970333701385269,0.99060919205703,NaN,0.9942237357353687,0.9999880332145401,NaN,0.9995435369703675,0.9886878791577163,NaN,NaN,0.997682538419093,NaN,0.9999999999953655,0.9976958887943971,NaN,NaN,0.9925358740897856,0.9968078887886843,NaN,0.9946453012367835,0.9978134294441141,0.9941836095720009,NaN,NaN,0.9967695320385357,NaN,0.9991802619212489,0.9993303422879806,NaN,NaN,NaN,NaN,0.9976489682744863
