construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.9953519073508669,0.9973497834509194,NaN,0.9999999999991136,0.9999999998733073,0.9999999999967363,0.9999999999982537,0.9955640258610199,0.9999999966922083,0.9999947418831708,NaN,0.997353662502256,0.9999999987758679,0.9999810217107844,0.999999998845403,NaN,0.999999999796551,0.9999999996334922,NaN,0.9999999997940114,0.9999999999999291,1.0,NaN,0.9970516771296168,0.9999999998887875,0.999999999819223,0.999999999817192,0.999999999992889,NaN,0.9999999982958526,0.999999998481547,0.9999999996573302,NaN,0.9999999999797113,0.9999999998392909,0.9999999984685284,0.9996376190184121,NaN,1.0,0.9999999978586833,0.9999999999999999,0.9999999999955017,0.9999999994573526,0.9996450065608018,0.9999999999998564,0.9999999996166746,0.9999999999788722,NaN,0.9999999998981729,0.9999999997715673,0.9999999994887968,0.9999999996383907,1.0,0.9999999995860124
authoritarian_governance_tolerance|WVS_E,0.9953519073508669,0.0,NaN,0.9986337898668731,0.9971971840579607,0.9980270255427722,0.9979658305557646,0.9928822770314308,NaN,NaN,NaN,0.9998040388222436,NaN,NaN,NaN,NaN,0.9914290399772939,0.9957294056851208,0.9986761463312687,0.9988643565519421,0.9981742093479407,0.9999999971090514,0.9947348387746199,0.99716569595124,NaN,0.9990880561403676,0.9987094554815593,0.9999883700253107,0.9969527427908932,0.9999848597017981,NaN,NaN,0.9980618915665778,NaN,0.9953786903856006,0.9978306415408619,NaN,NaN,0.9974895735982231,0.9945940955788998,0.9958066710589691,0.9962921453134378,0.9987064858023269,0.9972621403151306,NaN,0.9981595108753996,0.9968282718075516,NaN,0.9949858016728889,0.9992477367798648,0.9958395049482484,0.9978251435388876,0.9986298301339337,NaN,0.9984536590489601
autocracy_support|WVS_E,0.9973497834509194,NaN,0.0,0.998584955552991,0.9998977486458042,0.9980735137556291,0.9983153158294935,0.992999836498675,NaN,NaN,NaN,0.999782057679243,NaN,NaN,NaN,NaN,0.9926033392759662,0.9971671828167264,0.9980422967153032,0.9987577179292815,0.9973712286006736,0.9999999969071212,0.9968497715766819,0.9963941782345463,NaN,0.9986243810027069,0.9985829133261954,0.9999877263986371,0.996844805152231,0.9999834519066487,NaN,NaN,0.9979798831582117,NaN,0.995114067596569,0.9977694782896933,NaN,NaN,0.997421219619716,0.9970108497780361,0.9980761209943271,0.9999997139255222,0.9987177889696157,0.9961365495967487,NaN,0.9987839156881008,0.9962194421148104,NaN,0.9999999353653366,0.9991327003130496,0.9966492969923099,0.9969420984041957,0.9983472785052709,NaN,0.9978225161116131
basic_needs_deprivation|WVS_H,NaN,0.9986337898668731,0.998584955552991,0.0,1.0,1.0,1.0,1.0,0.9986898341152661,0.998743599633152,0.9988267524774317,NaN,0.9987016039986094,0.9999999996200273,0.999167397676922,0.9999999996702674,NaN,1.0,0.9999999999996536,NaN,0.9999883938977223,1.0,1.0,NaN,0.9987763285238264,0.999999999984676,0.9999999991047863,0.9999999999299035,0.9989422426349309,NaN,0.9999999992925072,0.9999999992479738,0.9993196359654218,NaN,0.9986011758972062,0.9992497738063406,0.999999999287668,0.9990141868834944,NaN,1.0,1.0,1.0,1.0,0.9994614896386874,NaN,1.0,0.9999999999987079,0.9996169245541521,NaN,0.9999999685424131,1.0,0.999952114399606,0.999999999999917,1.0,0.999999999250263
child_qualities_autonomy_self_expression|WVS_A,0.9999999999991136,0.9971971840579607,0.9998977486458042,1.0,0.0,NaN,NaN,0.9999999993601603,0.997247269580759,0.9999999994990566,0.9999999994640741,1.0,0.9986276919906398,0.9999999999999994,0.9999999996788551,0.9999999998277506,0.9999999999340017,1.0,1.0,1.0,1.0,1.0,NaN,1.0,0.9982565087251922,1.0,1.0,1.0,0.9999999999999989,1.0,0.9999999997363007,0.9999999999935665,1.0,NaN,0.9999999999999994,1.0,0.9999999997782254,0.9999999941005523,1.0,0.999999999999402,1.0,1.0,1.0,1.0,0.9999999936623835,0.999999999999996,NaN,1.0,0.9999999996692831,NaN,1.0,NaN,NaN,1.0,1.0
child_qualities_conformity_tradition|WVS_A,0.9999999998733073,0.9980270255427722,0.9980735137556291,1.0,NaN,0.0,NaN,0.9999999999931679,0.9981063961046015,0.999144387664896,0.9989266342537111,1.0,0.9981656819504071,0.9999999997136421,0.9991935817526109,0.9999999997203568,0.9999999999944671,1.0,0.9999999999611069,1.0,1.0,1.0,NaN,0.9999999992464164,0.9982434933580808,1.0,0.9999999999999996,0.9999999999813552,0.9992992416224062,1.0,0.9999999995982249,0.9999999995921331,0.9999999997920805,NaN,0.9991301751224887,0.9995739803695712,0.9999999996579635,0.998951322188001,1.0,1.0,1.0,1.0,1.0,0.9999999999999905,0.9990143379397763,0.9999999999999996,NaN,0.9999999999907657,0.9999999998166897,NaN,0.9999999998833333,NaN,NaN,1.0,0.9999999999638494
child_qualities_prosocial_diligence|WVS_A,0.9999999999967363,0.9979658305557646,0.9983153158294935,1.0,NaN,NaN,0.0,1.0,0.9980164441016423,0.9991091685929787,0.99895872669673,1.0,0.9982793217460681,0.9999999999542848,0.9991537356233451,0.9999999998538904,0.9999999999994394,0.9999999982260542,1.0,1.0,1.0,1.0,NaN,1.0,0.9981926336805633,1.0,1.0,1.0,0.9999999999901261,1.0,0.9999999998170889,0.9999999998620723,1.0,NaN,0.9999999999961976,0.9999999999996954,0.9999999998338639,0.9989688568763412,0.9999998678004834,1.0,NaN,1.0,0.9999967195666821,1.0,0.999014597221469,0.9999999999999976,NaN,0.9998370156066353,0.999999999810647,NaN,0.9999999999999991,NaN,NaN,1.0,1.0
civic_dishonesty_tolerance|WVS_F,0.9999999999982537,0.9928822770314308,0.992999836498675,1.0,0.9999999993601603,0.9999999999931679,1.0,0.0,0.9933685196032418,0.9975317216346477,0.9976639698313654,1.0,0.9947896519082163,1.0,0.9986735312388809,0.9999999999996756,0.9999999999999203,0.9999926828434001,1.0,1.0,1.0,1.0,1.0,1.0,0.9951896142026995,1.0,1.0,NaN,1.0,1.0,0.9999999999963525,0.9999999999999988,1.0,NaN,1.0,1.0,0.9999999999995121,0.9980978554336521,0.999999999999958,NaN,NaN,NaN,NaN,1.0,0.9982877242427547,NaN,1.0,0.9999999995290627,0.9999999998588676,1.0,NaN,1.0,1.0,0.9999999999999999,1.0
confidence_in_civil_society_organizations|WVS_E,0.9955640258610199,NaN,NaN,0.9986898341152661,0.997247269580759,0.9981063961046015,0.9980164441016423,0.9933685196032418,0.0,NaN,NaN,0.9998163995485376,NaN,NaN,NaN,NaN,0.9928370686963051,0.9959371763336048,0.9987664404120618,0.9989069102713038,0.9982601289751716,0.999999997610102,0.9950148028013133,0.9973212964720211,NaN,0.999125296617708,0.998759007876858,0.9999886402409177,0.9970738190225061,0.9999854201771624,NaN,NaN,0.9981370986333715,NaN,0.9956548249924749,0.9978999784800421,NaN,NaN,0.9976205995245369,0.9949257001714302,0.9959882772303044,0.9964454391259225,0.9987414143488448,0.9974316620556666,NaN,0.9981715855797689,0.9969922604859824,NaN,0.9955014273615551,0.9992635798968958,0.9960650223192545,0.9979453116095037,0.9987012743441815,NaN,0.9985650263381035
confidence_in_domestic_institutions|WVS_E,0.9999999966922083,NaN,NaN,0.998743599633152,0.9999999994990566,0.999144387664896,0.9991091685929787,0.9975317216346477,NaN,0.0,NaN,0.9997673220703809,NaN,NaN,NaN,NaN,0.9999994293387564,0.9999969338920035,0.9980968996620274,0.9988463117032277,0.9970961130412571,0.9999999996843969,0.9999999984252381,0.9960951252799137,NaN,0.998346326314049,0.9982112352799676,0.9999882538923651,0.9971465450323025,0.9999845987078161,NaN,NaN,0.9981287381366651,NaN,0.995777777169409,0.9979353763960976,NaN,NaN,0.9986216076674278,0.9999999992655263,0.9999999994015624,0.9999999999954928,0.99933364866927,0.9961727193261128,NaN,0.9996247116520526,0.9977238362687662,NaN,0.9999999961550423,0.9991043793673807,0.9985435640435552,0.9964282040033338,0.9978919098984307,NaN,0.9977084117024164
