construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.9999999999990841,0.9999999999986001,NaN,0.9999999999999973,0.9999999999999998,0.9999999999999991,0.999999999999998,0.9999999999990202,0.999999999998453,1.0,NaN,0.9999999999977344,1.0,0.9999999999980375,0.9999999999995742,NaN,1.0,NaN,NaN,0.9999999999997273,0.9999999999996039,0.9999999999999983,NaN,0.9999999999981349,NaN,NaN,0.9999999999999998,0.9999999999999967,NaN,0.9999999999960634,0.9999999999999851,0.9999999999999979,NaN,0.999999999999996,0.9999999999999974,0.9999999999969243,1.0,NaN,0.9999999999999968,0.9999999999998905,0.9999999999999986,0.9999999999999984,0.9999999999999977,0.9999999999981019,0.9999999999999973,0.9999999999991077,0.9999999999990377,NaN,0.9999999999999942,0.9999999999999999,0.9999999999990008,0.9999999999999961,NaN,0.9999999999999994
authoritarian_governance_tolerance|WVS_E,0.9999999999990841,0.0,NaN,0.9999999999998227,0.9999999999995265,0.9999999999997353,0.9999999999996805,0.9999999999994965,NaN,NaN,NaN,0.9999999999999982,NaN,NaN,NaN,NaN,0.9999999999988284,0.9999999999994122,NaN,0.9999999999999996,0.9999999999997067,0.9999999999994408,0.9999999999996786,0.9999999999993128,NaN,NaN,NaN,0.9999999999987895,0.9999999999995918,0.9999999999989018,NaN,NaN,0.9999999999993022,NaN,0.9999999999999672,0.9999999999997313,NaN,NaN,0.9999999999996609,0.9999999999999446,0.9999999999996853,0.999999999999057,0.9999999999991436,0.9999999999993855,NaN,NaN,0.9999999999969144,NaN,0.9999999999999242,0.9999999999983422,0.9999999999995687,0.9999999999968586,0.9999999999999992,NaN,0.9999999999998973
autocracy_support|WVS_E,0.9999999999986001,NaN,0.0,0.9999999999997864,0.9999999999992786,0.9999999999998135,0.9999999999997706,0.9999999999991952,NaN,NaN,NaN,0.9999999999999944,NaN,NaN,NaN,NaN,0.999999999999017,0.9999999999990907,NaN,0.9999999999999959,0.9999999999998641,0.9999999999989498,0.9999999999993725,0.9999999999999976,NaN,NaN,NaN,0.9999999999983444,0.9999999999995152,0.9999999999999954,NaN,NaN,0.9999999999994972,NaN,0.9999999999999949,0.9999999999999967,NaN,NaN,0.9999999999999948,0.9999999999999957,0.9999999999998619,0.9999999999989329,0.9999999999989586,0.9999999999999968,NaN,0.9999999999992362,0.9999999999960192,NaN,0.9999999999998764,0.9999999999971931,0.9999999999997066,0.9999999999955896,0.9999999999999943,NaN,0.9999999999998266
basic_needs_deprivation|WVS_H,NaN,0.9999999999998227,0.9999999999997864,0.0,0.9999999999999347,1.0,0.9999999999999997,0.9999999999999216,0.9999999999996668,0.9999999999996938,0.9999999999999999,NaN,0.9999999999996292,0.9999999999999998,0.9999999999996441,0.9999999999999079,NaN,1.0,NaN,NaN,0.9999999999999994,1.0,0.9999999999999984,NaN,0.9999999999997068,NaN,NaN,0.9999999999995548,0.999999999999999,NaN,0.9999999999994643,0.9999999999999926,0.9999999999999996,NaN,0.9999999999999991,0.9999999999999993,0.999999999999478,0.9999999999999999,NaN,0.9999999999999996,0.9999999999999999,0.9999999999996152,0.9999999999999981,0.9999999999999994,0.9999999999997089,0.9999999999999996,0.999999999998752,0.9999999999998227,NaN,0.9999999999990639,0.9999999999999896,0.9999999999986596,1.0,NaN,0.9999999999999997
child_qualities_autonomy_self_expression|WVS_A,0.9999999999999973,0.9999999999995265,0.9999999999992786,0.9999999999999347,0.0,NaN,NaN,0.9999999999999998,0.9999999999994698,0.9999999999992631,0.9999999999999,1.0,0.9999999999990589,0.9999999999998489,0.999999999999176,0.999999999999746,0.999999999999999,0.9999999999999991,NaN,0.9999999999999999,0.999999999999952,1.0,NaN,0.9999999999999988,0.9999999999992484,NaN,NaN,0.9999999999999997,1.0,1.0,0.9999999999985798,0.9999999999999858,0.9999999999999989,NaN,1.0,0.9999999999999989,0.9999999999988323,0.9999999999999151,1.0,1.0,0.9999999999999987,0.9999999999999991,0.9999999999999996,0.9999999999999991,0.9999999999991405,1.0,NaN,0.9999999999994711,0.999999999999739,NaN,0.999999999999999,NaN,NaN,NaN,0.9999999999998035
child_qualities_conformity_tradition|WVS_A,0.9999999999999998,0.9999999999997353,0.9999999999998135,1.0,NaN,0.0,NaN,0.9999999999999994,0.9999999999996885,0.9999999999996401,0.9999999999999551,0.9999999999999997,0.9999999999997297,0.9999999999999557,0.9999999999996713,0.9999999999998753,1.0,1.0,NaN,1.0,0.999999999999996,1.0,NaN,1.0,0.9999999999996877,NaN,NaN,0.9999999999999999,0.9999999999999998,1.0,0.9999999999996209,0.9999999999999903,0.9999999999999998,NaN,0.9999999999999996,0.9999999999999998,0.9999999999996116,0.9999999999999731,0.9999999999999999,1.0,1.0,0.9999999999999992,0.9999999999999988,0.9999999999999999,0.9999999999997815,1.0,NaN,0.9999999999997666,0.9999999999999506,NaN,0.9999999999999988,NaN,NaN,NaN,0.9999999999999677
child_qualities_prosocial_diligence|WVS_A,0.9999999999999991,0.9999999999996805,0.9999999999997706,0.9999999999999997,NaN,NaN,0.0,0.9999999999999997,0.9999999999997559,0.9999999999996163,0.9999999999999575,0.9999999999999998,0.9999999999996692,0.9999999999999446,0.9999999999996017,0.9999999999998423,1.0,NaN,NaN,1.0,0.999999999999998,1.0,NaN,1.0,0.9999999999996281,NaN,NaN,0.9999999999999997,0.9999999999999999,1.0,0.9999999999995499,0.9999999999999916,0.9999999999999999,NaN,0.9999999999999998,0.9999999999999999,0.9999999999995376,0.9999999999999661,0.9999999999999999,1.0,1.0,0.9999999999999994,0.9999999999999992,0.9999999999999999,0.9999999999997318,1.0,NaN,0.9999999999997186,0.9999999999999297,NaN,0.999999999999999,NaN,NaN,NaN,0.9999999999999508
civic_dishonesty_tolerance|WVS_F,0.999999999999998,0.9999999999994965,0.9999999999991952,0.9999999999999216,0.9999999999999998,0.9999999999999994,0.9999999999999997,0.0,0.9999999999994351,0.9999999999991702,1.0,1.0,0.9999999999988909,0.9999999999999436,0.99999999999905,0.9999999999997463,0.9999999999999991,0.9999999999999992,NaN,1.0,0.999999999999886,1.0,0.9999999999999987,0.9999999999999988,0.9999999999991489,NaN,NaN,NaN,0.9999999999999997,0.9999999999999997,0.9999999999981971,0.9999999999999863,0.999999999999999,NaN,1.0,0.9999999999999988,0.999999999998565,1.0,1.0,NaN,NaN,NaN,NaN,0.999999999999999,0.9999999999990032,NaN,0.9999999999994162,0.999999999999438,0.999999999999799,0.9999999999996667,NaN,0.9999999999993551,1.0,NaN,0.9999999999998838
confidence_in_civil_society_organizations|WVS_E,0.9999999999990202,NaN,NaN,0.9999999999996668,0.9999999999994698,0.9999999999996885,0.9999999999997559,0.9999999999994351,0.0,NaN,NaN,0.9999999999999982,NaN,NaN,NaN,NaN,0.9999999999989027,0.9999999999993694,NaN,1.0,0.9999999999998382,0.9999999999994077,0.999999999999416,0.9999999999999981,NaN,NaN,NaN,0.9999999999987246,0.9999999999995062,0.999999999999998,NaN,NaN,0.9999999999994281,NaN,0.9999999999999983,0.9999999999999988,NaN,NaN,0.9999999999999984,0.9999999999999989,0.9999999999996453,0.9999999999989201,0.9999999999991436,0.9999999999999913,NaN,0.999999999998986,0.999999999996466,NaN,0.9999999999999123,0.9999999999973805,0.9999999999996776,0.9999999999963884,0.9999999999999999,NaN,0.9999999999998845
confidence_in_domestic_institutions|WVS_E,0.999999999998453,NaN,NaN,0.9999999999996938,0.9999999999992631,0.9999999999996401,0.9999999999996163,0.9999999999991702,NaN,0.0,NaN,0.999999999999997,NaN,NaN,NaN,NaN,0.9999999999984263,0.9999999999989982,NaN,0.9999999999999992,0.9999999999995592,0.9999999999988018,0.9999999999994008,0.9999999999991713,NaN,NaN,NaN,0.9999999999982642,0.9999999999994463,0.9999999999989262,NaN,NaN,0.9999999999991576,NaN,0.999999999999992,0.9999999999999324,NaN,NaN,0.9999999999999362,0.9999999999999911,0.9999999999995521,0.9999999999988497,NaN,0.9999999999992285,NaN,0.9999999999984792,0.9999999999955294,NaN,0.9999999999998683,0.999999999997211,0.9999999999995214,0.999999999995418,0.9999999999999977,NaN,0.9999999999998208
