construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,NaN,0.9999977456139109,NaN,0.9999998779932233,0.999999999481867,0.999958379113789,0.9999191360708716,0.9977587941763185,0.9999958509070781,0.9977767977177328,NaN,0.9999971235943089,0.9981650962064081,0.9981704535416827,0.9999979066626055,NaN,0.9989653815668222,0.9999997614747642,NaN,0.9976750233661215,0.9999991887838477,0.9999541877831148,NaN,0.9999961871457872,0.99999999999964,0.9981810337522683,0.9998734630726158,0.9999979622512447,NaN,0.9975065888435353,0.9999999992033974,0.9999976238197766,NaN,0.9999961187607798,0.9999958277860812,0.9976892508657069,0.9985035124117557,NaN,0.9999373460509685,0.9999830896304791,0.9999627458845243,0.9995130983872111,0.9996249164093376,0.9999982781209873,0.9999975008626053,NaN,0.9974402033080707,NaN,0.99999887843036,NaN,0.9999974821138765,0.9999980816405365,0.998250084084813,0.997279055631631
authoritarian_governance_tolerance|WVS_E,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
autocracy_support|WVS_E,0.9999977456139109,NaN,0.0,NaN,0.9999969146858556,0.9999983394108081,0.99999940701512,0.9996912844553375,NaN,NaN,NaN,0.9999967391875518,NaN,NaN,NaN,NaN,0.999998879881065,0.9982754303659377,0.9991677381457044,0.9999999577168732,0.9988540645882402,0.999452322256111,0.9999952257268112,0.9999935018079513,NaN,0.9999489325785689,0.9983827757733496,0.9997946493273392,0.999865575464672,0.9999990050723974,NaN,NaN,0.9999985048874532,NaN,0.9999965907113143,0.999995372111248,NaN,NaN,0.9990120112433593,0.9997230429194197,0.9997983207130958,0.9997671696995591,0.9994386036916164,0.9999985425400677,NaN,0.9999934135507003,NaN,NaN,1.0,0.9999999996435939,NaN,0.9999564077103978,0.9976115288069483,NaN,0.9978632221623338
basic_needs_deprivation|WVS_H,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
child_qualities_autonomy_self_expression|WVS_A,0.9999998779932233,NaN,0.9999969146858556,NaN,0.0,NaN,NaN,0.9999989389615763,0.9978440032165331,0.9999957515246448,0.9975825192964757,0.99999931931706,0.9999989479013646,0.9988359820384056,0.9987937622180606,0.9999973521055415,0.9992178624979883,0.9998216612025816,0.9979276693143551,0.9999999999998902,0.9999999994400869,0.9999999999999306,NaN,0.9999999988373609,0.9999962680446075,0.9982086938814032,0.9999999999840463,0.999998964041613,0.9999989684053744,0.9999999350769615,0.9965445438395062,0.9999999996409408,0.9999972766306262,NaN,0.9999999999999777,0.9999999999999988,0.9970436914655846,0.9983130555122306,0.9999967240329874,0.9999993103485418,0.9999981186850083,0.9999990147932653,0.999552190685224,0.9999999752001987,0.9999989619637828,0.9999999165970012,NaN,0.9968005638085935,0.9999850745902243,NaN,NaN,NaN,NaN,0.9982118421966493,0.9999969687624823
child_qualities_conformity_tradition|WVS_A,0.999999999481867,NaN,0.9999983394108081,NaN,NaN,0.0,NaN,0.9996991982384591,0.9960801310778405,0.9999968776772487,0.9964407804785236,0.999999999936207,0.9999988907241539,0.9983959390645692,0.9980822885895934,0.9999986435657289,0.9999999998663622,0.9999995363654361,0.999988133649355,0.9999999999999999,0.9965634972098389,0.9999999999999561,NaN,0.9985198218047333,0.9999972456858675,0.9999999921492114,0.9990510553177335,0.9997739361837157,0.9999991479173526,0.9999999998368835,0.9949741863953038,0.9999999981873833,0.9999983938591287,NaN,0.9999999999999544,0.9999999999969386,0.9959112589480877,0.999718836831907,0.999999999999855,0.999755092004511,0.999999998919651,0.9998567434124714,0.9999999980381241,1.0,0.9999991643065282,0.9999944925891345,NaN,0.9963562929007073,0.9999999979003653,NaN,NaN,NaN,NaN,0.9998259086381242,0.9981106343187642
child_qualities_prosocial_diligence|WVS_A,0.999958379113789,NaN,0.99999940701512,NaN,NaN,NaN,0.0,0.9998274507144406,0.9979685968770312,0.9995747049056091,0.9981239846360082,0.9999989391904653,0.999999948746486,0.9989017374274873,0.9987105601091295,0.9999995318188369,0.9999999995942257,0.9999998958344126,0.9992364351737892,1.0,0.9983902222712955,0.99999999999996,NaN,0.9992773877595991,0.9999931644926038,0.9999999535139025,0.9988372667665716,0.9998444357513194,0.9999997249083408,0.9999999975989607,0.9977771556189884,0.9999999993413158,0.9999994835041345,NaN,0.9999999946274808,0.9999999905367895,0.9974805003501739,0.9988772809253078,0.999999999484795,0.9998400199734351,0.9999976857130967,0.9998493696659005,0.9999999995133619,0.9999999999994428,0.9999996941156376,0.9999976753195824,NaN,0.9976065320680618,0.9997737952281393,NaN,NaN,NaN,NaN,0.9993914076036553,0.9984281825785225
civic_dishonesty_tolerance|WVS_F,0.9999191360708716,NaN,0.9996912844553375,NaN,0.9999989389615763,0.9996991982384591,0.9998274507144406,0.0,0.9967935555506835,0.9994495239496267,0.9972689545993096,0.9996379711951049,0.9999381164994146,0.9998875046169553,0.9993374563035262,0.9996717677501603,0.9995516694465417,0.999530632656996,0.9998154315052148,0.9997003619275728,0.9999940654045174,0.999993127801199,0.9999808857363215,0.9999412794841236,0.999577213888774,0.982550862675301,0.9992651750727304,NaN,0.9997702911392699,0.999711573426187,0.9997397685249507,0.99996831937879,0.999326553378636,NaN,0.9999243498399047,0.9996783585134509,0.9974005720361578,0.999896156833469,0.9995120383719908,NaN,NaN,NaN,NaN,0.9995826371748227,0.9999853617567396,NaN,NaN,0.997024870737763,0.9999982812063237,0.9997181765607326,NaN,0.9997211762606478,0.9999189558728993,0.999519369318388,0.996757499179395
confidence_in_civil_society_organizations|WVS_E,0.9977587941763185,NaN,NaN,NaN,0.9978440032165331,0.9960801310778405,0.9979685968770312,0.9967935555506835,0.0,NaN,NaN,0.9965883924176334,NaN,NaN,NaN,NaN,0.9959373945570646,0.9945113411201623,0.9956198100870314,0.9971681492332675,0.9880168947738003,0.999366762755752,0.995612739074439,0.9969545167236277,NaN,0.9900969256018465,0.9960324618152118,0.998161268483394,0.9998841540308427,0.9987900486066151,NaN,NaN,0.9986352483525999,NaN,0.996338861302486,0.9950487777992036,NaN,NaN,0.9966500547776367,0.9972082600221781,0.99653331571724,0.9970108415460994,0.9963414349491759,0.9953441904441296,NaN,0.9972382144301335,NaN,NaN,0.9956915793795528,0.998532835569821,NaN,0.9999653460765155,0.9986181011264588,NaN,0.9936515596542078
confidence_in_domestic_institutions|WVS_E,0.9999958509070781,NaN,NaN,NaN,0.9999957515246448,0.9999968776772487,0.9995747049056091,0.9994495239496267,NaN,0.0,NaN,0.9988436372712575,NaN,NaN,NaN,NaN,0.9989305949232566,0.9969049085283446,0.9970094037149624,0.9989971238518015,0.9993092990724063,0.9997383415486976,0.9998826950473723,0.9999922886110348,NaN,NaN,0.9999999600372735,0.9996202999687285,0.9995730208042105,0.9991097685201843,NaN,NaN,0.9977151284635305,NaN,0.9999913914944472,0.9999872669945076,NaN,NaN,0.9994127071988561,0.9994971772285687,0.9995053560626017,0.9995650351230709,0.9970406797329185,0.9999961355134183,NaN,0.9999890071516745,NaN,NaN,0.999999999500389,0.9992080331709259,NaN,0.9992317146930436,0.999778959876102,NaN,0.9999999996339624
