construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.9999999999999222,1.0,NaN,0.9999999999999385,0.9999999999999689,0.9999999999999364,0.9999999999999925,0.9999999999999948,0.9999999999999718,0.9999999999995742,NaN,1.0,0.9999999999999819,1.0,1.0,NaN,1.0,0.9999999999999284,NaN,1.0,1.0,0.999999999999899,NaN,0.9999999999973657,0.9999999967154665,1.0,0.9999999999999717,0.9999999999999508,NaN,NaN,0.9999999999997843,0.9999999999998697,NaN,0.9999999999998306,0.9999999999997273,0.9999999999997993,1.0,NaN,0.9999999999999983,0.9999999999999996,0.9999999999999587,0.9999999999999387,0.9999999999999324,0.9999999999999986,0.9999999999999927,0.9999999999998856,1.0,NaN,0.999999999999941,1.0,NaN,NaN,0.9999999999999809,0.9999999999999257
authoritarian_governance_tolerance|WVS_E,0.9999999999999222,0.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,0.9999999999999996,1.0,1.0,0.9999999616472343,1.0,1.0,1.0,NaN,0.9999999659897281,0.9999999905989368,1.0,1.0,1.0,NaN,NaN,1.0,NaN,1.0,0.9999999999999386,NaN,NaN,0.9999999824470287,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,NaN,0.9999999999999855,1.0,0.9999999999998409,NaN,NaN,NaN,1.0
autocracy_support|WVS_E,1.0,NaN,0.0,1.0,0.9999999999999997,0.999999998717622,0.9999999998885835,1.0,NaN,NaN,NaN,0.999999987099291,NaN,NaN,NaN,NaN,NaN,1.0,0.9999999994668411,0.9999999882630767,0.9999999999999265,1.0,1.0,1.0,NaN,1.0,1.0,1.0,0.9999999913678994,0.9999999986782795,NaN,NaN,0.9999999999998891,NaN,0.9999999999999503,0.9999999753552825,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,0.9999999999999776,NaN,0.999999999999999,0.9999999999754771,1.0,NaN,NaN,NaN,0.9999999997230548
basic_needs_deprivation|WVS_H,NaN,1.0,1.0,0.0,0.9999999903311834,1.0,1.0,0.9999999999999939,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,NaN,1.0,1.0,NaN,0.9999999962173266,1.0,0.999999999999879,NaN,1.0,1.0,1.0,0.9999999999999755,0.999999970219834,NaN,NaN,0.9999999999995719,0.9999999656454533,NaN,0.99999998292841,0.9999999504479494,0.9999999999996657,1.0,NaN,1.0,1.0,0.9999999999999712,0.999999999999969,0.9999999999999287,1.0,0.9999999999999973,0.9999999903823157,1.0,NaN,0.9999999999997224,0.9999999982534821,NaN,NaN,0.9999999811315008,1.0
child_qualities_autonomy_self_expression|WVS_A,0.9999999999999385,1.0,0.9999999999999997,0.9999999903311834,0.0,NaN,NaN,1.0,0.9999999981381524,0.999999999999993,1.0,1.0,1.0,0.9999999997882952,0.9999999999999728,1.0,NaN,1.0,NaN,1.0,0.999999983163042,1.0,NaN,1.0,1.0,1.0,1.0,1.0,0.9999999953803503,0.9999999999999594,NaN,0.9999999999999934,0.9999999999982347,NaN,0.9999999999999712,0.9999999866174203,0.99999999999998,1.0,0.9999999999999256,0.9999999908117722,1.0,1.0,1.0,1.0,0.9999999999999845,0.9999999999994679,NaN,1.0,0.9999999999999645,NaN,0.9999999879597502,NaN,NaN,0.9999999994505622,1.0
child_qualities_conformity_tradition|WVS_A,0.9999999999999689,1.0,0.999999998717622,1.0,NaN,0.0,NaN,1.0,1.0,1.0,1.0,0.9999999943679566,0.9999999977124442,0.9999999885887825,0.9999999994101695,1.0,NaN,1.0,1.0,0.9999999996144346,0.9999999679889148,1.0,NaN,1.0,0.9999999999999997,0.9999999999999272,0.9999999999999135,1.0,1.0,1.0,NaN,0.9999999999999271,0.9999999999999434,NaN,0.9999999999999226,0.9999999852774201,0.9999999999999016,1.0,0.9999999999999594,1.0,1.0,1.0,1.0,0.9999999999999913,1.0,1.0,NaN,1.0,1.0,NaN,0.999999999992437,NaN,NaN,1.0,1.0
child_qualities_prosocial_diligence|WVS_A,0.9999999999999364,1.0,0.9999999998885835,1.0,NaN,NaN,0.0,1.0,1.0,1.0,0.9999999999999704,0.99999999999726,0.9999999944047182,0.9999999874296115,0.9999999999270421,1.0,NaN,1.0,1.0,0.9999999999999946,0.9999999706203383,1.0,NaN,1.0,0.9999999999999953,0.9999999965293213,0.9999999975914629,1.0,1.0,1.0,NaN,1.0,1.0,NaN,0.9999999999999849,0.9999999998929078,1.0,1.0,0.9999999999956006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,NaN,0.9999999999996614,NaN,NaN,1.0,1.0
civic_dishonesty_tolerance|WVS_F,0.9999999999999925,1.0,1.0,0.9999999999999939,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9999999999999994,1.0,1.0,0.9999999999999988,1.0,NaN,1.0,1.0,0.9999999999999992,1.0,1.0,0.999999999576056,1.0,1.0,1.0,1.0,NaN,0.9999999901222959,0.9999999999999943,NaN,0.999999998455746,0.9999999872097177,NaN,0.9999999916936779,0.9999999826174149,0.9999999999049662,1.0,0.999999999999991,NaN,NaN,NaN,NaN,0.9999999971299135,0.9999999999999983,NaN,0.999999998313266,1.0,0.9999999999999952,1.0,NaN,NaN,NaN,0.9999999963281585,1.0
confidence_in_civil_society_organizations|WVS_E,0.9999999999999948,NaN,NaN,1.0,0.9999999981381524,1.0,1.0,1.0,0.0,NaN,NaN,0.9999999916161527,NaN,NaN,NaN,NaN,NaN,1.0,1.0,0.9999999920911938,0.9999999947389877,1.0,0.999999999999971,1.0,NaN,1.0,1.0,0.9999999999999932,0.9999999885053662,1.0,NaN,NaN,0.9999999924145666,NaN,0.9999999998563257,0.9999999788925766,NaN,NaN,0.9999999999999939,1.0,1.0,0.9999999999999954,0.9999999999999856,0.9999999999999811,NaN,1.0,0.9999999999999692,NaN,0.9999999999999988,0.9999999999999714,0.9999999976327172,NaN,NaN,NaN,1.0
confidence_in_domestic_institutions|WVS_E,0.9999999999999718,NaN,NaN,1.0,0.999999999999993,1.0,1.0,1.0,NaN,0.0,NaN,0.9999999999999886,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,0.9999999741748024,1.0,0.9999999999999902,1.0,NaN,0.999999986205781,0.9999999944467091,1.0,1.0,1.0,NaN,NaN,0.9999999999999726,NaN,0.9999999999999508,0.9999999999994373,NaN,NaN,0.9999999994135994,1.0,1.0,1.0,1.0,1.0,NaN,1.0,0.9999999999999771,NaN,0.9999999999999999,1.0,0.9999999999048957,NaN,NaN,NaN,1.0
