construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.9994563628071086,0.9985681688353433,NaN,0.9925619215872046,0.9997191140838598,0.9978678621709451,0.9968528662410246,0.9997719623455772,0.9982856221536154,0.9999999983967031,NaN,0.9987237785489672,0.9998648986088843,0.9991051336849927,0.9932659103475916,NaN,0.9971382814714314,0.9896961358929748,NaN,0.9967879426413203,0.9999999629980675,0.9955619578645988,NaN,0.9972526009547229,0.9933933852909653,0.9985349912151864,0.9951072686522875,0.9950771438754615,NaN,0.9978212010879645,0.9946716189159288,0.9997928190376454,NaN,0.9909976606032518,0.9977445756603809,0.99826555948386,0.998382466860138,NaN,0.9999998980418943,0.9934037857276322,0.9917565692107021,0.9949081334757923,0.9986555885292921,0.9969305136470527,0.9958193397541014,0.991268436002817,0.9981967101662755,NaN,0.9998217411098739,0.9987994274318182,NaN,NaN,0.9936470871123704,0.9903238078224763
authoritarian_governance_tolerance|WVS_E,0.9994563628071086,0.0,NaN,0.9996935272419442,0.9999995070700383,0.9997897794741577,0.9999999999664813,0.9999999999986613,NaN,NaN,NaN,0.9999999992418731,NaN,NaN,NaN,NaN,0.9997574979017811,0.9999996839865407,0.9994353915017987,0.9999999999812675,0.9999957432235788,0.9999999990436591,0.9999995352258808,0.999685572996127,NaN,0.9999981840286783,0.9999990009448408,0.9999971809988211,0.9983301937101126,0.999798092001966,NaN,NaN,0.9990819704699917,NaN,0.998407072409966,0.9989724297432837,NaN,NaN,0.9994605489350894,0.9999943282768916,0.9998857196689357,0.9999988271989927,0.9999999604872003,0.9993001928545401,NaN,0.9999999995529737,0.9999990141498408,NaN,0.9986364280628413,0.999596705790392,0.9999999704712609,NaN,NaN,NaN,0.999039227614563
autocracy_support|WVS_E,0.9985681688353433,NaN,0.0,0.9993435327635962,0.9995099278790484,0.999418418770119,0.9997177311238745,0.999999999995888,NaN,NaN,NaN,1.0,NaN,NaN,NaN,NaN,0.9994906097450973,1.0,0.9994353540104589,0.9999997799642925,0.9999999766653295,0.9999999999996795,1.0,0.9992145617550323,NaN,0.9999999999380327,0.9996398032181003,0.999564704197309,0.9986576064324516,0.9994934132331549,NaN,NaN,0.9992807672281417,NaN,0.9978510102847881,0.9990440351841525,NaN,NaN,0.9988034324591977,0.9999999401745605,0.9996984707393202,0.9996064983171722,0.9999999999872129,0.9993158795198757,NaN,0.9999933741705586,0.9996894357509484,NaN,0.9990971234456971,0.9997161865385888,0.9999999999942786,NaN,NaN,NaN,0.9987481631295441
basic_needs_deprivation|WVS_H,NaN,0.9996935272419442,0.9993435327635962,0.0,0.999999999990874,0.999999999868093,0.9999912701883562,0.9986284287918558,0.9969068536545448,0.9981388071375621,0.9972197312419869,NaN,0.9989407922854986,0.9975741182630836,0.9981527549845594,0.9968414061401856,NaN,0.9999999999566649,0.9959602473443707,NaN,0.9992441305833621,0.9999730624921024,0.9997939908800604,NaN,0.9999999985486417,0.9999964106026389,0.9999846336389692,0.9999999988029,0.9962309040050676,NaN,0.9967162279978163,0.9994261795255575,0.9993584094699112,NaN,0.9943770709805799,0.9979150206783206,0.9961174160808364,0.9985947483911324,NaN,0.9990744299965195,0.9987416578596413,1.0,0.9957795152245371,0.9989874487358781,0.9991012738825152,0.9984706421369036,0.9981436745469957,0.9996388524288902,NaN,0.9999232921662344,0.9993692808892716,NaN,NaN,0.9988923723436334,0.9950483554906239
child_qualities_autonomy_self_expression|WVS_A,0.9925619215872046,0.9999995070700383,0.9995099278790484,0.999999999990874,0.0,NaN,NaN,0.9993245545309701,0.9958399180985751,0.9982186693953019,0.9935933365396776,0.996391512623183,0.9997730990510288,0.9967449148231533,0.9982130169701187,0.9964892003540784,0.9999998169675925,0.99999999317314,0.9997762066168898,0.998668511169172,0.9999676349128749,0.9923239792687061,NaN,0.999780284461229,0.999999999924432,0.9975166479584012,0.999999916600766,0.9999999999049816,0.99918091134035,0.9999999993156656,0.9960764544630806,0.9918384108264521,0.9999998945462044,NaN,0.998803949035203,0.9999999994642831,0.9937348755722553,0.998684203990589,0.9951537598880811,0.9978347870611799,0.9991931669834134,0.9998887199185357,0.9999999999999881,0.99956115945794,0.9995982064907823,0.9999999999998659,NaN,0.9999905835052828,0.9999916041964548,NaN,NaN,NaN,NaN,0.9983444796238248,0.9988547322636437
child_qualities_conformity_tradition|WVS_A,0.9997191140838598,0.9997897794741577,0.999418418770119,0.999999999868093,NaN,0.0,NaN,0.9987037550667625,0.998213065772756,0.9989239452683558,0.9984274853794914,0.9991856215145248,0.999417322367494,0.9984870563790753,0.9988979561087216,0.9974343108355902,0.9989402478520355,0.9999999911129944,0.9967835762174158,0.9975968741114543,0.9999866981086721,0.9999999999998143,NaN,0.9999999999471562,0.9999999999672671,0.9999999874619844,0.9999999577784499,0.9999997003584897,0.9968001317177216,0.9992656570377618,0.9982197862837547,0.9998659375562859,0.9995186871927605,NaN,0.9954988799384221,0.9980404131651315,0.9978852983643824,0.9990905315525415,0.9984038211678457,0.9993946184466936,0.9987953274943737,1.0,0.9977521119437629,0.999083094313784,0.9997607370363312,0.9985728537095157,NaN,0.9999940511895173,0.998857994232925,NaN,0.9993729638476306,NaN,NaN,0.9989500886310266,0.9960868688110968
child_qualities_prosocial_diligence|WVS_A,0.9978678621709451,0.9999999999664813,0.9997177311238745,0.9999912701883562,NaN,NaN,0.0,0.99894967603455,0.9999956110590899,0.9999999999807638,0.9970345834618887,0.9999999996264516,0.9999959684039119,0.9999619774442204,0.999999999930458,0.9963594845240196,0.9983084278366722,0.9991931237745746,0.9956590354491953,0.9944159592656223,0.9999999996663608,0.9999999999999925,NaN,0.9999999999897233,0.9999937615823528,0.9999999999909839,0.9999961430801533,0.9999735359193508,0.9999986489868876,0.9994316184661646,0.9999999887347801,0.9999997855299473,0.9999938803625836,NaN,0.9973134346306783,0.9996877978276217,0.9997024248928276,0.9999999998507271,0.9994462915021862,0.9994041798379908,0.996834089575344,0.9999797087013901,0.9983801184746042,0.9999965398943799,0.9999994861044579,0.9982531495669292,NaN,0.9999856908683739,0.9994969081001879,NaN,0.9997149265903582,NaN,NaN,0.9979276460705874,0.9968650647421551
civic_dishonesty_tolerance|WVS_F,0.9968528662410246,0.9999999999986613,0.999999999995888,0.9986284287918558,0.9993245545309701,0.9987037550667625,0.99894967603455,0.0,0.9965284059220841,0.9975280978120449,0.9968307836394611,0.997908630240768,0.9999967549998451,0.9972096851351915,0.9975378504820283,0.9990929363447698,0.9994437540572951,0.9991446396144325,0.9990821259497877,0.9999999986345053,0.9977411779251912,0.9999999372932525,0.998411629583806,0.9984267050550398,0.9985566026133906,0.9988849673848197,0.9983142413079468,NaN,0.9989569590808267,0.9994050917342955,0.9964424607830329,0.9974066566780312,0.9999947942693211,NaN,0.9981595968451127,0.9994336444929479,0.9968511499969306,0.9979635119906443,0.9968039498886471,NaN,NaN,NaN,NaN,0.9999966046614411,0.9980275900920883,NaN,0.9998667489375167,0.9984839931012635,0.999993710785688,0.9999988034926877,NaN,NaN,NaN,0.9992718443798146,0.998596792338232
confidence_in_civil_society_organizations|WVS_E,0.9997719623455772,NaN,NaN,0.9969068536545448,0.9958399180985751,0.998213065772756,0.9999956110590899,0.9965284059220841,0.0,NaN,NaN,0.9999574453252318,NaN,NaN,NaN,NaN,0.9941921835662688,0.9977477880645591,0.9914120206032937,0.9912573734967882,0.9988146707403963,0.9997495894847096,0.998350873588151,0.9979706916976404,NaN,0.9979720873924138,0.9983145883736966,0.9962243104064851,0.99312635889752,0.9959287854278938,NaN,NaN,0.9984730505027003,NaN,0.9897961348207502,0.9965186279863993,NaN,NaN,0.9999999999835343,0.9999999999969781,0.9957492289844099,0.9987083807452258,0.9927027101182181,0.9979319157216734,NaN,0.9964188196611298,0.9932761557899299,NaN,0.9970351044137459,0.9992937990230908,0.9985670894332883,NaN,NaN,NaN,0.9898917079930512
confidence_in_domestic_institutions|WVS_E,0.9982856221536154,NaN,NaN,0.9981388071375621,0.9982186693953019,0.9989239452683558,0.9999999999807638,0.9975280978120449,NaN,0.0,NaN,0.9999999998334389,NaN,NaN,NaN,NaN,0.9967363514256093,0.9988514651644261,0.9939481020929096,0.9948324838537442,0.9997512974713514,0.9999999999349364,0.9992154243028607,0.9998812551758127,NaN,0.9999999291082863,0.9997883321372016,0.9980374111459825,0.9951393198785493,0.9973801875266934,NaN,NaN,0.9986688243524741,NaN,0.9926628822227757,0.9971132235028254,NaN,NaN,0.9999946247832234,0.9999997904707479,0.9972683390314467,0.9999999873900017,0.9954803210611838,0.9987973645928835,NaN,0.9972224708340551,0.9959680634323566,NaN,0.9974176823768572,0.9993368811686238,0.9990461714170242,NaN,NaN,NaN,0.9930960784377227
