,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,60.6060606060606,38.167938931297705,68.4931506849315,17.123287671232877,9999.0,9999.0,9999.0,35.3356890459364,9999.0,9999.0,9999.0,9999.0,27.100271002710027,9999.0,121.95121951219511,9999.0,476.1904761904762,27.548209366391184,1000.0,17.98561151079137,9999.0,102.04081632653062,19.083969465648853,86.95652173913044,9999.0,27.47252747252747,9999.0,9999.0,24.03846153846154,9999.0,9999.0,9999.0,9999.0,625.0,43.10344827586207,45.87155963302752,38.167938931297705,29.41176470588235,26.80965147453083,9999.0,588.2352941176471,9999.0,9999.0,12.626262626262625,26.7379679144385,30.581039755351682,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,60.6060606060606,0.0,9999.0,9999.0,27.027027027027028,38.167938931297705,476.1904761904762,28.901734104046245,56.17977528089888,24.93765586034913,128.2051282051282,40.65040650406504,60.975609756097555,156.25,9999.0,32.362459546925564,9999.0,14.792899408284025,312.5,9999.0,42.19409282700422,9999.0,43.29004329004329,84.74576271186442,39.37007874015748,9999.0,125.0,434.7826086956522,9999.0,133.33333333333334,9999.0,9999.0,80.64516129032258,42.016806722689076,119.04761904761905,1000.0,84.03361344537815,50.0,357.14285714285717,129.87012987012986,42.918454935622314,24.271844660194173,9999.0,19.193857965451055,26.041666666666668,9999.0,9999.0,9999.0,54.6448087431694,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,38.167938931297705,9999.0,0.0,9999.0,12.360939431396787,909.090909090909,138.88888888888889,35.97122302158274,19.9203187250996,20.2020202020202,60.6060606060606,29.239766081871345,454.5454545454545,33.11258278145695,9999.0,15.948963317384369,9999.0,22.271714922048996,93.45794392523365,9999.0,28.011204481792713,9999.0,1000.0,232.5581395348837,26.954177897574123,9999.0,79.36507936507937,188.67924528301887,9999.0,69.44444444444444,9999.0,9999.0,42.016806722689076,50.25125628140703,49.01960784313725,40.0,18.65671641791045,21.551724137931036,25.510204081632654,58.8235294117647,62.11180124223603,15.576323987538942,9999.0,12.77139208173691,14.184397163120568,9999.0,9999.0,9999.0,15.408320493066256,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,68.4931506849315,9999.0,9999.0,0.0,384.61538461538464,384.61538461538464,125.0,1000.0,588.2352941176471,74.07407407407408,149.2537313432836,294.11764705882354,54.94505494505494,59.880239520958085,9999.0,96.15384615384616,9999.0,1000.0,128.2051282051282,9999.0,121.95121951219511,9999.0,117.6470588235294,97.08737864077669,111.11111111111111,9999.0,102.04081632653062,64.51612903225806,9999.0,217.3913043478261,9999.0,9999.0,153.84615384615384,294.11764705882354,144.92753623188406,476.1904761904762,126.58227848101265,62.11180124223603,1000.0,84.74576271186442,66.2251655629139,100.0,9999.0,285.7142857142857,90.90909090909092,9999.0,9999.0,9999.0,400.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,17.123287671232877,27.027027027027028,12.360939431396787,384.61538461538464,0.0,61.7283950617284,140.8450704225352,39.0625,14.641288433382138,12.091898428053206,33.898305084745765,24.330900243309003,40.65040650406504,39.8406374501992,9999.0,15.015015015015013,9999.0,29.850746268656714,109.89010989010988,833.3333333333334,16.0,9999.0,270.27027027027026,37.3134328358209,9999.0,9999.0,38.46153846153846,46.948356807511736,9999.0,28.328611898016998,9999.0,9999.0,55.24861878453038,41.32231404958678,31.645569620253163,9999.0,9999.0,9999.0,9999.0,128.2051282051282,23.58490566037736,9999.0,9999.0,10.37344398340249,8.613264427217915,44.24778761061947,54.054054054054056,9999.0,9.45179584120983,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,38.167938931297705,909.090909090909,384.61538461538464,61.7283950617284,0.0,9999.0,9999.0,80.0,9999.0,9999.0,9999.0,9999.0,85.47008547008546,9999.0,66.2251655629139,9999.0,13.262599469496022,65.35947712418302,27.3224043715847,101.010101010101,9999.0,40.16064257028113,24.93765586034913,34.84320557491289,9999.0,66.2251655629139,9999.0,9999.0,28.98550724637681,9999.0,9999.0,9999.0,9999.0,48.07692307692308,45.04504504504504,60.975609756097555,48.78048780487805,36.231884057971016,49.26108374384237,9999.0,37.45318352059925,9999.0,9999.0,48.543689320388346,38.02281368821293,95.23809523809523,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,476.1904761904762,138.88888888888889,125.0,140.8450704225352,9999.0,0.0,9999.0,277.77777777777777,9999.0,9999.0,9999.0,9999.0,32.362459546925564,9999.0,56.17977528089888,9999.0,125.0,41.49377593360996,344.82758620689657,54.054054054054056,9999.0,232.5581395348837,33.222591362126245,74.6268656716418,9999.0,87.71929824561403,9999.0,9999.0,68.9655172413793,9999.0,9999.0,9999.0,9999.0,163.93442622950818,1000.0,128.2051282051282,40.983606557377044,227.27272727272725,41.666666666666664,9999.0,66.66666666666667,9999.0,9999.0,57.80346820809249,85.47008547008546,64.1025641025641,9999.0,9999.0,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,9999.0,28.901734104046245,35.97122302158274,1000.0,39.0625,9999.0,9999.0,0.0,97.08737864077669,9999.0,9999.0,9999.0,9999.0,1000.0,9999.0,38.91050583657587,9999.0,13.60544217687075,588.2352941176471,28.98550724637681,49.01960784313725,9999.0,40.65040650406504,80.0,37.87878787878788,9999.0,263.1578947368421,9999.0,9999.0,70.92198581560284,9999.0,9999.0,9999.0,9999.0,72.46376811594203,172.41379310344828,166.66666666666666,55.24861878453038,227.27272727272725,111.11111111111111,9999.0,28.169014084507044,9999.0,9999.0,34.36426116838488,102.04081632653062,270.27027027027026,9999.0,9999.0,9999.0
