construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,21.295524047817626,16.631433477686787,17.452457621969742,54.08248322946851,14.412656609685651,16.99292021433029,39.99669371769072,18.661977960761103,20.87021835935404,17.61313049200635,49.9000272171177,49.49689257176679,22.56119278336588,24.067654901481042,31.107147427715702,11.709601873536299,20.163322915616494,13.109770407518532,28.601493765428188,22.43691139610153,20.236258829260372,26.656829409122988,9.174311926605505,23.659605687197544,17.317634402175536,17.78016390595146,32.814973865139784,23.02472743907088,14.443015825446391,29.14019711042203,18.581649650029775,19.5048904390022,27.761672521401042,19.67851360727777,34.47653690010078,25.73060331733398,16.631433477686787,17.817354277513026,27.971304407808514,19.601840602309363,42.3359406673127,14.817652784393315,9999.0,13.81468315630388,17.27803964135429,40.386682583711625,30.624245598909173,23.23900953560691,9999.0,25.245692737615617
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,21.295524047817626,9999.0,0.0,19.578333672293404,20.39935781657636,51.30352399803752,10.319917440660475,19.939820408936903,36.06313942163982,21.60887815536772,14.084507042253522,20.462719123797882,49.29872846053516,52.443792766373406,22.231868054846807,16.10305958132045,27.014408258690526,15.797788309636653,15.974440894568689,16.05667060212515,31.918189578889418,25.38381159070814,10.235414534288639,28.241064394065493,12.121212121212121,19.120458891013385,20.264534596782156,16.339869281045754,17.699115044247787,25.971627633677492,17.389916020053008,16.051364365971107,21.52854984463639,18.90359168241966,30.70857271600766,22.62541380188439,23.86634844868735,27.397260273972606,11.061946902654867,20.76425447211964,18.281535648994517,22.54874079691598,36.8311592151397,15.15151515151515,9999.0,16.7615833509105,10.34126163391934,23.86634844868735,23.752969121140143,19.607843137254903,9999.0,28.192592932222233
child_qualities_autonomy_self_expression|WVS_A,16.631433477686787,9999.0,19.578333672293404,0.0,15.73526724644552,53.646838514895,12.69546623416143,15.275729838806066,38.2795033421665,16.94478758523688,19.15302798382982,15.895940116482127,48.182836841593485,47.77970219624257,20.844002407841657,22.350464525956816,29.38995705219148,11.273957158962796,18.44613254009227,9.433962264150944,27.417201391400646,20.719721020577303,18.51906845373615,24.939639033598766,7.457121551081283,21.942415311673322,15.600444026651315,16.062973530427236,31.097783489615562,21.307537063546654,12.72582544992217,27.423006734897807,16.864459274505553,17.787700063477978,26.04448214587682,17.961323231753553,32.75934652457656,24.013412941809758,14.914243102162565,16.1001639019888,26.254114032284292,17.88465022678514,40.61875029178848,13.100462408869094,9999.0,12.097492780779659,15.560849265830067,38.66949220818741,28.90705522338495,21.52181916008269,9999.0,21.56988459424803
child_qualities_conformity_tradition|WVS_A,17.452457621969742,9999.0,20.39935781657636,15.73526724644552,0.0,53.54606571347411,13.516490378444384,16.096753983089023,39.10052748644945,17.765811729519836,19.974052128112774,16.71696426076508,49.003860985876436,48.600726340525526,21.665026552124612,23.171488670239775,30.210981196474435,11.1731843575419,19.267156684375227,12.213604176277265,28.06507624943379,21.54074516486026,19.340092598019105,25.76066317788172,8.278145695364238,22.763439455956277,16.42146817093427,16.883997674710194,31.918807633898517,22.128561207829613,13.546849594205124,28.244030879180762,17.685483418788507,18.608724207760933,26.865506290159775,18.782347376036505,33.580370668859516,24.834437086092713,15.73526724644552,16.92118804627176,27.075138176567247,18.705674371068095,41.43977443607143,13.921486553152048,9999.0,12.918516925062614,16.381873410113023,39.49051635247036,29.728079367667906,22.342843304365644,9999.0,24.34952650637435
child_qualities_prosocial_diligence|WVS_A,54.08248322946851,9999.0,51.30352399803752,53.646838514895,53.54606571347411,0.0,40.983606557377044,53.90690673078803,74.95149770813347,54.642820006238956,52.81792608400426,52.59800841568134,84.85991656210092,86.51371324202515,55.560866032595705,56.35361103865147,57.67809737540709,42.37288135593221,53.5780649956642,50.12659107777689,59.264773247824095,59.45373206635988,51.576826896360096,58.90475351078206,46.19113259686386,54.951497708133466,54.33445507243389,51.960554965719524,61.68754030478905,58.37288135593221,46.728971962616825,55.71114705811342,53.749445633520374,54.46477978398541,64.7784931916594,56.695334277536126,66.84969630869328,57.18769617074702,51.27760085726791,52.88812846423925,60.10337780983292,53.63414261719347,77.29583001229591,48.93886953715348,9999.0,48.534310807564985,50.1411157148862,66.95763253140302,62.91020173607961,58.605456523186895,9999.0,55.97832353280296
civic_dishonesty_tolerance|WVS_F,14.412656609685651,9999.0,10.319917440660475,12.69546623416143,13.516490378444384,40.983606557377044,0.0,13.05695297080493,36.060726474165364,14.726010717235745,11.834319526627219,11.614401858304298,45.96405997359234,45.56092532824144,14.57725947521866,18.8412289377858,16.69449081803005,6.242197253433208,12.594458438287154,9.173803163993174,21.598272138228943,18.500944152576167,10.593220338983052,17.921146953405017,5.238344683080147,18.433179723502306,13.38166715865018,10.97694840834248,20.70393374741201,19.088760195545518,9.216589861751153,14.727540500736376,14.645682406504417,15.568923195476842,23.825705277875684,15.742546363752416,28.477808266398732,21.05701206824802,12.69546623416143,13.881387033987666,23.972693707333917,15.665873358784005,37.188965019834114,10.881685540867958,9999.0,7.930214115781126,9.157509157509157,25.974025974025974,25.397819635213935,19.303042292081553,9999.0,19.847639430303957
confidence_in_civil_society_organizations|WVS_E,16.99292021433029,9999.0,19.939820408936903,15.275729838806066,16.096753983089023,53.90690673078803,13.05695297080493,0.0,36.11680327868852,17.30627432188038,19.514514720473322,16.25742685312563,46.0201367781155,48.141188932886074,21.205489144485156,22.711951262600316,29.751443788834983,11.534025374855824,18.80761927673577,9.79431929480901,27.778688128044145,21.081207757220806,18.880555190379653,25.301125770242265,7.818608287724784,16.207455429497568,15.961930763294816,16.42446026707074,31.459270226259065,21.669023800190157,13.087312186565669,27.78449347154131,16.556291390728475,15.625,26.40596888252032,18.322809968397053,33.12083326122006,24.37489967845326,15.275729838806066,16.461650638632303,26.61560076892779,18.24613696342864,38.4560502283105,13.461949145512595,9999.0,12.45897951742316,15.922336002473568,39.030978944830906,29.26854196002845,19.76284584980237,9999.0,20.366598778004075
confidence_in_domestic_institutions|WVS_E,39.99669371769072,9999.0,36.06313942163982,38.2795033421665,39.10052748644945,74.95149770813347,36.060726474165364,36.11680327868852,0.0,32.67427122940431,42.51828822383375,34.024777449320766,50.88694005680402,71.1449624362465,35.20398227934375,19.960079840319363,46.62674650698603,32.57861635220126,41.811392780096206,31.740397204447802,42.38160450399649,44.08498126058124,31.152647975077883,48.3048992736027,30.822381791085217,20.0,38.96570426665525,39.42823377043117,42.73504273504273,32.092731352934464,29.216589861751153,45.24886877828054,23.752969121140143,20.491803278688522,44.021215043394406,41.32658347175749,33.003300330033,47.378673181813696,38.2795033421665,38.19091832293631,49.23583061522255,27.100271002710027,41.74657221504703,36.465722648873026,9999.0,35.462753020783595,37.174721189591075,58.167938931297705,32.362459546925564,21.929824561403507,9999.0,41.19573702610053
confidence_in_international_organizations|WVS_E,18.661977960761103,9999.0,21.60887815536772,16.94478758523688,17.765811729519836,54.642820006238956,14.726010717235745,17.30627432188038,32.67427122940431,0.0,21.183572466904135,17.926484599556442,43.281734716259834,49.81024667931689,22.874546890915973,16.0,31.420501535265796,12.269938650306749,20.476677023166587,12.453300124533001,29.16183054219864,22.75026550365162,20.549612936810465,26.97018351667308,9.487666034155598,12.67427122940431,17.630988509725633,18.09351801350155,33.128327972689874,23.33808154662097,14.756369932996485,29.453551217972123,14.814814814814813,12.88659793814433,28.075026628951136,19.99186771482787,34.78989100765088,26.043957424884074,16.94478758523688,18.083182640144663,28.284658515358608,14.814814814814813,35.717648166454836,15.131006891943409,9999.0,14.128037263853974,17.59139374890438,40.700036691261715,23.980815347721823,15.1285930408472,9999.0,22.271714922048996
