,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authoritarian_governance_tolerance|WVS_E,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autocracy_support|WVS_E,,,0.0,,-0.0008,0.003,-0.0033,,,,,,,,,,,,,,0.001,0.0014,,,0.0013,-0.0176,,,,,,,,,,,,,-0.0185,,,,,0.0,,,0.0092,,,,
basic_needs_deprivation|WVS_H,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,,,-0.0008,,0.0,,,,0.0127,0.0088,0.0009,,,,-0.0048,,,,,,-0.0102,,,,-0.018,-0.0021,,,,0.0263,,,,,,0.0027,,,-0.004,,,,,,0.0106,,,,,,
child_qualities_conformity_tradition|WVS_A,,,0.003,,,0.0,,,-0.007,-0.0015,0.004,,,,0.0002,,,,,,0.0029,,,,0.0087,-0.0122,,,,-0.0205,,,,,,-0.006,,,-0.0088,,,,,,-0.0152,,,,,,
child_qualities_prosocial_diligence|WVS_A,,,-0.0033,,,,0.0,,-0.0079,-0.0043,-0.0079,,,,0.0041,,,,,,0.0126,,,,0.0126,0.0133,,,,-0.0013,,,,,,0.0024,,,0.0109,,,,,,0.0125,,,,,,
civic_dishonesty_tolerance|WVS_F,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_in_civil_society_organizations|WVS_E,,,,,0.0127,-0.007,-0.0079,,0.0,,,,,,,,,,,,-0.0453,0.0035,,,-0.0559,0.0166,,,,,,,,,,,,,0.017,,,,,0.0261,,,-0.0285,,,,
confidence_in_domestic_institutions|WVS_E,,,,,0.0088,-0.0015,-0.0043,,,0.0,,,,,,,,,,,0.0194,0.0268,,,-0.0146,-0.0345,,,,,,,,,,,,,-0.0416,,,,,-0.0164,,,0.0388,,,,
confidence_in_international_organizations|WVS_E,,,,,0.0009,0.004,-0.0079,,,,0.0,,,,,,,,,,-0.0211,-0.004,,,-0.011,-0.006,,,,,,,,,,,,,-0.0024,,,,,0.0184,,,-0.0158,,,,
crime_victimization|WVS_H,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_system_evaluation|WVS_E,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_values_importance|WVS_E,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,,,,-0.0048,0.0002,0.0041,,,,,,,,0.0,,,,,,-0.0037,-0.0122,,,0.0111,0.0233,,,,,,,,,,,,,0.0272,,,,,0.0069,,,-0.0203,,,,
electoral_integrity|WVS_E,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existential_threat_worry|WVS_H,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
familial_duty_obligations|WVS_D,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female_income_threat_to_marriage|WVS_D,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom_security_tradeoff_perception|WVS_H,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gender_role_traditionalism|WVS_D,,,0.001,,-0.0102,0.0029,0.0126,,-0.0453,0.0194,-0.0211,,,,-0.0037,,,,,,0.0,0.0068,,,0.0609,-0.0196,,,,-0.012,,,,,,-0.0177,,,-0.0187,,,,,-0.0398,0.0358,,0.0436,,,,
importance_of_life_domains|WVS_A,,,0.0014,,,,,,0.0035,0.0268,-0.004,,,,-0.0122,,,,,,0.0068,0.0,,,-0.01,-0.0194,,,,0.0378,,,,,,-0.0049,,,-0.0233,,,,,,0.0264,,,,,,
institutional_threat_perception|WVS_H,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_organization_knowledge|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
job_scarcity_gender_discrimination|WVS_C,,,0.0013,,-0.018,0.0087,0.0126,,-0.0559,-0.0146,-0.011,,,,0.0111,,,,,,0.0609,-0.01,,,0.0,,,,,-0.0703,,,,,,-0.0178,,,-0.0019,,,,,-0.0235,-0.0075,,0.0215,,,,
job_scarcity_nativist_preference|WVS_C,,,-0.0176,,-0.0021,-0.0122,0.0133,,0.0166,-0.0345,-0.006,,,,0.0233,,,,,,-0.0196,-0.0194,,,,0.0,,,,-0.0203,,,,,,0.0202,,,0.0579,,,,,-0.0012,-0.0125,,-0.0251,,,,
life_autonomy_morality_permissiveness|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
multilevel_place_attachment|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
neighborhood_disorder_and_crime|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
offline_political_participation|WVS_E,,,,,0.0263,-0.0205,-0.0013,,,,,,,,,,,,,,-0.012,0.0378,,,-0.0703,-0.0203,,,,0.0,,,,,,,,,-0.0316,,,,,-0.0261,,,0.0462,,,,
online_political_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
outgroup_trust|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
perceived_negative_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
perceived_positive_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
political_information_sources|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
postmaterialist_values|WVS_E,,,,,0.0027,-0.006,0.0024,,,,,,,,,,,,,,-0.0177,-0.0049,,,-0.0178,0.0202,,,,,,,,,,0.0,,,0.0179,,,,,0.0029,,,-0.0115,,,,
precautionary_security_behaviors|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
religion_versus_secularism_orientation|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
religious_belief|WVS_F,,,-0.0185,,-0.004,-0.0088,0.0109,,0.017,-0.0416,-0.0024,,,,0.0272,,,,,,-0.0187,-0.0233,,,-0.0019,0.0579,,,,-0.0316,,,,,,0.0179,,,0.0,,,,,0.0053,-0.0286,,-0.0329,,,,
religious_practice_and_self_identification|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
science_skepticism|WVS_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
science_technology_optimism|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
sexual_and_reproductive_morality_permissiveness|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
social_intolerance_outgroups|WVS_A,,,0.0,,,,,,0.0261,-0.0164,0.0184,,,,0.0069,,,,,,-0.0398,,,,-0.0235,-0.0012,,,,-0.0261,,,,,,0.0029,,,0.0053,,,,,0.0,-0.0561,,,,,,
societal_change_attitudes|WVS_E,,,,,0.0106,-0.0152,0.0125,,,,,,,,,,,,,,0.0358,0.0264,,,-0.0075,-0.0125,,,,,,,,,,,,,-0.0286,,,,,-0.0561,0.0,,0.0681,,,,
socioeconomic_insecurity_worry|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
subjective_wellbeing|WVS_A,,,0.0092,,,,,,-0.0285,0.0388,-0.0158,,,,-0.0203,,,,,,0.0436,,,,0.0215,-0.0251,,,,0.0462,,,,,,-0.0115,,,-0.0329,,,,,,0.0681,,0.0,,,,
violence_tolerance|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
voluntary_association_belonging|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
voting_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
work_ethic|WVS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
