,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,1000.0,333.3333333333333,303.03030303030306,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,714.2857142857143,9999.0,9999.0,769.2307692307693,56.81818181818181,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,54.054054054054056,9999.0,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,108.69565217391305,9999.0,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,1000.0,9999.0,0.0,9999.0,9999.0,9999.0,78.74015748031496,113.63636363636363,1000.0,9999.0,9999.0,9999.0,208.33333333333334,9999.0,9999.0,9999.0,9999.0,9999.0,98.0392156862745,9999.0,9999.0,9999.0,55.55555555555556,476.1904761904762,9999.0,9999.0,9999.0,38.02281368821293,9999.0,9999.0,9999.0,9999.0,9999.0,370.3703703703703,9999.0,9999.0,250.0,9999.0,9999.0,9999.0,9999.0,9999.0,94.33962264150944,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,333.3333333333333,9999.0,9999.0,0.0,9999.0,9999.0,142.85714285714286,666.6666666666666,250.0,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,344.82758620689657,9999.0,9999.0,9999.0,114.9425287356322,81.96721311475409,9999.0,9999.0,9999.0,48.78048780487805,9999.0,9999.0,9999.0,9999.0,9999.0,166.66666666666666,9999.0,9999.0,113.63636363636363,9999.0,9999.0,9999.0,9999.0,9999.0,65.78947368421052,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,303.03030303030306,9999.0,9999.0,9999.0,0.0,9999.0,126.58227848101265,232.5581395348837,126.58227848101265,9999.0,9999.0,9999.0,243.90243902439022,9999.0,9999.0,9999.0,9999.0,9999.0,79.36507936507937,9999.0,9999.0,9999.0,79.36507936507937,75.18796992481204,9999.0,9999.0,9999.0,769.2307692307693,9999.0,9999.0,9999.0,9999.0,9999.0,416.6666666666667,9999.0,9999.0,91.74311926605505,9999.0,9999.0,9999.0,9999.0,9999.0,80.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,78.74015748031496,142.85714285714286,126.58227848101265,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,22.075055187637968,285.7142857142857,9999.0,9999.0,17.88908765652952,60.24096385542168,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,58.8235294117647,9999.0,9999.0,9999.0,9999.0,38.314176245210724,9999.0,9999.0,35.08771929824561,9999.0,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,9999.0,113.63636363636363,666.6666666666666,232.5581395348837,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,51.54639175257732,37.3134328358209,9999.0,9999.0,68.4931506849315,28.98550724637681,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,24.03846153846154,9999.0,9999.0,9999.0,9999.0,60.975609756097555,9999.0,9999.0,25.77319587628866,9999.0,9999.0,9999.0,9999.0
