construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,9999.0,9999.0,0.0,44.1486709370565,25.10064605104636,34.6178791482002,9999.0,19.841269841269842,9999.0,9999.0,9999.0,9999.0,54.94505494505494,9999.0,9999.0,9999.0,9999.0,9999.0,16.949152542372882,9999.0,32.98765283442958,9999.0,9999.0,25.77319587628866,39.36313389345494,17.33102253032929,9999.0,11.890606420927469,9999.0,9999.0,9999.0,9999.0,9999.0,92.42134735629269,9999.0,9999.0,28.754012829021903,9999.0,20.66115702479339,9999.0,9999.0,12.87001287001287,22.19988477144293,22.52252252252252,9999.0,59.16630916630916,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,9999.0,9999.0,44.1486709370565,0.0,45.468104146247924,54.98533724340176,9999.0,54.12862009454978,9999.0,9999.0,9999.0,9999.0,30.8641975308642,9999.0,9999.0,9999.0,9999.0,9999.0,42.78438030560272,9999.0,53.35511092963114,9999.0,9999.0,49.64936886395512,59.7305919886565,42.14926135094605,9999.0,32.25806451612903,9999.0,9999.0,9999.0,9999.0,9999.0,49.75124378109453,9999.0,9999.0,49.01960784313725,9999.0,44.39398684622612,9999.0,9999.0,40.90110686703655,42.567342866644495,58.11281082572846,9999.0,73.4173890202259,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,9999.0,9999.0,25.10064605104636,45.468104146247924,0.0,35.93731235739162,9999.0,23.419203747072597,9999.0,9999.0,9999.0,9999.0,42.37288135593221,9999.0,9999.0,9999.0,9999.0,9999.0,17.452006980802793,9999.0,34.307086043621,9999.0,9999.0,29.940119760479043,40.68256710264636,19.305019305019304,9999.0,13.21003963011889,9999.0,9999.0,9999.0,9999.0,9999.0,93.7407805654841,9999.0,9999.0,30.073446038213326,9999.0,25.345961960215977,9999.0,9999.0,14.970059880239521,23.519317980634355,19.801980198019802,9999.0,61.26635617653581,9999.0,9999.0,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,34.6178791482002,54.98533724340176,35.93731235739162,0.0,9999.0,29.940119760479043,9999.0,9999.0,9999.0,9999.0,62.11180124223603,9999.0,9999.0,9999.0,9999.0,9999.0,33.25358851674642,9999.0,23.696682464454977,9999.0,9999.0,40.11857707509881,50.1998001998002,32.61846956208974,9999.0,22.72727272727273,9999.0,9999.0,9999.0,9999.0,9999.0,57.80346820809249,9999.0,9999.0,39.59067913536717,9999.0,34.863195057369815,9999.0,9999.0,31.370315078180248,33.03655107778819,48.582019036872154,9999.0,69.93006993006993,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,9999.0,19.841269841269842,54.12862009454978,23.419203747072597,29.940119760479043,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,65.79208510300481,9999.0,9999.0,9999.0,9999.0,9999.0,18.93939393939394,9999.0,31.847133757961785,9999.0,9999.0,25.510204081632654,40.92834425244398,16.920473773265652,9999.0,21.87055557842075,9999.0,9999.0,9999.0,9999.0,9999.0,87.74358796857153,9999.0,9999.0,30.581039755351682,9999.0,18.51851851851852,9999.0,9999.0,13.227513227513228,15.290519877675841,30.439217186205138,9999.0,59.52380952380952,9999.0,9999.0,9999.0,9999.0,9999.0
